Date,Open,High,Low,Close,Volume
2021-06-07,10.0,10.0,10.0,10.0,8000
2021-06-08,9.87,9.87,9.81,9.81,11095
2021-06-09,9.82,10.335,9.8,9.88,99170
2021-06-10,9.9,10.62,9.9,10.49,1500
2021-06-11,11.37,11.37,9.75,9.84,2209
2021-06-14,9.85,9.86,9.84,9.84,50107
2021-06-15,9.82,9.85,9.82,9.85,402842
2021-06-16,9.86,9.9,9.85,9.89,261564
2021-06-17,9.9585,10.06,9.88,9.89,260235
2021-06-18,9.89,10.465,9.89,9.98,33930
2021-06-21,10.43,10.5,9.89,9.93,17329
2021-06-22,9.91,9.93,9.83,9.91,13526
2021-06-28,9.86,9.96,9.86,9.96,210
2021-06-30,9.88,9.88,9.84,9.84,7200
2021-07-01,9.89,9.9,9.84,9.84,14866
2021-07-02,9.87,9.87,9.87,9.87,100
2021-07-06,9.88,9.9115,9.88,9.9115,4100
2021-07-07,9.92,9.92,9.89,9.89,26013
2021-07-08,9.87,10.0287,9.87,9.91,5943
2021-07-09,9.9,9.97,9.9,9.95,170141
2021-07-12,10.03,10.1816,9.95,9.95,25700
2021-07-14,9.87,9.9,9.84,9.87,35817
2021-07-15,9.87,9.89,9.85,9.89,2700
2021-07-16,9.88,9.88,9.88,9.88,106
2021-07-19,9.84,9.9,9.82,9.9,687952
2021-07-20,9.85,9.8728,9.82,9.82,133235
2021-07-21,9.84,9.84,9.8202,9.8202,730
2021-07-22,9.86,9.9,9.86,9.86,43900
2021-07-23,9.86,9.895,9.8511,9.895,557
2021-07-26,9.89,9.89,9.85,9.85,28875
2021-07-27,9.85,9.96,9.84,9.95,81656
2021-07-28,9.85,9.96,9.84,9.85,43775
2021-07-29,9.85,9.86,9.85,9.85,5200
2021-07-30,9.87,9.9,9.83,9.85,550588
2021-08-02,9.86,9.86,9.83,9.85,52600
2021-08-03,9.86,9.86,9.84,9.84,91924
2021-08-04,9.86,9.86,9.83,9.85,174778
2021-08-05,9.86,9.86,9.86,9.86,2000
