Date,Open,High,Low,Close,Volume
2023-02-14,10.16,10.2,10.16,10.16,5042871
2023-02-15,10.17,10.1816,10.17,10.17,95639
2023-02-16,10.19,10.2,10.17,10.17,35945
2023-02-17,10.17,10.185,10.17,10.18,28016
2023-02-21,10.18,10.1835,10.18,10.18,1598
2023-02-22,10.181,10.181,10.18,10.18,1300
2023-02-23,10.16,10.18,10.16,10.1709,13674
2023-02-24,10.17,10.2,10.17,10.17,216538
2023-02-27,10.19,10.2,10.19,10.19,103052
2023-02-28,10.19,10.19,10.185,10.19,99298
2023-03-01,10.21,10.21,10.17,10.21,12636
2023-03-02,10.21,10.21,10.21,10.21,12611
2023-03-08,10.2,10.22,10.2,10.22,7640
2023-03-09,10.23,10.43,10.2299,10.28,19000
2023-03-10,10.2456,10.25,10.2456,10.25,1815
2023-03-13,10.26,10.29,10.26,10.29,27368
2023-03-14,10.3,10.4,10.3,10.36,71731
2023-03-15,10.35,10.38,10.35,10.38,66700
2023-03-16,10.38,10.38,10.35,10.35,800
2023-03-17,10.34,10.359,10.34,10.359,500
2023-03-20,10.35,10.355,10.33,10.355,512
2023-03-21,10.38,10.38,10.355,10.38,400
2023-03-22,10.3623,10.3623,10.32,10.33,5293
2023-03-30,10.33,10.33,10.33,10.33,100
2023-04-04,10.38,10.38,10.38,10.38,100
2023-04-05,10.38,10.38,10.38,10.38,300
2023-04-06,10.38,10.38,10.34,10.34,257
2023-04-10,10.38,10.38,10.34,10.38,600
2023-04-11,10.38,10.38,10.34,10.34,10325
2023-04-12,9.7,10.4,9.7,10.35,4444
2023-04-13,10.35,10.35,10.35,10.35,200
2023-04-14,10.35,10.35,10.35,10.35,563
2023-04-24,10.35,10.35,10.35,10.35,200
2023-04-25,10.35,10.3591,10.35,10.35,797
2023-04-27,10.39,10.39,10.39,10.39,444
2023-05-05,10.37,10.37,10.37,10.37,7000
2023-05-08,10.4,10.4,10.3999,10.3999,7204
2023-05-09,10.41,10.5,10.39,10.39,2957
2023-05-15,10.44,10.45,10.44,10.4452,1400
2023-05-17,10.42,10.4692,10.42,10.4692,2005
2023-05-18,10.579,11.51,10.42,10.58,1000
2023-05-19,10.52,10.52,10.42,10.42,6701
2023-05-22,10.42,10.43,10.42,10.43,149900
2023-05-23,10.52,10.52,10.43,10.43,1884
2023-05-25,10.45,10.845,10.45,10.845,600
2023-05-26,10.49,10.49,10.45,10.45,602
2023-06-06,10.48,10.48,10.48,10.48,100
2023-06-07,10.48,10.48,10.48,10.48,100
2023-06-08,10.51,10.51,10.51,10.51,100
2023-06-09,10.48,10.48,10.48,10.48,100
2023-06-14,10.85,10.85,10.85,10.85,300
2023-06-23,10.76,10.76,10.76,10.76,100
2023-07-14,10.56,10.56,10.56,10.56,100
2023-08-11,10.65,10.7203,10.61,10.7203,400
2023-08-23,10.64,10.64,10.63,10.63,1500
2023-09-05,10.7,10.8,10.68,10.8,3121
2023-09-07,10.72,10.795,10.701,10.795,596
2023-09-08,10.68,10.68,10.67,10.67,200
2023-09-19,10.68,10.71,10.65,10.69,101931
2023-09-20,10.7,10.71,10.66,10.66,960
2023-09-26,10.7,10.7,10.7,10.7,1000
2023-10-06,10.77,10.77,10.77,10.77,50000
2023-10-12,10.8,10.8,10.8,10.8,400
2023-10-26,10.79,10.79,10.79,10.79,410
2023-11-06,10.79,10.79,10.79,10.79,700
2023-12-13,10.7899,10.7899,10.78,10.78,1210
2024-01-12,10.85,10.85,10.82,10.82,491
2024-01-16,10.82,10.82,10.8,10.8,6000
2024-02-01,10.8,10.8,10.8,10.8,100
2024-02-05,10.9,10.9,10.72,10.72,300
2024-02-28,10.78,10.78,10.78,10.78,200
2024-03-01,10.78,10.8,10.78,10.8,50238
2024-04-30,11.0,11.0,10.88,10.88,600
2024-05-15,11.25,11.53,11.25,11.53,1100
2024-05-16,11.38,11.5,11.0,11.5,1103
2024-05-20,11.6,11.6,11.3,11.3,500
2024-05-21,11.14,11.14,11.14,11.14,200
2024-05-22,11.5,11.5,11.5,11.5,100
2024-05-24,11.24,11.25,10.88,10.88,3400
2024-05-29,11.02,11.02,11.01,11.01,602
2024-05-31,10.92,10.92,10.92,10.92,201
2024-06-04,11.2,11.2,10.96,10.96,200
2024-06-12,10.92,10.92,10.92,10.92,100
2024-07-31,11.11,11.11,11.11,11.11,300
2024-08-01,11.36,11.36,11.36,11.36,100
2024-08-05,11.4701,11.4701,11.46,11.46,300
2024-08-21,11.21,11.21,11.21,11.21,100
2024-08-22,11.17,11.17,11.16,11.16,300
2024-08-23,11.83,11.83,11.83,11.83,144
2024-09-03,11.11,11.11,11.11,11.11,100
2024-10-08,11.23,11.23,11.23,11.23,103
2024-10-10,11.5,11.5,11.41,11.42,1000
2024-10-11,11.5,15.0,11.38,11.5,33595
2024-10-14,11.54,11.54,11.4,11.4,500
2024-10-17,11.27,11.27,11.27,11.27,400
2024-10-18,11.26,11.26,11.25,11.25,500
2024-10-21,11.25,11.68,11.25,11.25,1800
2024-10-22,11.26,11.26,11.24,11.24,500
2024-10-24,11.25,11.25,11.21,11.21,1050
2024-10-25,11.25,11.25,11.21,11.21,600
2024-10-29,11.21,11.21,11.21,11.21,105
2024-11-01,11.21,11.25,11.21,11.22,800
2024-11-14,11.3,11.3,11.22,11.22,500
2024-11-19,11.25,11.25,11.23,11.23,400
2024-11-20,11.25,11.25,11.23,11.23,400
2024-12-03,10.9,10.9,10.9,10.9,200
2024-12-04,11.27,11.27,11.19,11.2,300
2024-12-05,10.9,11.03,10.9,11.03,200
2024-12-06,10.97,11.01,10.97,11.0,900
2024-12-09,11.29,13.45,11.23,11.85,3922
2024-12-10,11.15,11.15,10.3,10.3,920
2024-12-11,9.18,9.18,8.72,8.72,200
2024-12-12,8.5,9.48,7.05,7.71,14401
2024-12-13,7.4,9.5,7.16,7.3,19435
2024-12-17,6.61,6.61,5.62,6.29,1280
2024-12-18,5.66,5.66,5.5,5.5,303
2024-12-19,5.5,5.5,5.0,5.0,326
2024-12-20,5.0,5.0,5.0,5.0,300
2024-12-23,4.7,7.15,4.42,6.54,13070
2024-12-24,6.54,7.9,5.71,7.54,17497
2024-12-26,6.84,7.95,5.55,7.15,23234
2024-12-27,6.5,8.72,5.9,7.9,27782
2024-12-30,7.25,11.87,6.66,10.11,32984
2024-12-31,9.34,12.12,9.15,10.4,3300
2025-01-02,9.01,10.9,2.83,2.85,62783
