Date,Open,High,Low,Close,Volume
2024-08-01,10.03,10.05,10.01,10.02,18937813
2024-08-02,10.03,10.05,10.03,10.04,187322
2024-08-05,10.04,10.04,10.03,10.035,523488
2024-08-06,10.04,10.04,10.02,10.02,1343484
2024-08-07,10.03,10.03,10.03,10.03,6693
2024-08-08,10.0294,10.05,10.02,10.05,21130
2024-08-12,10.02,10.05,10.01,10.03,221208
2024-08-14,10.035,10.035,10.03,10.03,1485
2024-08-15,10.03,10.03,10.01,10.02,489202
2024-08-16,10.03,10.03,10.02,10.02,279621
2024-08-19,10.01,10.02,10.01,10.02,1272
2024-08-20,10.01,10.02,10.01,10.02,2900
2024-08-21,10.01,10.02,10.01,10.02,6755
2024-08-23,10.02,10.02,10.01,10.01,205563
2024-08-26,10.02,10.03,10.01,10.01,323767
2024-08-27,10.0268,10.0268,10.02,10.02,6600
2024-08-28,10.02,10.02,10.02,10.02,500
2024-09-05,10.02,10.02,10.02,10.02,100
2024-09-06,10.02,10.02,10.02,10.02,200
2024-09-11,10.02,10.02,10.02,10.02,250900
2024-09-12,10.02,10.02,10.015,10.02,280618
2024-09-13,10.02,10.02,10.01,10.02,132835
2024-09-17,10.02,10.035,10.02,10.02,110078
2024-09-20,10.03,10.04,10.03,10.04,23300
2024-09-23,10.0199,10.03,10.0199,10.03,3000
2024-09-24,10.05,10.05,10.05,10.05,30000
2024-09-26,10.04,10.05,10.04,10.05,2819
2024-09-27,10.05,10.05,10.03,10.05,700
2024-09-30,10.03,10.03,10.03,10.03,824
2024-10-01,10.05,10.05,10.03,10.03,307
2024-10-03,10.0498,10.05,10.0498,10.0499,1800
2024-10-07,10.05,10.06,10.05,10.06,152950
2024-10-08,10.5,11.55,10.08,10.08,15155
2024-10-09,10.08,10.69,10.07,10.08,11397
2024-10-10,10.09,10.09,10.08,10.08,3301
2024-10-11,10.14,10.7,10.08,10.08,6424
2024-10-14,10.12,11.0,10.08,10.592,11732
2024-10-15,10.32,10.32,10.09,10.15,3950
2024-10-16,10.1,10.1,10.1,10.1,300
2024-10-17,10.1,10.1,10.0899,10.09,22895
2024-10-18,10.09,10.4949,10.08,10.15,1150
2024-10-21,10.08,10.08,10.08,10.08,582
2024-10-22,10.08,10.08,10.08,10.08,200
2024-10-23,10.11,10.11,10.08,10.08,205
2024-10-28,10.14,10.14,10.14,10.14,100
2024-10-29,10.14,10.19,10.08,10.19,2642
2024-10-30,10.09,10.09,10.09,10.09,887
2024-11-04,10.08,10.095,10.08,10.08,1382
2024-11-07,10.19,10.19,10.17,10.17,327
2024-11-12,10.09,10.09,10.09,10.09,100
2024-11-13,10.18,10.2,10.18,10.2,2300
2024-11-14,10.1,10.22,10.1,10.22,2190
2024-11-15,10.4961,10.6037,10.1,10.6037,400
2024-11-20,10.22,10.41,10.22,10.41,935
2024-11-21,10.38,10.39,10.1231,10.15,9500
2024-11-22,10.08,10.08,10.08,10.08,100
2024-11-25,10.09,10.09,10.09,10.09,100
2024-11-26,10.15,10.15,10.15,10.15,200
2024-11-27,10.11,10.11,10.11,10.11,392
2024-11-29,10.1,10.12,10.1,10.12,300
2024-12-02,10.1,10.12,10.1,10.12,1811
2024-12-05,10.12,10.12,10.1172,10.1199,1072
2024-12-09,10.11,10.12,10.11,10.11,1088
2024-12-10,10.1201,10.1201,10.1201,10.1201,153
2024-12-11,10.11,10.2,10.11,10.2,2776
2024-12-12,10.12,10.12,10.12,10.12,100
2024-12-13,10.14,10.14,10.13,10.1301,12800
2024-12-16,10.12,10.12,10.12,10.12,100
2024-12-17,10.12,10.12,10.12,10.12,100
2024-12-18,10.127,10.15,10.127,10.15,531
2024-12-19,10.15,10.2,10.15,10.2,1825
2024-12-23,10.2,10.2,10.1499,10.16,600
2024-12-26,10.625,10.625,10.625,10.625,100
2024-12-27,10.24,10.3,10.2,10.3,1200
2024-12-30,10.14,10.2,10.14,10.14,1547
2024-12-31,10.14,10.14,10.14,10.14,100
2025-01-06,10.14,10.14,10.14,10.14,100
2025-01-17,10.17,10.17,10.17,10.17,20100
2025-01-21,10.32,10.32,10.32,10.32,400
2025-01-22,10.24,10.24,10.16,10.16,1500
2025-01-27,10.3,10.3,10.18,10.18,600
2025-01-30,10.29,10.49,10.29,10.49,569
2025-02-04,10.21,10.21,10.21,10.21,100
2025-02-05,10.2,10.2525,10.2,10.2525,200
2025-02-07,10.2,10.2,10.2,10.2,100
2025-02-20,10.29,10.29,10.21,10.21,300
2025-02-27,10.2,10.2,10.2,10.2,100
