Date,Open,High,Low,Close,Volume
2015-07-17,11.2494,11.7139,11.1115,11.4526,5870137
2015-07-20,11.5542,11.6848,10.8937,10.9953,414920
2015-07-21,10.9808,11.4598,10.8865,11.3582,266381
2015-07-22,11.3147,11.5469,11.1042,11.3582,88195
2015-07-23,11.2857,11.576,11.2857,11.3727,52276
2015-07-24,11.3002,11.4816,11.1115,11.3437,72220
2015-07-27,11.576,11.576,11.0679,11.1913,226359
2015-07-28,11.0824,11.3873,10.8865,11.2276,200872
2015-07-29,11.0752,11.4308,11.0607,11.2348,289714
2015-07-30,11.0534,11.4381,11.0534,11.3219,194363
2015-07-31,11.2566,11.409,10.9953,11.1042,174452
2015-08-03,11.1042,11.5252,11.1042,11.3219,205799
2015-08-04,11.576,11.576,11.184,11.3365,73088
2015-08-05,11.2711,11.5542,11.0091,11.1986,103404
2015-08-06,11.2421,11.4301,11.1274,11.2421,38049
2015-08-07,11.1042,11.1042,10.2623,10.9881,191342
2015-08-10,11.0316,11.3219,10.6782,11.0679,162806
2015-08-11,11.0679,11.0679,10.676,10.8284,219835
2015-08-12,10.7413,11.5832,10.7413,11.4453,71960
2015-08-13,11.409,11.5397,11.3365,11.4598,45141
2015-08-14,11.3408,11.9388,11.3408,11.7792,81215
2015-08-17,11.9534,11.9534,11.1913,11.3219,70466
2015-08-18,11.2857,11.5905,10.7486,11.0679,382576
2015-08-19,11.155,11.2857,10.8502,10.9953,98731
2015-08-20,10.7413,11.0824,10.5381,10.8647,185950
2015-08-21,11.0244,11.1405,10.8241,10.8429,181135
2015-08-24,10.4873,11.3219,10.3857,10.9591,280200
2015-08-25,11.1478,11.7545,10.8429,10.9591,251957
2015-08-26,11.2276,11.5252,10.7123,11.097,175937
2015-08-27,11.2131,11.351,10.3059,10.7341,712192
2015-08-28,10.6034,10.8284,10.0039,10.4002,193793
2015-08-31,10.4002,10.8865,10.4002,10.8865,98499
2015-09-01,10.9518,11.0752,10.528,10.9373,109471
2015-09-02,10.8792,11.2494,10.647,11.2203,106429
2015-09-03,11.184,11.2494,10.4873,11.0099,105915
2015-09-04,11.0244,11.0461,10.7087,10.8792,63178
2015-09-08,10.8792,11.3873,10.8792,11.1405,118180
2015-09-09,11.1187,11.2421,10.7704,10.8792,54109
2015-09-10,10.8284,11.1695,10.766,11.0752,78859
2015-09-11,11.0316,11.0316,9.8922,10.2986,239177
2015-09-14,10.4655,11.0026,10.4147,10.9518,199109
2015-09-15,10.9953,11.126,9.8414,10.0881,239624
2015-09-16,9.9285,10.6688,9.9285,10.6397,203846
2015-09-17,10.5381,10.872,9.7311,10.4438,164079
2015-09-18,10.4292,10.7921,9.5946,9.8051,634374
2015-09-21,9.9648,10.2405,9.2317,9.4495,391310
2015-09-22,9.4204,9.6309,8.9705,9.1301,138034
2015-09-23,9.0866,9.2172,8.8398,9.0576,103938
2015-09-24,8.9269,9.1084,8.7019,8.8906,179655
2015-09-25,8.9124,9.0133,8.6584,8.8326,223556
2015-09-28,8.5749,8.6003,7.7657,7.9834,345650
2015-09-29,8.3826,10.1027,7.9471,9.8123,552723
2015-09-30,9.8341,10.1462,9.2608,9.4059,1428403
2015-10-01,9.4712,9.7978,9.043,9.2317,180163
2015-10-02,9.1519,10.226,9.0409,9.268,196956
2015-10-05,9.3696,9.6962,9.2027,9.21,249995
2015-10-06,9.2172,9.8414,9.0793,9.7398,582814
2015-10-07,9.1461,9.8196,9.1461,9.6527,257665
2015-10-08,9.6527,9.9357,9.4495,9.8123,181131
2015-10-09,9.8704,9.8704,9.5438,9.6599,121581
2015-10-12,9.7615,10.0802,9.5148,9.5656,90112
2015-10-13,9.5438,9.9248,9.3624,9.7688,170747
2015-10-14,9.6745,9.9212,9.5874,9.7978,201404
2015-10-15,9.8486,10.1607,9.628,10.1389,174562
2015-10-16,10.1897,10.2914,9.7906,9.9648,179595
2015-10-19,9.7761,10.2841,9.2317,9.9793,114164
2015-10-20,9.9938,10.5962,9.718,10.5309,259415
2015-10-21,10.6179,10.6179,10.1389,10.5163,180858
2015-10-22,10.5309,10.6252,10.1244,10.2333,200979
2015-10-23,10.2914,10.7341,9.9648,10.6397,195619
2015-10-26,10.6179,10.676,9.8559,9.914,154474
2015-10-27,9.8922,10.0881,9.493,9.5511,350476
2015-10-28,9.5511,10.7196,9.5511,10.0446,242529
2015-10-29,10.0373,10.1389,9.6745,9.8486,167568
2015-10-30,9.8922,9.914,9.3696,9.5583,249664
2015-11-02,9.5583,9.6599,9.4495,9.6164,140256
2015-11-03,9.6454,10.2043,9.6382,10.0083,224148
2015-11-04,10.1244,10.2848,9.8849,10.1317,153056
2015-11-05,10.1099,10.1752,9.4001,9.943,90930
2015-11-06,10.1389,10.705,10.0228,10.451,254756
2015-11-09,10.451,10.705,10.226,10.5236,111557
2015-11-10,10.5236,10.6615,9.9938,10.6179,111302
2015-11-11,10.6615,10.6615,9.8704,10.0228,143330
2015-11-12,9.9865,10.1244,9.5874,9.8341,133234
2015-11-13,9.7906,10.0664,9.6236,9.9938,98028
2015-11-16,10.0156,10.1389,9.5728,9.8486,64483
2015-11-17,9.8051,9.9938,9.522,9.8994,89218
2015-11-18,9.9648,10.5236,9.5235,10.001,118073
2015-11-19,9.943,10.0809,9.5329,9.6019,124839
2015-11-20,9.6527,10.0228,9.5293,9.9357,80429
2015-11-23,9.9575,10.2696,9.9212,10.2405,68441
2015-11-24,10.2405,10.3349,9.972,10.2696,72559
2015-11-25,10.2696,10.5309,10.1607,10.3639,103166
2015-11-27,10.3494,10.451,9.4858,10.2405,13839
2015-11-30,10.226,10.6179,10.1317,10.4147,166574
2015-12-01,10.1716,10.6651,10.1317,10.5309,58092
2015-12-02,10.4808,10.6397,10.2188,10.4292,152168
2015-12-03,10.4292,10.4292,10.2478,10.2986,71891
2015-12-04,10.2623,10.2623,10.0083,10.1462,129858
2015-12-07,10.0446,10.0555,9.914,10.001,75897
2015-12-08,9.8486,10.1897,9.8196,10.0591,103662
2015-12-09,10.0518,10.2841,9.972,10.2188,94585
2015-12-10,10.2043,10.2696,10.0881,10.2333,34344
2015-12-11,10.0809,10.2914,10.0627,10.1825,95023
2015-12-14,10.2986,10.3712,9.6824,10.0736,88956
2015-12-15,10.1535,10.3639,9.8269,10.3494,55410
2015-12-16,10.3639,10.7558,9.7978,10.6978,63092
2015-12-17,10.6688,10.7558,10.3422,10.6107,77598
2015-12-18,10.6978,10.6978,10.1752,10.3784,92219
2015-12-21,10.3712,10.4728,10.226,10.2551,72484
2015-12-22,10.1897,10.3422,10.0446,10.2188,95029
2015-12-23,10.2914,10.4256,9.9575,10.2841,44267
2015-12-24,10.0446,10.4728,9.6019,10.2696,31079
2015-12-28,10.0809,10.3131,9.8486,9.914,54095
2015-12-29,9.7906,10.2732,9.7688,10.0301,82836
2015-12-30,10.0736,10.1934,9.7107,9.8123,183549
2015-12-31,9.8123,10.1752,9.7906,9.943,75263
2016-01-04,9.7253,9.9865,9.2608,9.7107,77011
2016-01-05,9.7253,10.1389,9.562,9.8704,215340
2016-01-06,9.5583,9.7615,9.522,9.6817,93131
2016-01-07,9.6527,9.8559,9.2825,9.3043,169943
2016-01-08,9.3479,9.5583,8.985,9.0866,74820
2016-01-11,8.9995,9.5728,8.9342,9.4858,121011
2016-01-12,9.5946,9.5946,9.0285,9.4132,74221
2016-01-13,9.5075,9.7253,9.2245,9.3333,96014
2016-01-14,9.4349,9.5003,9.1156,9.3333,197890
2016-01-15,9.0866,9.3333,8.6889,9.1156,129109
2016-01-19,9.1882,9.3333,8.9414,9.3333,74196
2016-01-20,9.1229,9.1809,8.789,8.8543,123265
2016-01-21,8.8543,9.0576,8.7237,8.7527,209026
2016-01-22,8.8326,8.8797,8.6003,8.7455,116815
2016-01-25,8.7237,8.9342,8.6874,8.7818,74059
2016-01-26,8.7092,8.8326,8.6366,8.789,50624
2016-01-27,8.76,8.789,8.6511,8.6729,47819
2016-01-28,8.7382,8.7382,8.3753,8.4915,127059
2016-01-29,8.5568,9.1664,8.281,9.1592,84608
2016-02-01,9.1954,9.1954,8.7019,8.7672,49647
2016-02-02,8.6729,8.8471,8.3753,8.4479,35740
2016-02-03,8.564,9.0648,8.31,8.76,138449
2016-02-04,8.8035,9.0779,8.4261,8.9051,185344
2016-02-05,9.3333,9.3333,8.4407,8.5568,207200
2016-02-08,8.4987,8.8906,8.1431,8.6874,75616
2016-02-09,8.5858,8.8072,8.3463,8.3536,92764
2016-02-10,8.4479,8.4552,8.1794,8.2882,92221
2016-02-11,8.1721,8.3898,7.9979,8.3536,82614
2016-02-12,8.4407,8.4407,7.9834,8.1213,44487
2016-02-16,8.2592,8.2991,7.9762,8.2084,101457
2016-02-17,8.31,8.5169,8.0995,8.2084,116311
2016-02-18,8.2592,8.731,8.0887,8.1721,246332
2016-02-19,8.2447,9.2463,8.0705,8.6656,492965
2016-02-22,8.7672,9.2535,8.7672,9.1374,96482
2016-02-23,9.1446,9.4712,9.1011,9.1446,39282
2016-02-24,9.1084,9.1954,8.506,9.1229,51467
2016-02-25,9.239,9.845,9.239,9.7543,109325
2016-02-26,9.8269,10.1535,9.4712,9.6309,60543
2016-02-29,9.5874,9.8994,9.4567,9.6382,78641
2016-03-01,9.6672,9.7833,9.6091,9.7543,47151
2016-03-02,9.6091,9.8196,9.4458,9.6527,47118
2016-03-03,9.6382,10.1244,9.6164,10.0954,79361
2016-03-04,9.0975,10.1172,9.0938,9.7978,33755
2016-03-07,9.8196,10.6905,8.564,10.1389,63255
2016-03-08,9.9575,10.0664,9.493,9.5366,50679
2016-03-09,9.718,9.9067,9.3769,9.7906,22543
2016-03-10,9.7906,9.9865,9.4495,9.6164,47560
2016-03-11,9.747,9.9502,9.4204,9.7761,47828
2016-03-14,9.8051,9.8958,9.3624,9.5946,86168
2016-03-15,9.5801,9.8123,9.3116,9.4132,29674
2016-03-16,9.4059,9.6309,9.0721,9.4132,34769
2016-03-17,9.3479,9.6309,9.1301,9.522,46707
2016-03-18,9.5728,9.8922,9.0213,9.6817,101097
2016-03-21,9.7615,10.2115,9.0721,9.6817,29921
2016-03-22,9.8994,9.8994,9.268,9.4349,52778
2016-03-23,9.4712,9.6817,9.2971,9.4858,50766
2016-03-24,9.6454,9.6454,9.3043,9.5728,37704
2016-03-28,9.6019,10.0591,9.6019,9.8269,27260
2016-03-29,9.8559,10.1281,9.5656,10.001,78426
2016-03-30,9.943,10.6325,9.7942,10.5744,50644
2016-03-31,10.4946,10.6325,10.1099,10.2188,53862
2016-04-01,10.168,10.3784,10.0518,10.2043,39608
2016-04-04,10.2115,10.5163,10.1607,10.2768,56654
2016-04-05,10.1389,10.6833,10.1027,10.2478,58937
2016-04-06,10.0446,10.3349,10.0446,10.2478,21413
2016-04-07,10.1389,10.6252,10.1389,10.4002,43784
2016-04-08,10.3857,10.4002,9.5801,9.5874,222807
2016-04-11,9.6962,9.6962,9.1882,9.239,137822
2016-04-12,9.1737,9.4277,9.1446,9.2608,47162
2016-04-13,9.3551,9.8994,9.3188,9.7107,628485
2016-04-14,9.7107,9.747,9.395,9.4059,135252
2016-04-15,9.5656,9.7543,9.3624,9.493,56023
2016-04-18,9.5148,9.7107,9.3043,9.5366,29773
2016-04-19,9.5511,9.5511,9.2753,9.3261,66736
2016-04-20,9.3551,9.7289,9.3333,9.6164,225638
2016-04-21,9.5801,9.7761,9.5075,9.7325,106409
2016-04-22,9.5286,9.9067,9.5286,9.7325,99608
2016-04-25,9.7615,9.8704,9.522,9.7325,30550
2016-04-26,9.6418,9.8849,9.4495,9.7253,65386
2016-04-27,9.7761,10.1172,9.5946,10.0373,66482
2016-04-28,10.0083,10.1244,9.7615,9.8559,91846
2016-04-29,9.8697,9.8994,9.6672,9.7398,57119
2016-05-02,9.6454,9.8377,9.6309,9.7398,25412
2016-05-03,9.718,9.7615,9.5728,9.6019,67320
2016-05-04,9.522,9.5402,9.0067,9.0358,89187
2016-05-05,8.9777,9.2898,8.9777,9.1809,133594
2016-05-06,9.3653,10.1607,9.2172,9.522,209979
2016-05-09,9.5801,10.197,9.5801,9.8123,60693
2016-05-10,9.7978,10.0773,9.4132,9.8269,115518
2016-05-11,9.8486,9.9793,9.4422,9.4858,30844
2016-05-12,9.522,9.522,9.0721,9.3551,46750
2016-05-13,9.1737,9.4422,9.1737,9.3624,99103
2016-05-16,9.3987,9.4349,9.239,9.2898,45901
2016-05-17,9.2825,9.3261,8.9559,9.014,65127
2016-05-18,9.0721,9.2535,9.0503,9.0721,74646
2016-05-19,8.9632,9.0213,8.7092,8.8689,110209
2016-05-20,8.9342,9.1301,8.7963,9.0721,35699
2016-05-23,9.0866,9.2463,9.0866,9.1519,27849
2016-05-24,9.1737,9.5801,9.1592,9.4495,37826
2016-05-25,9.4712,9.7906,9.3043,9.6454,27411
2016-05-26,9.6454,9.7543,9.5148,9.5366,30268
2016-05-27,10.5381,11.2784,10.5381,10.8865,741825
2016-05-31,11.1768,11.5397,10.9953,11.1623,371462
2016-06-01,11.351,11.576,11.1986,11.4381,317367
2016-06-02,11.3219,11.5469,11.2494,11.3437,164696
2016-06-03,11.5252,11.5397,11.1478,11.2421,211961
2016-06-06,11.4526,11.4961,11.1405,11.3655,212558
2016-06-07,11.2929,11.4235,10.9975,11.3147,125725
2016-06-08,11.351,11.5905,11.2566,11.3147,124998
2016-06-09,11.3437,11.4344,11.0752,11.3582,120393
2016-06-10,11.2494,11.4235,11.097,11.38,234717
2016-06-13,11.5,12.37,11.12,11.16,172254
2016-06-14,11.18,11.8,11.18,11.56,179073
2016-06-15,11.65,12.25,11.19,12.01,129499
2016-06-16,11.99,12.12,11.354,11.87,52199
2016-06-17,11.79,12.06,11.565,11.67,89366
2016-06-20,11.77,11.95,11.62,11.68,222862
2016-06-21,11.62,11.7,11.0,11.21,90519
2016-06-22,11.16,11.4,11.04,11.14,66618
2016-06-23,11.18,11.57,11.18,11.41,213361
2016-06-24,10.87,11.045,10.25,11.009,202595
2016-06-27,10.99,10.99,10.35,10.47,123165
2016-06-28,10.6,11.01,10.52,10.94,163047
2016-06-29,10.92,11.13,10.74,11.1,105613
2016-06-30,11.05,11.23,10.95,11.05,135525
2016-07-01,11.0,11.63,10.933,11.18,212744
2016-07-05,11.23,11.45,10.8,10.95,55066
2016-07-06,10.86,11.09,10.86,10.96,71519
2016-07-07,11.0,11.09,10.85,10.97,50502
2016-07-08,11.02,11.33,11.02,11.26,90917
2016-07-11,11.27,11.59,11.09,11.42,63662
2016-07-12,11.53,11.67,11.33,11.57,63797
2016-07-13,11.63,11.68,11.46,11.53,55841
2016-07-14,11.54,11.64,11.3,11.31,32339
2016-07-15,11.41,11.47,11.28,11.31,31282
2016-07-18,11.23,11.32,10.941,11.28,28426
2016-07-19,11.24,11.32,11.03,11.25,49594
2016-07-20,11.35,11.35,10.97,11.28,45562
2016-07-21,11.25,11.33,11.13,11.2,39725
2016-07-22,11.24,11.56,11.201,11.4,25070
2016-07-25,11.45,11.5,11.12,11.19,23750
2016-07-26,11.19,11.49,11.175,11.29,24710
2016-07-27,11.34,11.37,11.21,11.29,27285
2016-07-28,11.33,11.34,11.03,11.15,81631
2016-07-29,11.2,11.5,11.04,11.48,32501
2016-08-01,11.51,11.76,11.39,11.49,48954
2016-08-02,11.37,11.37,10.97,11.09,58425
2016-08-03,11.12,11.45,11.06,11.21,33551
2016-08-04,11.28,11.46,11.14,11.22,19471
2016-08-05,11.3,11.59,11.231,11.54,93403
2016-08-08,11.5,11.99,11.45,11.77,117866
2016-08-09,11.78,11.78,11.29,11.3,78732
2016-08-10,11.33,11.77,11.32,11.53,143964
2016-08-11,11.5,11.99,11.34,11.77,73783
2016-08-12,11.81,11.94,11.47,11.93,28543
2016-08-15,11.99,12.199,11.87,11.93,41941
2016-08-16,11.82,11.95,11.39,11.43,36611
2016-08-17,11.49,11.5,11.2,11.26,65104
2016-08-18,11.31,11.54,11.24,11.34,66375
2016-08-19,11.25,11.55,11.25,11.51,58548
2016-08-22,11.4,11.68,11.4,11.66,21092
2016-08-23,11.66,11.85,11.62,11.77,48224
2016-08-24,11.75,12.01,11.68,11.96,45485
2016-08-25,11.93,12.0,11.71,11.85,43389
2016-08-26,11.94,12.09,11.88,11.99,40221
2016-08-29,11.99,12.03,11.89,11.93,26809
2016-08-30,11.98,12.02,11.92,11.94,29560
2016-08-31,11.94,12.0,11.89,11.94,24019
2016-09-01,11.97,12.0,11.6,11.95,24412
2016-09-02,11.99,12.36,11.96,12.15,29288
2016-09-06,12.17,12.33,12.08,12.08,48294
2016-09-07,12.17,12.86,12.17,12.76,97795
2016-09-08,12.52,12.878,12.5,12.61,38042
2016-09-09,12.31,12.31,11.64,11.67,106744
2016-09-12,11.51,11.77,11.19,11.19,72554
2016-09-13,11.13,11.45,10.91,10.99,188406
2016-09-14,10.91,11.15,10.63,10.73,370152
2016-09-15,10.44,11.06,10.31,10.98,1744537
2016-09-16,10.7,11.255,10.7,10.98,389511
2016-09-19,11.08,11.46,11.08,11.38,260017
2016-09-20,11.45,11.53,11.33,11.39,312262
2016-09-21,11.45,11.58,11.44,11.56,186150
2016-09-22,11.58,11.78,11.58,11.78,151030
2016-09-23,11.74,11.79,11.44,11.44,257441
2016-09-26,11.44,11.69,11.41,11.61,223437
2016-09-27,11.59,11.67,11.45,11.59,82951
2016-09-28,11.63,11.71,11.44,11.48,130238
2016-09-29,11.47,11.47,10.99,10.995,118898
2016-09-30,11.01,11.59,11.01,11.4,195730
2016-10-03,11.35,11.6,11.35,11.49,150884
2016-10-04,11.55,11.65,11.31,11.5,256788
2016-10-05,11.55,11.75,11.49,11.59,141279
2016-10-06,11.55,11.55,11.25,11.49,112649
2016-10-07,11.48,11.58,11.35,11.56,86223
2016-10-10,11.66,11.74,11.49,11.58,73829
2016-10-11,11.54,11.61,11.42,11.55,47868
2016-10-12,11.55,11.68,11.42,11.53,60844
2016-10-13,11.4,11.49,11.04,11.106,103418
2016-10-14,11.25,11.3,11.11,11.2,77312
2016-10-17,11.18,11.45,11.17,11.4,43981
2016-10-18,11.52,11.67,11.31,11.38,48396
2016-10-19,11.4,11.67,11.4,11.65,70385
2016-10-20,11.6,11.76,11.6,11.69,116279
2016-10-21,11.61,11.78,11.42,11.65,97303
2016-10-24,11.74,11.78,11.58,11.67,93031
2016-10-25,11.63,11.72,11.46,11.59,54412
2016-10-26,11.52,11.63,11.3,11.36,65696
