Date,Open,High,Low,Close,Volume
2004-03-31,6.2801,8.1425,6.2634,7.3407,2678676
2004-04-01,7.3658,8.0589,7.0986,7.9337,496010
2004-04-02,8.1425,8.9191,7.5161,8.6435,455441
2004-04-05,8.7688,10.0215,8.6853,10.0215,521683
2004-04-06,10.0215,11.7753,9.0862,9.4954,454566
2004-04-07,10.0131,10.0131,8.7354,9.3951,133626
2004-04-08,9.3951,9.8127,9.2699,9.7292,153005
2004-04-12,9.8211,10.8149,9.5872,10.1969,130780
2004-04-13,10.748,10.8399,9.6123,9.6206,57103
2004-04-14,9.8127,10.2303,8.9358,10.0215,60004
2004-04-15,9.8879,10.4391,9.7626,9.8211,41768
2004-04-16,9.4035,10.3973,9.4035,10.0632,42440
2004-04-19,10.4307,10.4307,9.938,10.0382,25242
2004-04-20,10.0048,10.272,9.8795,9.9547,29439
2004-04-21,9.9463,10.2303,8.6435,9.629,85277
2004-04-22,9.6039,9.7041,9.0193,9.487,59655
2004-04-23,9.487,9.7459,9.3125,9.6874,30809
2004-04-26,9.6874,10.0131,9.6039,9.8444,49632
2004-04-27,10.0215,10.105,9.6039,10.105,33495
2004-04-28,9.9171,12.101,9.9171,10.9401,82196
2004-04-29,10.9819,11.0654,10.3555,10.8566,87959
2004-04-30,10.7731,10.8984,10.0215,10.8399,80471
2004-05-03,11.4412,11.4412,10.6904,11.0905,41331
2004-05-04,11.0654,11.1481,10.105,10.7731,41134
2004-05-05,11.0654,11.0654,10.6478,10.8733,13377
2004-05-06,10.8566,10.8566,10.6061,10.6812,11036
2004-05-07,11.2742,11.2742,10.6687,10.7731,13773
2004-05-10,10.7648,10.7731,9.3534,9.6958,73731
2004-05-11,10.0215,10.0215,9.3116,9.3534,17133
2004-05-12,9.4369,10.0465,9.2365,9.6707,23471
2004-05-13,9.771,9.771,9.4369,9.6039,30956
2004-05-14,9.3951,10.3555,9.3951,9.9547,20819
2004-05-17,9.8962,9.8962,9.654,9.771,21057
2004-05-18,9.654,9.6707,9.5956,9.6624,65141
2004-05-19,9.6457,9.8962,9.5204,9.6039,40151
2004-05-20,9.6457,9.6457,8.7688,9.1864,43819
2004-05-21,9.1864,9.1864,8.7772,9.1029,37824
2004-05-24,8.9776,9.1112,8.8941,9.1029,21393
2004-05-25,9.1864,9.2699,8.8941,9.1446,11658
2004-05-26,9.1446,9.1947,8.5517,8.8273,58778
2004-05-27,8.6936,8.9859,8.6853,8.9776,22898
2004-05-28,8.9776,9.2281,8.7688,8.7688,80514
2004-06-01,8.9275,8.9358,8.6101,8.727,31808
2004-06-02,8.56,8.727,8.5016,8.6686,25052
2004-06-03,8.5099,9.0611,8.4348,8.8273,29091
2004-06-04,8.8523,9.0277,8.8523,8.9859,12216
2004-06-07,8.9358,9.1029,8.8523,8.9692,53430
2004-06-08,8.8941,8.9692,8.8273,8.9099,38529
2004-06-09,8.9108,8.9859,8.8523,8.9609,11869
2004-06-10,8.9358,8.9776,8.5934,8.6853,21935
2004-06-14,8.9358,8.9776,8.7772,8.9609,11108
2004-06-15,8.9776,10.0215,8.9108,9.771,28848
2004-06-16,10.0632,10.4391,9.7626,10.4299,55038
2004-06-17,10.105,10.4391,10.105,10.3973,14071
2004-06-18,10.2553,10.3973,9.8211,9.938,17236
2004-06-21,9.8211,10.6061,9.1864,10.3973,49012
2004-06-22,10.4391,10.4725,9.6123,10.2303,28232
2004-06-23,10.2303,10.6228,10.2303,10.556,27292
2004-06-24,10.4391,10.5894,10.0883,10.5643,21702
2004-06-25,10.5643,10.8566,7.0986,9.5181,310225
2004-06-28,9.8962,10.2303,9.2365,9.5789,71217
2004-06-29,9.6791,9.7292,9.3116,9.3951,19712
2004-06-30,9.3116,9.6039,9.1947,9.3367,21604
2004-07-01,9.2448,9.4035,9.1112,9.1864,32334
2004-07-02,9.1029,9.1864,8.7855,9.1363,26408
2004-07-06,9.0152,9.1279,8.727,9.0883,161506
2004-07-07,9.0193,9.0193,8.6936,8.7688,56508
2004-07-08,8.6936,8.6936,8.1174,8.2343,104191
2004-07-09,8.2677,8.869,8.2427,8.4606,29473
2004-07-12,8.393,8.4348,8.2677,8.3095,55174
2004-07-13,8.4348,8.4348,8.1842,8.3429,20181
2004-07-14,8.3554,8.4849,8.2844,8.2928,19336
2004-07-15,8.2844,8.3679,8.0589,8.3011,48318
2004-07-16,8.1842,8.6018,7.5996,7.8502,76220
2004-07-19,7.6414,7.9587,7.3491,7.4994,87193
2004-07-20,7.5829,7.7667,7.441,7.6831,33483
2004-07-21,7.9504,8.6018,7.9337,8.2928,220512
2004-07-22,8.393,8.393,8.0589,8.0924,18685
2004-07-23,8.2427,8.2427,7.7165,7.8084,32206
2004-07-26,7.9337,8.2176,7.7249,7.7333,10831
2004-07-27,7.5662,8.1425,7.5662,8.0422,23823
