Date,Open,High,Low,Close,Volume
2022-02-11,18.1113,65.1936,18.1113,49.2629,36775
2022-02-14,49.2629,50.7118,33.0351,45.6334,8393
2022-02-15,38.3961,39.1205,20.3209,22.4581,126506
2022-02-16,22.0524,22.0524,18.22,18.633,61382
2022-02-17,16.0539,17.6622,14.8839,14.9377,66764
2022-02-18,14.931,23.8273,13.0039,14.7354,244003
2022-02-22,14.3877,15.1773,12.4606,12.9025,55893
2022-02-23,12.4534,12.8808,11.6637,12.2314,65670
2022-02-24,11.0334,12.6917,11.0334,12.1201,42022
2022-02-25,11.8985,12.7728,10.9367,12.2701,37036
2022-02-28,12.343,13.8075,12.343,12.394,26168
2022-03-01,11.6726,12.3797,11.6726,11.6945,33236
2022-03-02,11.658,12.598,11.658,11.9786,54243
2022-03-03,11.709,12.2045,11.6945,11.7819,13390
2022-03-04,12.3065,13.1299,11.7819,12.6563,46123
2022-03-07,12.751,13.5379,12.6271,12.8166,48790
2022-03-08,12.8238,13.4237,12.751,12.9696,16446
2022-03-09,12.853,14.3467,12.853,12.9331,26112
2022-03-10,12.2337,13.108,12.2337,12.4377,27260
2022-03-11,13.048,13.1152,12.3794,12.6563,15607
2022-03-14,12.4012,12.7692,12.4012,12.4231,5657
2022-03-15,12.2045,17.487,12.2045,13.1226,198787
2022-03-16,13.5889,14.864,12.7728,12.7728,49583
2022-03-17,12.751,13.7273,12.751,13.7273,33058
2022-03-18,13.2975,13.5889,12.751,13.4796,11378
2022-03-21,13.0424,13.2537,12.8458,13.006,6045
2022-03-22,13.006,13.0279,12.5324,12.7437,34554
2022-03-23,12.394,13.0424,12.394,13.0424,30405
2022-03-24,13.1153,13.1517,12.5688,12.802,21899
2022-03-25,12.5688,12.8603,12.5615,12.7068,39149
2022-03-28,13.0424,13.0424,12.4595,12.6781,37856
2022-03-29,12.5324,13.1153,12.5324,13.1153,50334
2022-03-30,13.1141,15.0702,12.7478,13.92,178556
2022-03-31,14.0519,14.4842,12.9896,13.1434,85656
2022-04-01,12.0958,13.7735,12.0958,12.8064,29582
2022-04-04,12.6379,13.5098,12.6379,12.8577,25759
2022-04-05,12.8284,13.1874,12.6453,12.8138,22386
2022-04-06,12.7185,13.0336,12.7185,13.0336,12022
2022-04-07,12.8138,13.1801,12.8138,13.1654,13923
2022-04-08,12.9383,14.0959,12.9383,13.8028,28973
2022-04-11,13.3339,14.2863,13.0775,13.1068,24083
2022-04-12,13.3339,13.92,13.1874,13.1874,20064
2022-04-13,13.1874,14.1032,13.1874,14.0299,14030
2022-04-14,13.4438,13.8981,13.4438,13.7589,14893
2022-04-18,13.6929,13.8175,13.4724,13.5171,17691
2022-04-19,13.4218,13.92,13.1874,13.5317,33290
2022-04-20,12.8148,13.9274,12.8148,13.8248,25794
2022-04-21,13.5611,14.2424,13.5611,13.6416,28079
2022-04-22,13.7369,13.9532,13.6783,13.8981,16065
2022-04-25,13.6636,14.043,13.6636,13.7369,24764
2022-04-26,14.0623,14.1032,13.0848,13.3339,25382
2022-04-27,13.7369,13.92,13.4517,13.6197,10498
2022-04-28,13.6902,13.9774,13.0569,13.0569,6582
2022-04-29,13.5061,13.7271,13.403,13.4251,8051
2022-05-02,13.403,13.7528,13.2926,13.2999,4733
2022-05-03,13.5577,13.6976,13.2926,13.3147,12705
2022-05-04,13.5356,13.5356,12.8212,12.8212,8956
2022-05-05,12.8139,13.1085,12.4457,12.4457,11519
2022-05-06,12.372,13.3073,12.1585,12.4088,14867
2022-05-09,12.2247,12.7402,12.2247,12.5119,11411
2022-05-10,12.0775,13.1968,12.0775,12.8876,21073
2022-05-11,13.2484,13.2484,12.8875,12.917,10747
2022-05-12,12.5193,12.9612,12.0038,12.0038,20566
2022-05-13,12.5267,12.8433,11.6724,11.8565,21872
2022-05-16,12.4309,12.4309,11.098,11.2674,40234
2022-05-17,11.5399,11.8492,11.2747,11.7313,22796
2022-05-18,11.4515,12.7402,11.4515,11.643,43314
2022-05-19,12.0038,12.3131,11.7829,11.7902,28505
2022-05-20,11.8713,12.0701,11.1716,11.2306,40045
2022-05-23,11.4662,12.2247,11.4662,12.21,5716
2022-05-24,12.21,12.3794,11.9596,12.2837,25095
2022-05-25,12.5782,13.6976,12.4457,13.5724,38387
2022-05-26,13.8081,13.8081,12.6519,12.8875,27756
2022-05-27,13.1362,13.9952,13.1362,13.8397,18141
2022-05-31,13.7212,13.7756,13.1954,13.773,13342
2022-06-01,13.8841,13.9767,13.3583,13.699,18733
2022-06-02,13.699,14.1655,13.699,14.0322,17205
2022-06-03,13.9804,14.2321,13.3583,13.8619,13729
2022-06-06,12.9659,14.2543,12.9659,13.7286,42232
2022-06-07,13.4324,13.6619,11.9588,11.9588,27679
2022-06-08,11.9736,12.3848,11.9662,11.9662,13857
2022-06-09,11.9588,12.2995,11.8478,12.0255,11857
2022-06-10,11.9292,12.0699,11.2924,11.4479,25301
2022-06-13,11.322,11.8033,10.9444,11.0777,25231
2022-06-14,11.248,11.6256,10.7,11.4701,23264
2022-06-15,11.3072,11.8144,10.852,11.6626,56682
2022-06-16,11.2924,12.455,11.1221,12.218,60299
2022-06-17,11.8774,12.5364,11.8255,12.3365,69220
2022-06-21,12.181,12.6623,11.9514,12.4327,91492
2022-06-22,12.3661,12.3994,11.3664,11.8181,73116
2022-06-23,11.4775,12.4179,11.4775,12.3143,18601
2022-06-24,12.3143,13.3287,11.9292,13.3287,42864
2022-06-27,13.1066,13.3065,12.7882,13.2325,4932
2022-06-28,13.1473,13.5509,13.089,13.5509,15707
2022-06-29,13.1979,13.4992,12.8704,13.0974,3380
2022-06-30,12.9374,13.1607,12.6693,13.1607,8866
2022-07-01,12.9299,13.0118,12.4238,12.7141,9228
2022-07-05,13.0788,13.7264,11.9771,12.2674,7530
2022-07-06,12.4535,12.6013,11.925,11.9846,8018
2022-07-07,11.9846,12.5801,11.9846,11.992,2142
2022-07-08,12.1855,12.2525,11.9473,12.059,3310
2022-07-11,12.2228,12.6322,11.9176,12.0888,6412
2022-07-12,12.0069,12.2339,11.7464,11.9548,3498
2022-07-13,12.0382,12.6396,11.7985,12.193,5483
2022-07-14,11.8357,12.245,11.5379,11.5379,45194
2022-07-15,11.7389,12.0143,11.5379,11.5454,13058
2022-07-18,12.1186,12.1544,11.5603,11.724,11839
2022-07-19,11.6198,12.1632,11.5379,11.5975,12430
2022-07-20,11.5603,11.7222,11.5379,11.5379,2162
2022-07-21,11.6943,11.8952,11.2104,11.7464,14846
2022-07-22,11.3965,11.5156,10.6521,11.1657,26026
2022-07-25,10.9424,11.4209,10.8829,11.0169,12590
2022-07-26,11.0243,11.2923,10.8159,11.0318,5719
2022-07-27,11.0839,11.2299,11.0839,11.1657,3675
2022-07-28,11.2375,11.4923,11.0502,11.0877,10429
2022-07-29,11.0877,11.3874,10.8704,11.2375,15623
2022-08-01,11.2675,11.4324,11.2488,11.2488,9410
2022-08-02,11.1926,11.3874,11.0128,11.2937,8833
2022-08-03,11.3874,11.9867,11.3874,11.9717,4515
2022-08-04,11.717,11.9942,11.4248,11.7694,20608
2022-08-05,11.5896,11.8369,10.9978,11.8369,26372
2022-08-08,11.6121,11.7395,11.245,11.6421,10971
2022-08-09,11.717,11.9546,11.3573,11.5672,2537
2022-08-10,11.6795,11.6795,11.4923,11.6121,3445
2022-08-11,11.3499,12.2372,11.3499,12.0242,11487
2022-08-12,11.7395,12.1607,11.7395,11.9492,14967
2022-08-15,11.7395,11.9417,11.6196,11.687,4130
2022-08-16,11.6271,11.9867,10.888,11.5222,23087
2022-08-17,11.3499,11.6496,11.2375,11.4623,11432
2022-08-18,11.305,11.6646,11.2375,11.5522,10497
2022-08-19,11.6795,11.9642,11.3799,11.9642,8732
2022-08-22,11.4623,11.5484,11.245,11.4098,14801
2022-08-23,11.3199,11.6496,10.8854,11.2375,20158
2022-08-24,11.4024,11.762,11.1252,11.1252,7189
2022-08-25,11.9492,11.9492,11.5154,11.7844,6444
2022-08-26,11.8144,11.8144,11.2113,11.2113,11323
2022-08-29,11.4173,11.4173,10.9004,11.23,9902
2022-08-30,11.1213,11.4154,11.0365,11.3498,16951
2022-08-31,11.216,11.3098,11.216,11.2721,3836
2022-09-01,11.4833,11.4833,10.9328,10.9328,15533
2022-09-02,11.0082,11.4908,11.0082,11.4908,6919
2022-09-06,11.159,12.0186,11.0082,11.4983,32699
2022-09-07,11.4154,11.4983,11.2872,11.4983,2407
2022-09-08,11.3098,11.7849,11.3098,11.536,12635
2022-09-09,11.3626,11.5126,11.3249,11.4305,11852
2022-09-12,11.3475,11.8678,11.3174,11.4229,18712
2022-09-13,11.536,11.9432,11.536,11.7999,22711
2022-09-14,11.6793,12.2523,11.6793,12.2523,40479
2022-09-15,12.1091,12.7047,11.7019,12.7047,29533
2022-09-16,12.7952,13.1722,12.1015,12.848,280969
2022-09-19,12.6067,12.7726,12.2523,12.667,12209
2022-09-20,12.7801,12.7801,12.3126,12.7198,10526
2022-09-21,12.4634,12.6859,12.3277,12.3503,11625
2022-09-22,12.2448,12.2448,11.6491,11.7095,4094
2022-09-23,11.4833,11.6561,11.3852,11.4606,14194
2022-09-26,11.4003,11.7599,11.3852,11.4606,7534
2022-09-27,11.4456,11.8075,11.159,11.536,41278
2022-09-28,11.3852,11.4983,11.159,11.2118,21278
2022-09-29,11.2997,11.4401,11.1555,11.3528,7365
2022-09-30,11.4819,11.4819,11.0796,11.0796,14573
2022-10-03,11.0796,11.1252,10.298,10.723,17775
2022-10-04,10.4574,10.8064,10.4574,10.5333,7400
2022-10-05,10.4042,10.5064,10.2828,10.3435,11975
2022-10-06,10.3208,10.4422,9.7365,10.3739,10582
2022-10-07,10.4346,10.8984,9.1369,9.5543,13151
2022-10-10,9.2052,9.6226,8.8561,9.0914,18350
2022-10-11,8.8941,9.1066,7.3232,8.1731,43443
2022-10-12,8.1048,9.0762,8.1048,8.3856,23143
2022-10-13,8.3477,8.6182,7.8544,8.1048,9804
2022-10-14,8.2338,8.4995,8.0593,8.1352,8440
2022-10-17,8.3932,8.502,8.3932,8.4236,3559
2022-10-18,8.7044,8.9845,8.3477,8.3477,26913
2022-10-19,8.1731,8.3249,7.4446,7.4522,43243
2022-10-20,7.5888,7.6647,7.3232,7.3308,4162
2022-10-21,7.4977,7.695,7.3037,7.5509,3473
2022-10-24,7.7102,7.7102,7.5357,7.5584,5900
2022-10-25,7.475,8.3629,7.475,7.9075,25227
2022-10-26,8.1579,8.2414,7.8772,7.9303,8402
2022-10-27,7.8392,8.0517,7.6724,8.0517,3166
2022-10-28,8.2706,8.8067,8.1787,8.2706,6357
2022-10-31,7.9719,8.7913,7.8418,8.0868,24786
2022-11-01,8.1634,8.2333,7.7269,7.9873,6644
2022-11-02,7.7805,8.0792,7.658,7.88,9506
2022-11-03,7.658,7.8035,7.4665,7.6809,15460
2022-11-04,7.4971,7.7805,7.4971,7.658,5718
2022-11-07,7.658,8.0715,7.658,8.0409,9006
2022-11-08,8.0485,8.0562,7.8571,7.9566,7672
2022-11-09,8.194,8.2323,7.9643,8.2247,1398
2022-11-10,8.0562,8.5386,8.0562,8.1519,32289
2022-11-11,7.8954,8.1596,7.3593,8.0179,39210
2022-11-14,8.5539,8.5539,7.3899,7.5431,32050
