Date,Open,High,Low,Close,Volume
2000-01-03,2.0526,2.0526,1.9548,2.0526,15731
2000-01-04,2.1015,2.2481,2.077,2.1992,46550
2000-01-05,2.1259,2.1259,2.1015,2.1015,201038
2000-01-06,2.1503,2.1992,2.1503,2.1503,23531
2000-01-07,2.1748,2.2725,2.1748,2.2481,63817
2000-01-10,2.2481,2.4436,2.2481,2.3458,76605
2000-01-11,2.3947,2.3947,2.2969,2.3458,47449
2000-01-12,2.3947,2.3947,2.3947,2.3947,2942
2000-01-13,2.3458,2.3947,2.2969,2.3702,39391
2000-01-14,2.2969,2.2969,2.1748,2.1992,29032
2000-01-18,2.1503,2.1992,2.0526,2.1992,49877
2000-01-19,2.077,2.1503,1.9548,2.0526,37215
2000-01-20,2.1259,2.1992,2.1015,2.1992,11257
2000-01-21,2.3214,2.3458,2.1503,2.3458,55124
2000-01-24,2.3458,2.639,2.3458,2.5169,306035
2000-01-25,2.5413,2.5413,2.3947,2.4436,95789
2000-01-26,2.5413,2.5413,2.4436,2.4436,17905
2000-01-27,2.4191,2.4436,2.2969,2.2969,32098
2000-01-28,2.2969,2.3947,2.1992,2.3458,16243
2000-01-31,2.2481,2.3458,2.2481,2.3458,14580
2000-02-01,2.4436,2.5413,2.2236,2.2725,31718
2000-02-02,2.2481,2.2969,2.1503,2.1992,44379
2000-02-03,2.1992,2.2481,2.0526,2.1015,20462
2000-02-04,2.1015,2.1503,2.0526,2.1503,15093
2000-02-07,2.0526,2.1015,1.9548,2.0282,110113
2000-02-08,2.1259,2.1259,1.906,1.9548,19311
2000-02-09,1.9304,2.0526,1.8571,1.9548,114077
2000-02-10,1.9548,1.9548,1.8082,1.8571,33380
2000-02-11,1.9548,1.9548,1.8571,1.8571,8570
2000-02-14,1.9548,1.9548,1.8571,1.9548,8186
2000-02-15,1.8571,1.9548,1.8571,1.9548,47703
2000-02-16,1.9548,1.9548,1.8571,1.8571,28776
2000-02-17,1.8815,2.0526,1.8815,1.9793,59725
2000-02-18,2.0037,2.0037,1.8571,1.9548,49748
2000-02-22,1.9548,1.9548,1.8082,1.8082,52691
2000-02-23,1.8327,1.8571,1.7594,1.8571,73408
2000-02-24,1.8571,1.8571,1.7594,1.7594,61897
2000-02-25,1.8571,1.8571,1.7594,1.7594,30181
2000-02-28,1.7838,1.7838,1.5639,1.7594,89397
2000-02-29,1.8327,1.8571,1.7594,1.8082,351563
2000-03-01,1.8082,1.8571,1.7105,1.7594,300793
2000-03-02,1.8327,1.8571,1.7594,1.7594,135562
2000-03-03,2.1259,2.1503,1.8082,1.906,409886
2000-03-06,2.0526,2.1503,1.8571,1.906,274065
2000-03-07,2.0526,2.0526,1.8815,1.906,324324
2000-03-08,1.9304,1.9304,1.8327,1.906,98219
2000-03-09,1.8327,1.906,1.8082,1.8082,69955
2000-03-10,1.906,1.906,1.6616,1.7594,331997
2000-03-13,1.6861,1.6861,1.5639,1.6616,158199
2000-03-14,1.6616,1.6616,1.5639,1.6127,103206
2000-03-15,1.6127,1.7105,1.6127,1.6127,118553
2000-03-16,1.5883,1.6127,1.515,1.6127,74428
2000-03-17,1.5639,1.6616,1.5639,1.6127,18417
