Date,Open,High,Low,Close,Volume
2009-01-05,24.8,24.8,24.8,24.8,362.0
2009-01-20,26.0,26.0,26.0,26.0,25.0
2009-01-21,22.8,22.8,22.8,22.8,75.0
2009-01-26,22.8,22.8,22.8,22.8,125.0
2009-01-28,23.6,23.6,23.6,23.6,70.6
2009-03-04,21.2,21.2,21.2,21.2,125.0
2009-03-10,22.4,22.4,22.4,22.4,125.0
2009-04-14,25.2,25.2,25.2,25.2,125.0
2009-05-21,24.0,24.0,24.0,24.0,12.5
2009-08-04,44.0,44.0,44.0,44.0,50.0
2009-08-07,42.8,42.8,42.8,42.8,125.0
2009-08-19,40.0,40.0,40.0,40.0,191.4
2009-08-26,35.2,35.2,35.2,35.2,25.0
2009-08-28,31.2,31.2,31.2,31.2,59.4
2009-09-17,38.4,38.4,38.4,38.4,62.5
2009-10-08,35.6,35.6,35.6,35.6,59.4
2009-10-26,41.6,41.6,41.6,41.6,37.5
2009-11-09,46.0,46.0,46.0,46.0,138.0
2009-11-13,47.6,47.6,47.6,47.6,138.0
2009-11-16,52.0,52.0,52.0,52.0,78.1
2009-12-08,52.0,52.0,52.0,52.0,93.8
2009-12-17,52.0,52.0,52.0,52.0,25.0
2009-12-18,52.0,52.0,52.0,52.0,62.5
2009-12-23,50.24,51.6,50.0,50.4,212.5
2009-12-28,50.4,50.4,50.4,50.4,187.5
2009-12-29,48.8,48.8,48.08,48.08,782.0
2010-01-04,54.0,54.0,54.0,54.0,12.5
2010-01-07,59.6,59.6,59.6,59.6,125.0
2010-01-15,82.0,82.0,82.0,82.0,30.0
2010-01-22,74.0,76.4,74.0,76.4,75.0
2010-01-28,78.0,78.0,78.0,78.0,50.0
2010-02-04,68.0,68.0,68.0,68.0,25.0
2010-04-01,75.2,75.2,75.2,75.2,31.2
2010-04-07,78.4,78.4,78.4,78.4,12.5
2010-04-08,82.0,82.0,82.0,82.0,50.0
2010-04-14,80.8,80.8,80.8,80.8,15.6
2010-04-20,78.8,78.8,78.8,78.8,25.0
2010-04-22,77.6,77.6,77.6,77.6,250.0
2010-04-23,76.8,76.8,76.8,76.8,250.0
