Date,Open,High,Low,Close,Volume
2021-06-17,235.398,271.0,214.8,264.0,390367.2
2021-06-18,260.0,279.6,240.0,253.6,297718.25
2021-06-21,257.0,260.0,231.2,236.0,156379.25
2021-06-22,236.0,241.198,225.8,235.8,89491.2
2021-06-23,236.6,243.8,233.4,241.4,94399.9
2021-06-24,243.0,249.0,236.0,237.2,74271.4
2021-06-25,236.2,244.2,235.6,237.0,76260.35
2021-06-28,243.6,249.2,237.2,239.0,70275.0
2021-06-29,238.4,241.8,228.002,231.0,65048.1
2021-06-30,230.0,239.0,226.2,234.6,77629.2
2021-07-01,235.0,236.8,219.2,222.2,100067.6
2021-07-02,222.4,224.8,217.2,217.802,40776.2
2021-07-06,220.8,222.798,203.4,206.198,61079.5
2021-07-07,205.0,207.8,197.2,201.4,55487.55
2021-07-08,197.2,213.0,192.0,210.0,50744.55
2021-07-09,212.4,219.4,208.364,215.0,38877.65
2021-07-12,221.8,233.0,212.6,216.8,38843.0
2021-07-13,219.2,219.4,205.458,211.0,33433.75
2021-07-14,208.0,212.8,206.4,208.0,19407.6
2021-07-15,207.4,207.4,200.0,201.2,29234.3
2021-07-16,204.4,204.798,193.0,197.8,83838.8
2021-07-19,197.8,200.0,184.0,191.6,109736.5
2021-07-20,195.4,195.4,184.2,187.2,139345.55
2021-07-21,189.6,191.0,180.2,186.0,116002.2
2021-07-22,197.4,197.4,178.8,186.4,59687.1
2021-07-23,181.8,188.4,180.8,186.0,42458.35
2021-07-26,182.6,188.968,171.2,172.8,89669.1
2021-07-27,170.2,176.4,159.42,164.2,71654.3
2021-07-28,170.2,172.8,165.0,170.8,61025.55
2021-07-29,169.2,170.4,155.6,160.0,90036.85
2021-07-30,159.2,162.6,155.2,156.2,57378.3
2021-08-02,157.2,167.2,154.4,167.0,50265.5
2021-08-03,167.4,177.0,158.2,175.2,102917.35
2021-08-04,176.8,181.2,172.4,173.6,113218.9
2021-08-05,175.8,179.8,171.0,175.4,42431.5
2021-08-06,178.8,179.316,173.0,174.0,56080.7
2021-08-09,179.0,191.58,176.2,180.0,99966.75
2021-08-10,189.8,190.0,170.4,173.2,69019.7
2021-08-11,176.2,179.0,161.8,164.2,66837.35
2021-08-12,166.0,168.4,158.2,160.8,64152.0
2021-08-13,166.4,166.4,146.4,152.2,172717.45
2021-08-16,156.8,157.0,140.2,148.8,72069.55
2021-08-17,145.6,175.4,145.6,164.8,507745.95
2021-08-18,169.8,172.6,158.01,160.0,122511.45
2021-08-19,159.8,162.6,156.0,160.2,102140.55
2021-08-20,167.6,176.6,159.354,170.0,97176.05
2021-08-23,177.8,181.8,164.2,165.2,96560.3
