Date,Open,High,Low,Close,Volume
2000-01-03,2.0324,2.0496,2.0238,2.0324,58784.0
2000-01-04,2.0496,2.0582,2.0324,2.0496,57334.0
2000-01-05,2.0324,2.0582,2.0066,2.0238,43545.0
2000-01-06,2.0582,2.0582,2.0152,2.0152,51529.0
2000-01-07,2.0324,2.0668,2.0066,2.0066,26127.0
2000-01-10,1.9377,2.0496,1.9377,2.0496,113941.0
2000-01-11,2.0496,2.0496,1.9463,1.9463,145876.0
2000-01-12,1.9204,1.9893,1.9204,1.9549,166921.0
2000-01-13,1.9635,1.9893,1.9463,1.9549,86362.0
2000-01-14,1.9377,1.9635,1.9377,1.9635,14516.0
2000-01-18,1.9635,1.9635,1.929,1.9549,76928.0
2000-01-19,1.9549,1.9635,1.9032,1.929,88539.0
2000-01-20,1.929,1.929,1.9118,1.9204,87089.0
2000-01-21,1.9204,1.929,1.9204,1.9204,17417.0
2000-01-24,1.929,1.929,1.9204,1.929,105233.0
2000-01-25,1.9204,1.9377,1.9204,1.929,39189.0
2000-01-26,1.929,1.9635,1.929,1.929,26852.0
2000-01-27,1.929,1.9377,1.929,1.929,47898.0
2000-01-28,1.929,1.9377,1.929,1.929,52253.0
2000-01-31,1.9377,1.9463,1.9377,1.9463,21046.0
2000-02-01,2.0238,2.0238,1.9635,1.9635,193047.0
2000-02-02,1.9635,1.9635,1.9377,1.9377,82008.0
2000-02-03,1.9463,1.9463,1.9377,1.9377,17417.0
2000-02-04,1.9377,1.9377,1.9377,1.9377,31207.0
2000-02-07,1.9377,1.9377,1.929,1.9377,23948.0
2000-02-08,1.929,1.9721,1.929,1.9377,42091.0
2000-02-09,1.9377,1.9635,1.9377,1.9377,31204.0
2000-02-10,1.9635,1.9721,1.9377,1.9377,24676.0
2000-02-11,1.929,1.9377,1.9118,1.9377,60236.0
2000-02-14,1.929,1.9463,1.9204,1.929,152408.0
2000-02-15,1.9377,1.9377,1.9118,1.9204,79104.0
2000-02-16,1.9204,1.929,1.8946,1.9204,106682.0
2000-02-17,1.9204,1.929,1.9032,1.9032,42818.0
2000-02-18,1.9118,1.9118,1.8946,1.8946,23949.0
2000-02-22,1.8946,1.9204,1.8946,1.9032,28306.0
2000-02-23,1.9118,1.9204,1.8946,1.9204,43544.0
