Date,Open,High,Low,Close,Volume
2006-01-24,7.9899,8.1268,7.8757,8.104,567201
2006-01-25,8.1801,8.1801,7.9975,8.104,67196
2006-01-26,8.104,8.1573,8.066,8.104,52549
2006-01-27,8.0203,8.104,7.8986,8.0279,47558
2006-01-30,8.0279,8.066,7.9899,7.9899,68469
2006-01-31,8.0279,8.0584,7.9899,8.0279,30760
2006-02-01,8.0279,8.0279,7.9899,7.9899,33061
2006-02-02,8.0051,8.0051,7.9518,7.9594,79197
2006-02-03,7.9518,8.0203,7.9442,8.0127,55773
2006-02-06,8.0279,8.0279,7.9975,8.0279,37594
2006-02-07,8.0051,8.0051,7.929,7.9594,5792
2006-02-08,8.0127,8.0127,7.9975,7.9975,1971
2006-02-09,7.9899,8.0431,7.9899,8.0431,8603
2006-02-10,7.9899,8.0127,7.9899,8.0051,6946
2006-02-13,7.9899,8.0431,7.9899,8.0431,17342
2006-02-14,8.0431,8.0431,7.9062,7.9899,8565
2006-02-15,8.0279,8.066,8.0279,8.066,5123
2006-02-16,8.0355,8.066,8.0355,8.0431,5516
2006-02-17,7.9899,8.066,7.9899,7.9899,21087
2006-02-21,8.0279,8.066,7.9899,8.066,5125
2006-02-22,7.9899,8.0279,7.9899,8.0279,1971
2006-02-23,8.066,8.0964,8.066,8.066,32420
2006-02-24,8.066,8.066,8.066,8.066,9028
2006-02-27,8.066,8.1421,8.0355,8.0355,10862
2006-02-28,8.066,8.1421,8.0507,8.0507,34665
2006-03-01,8.0355,8.0507,8.0355,8.0355,3306
2006-03-02,8.1421,8.1421,8.066,8.066,4073
2006-03-03,8.1421,8.1421,8.0888,8.0888,4073
2006-03-06,8.0888,8.2562,8.0888,8.104,36069
2006-03-07,8.1421,8.1953,8.0812,8.104,16688
2006-03-08,8.104,8.2562,8.104,8.1801,24699
2006-03-09,8.241,8.241,8.2029,8.2029,4697
2006-03-10,8.241,8.2486,8.2182,8.2486,2694
2006-03-13,8.279,8.9867,8.1801,8.3703,22785
2006-03-14,8.4845,8.5225,8.3551,8.3703,10990
2006-03-15,8.3703,8.4312,8.3703,8.4312,2366
2006-03-16,8.4845,8.661,8.3703,8.4997,17868
2006-03-17,8.5149,9.428,8.5149,8.9182,51414
2006-03-20,9.1237,9.1237,8.8041,8.8041,41518
2006-03-21,8.8954,9.1161,8.8954,9.0171,2994
2006-03-22,9.0171,9.3596,9.0171,9.253,9253
2006-03-23,9.3596,9.3672,9.3291,9.3672,12141
2006-03-24,9.3672,9.3976,9.352,9.352,2896
2006-03-27,9.3596,9.3748,9.2827,9.3748,2956
2006-03-28,9.3215,9.3976,9.3215,9.3748,4401
2006-03-29,9.3748,9.39,9.3748,9.39,3193
2006-03-30,9.2302,9.2454,9.2226,9.2454,18005
2006-03-31,9.2454,9.3215,9.1465,9.1465,1971
2006-04-03,9.1313,9.1313,8.9319,8.9791,9407
2006-04-04,8.8574,8.903,8.4464,8.454,18431
2006-04-05,9.0932,9.1313,8.5986,8.5986,1576
2006-04-06,8.6899,8.6899,8.4464,8.6899,3287
2006-04-07,8.7508,8.8117,8.7508,8.8117,2274
2006-04-10,8.9639,8.9639,8.6138,8.6138,1444
2006-04-11,8.591,8.865,8.4084,8.4084,14255
2006-04-12,8.4464,8.6595,8.3703,8.5606,13987
2006-04-17,8.6138,8.6138,8.6138,8.6138,263
2006-04-18,8.5606,8.7889,8.5606,8.7889,18250
2006-04-20,8.766,8.766,8.766,8.766,657
2006-04-21,8.6747,8.7508,8.6747,8.7508,13273
2006-04-24,8.7508,8.7508,8.7508,8.7508,131
2006-04-26,8.8041,8.8269,8.8041,8.8269,1971
2006-04-27,8.8345,8.8345,8.7584,8.7584,1183
2006-04-28,8.6747,8.8726,8.6747,8.8726,6188
