Date,Open,High,Low,Close,Volume
2000-01-03,8.9869,9.1597,8.9869,9.1165,32114
2000-01-04,9.0733,9.0733,8.9869,9.0733,60756
2000-01-05,9.1597,9.1597,9.0301,9.0733,54247
2000-01-06,9.0733,9.1165,8.9869,9.0301,81877
2000-01-07,8.9869,8.9869,8.9005,8.9005,29655
2000-01-10,8.9437,8.9437,8.9005,8.9437,24300
2000-01-11,8.9437,8.9437,8.8573,8.8573,21554
2000-01-12,8.8141,8.8141,8.6412,8.6845,37321
2000-01-13,8.6412,8.7277,8.6412,8.6845,23145
2000-01-14,8.6845,8.6845,8.598,8.598,41660
2000-01-18,8.6412,8.6412,8.4252,8.4252,78117
2000-01-19,8.382,8.5116,8.382,8.4684,101403
2000-01-20,8.4684,8.5116,8.4684,8.5116,37466
2000-01-21,8.5116,8.5548,8.4684,8.5548,28642
2000-01-24,8.598,8.6845,8.598,8.6845,38046
2000-01-25,8.7277,8.7709,8.7277,8.7277,25315
2000-01-26,8.7709,8.7709,8.7277,8.7709,12439
2000-01-27,8.7709,8.8141,8.7277,8.7709,41805
2000-01-28,8.7709,8.7709,8.7277,8.7709,29654
2000-01-31,8.7709,8.7709,8.7277,8.7709,47591
2000-02-01,8.7709,8.9005,8.7709,8.8573,127152
2000-02-02,8.9005,8.9869,8.8573,8.9005,41517
2000-02-03,8.9869,9.0301,8.9437,8.9869,9260
2000-02-04,9.0301,9.0733,8.9869,9.0733,20107
2000-02-07,9.0733,9.0733,9.0301,9.0301,10271
2000-02-08,9.0301,9.0733,8.9869,9.0301,17649
2000-02-09,9.0733,9.0733,9.0301,9.0301,25605
2000-02-10,9.0301,9.0733,9.0301,9.0301,13743
2000-02-11,9.0733,9.1165,9.0301,9.0733,26472
2000-02-14,9.1165,9.1165,9.0301,9.0301,30670
2000-02-15,8.9437,8.9869,8.9437,8.9869,23868
2000-02-16,8.9869,9.0301,8.9437,8.9869,16635
2000-02-17,9.0301,9.0301,8.9437,8.9869,21555
2000-02-18,8.9869,9.0301,8.9437,8.9437,18661
2000-02-22,8.9437,8.9869,8.9437,8.9437,27628
2000-02-23,8.9869,8.9869,8.8573,8.9005,41082
2000-02-24,8.9437,8.9437,8.8141,8.8573,36454
2000-02-25,8.8573,8.8573,8.7709,8.7709,29077
2000-02-28,8.8141,8.8141,8.7709,8.7709,6509
2000-02-29,8.7709,8.9005,8.7709,8.8141,52222
2000-03-01,8.8573,8.8573,8.8141,8.8573,16057
2000-03-02,8.8141,8.8573,8.7709,8.8141,37034
2000-03-03,8.8141,8.8141,8.6845,8.6845,26326
2000-03-06,8.7277,8.7277,8.6412,8.6845,35443
2000-03-07,8.6845,8.6845,8.598,8.598,26328
2000-03-08,8.6412,8.6845,8.6412,8.6845,25893
2000-03-09,8.6412,8.6412,8.598,8.598,14032
2000-03-10,8.6412,8.6412,8.5548,8.598,18516
2000-03-13,8.6412,8.6412,8.5116,8.5116,12587
2000-03-14,8.5116,8.5548,8.4684,8.5116,7233
2000-03-15,8.4684,8.598,8.4252,8.598,33560
2000-03-16,8.5548,8.5548,8.5116,8.5548,3762
2000-03-17,8.5548,8.5548,8.4252,8.4684,33561
2000-03-20,8.5116,8.5116,8.4252,8.4684,25026
2000-03-21,8.4684,8.5116,8.4252,8.5116,20830
2000-03-22,8.5116,8.6412,8.5116,8.598,49183
2000-03-23,8.6412,8.6845,8.598,8.598,32692
2000-03-24,8.6412,8.6412,8.5548,8.5548,18372
2000-03-27,8.5548,8.598,8.5116,8.5116,45712
2000-03-28,8.5116,8.598,8.5116,8.5548,32837
2000-03-29,8.598,8.598,8.5548,8.598,46580
2000-03-30,8.598,8.6412,8.5548,8.6412,13887
2000-03-31,8.6845,8.7709,8.6412,8.7709,24738
2000-04-03,8.7709,8.7709,8.6845,8.7709,55405
2000-04-04,8.7709,8.8141,8.7277,8.8141,21699
2000-04-05,8.8141,8.9005,8.8141,8.8573,39491
2000-04-06,8.8573,8.8573,8.8141,8.8141,18517
2000-04-07,8.8141,8.8141,8.7277,8.7277,44987
2000-04-10,8.7277,8.7709,8.6845,8.7709,30668
2000-04-11,8.7277,8.7709,8.7277,8.7709,7667
2000-04-12,8.7709,8.7709,8.6845,8.6845,28353
2000-04-13,8.6412,8.6845,8.6412,8.6845,23002
2000-04-14,8.6845,8.6845,8.6412,8.6412,75511
