Date,Open,High,Low,Close,Volume
2021-06-23,9.9,9.93,9.87,9.87,2403944
2021-06-24,9.89,9.9,9.88,9.9,221422
2021-06-25,9.89,9.9,9.87,9.88,54104
2021-06-28,9.92,9.93,9.86,9.9,219945
2021-06-29,9.9,9.92,9.895,9.9,59831
2021-06-30,9.89,9.9,9.87,9.88,33386
2021-07-01,9.9,9.9,9.88,9.89,12395
2021-07-02,9.82,9.93,9.82,9.93,1254033
2021-07-06,9.92,9.93,9.88,9.91,106920
2021-07-07,9.93,9.94,9.91,9.94,457618
2021-07-08,9.915,9.94,9.89,9.89,4500
2021-07-09,9.915,9.94,9.915,9.94,300
2021-07-12,9.9,9.94,9.9,9.94,1600
2021-07-13,9.9,9.94,9.9,9.94,12748
2021-07-14,9.91,9.91,9.91,9.91,447318
2021-07-15,9.94,9.94,9.94,9.94,100
2021-07-16,9.94,9.94,9.9,9.91,48457
2021-07-19,9.93,9.93,9.89,9.91,23049
2021-07-20,9.93,9.93,9.9,9.905,8846
2021-07-21,9.9,9.92,9.88,9.89,48585
2021-07-22,9.91,9.91,9.88,9.88,43208
2021-07-23,9.9,9.9,9.84,9.84,5714
2021-07-26,9.9,9.9,9.87,9.9,109700
2021-07-27,9.89,9.9,9.88,9.89,18703
2021-07-28,9.91,9.91,9.87,9.89,9492
2021-07-29,9.89,9.89,9.86,9.89,13288
2021-07-30,9.8878,9.89,9.86,9.89,4940
2021-08-02,9.86,9.88,9.83,9.87,10686
2021-08-03,9.89,9.89,9.83,9.88,3300
2021-08-04,9.89,9.89,9.85,9.88,274500
2021-08-05,9.88,9.88,9.86,9.88,4699
2021-08-06,9.87,9.87,9.85,9.87,6191
2021-08-11,9.86,9.86,9.85,9.85,1981
2021-08-12,9.86,9.86,9.86,9.86,100
2021-08-13,9.86,9.86,9.86,9.86,100
2021-08-16,9.86,9.86,9.86,9.86,200
2021-08-17,9.86,9.98,9.83,9.96,28882
2021-08-18,9.95,9.95,9.89,9.9,23725
2021-08-19,9.91,9.93,9.9,9.93,8612
2021-08-20,9.8578,9.93,9.8578,9.92,1618
2021-09-01,9.94,9.94,9.94,9.94,1200
2021-09-02,9.81,9.9,9.81,9.89,1400
2021-09-03,9.81,9.9,9.8,9.9,2500
2021-09-07,9.8346,9.9,9.8346,9.9,3100
2021-09-08,9.93,9.93,9.93,9.93,1000
2021-09-09,9.8,9.89,9.8,9.81,5500
2021-09-13,9.8,9.845,9.78,9.81,14158
2021-09-14,9.83,9.83,9.8,9.8,10643
2021-09-15,9.8,9.86,9.8,9.86,500
2021-09-17,9.7585,9.86,9.7585,9.86,1100
2021-09-20,9.84,9.86,9.84,9.86,7696
2021-09-28,9.86,9.9,9.86,9.9,4200
2021-09-29,9.85,9.97,9.85,9.97,1100
2021-09-30,9.7937,9.95,9.7937,9.95,1100
2021-10-06,9.86,9.9,9.37,9.84,25131
2021-10-07,9.92,9.92,9.83,9.88,12018
2021-10-08,9.85,9.94,9.85,9.89,5346
2021-10-20,9.82,9.89,9.82,9.89,600
2021-11-01,9.87,9.96,9.87,9.96,200
2021-11-03,9.88,9.92,9.88,9.89,28599
2021-11-05,9.9,9.9,9.85,9.9,4041
2021-11-08,9.9,9.9,9.89,9.9,24746
2021-11-09,9.9,9.9,9.9,9.9,17881
2021-11-10,9.9,9.91,9.9,9.91,3451
2021-11-19,9.91,9.98,9.9,9.91,14939
2021-11-23,9.955,9.955,9.91,9.91,1000
2021-11-24,9.9,9.91,9.84,9.91,23539
2021-11-26,9.91,9.91,9.9,9.91,19102
2021-11-29,9.91,9.91,9.89,9.9,33325
2021-11-30,9.9,9.9,9.9,9.9,1704
2021-12-01,9.92,9.94,9.88,9.9,7200
2021-12-02,9.87,9.87,9.87,9.87,600
2021-12-07,9.85,9.88,9.83,9.84,8995
2021-12-16,9.87,9.87,9.87,9.87,1100
2021-12-20,9.87,9.87,9.86,9.86,3698
2021-12-21,9.9,9.9,9.9,9.9,800
2021-12-22,9.9,9.9,9.9,9.9,700
2021-12-23,9.91,9.91,9.9,9.9,1300
2022-01-13,9.87,9.87,9.85,9.85,4379
2022-01-20,9.87,9.87,9.87,9.87,500
2022-01-21,9.84,9.84,9.84,9.84,100
2022-02-01,9.83,9.85,9.83,9.8484,797
2022-02-02,9.79,9.84,9.76,9.84,300
2022-02-04,9.74,9.85,9.74,9.85,300
2022-02-11,9.7,9.84,9.7,9.84,200
2022-02-16,9.72,9.87,9.72,9.87,1522
2022-02-22,9.76,9.87,9.76,9.87,965
2022-02-23,9.77,9.88,9.77,9.88,1001
2022-02-24,9.7,9.84,9.7,9.82,2898
2022-03-03,9.72,9.78,9.72,9.77,14400
2022-03-04,9.7567,9.7755,9.755,9.77,2505
2022-03-07,9.76,9.76,9.74,9.76,4600
2022-03-08,9.76,9.76,9.75,9.76,14400
2022-03-09,9.76,9.81,9.76,9.76,6300
2022-03-10,9.76,9.76,9.76,9.76,2200
2022-03-14,9.7599,9.8,9.735,9.79,17227
2022-03-15,9.8,9.8,9.7805,9.8,1670
2022-03-16,9.8085,9.8199,9.8085,9.8199,300
2022-03-17,9.8,9.84,9.8,9.84,544
2022-03-18,9.8229,9.842,9.8229,9.842,2000
2022-03-21,9.8,9.802,9.77,9.77,2478
2022-03-22,9.76,9.82,9.76,9.82,400
2022-03-23,9.86,9.86,9.71,9.71,30708
2022-03-24,9.8,9.8,9.8,9.8,30608
2022-03-28,9.8,9.8,9.79,9.79,1600
2022-03-29,9.8,9.8,9.8,9.8,100
2022-03-30,9.815,9.815,9.815,9.815,1000
2022-04-01,9.83,9.83,9.83,9.83,1000
2022-04-05,9.83,9.83,9.83,9.83,10000
2022-04-06,9.8,9.8,9.8,9.8,201
2022-04-07,9.8,9.8,9.8,9.8,100
2022-04-11,9.82,9.82,9.81,9.82,1883
2022-04-13,9.75,9.75,9.75,9.75,400
2022-04-14,9.77,9.815,9.77,9.81,99976
2022-04-18,9.76,9.81,9.76,9.81,200
2022-04-19,9.76,9.77,9.76,9.77,5200
2022-04-21,9.7901,9.7901,9.7901,9.7901,100
2022-04-22,9.8068,9.8068,9.8068,9.8068,261
2022-04-25,9.79,9.79,9.79,9.79,100
2022-04-27,9.81,9.81,9.8,9.8,300
2022-05-02,9.79,9.82,9.79,9.82,1050
2022-05-03,9.8001,9.8001,9.8001,9.8001,200
2022-05-09,9.78,9.7801,9.78,9.78,2300
2022-05-12,9.7501,9.7501,9.7501,9.7501,300
2022-05-13,9.75,9.75,9.75,9.75,100
2022-05-16,9.75,9.75,9.75,9.75,100
2022-05-20,9.73,9.73,9.73,9.73,133
2022-06-01,9.73,9.73,9.73,9.73,100
2022-06-03,9.74,9.74,9.74,9.74,100
2022-06-06,9.73,9.73,9.72,9.72,2000
2022-06-09,9.71,9.71,9.71,9.71,100
2022-06-10,9.72,9.72,9.72,9.72,100
2022-06-13,9.71,9.71,9.71,9.71,100
2022-06-14,9.72,9.72,9.72,9.72,323
2022-06-16,9.73,9.73,9.73,9.73,300
2022-06-21,9.7,9.7,9.7,9.7,100
2022-06-23,9.7201,9.7201,9.7201,9.7201,100
2022-06-24,9.75,9.76,9.72,9.72,55900
2022-06-27,9.72,9.8,9.72,9.8,600
2022-07-07,9.71,9.71,9.71,9.71,100
2022-07-08,9.71,9.71,9.71,9.71,100
2022-07-13,9.75,9.75,9.73,9.73,844
2022-07-22,9.84,9.84,9.84,9.84,5000
2022-07-26,9.76,9.78,9.76,9.77,10900
2022-07-27,9.79,9.79,9.79,9.79,300
2022-07-28,9.78,9.78,9.78,9.78,100
2022-08-01,9.76,9.76,9.76,9.76,100
2022-08-02,9.79,9.79,9.79,9.79,100
2022-08-05,9.78,9.78,9.78,9.78,400
2022-08-09,9.78,9.78,9.77,9.78,7900
2022-08-10,9.8,9.8,9.8,9.8,10700
2022-08-12,9.83,9.83,9.83,9.83,200
2022-08-16,9.8,9.82,9.77,9.82,6100
