Date,Open,High,Low,Close,Volume
2016-02-17,2.0,2.0,2.0,2.0,500
2016-02-19,1.99,2.0,1.6,1.6,500
2016-02-22,1.6,1.6,1.6,1.6,446
2016-02-23,1.6,1.6,1.6,1.6,700
2016-02-24,1.6,1.6,1.6,1.6,600
2016-02-25,1.0,1.0,1.0,1.0,1900
2016-02-26,0.9,0.9,0.9,0.9,1500
2016-03-02,1.0,1.0,0.9,0.9,4000
2016-03-03,0.9,0.9,0.9,0.9,3000
2016-03-07,0.9,0.95,0.8995,0.95,8040
2016-03-08,1.05,1.05,1.05,1.05,400
2016-03-09,1.3,1.3,1.3,1.3,500
2016-03-10,1.0,1.0,1.0,1.0,100
2016-03-14,1.0,1.0,1.0,1.0,4900
2016-03-15,1.7,1.7,1.06,1.41,1100
2016-03-16,1.25,1.25,1.25,1.25,300
2016-03-17,1.3,1.8,1.3,1.8,5946
2016-03-18,1.5,1.5,1.5,1.5,100
2016-03-21,1.3,1.3,1.3,1.3,785
2016-03-22,1.5,1.5,1.5,1.5,160
2016-03-23,1.4,1.4,1.4,1.4,100
2016-03-24,1.5,1.5,1.26,1.34,1950
2016-03-28,1.35,1.4,1.35,1.35,1127
2016-03-29,1.4,1.4,1.35,1.35,1400
2016-03-30,1.48,2.0,1.35,1.49,3322
2016-03-31,1.49,1.49,1.49,1.49,1000
2016-04-01,1.49,1.5,1.49,1.5,1523
2016-04-06,1.49,1.49,1.45,1.45,703
2016-04-07,1.44,2.65,1.44,2.65,5407
2016-04-08,2.0,2.95,2.0,2.95,7227
2016-04-11,2.74,2.74,2.45,2.5,1948
2016-04-12,2.26,2.6,2.25,2.25,1670
2016-04-13,2.13,2.13,2.0,2.0,4037
2016-04-14,2.1001,2.5,2.1001,2.2,2548
2016-04-15,1.98,1.98,1.97,1.97,200
2016-04-19,1.9,2.0,1.0,2.0,3522
2016-04-20,2.0,2.05,1.8,1.8,700
2016-04-21,1.75,2.2,1.75,2.0,3600
2016-04-22,2.0,2.25,1.9999,2.2,2500
2016-04-25,2.2,2.2,2.02,2.02,300
2016-04-26,2.01,2.19,2.0,2.19,600
2016-04-27,2.0,2.18,1.99,2.18,2800
2016-04-28,1.73,2.19,1.73,2.19,4750
2016-04-29,2.19,3.48,2.11,3.48,7594
2016-05-02,2.01,3.3,2.0,3.3,3110
2016-05-03,2.9,3.04,2.5,3.04,2011
2016-05-04,2.8,3.02,2.8,2.92,580
2016-05-05,2.26,2.7,2.16,2.7,3383
2016-05-06,2.5,3.3,2.5,3.1,5627
2016-05-09,2.91,2.91,2.9,2.9,699
2016-05-11,2.89,2.89,2.89,2.89,100
2016-05-12,2.1,2.1,1.85,2.09,1600
2016-05-13,2.79,2.79,2.3,2.3,200
2016-05-16,2.5,2.5,2.0,2.0,700
2016-05-17,1.52,2.37,1.49,1.61,6990
2016-05-18,1.7,1.7,1.6,1.6,2642
2016-05-19,1.7,1.7,1.6,1.69,1700
2016-05-20,1.69,2.38,1.69,2.38,5120
2016-05-23,2.137,2.137,2.137,2.137,100
2016-05-24,2.0,2.65,2.0,2.05,2109
2016-05-25,2.64,2.65,2.35,2.35,4917
2016-05-26,2.3,2.3,2.3,2.3,820
2016-05-27,2.4,2.94,2.22,2.93,4274
2016-05-31,2.45,2.45,2.22,2.22,714
2016-06-01,2.22,2.34,2.22,2.34,200
2016-06-06,1.6,2.23,1.53,2.23,3100
2016-06-07,1.6,2.24,1.5,1.731,3739
2016-06-08,1.74,2.14,1.51,1.7,12520
2016-06-09,1.55,1.55,0.81,1.05,86432
2016-06-10,1.0,1.74,0.79,1.07,91357
2016-06-13,1.0,1.07,0.75,0.94,16040
2016-06-14,0.9,0.94,0.75,0.8,28810
2016-06-15,0.78,0.78,0.65,0.65,14790
2016-06-16,0.72,0.72,0.52,0.65,32298
2016-06-17,0.7,0.9,0.512,0.85,89479
2016-06-20,0.9,0.9,0.9,0.9,2610
2016-06-21,0.8,0.9,0.65,0.85,25511
2016-06-22,0.701,0.9,0.701,0.9,2600
2016-06-23,0.85,0.9,0.84,0.85,11125
2016-06-24,0.51,0.7,0.51,0.7,18700
2016-06-27,0.771,0.771,0.6,0.77,700
2016-06-28,0.753,0.77,0.753,0.77,1709
2016-06-29,0.77,0.89,0.77,0.89,5298
2016-06-30,0.77,0.77,0.77,0.77,2000
2016-07-01,0.51,0.8,0.51,0.8,1563
2016-07-05,0.8,0.8,0.8,0.8,9000
2016-07-06,0.6,0.6,0.6,0.6,14000
2016-07-07,0.51,0.6201,0.51,0.6201,13168
2016-07-08,0.55,0.55,0.55,0.55,200
2016-07-11,0.56,0.6,0.56,0.6,2444
2016-07-13,0.65,0.7,0.65,0.65,96403
2016-07-14,0.7,0.7,0.6662,0.6662,3142
2016-07-15,0.62,0.62,0.55,0.55,12000
2016-07-18,0.59,0.59,0.55,0.55,2099
2016-07-20,0.59,0.61,0.46,0.61,15012
2016-07-21,0.61,0.67,0.46,0.65,24050
2016-07-22,0.6,0.7,0.6,0.6,11000
2016-07-25,0.6,0.65,0.592,0.6,10350
2016-07-26,0.52,0.52,0.41,0.41,2500
2016-07-27,0.49,0.595,0.42,0.595,20000
2016-07-28,0.5,0.5,0.45,0.45,39092
2016-07-29,0.5085,0.515,0.47,0.47,3200
2016-08-01,0.45,0.47,0.45,0.47,4230
2016-08-02,0.43,0.432,0.415,0.43,33950
2016-08-03,0.4,0.43,0.4,0.43,7850
2016-08-04,0.489,0.489,0.431,0.431,9047
2016-08-05,0.41,0.415,0.37,0.4101,42149
2016-08-08,0.321,0.45,0.321,0.45,63110
2016-08-09,0.4,0.45,0.4,0.45,7528
2016-08-10,0.4247,0.4247,0.32,0.38,38964
2016-08-11,0.389,0.48,0.389,0.4,20007
2016-08-12,0.35,0.35,0.35,0.35,8500
2016-08-15,0.35,0.35,0.35,0.35,6100
2016-08-16,0.445,0.45,0.3,0.45,60096
2016-08-17,0.44,0.44,0.44,0.44,100
2016-08-22,0.45,0.45,0.45,0.45,3500
2016-08-23,0.45,0.45,0.45,0.45,277
2016-08-24,0.44,0.45,0.4,0.45,10301
2016-08-25,0.45,0.4655,0.4,0.45,12345
2016-08-29,0.35,0.411,0.31,0.34,55404
2016-08-30,0.34,0.398,0.3,0.3,27200
2016-08-31,0.3,0.34,0.2931,0.34,14650
2016-09-01,0.3,0.3,0.2931,0.2931,11736
2016-09-02,0.2931,0.33,0.27,0.33,8453
