Date,Open,High,Low,Close,Volume
2024-08-01,1.9,2.19,1.5801,2.1898,422734
2024-08-02,2.39,7.46,2.11,3.19,14942042
2024-08-05,3.06,3.06,2.0001,2.1,623625
2024-08-06,2.16,2.35,1.33,1.4899,624637
2024-08-07,1.64,1.8,1.28,1.35,563460
2024-08-08,1.42,1.65,1.29,1.49,342172
2024-08-09,1.6,1.7,1.34,1.38,245367
2024-08-12,1.3,1.98,1.05,1.44,2216273
2024-08-13,1.43,2.35,1.18,1.3,18324858
2024-08-14,1.4,1.7,1.18,1.41,2421861
2024-08-15,1.45,1.57,1.36,1.37,815342
2024-08-16,1.37,1.4,1.24,1.26,485662
2024-08-19,1.36,1.4,1.19,1.22,223868
2024-08-20,1.23,1.38,1.12,1.27,662391
2024-08-21,1.33,1.54,1.23,1.47,1105905
2024-08-22,1.48,1.6,1.38,1.4,270818
2024-08-23,1.38,1.44,1.25,1.3483,179437
2024-08-26,1.27,1.39,1.2595,1.3,46846
2024-08-27,1.3003,1.3003,1.1801,1.1801,102090
2024-08-28,1.2,1.35,1.1,1.15,313651
2024-08-29,1.15,1.21,1.0701,1.16,171788
2024-08-30,1.19,1.19,1.06,1.09,86955
2024-09-03,0.7489,1.1496,0.7489,1.03,84355
2024-09-04,1.0,1.09,0.9,0.9104,135964
2024-09-05,0.92,0.99,0.92,0.9858,42837
2024-09-06,0.9003,0.98,0.873,0.9068,33139
2024-09-09,0.8795,0.91,0.8501,0.8503,42030
2024-09-10,0.86,1.47,0.7731,0.8898,6124542
2024-09-11,0.8501,0.92,0.802,0.823,301625
2024-09-12,0.823,0.8779,0.823,0.8425,105649
2024-09-13,1.38,1.38,0.8096,0.8923,194836
2024-09-16,0.8996,1.2098,0.8749,1.19,581799
2024-09-17,1.18,1.2,1.08,1.1599,115710
2024-09-18,1.19,1.32,1.01,1.1499,292928
2024-09-19,1.11,1.38,1.07,1.21,209592
2024-09-20,1.28,1.47,1.2,1.45,201091
2024-09-23,1.46,1.54,1.14,1.2205,217075
2024-09-24,1.23,1.42,1.17,1.3605,112708
2024-09-25,1.3,1.5,1.25,1.33,120752
2024-09-26,1.35,1.4,1.27,1.2908,79449
2024-09-27,1.278,1.35,1.26,1.2998,15450
2024-09-30,1.49,1.5,1.23,1.26,33430
2024-10-01,1.45,1.46,1.22,1.2712,110853
2024-10-02,1.27,1.45,1.25,1.33,105300
2024-10-03,1.33,1.38,1.26,1.32,68645
2024-10-04,1.27,1.42,1.2,1.2,108469
2024-10-07,1.28,1.4,1.25,1.26,72731
2024-10-08,1.25,1.33,1.2,1.24,62692
2024-10-09,1.2,1.253,1.11,1.12,34423
2024-10-10,1.14,1.184,1.01,1.13,44474
2024-10-11,1.0301,1.14,1.03,1.03,30635
2024-10-14,1.07,1.15,1.03,1.0658,29288
2024-10-15,1.03,1.0731,0.8216,0.945,129578
2024-10-16,0.9239,1.1,0.909,0.99,45682
2024-10-17,0.9201,1.03,0.888,0.96,31805
2024-10-18,0.9497,0.99,0.9135,0.95,12227
2024-10-21,0.92,0.9575,0.8835,0.9523,22072
2024-10-22,0.9809,0.99,0.9187,0.98,25295
2024-10-23,0.95,1.0,0.95,0.98,9213
2024-10-24,0.9302,0.9993,0.91,0.91,18446
2024-10-25,0.926,1.0194,0.926,0.97,9609
2024-10-28,0.98,1.0396,0.91,0.9619,37389
2024-10-29,0.933,0.9619,0.93,0.959,11743
2024-10-30,0.9027,0.9764,0.8927,0.95,6963
2024-10-31,0.95,0.95,0.8681,0.92,40729
2024-11-01,0.949,0.98,0.92,0.9671,9474
2024-11-04,0.9491,1.0099,0.93,0.99,15689
2024-11-05,0.9554,1.0248,0.9553,1.0199,22593
2024-11-06,1.01,1.07,0.99,0.99,35777
2024-11-07,1.07,1.2799,1.01,1.1488,56689
2024-11-08,1.15,1.29,1.13,1.179,131480
2024-11-11,1.155,1.2373,0.9699,1.07,152275
2024-11-12,1.1,1.12,1.0,1.0,32428
2024-11-13,1.025,1.055,0.98,1.0027,85305
2024-11-14,1.03,1.12,0.88,0.9201,64389
2024-11-15,0.9543,0.9543,0.89,0.9528,10296
2024-11-18,0.88,1.12,0.88,0.9945,29426
2024-11-19,0.95,1.02,0.95,0.99,48785
2024-11-20,0.95,1.05,0.94,0.978,15911
2024-11-21,0.94,1.05,0.92,0.9359,41599
2024-11-22,0.9359,0.99,0.901,0.935,39506
2024-11-25,0.92,0.9437,0.85,0.889,52299
2024-11-26,0.8629,0.92,0.85,0.862,64431
2024-11-27,0.8685,0.9177,0.8607,0.8634,51024
2024-11-29,0.8634,0.87,0.8246,0.8399,76071
2024-12-02,0.84,0.8835,0.8102,0.84,65154
2024-12-03,0.857,0.857,0.806,0.83,61389
2024-12-04,0.8,0.82,0.7006,0.7115,90239
2024-12-05,0.7565,0.7565,0.5705,0.6201,254156
2024-12-06,0.6201,0.647,0.58,0.5898,51189
2024-12-09,0.5898,0.599,0.4703,0.5538,334564
2024-12-10,0.5533,0.96,0.525,0.56,5780459
2024-12-11,0.6199,0.7755,0.5366,0.64,1217100
2024-12-12,0.6,0.94,0.6,0.8299,2742898
2024-12-13,0.8147,1.18,0.76,0.89,4185068
2024-12-16,0.913,1.2,0.7153,1.03,4255712
2024-12-17,0.9604,1.11,0.8316,0.9099,1363769
2024-12-18,0.8887,1.1,0.85,0.9476,627992
2024-12-19,0.9888,1.5,0.9,1.07,1714596
2024-12-20,1.04,1.5,0.85,1.1,1348824
2024-12-23,1.01,1.15,0.92,1.03,1185467
2024-12-24,1.14,1.14,0.9201,1.0,451142
2024-12-26,0.9997,1.1,0.87,0.8799,1364264
2024-12-27,1.0,1.0,0.7503,0.8799,1146926
2024-12-30,0.8699,1.0,0.8,0.82,94778
2024-12-31,0.75,1.4,0.75,0.9,932243
2025-01-02,0.92,1.1,0.8762,0.88,391030
2025-01-03,0.938,0.94,0.6999,0.72,636203
2025-01-06,0.7275,0.79,0.7001,0.7545,684681
2025-01-07,0.749,0.7601,0.62,0.6726,295677
2025-01-08,0.6393,0.6875,0.6019,0.634,57431
2025-01-10,0.62,0.6599,0.58,0.6599,35021
2025-01-13,0.68,0.688,0.601,0.621,86418
2025-01-14,0.68,0.6898,0.5622,0.6102,66616
