Date,Open,High,Low,Close,Volume
2013-10-02,25.25,25.39,25.25,25.35,1184180
2013-10-03,25.31,25.35,25.2201,25.32,1013111
2013-10-04,25.33,25.52,25.31,25.44,380451
2013-10-07,25.45,25.51,25.39,25.45,393631
2013-10-08,25.4,25.49,25.3,25.3,495138
2013-10-09,25.35,25.37,25.23,25.25,303940
2013-10-10,25.35,25.4096,25.3,25.32,626701
2013-10-11,25.45,25.49,25.3701,25.49,389329
2013-10-14,25.45,25.47,25.381,25.44,105961
2013-10-15,25.41,25.53,25.4,25.48,211590
2013-10-16,25.51,25.73,25.51,25.61,1273670
2013-10-17,25.7,25.88,25.6201,25.75,656443
2013-10-18,25.85,25.94,25.76,25.8,367912
2013-10-21,25.85,25.98,25.66,25.85,966145
2013-10-22,25.87,26.0,25.85,25.95,1753501
2013-10-23,25.9,25.98,25.86,25.94,661270
2013-10-24,25.93,25.93,25.77,25.82,567062
2013-10-25,25.8,25.9,25.7,25.85,100695
2013-10-28,25.89,25.9,25.75,25.8499,162640
2013-10-29,25.8,25.9,25.8,25.86,415327
2013-10-30,25.86,25.94,25.82,25.89,478961
2013-10-31,25.8,25.99,25.8,25.97,305131
2013-11-01,25.9,25.96,25.8301,25.89,290206
2013-11-04,25.87,25.95,25.85,25.89,178176
2013-11-05,25.87,25.95,25.76,25.9,907312
2013-11-06,25.8793,26.0,25.87,25.9,210014
2013-11-07,25.97,26.02,25.93,25.97,120354
2013-11-08,25.91,25.93,25.77,25.9,876219
2013-11-11,25.92,26.0,25.92,25.98,53993
2013-11-12,25.94,25.98,25.87,25.9,210418
2013-11-13,25.96,25.96,25.8,25.85,1678160
2013-11-14,25.85,25.93,25.8499,25.9,73776
2013-11-15,25.9,25.97,25.88,25.89,197936
2013-11-18,25.96,26.02,25.8,25.99,801489
2013-11-19,25.95,26.02,25.9,25.92,502590
2013-11-20,25.95,26.05,25.93,25.99,220094
2013-11-21,25.95,26.07,25.9,26.03,234841
2013-11-22,26.07,26.25,26.05,26.25,701725
2013-11-25,26.22,26.35,26.11,26.15,696942
2013-11-26,26.13,26.22,26.13,26.22,247975
2013-11-27,26.22,26.39,26.21,26.35,76979
2013-11-29,26.38,26.5,26.33,26.49,25247
2013-12-02,26.42,26.5,26.15,26.45,117667
2013-12-03,26.41,26.57,26.4,26.52,99359
2013-12-04,26.45,26.5,26.23,26.33,221433
2013-12-05,26.25,26.25,26.03,26.09,251207
2013-12-06,26.19,26.19,26.1,26.1708,80777
2013-12-09,26.24,26.25,26.15,26.25,405432
2013-12-10,26.25,26.37,26.1,26.14,50923
2013-12-11,26.14,26.21,26.03,26.15,84318
2013-12-12,26.14,26.2,26.06,26.17,77419
2013-12-13,26.18,26.18,26.06,26.17,48820
