Date,Open,High,Low,Close,Volume
2023-10-05,4.0,11.48,3.76,8.32,7973311
2023-10-06,8.27,10.96,6.56,7.57,4817056
2023-10-09,7.07,7.79,6.35,6.35,332767
2023-10-10,5.76,5.98,4.81,5.25,337419
2023-10-11,5.01,5.83,4.41,4.41,117075
2023-10-12,4.58,5.34,4.5,5.02,492265
2023-10-13,5.49,5.7989,4.8,5.09,207167
2023-10-16,4.75,5.46,4.71,5.03,233900
2023-10-17,5.04,5.49,4.81,5.49,126753
2023-10-18,5.58,6.66,5.0,6.5,113109
2023-10-19,6.53,9.0,6.53,8.03,770664
2023-10-20,7.5,8.5,7.22,8.4,45757
2023-10-23,8.4,9.73,8.4,9.25,309499
2023-10-24,7.49,9.47,7.49,8.56,67412
2023-10-25,8.66,8.66,8.04,8.12,29664
2023-10-26,8.09,8.25,6.83,7.8,84682
2023-10-27,7.8,8.44,7.5505,8.12,30175
2023-10-30,8.49,8.4985,8.02,8.2,26670
2023-10-31,8.285,8.45,5.15,5.57,208297
2023-11-01,5.86,6.75,5.1506,6.11,337221
2023-11-02,6.6,8.06,6.3,7.89,655350
2023-11-03,7.76,9.26,6.58,7.32,1372266
2023-11-06,6.51,8.86,6.51,8.64,738991
2023-11-07,8.61,8.74,7.74,8.35,56442
2023-11-08,8.03,9.39,7.82,8.71,135503
2023-11-09,8.44,9.2,8.31,9.14,82862
2023-11-10,8.72,10.14,8.72,9.89,159967
2023-11-13,9.62,10.29,9.26,9.45,76023
2023-11-14,9.67,10.2,9.41,10.04,19590
2023-11-15,10.4,10.4,9.7524,9.92,20577
2023-11-16,10.29,10.29,9.14,9.55,19250
2023-11-17,9.25,10.2699,9.2006,9.85,15749
2023-11-20,10.14,10.72,7.9301,8.5,541284
2023-11-21,8.39,9.15,7.96,8.39,405719
2023-11-22,8.55,11.85,8.4,11.3,1209080
2023-11-24,11.49,12.83,9.6,12.01,597467
2023-11-27,12.37,12.89,11.46,12.18,49682
2023-11-28,12.87,22.97,12.41,14.5,3975633
2023-11-29,14.1,15.09,13.6906,14.23,737655
2023-11-30,15.09,16.0,14.5,14.5,299654
2023-12-01,14.99,15.48,14.0,14.2,1338526
2023-12-04,14.2,16.99,11.0,13.0,1196545
2023-12-05,12.95,14.9,12.95,14.25,3924309
2023-12-06,14.52,14.53,13.0,13.1,511779
2023-12-07,13.54,14.59,13.49,14.15,599661
2023-12-08,14.48,14.5,11.255,13.8,3959690
2023-12-11,13.8,15.41,12.61,14.58,2743899
2023-12-12,14.82,15.99,14.21,15.21,1728968
2023-12-13,15.24,15.3,14.1,15.0,2331856
2023-12-14,15.02,16.2,14.7,15.21,544136
2023-12-15,15.6,15.71,2.05,2.5896,4858479
2023-12-18,2.6,2.6,1.45,2.09,3969477
2023-12-19,2.21,2.55,1.95,2.16,1378699
2023-12-20,2.16,2.23,1.75,1.9,880104
2023-12-21,1.86,1.92,1.7,1.72,384381
2023-12-22,1.72,1.79,1.52,1.61,669255
2023-12-26,1.59,1.75,1.54,1.65,544004
2023-12-27,1.79,1.8,1.5,1.56,752642
2023-12-28,1.52,1.59,1.34,1.41,654218
2023-12-29,1.44,1.47,1.3692,1.3692,168761
2024-01-02,1.37,1.39,1.1701,1.22,437128
2024-01-03,1.18,1.28,1.11,1.2,260403
2024-01-04,1.2,1.24,1.11,1.15,123456
2024-01-05,1.14,1.2169,1.11,1.12,191843
2024-01-08,1.17,1.21,1.01,1.05,301535
2024-01-09,1.0397,1.05,0.945,0.97,226779
2024-01-10,0.975,1.02,0.88,0.95,203769
2024-01-11,0.9134,0.9282,0.865,0.91,112171
2024-01-12,0.899,0.9338,0.88,0.92,80163
2024-01-16,0.91,0.9266,0.8621,0.8621,78769
2024-01-17,0.8647,0.8913,0.824,0.8288,88844
2024-01-18,0.8253,0.8499,0.7505,0.7845,139150
2024-01-19,0.747,0.8,0.71,0.739,126651
2024-01-22,0.74,0.7593,0.6768,0.7,296742
2024-01-23,0.7199,0.7369,0.7,0.7347,85436
2024-01-24,0.7247,0.77,0.7111,0.718,77710
2024-01-25,0.77,0.8581,0.7333,0.8449,169537
2024-01-26,0.8008,1.03,0.8008,1.0099,241639
2024-01-29,1.03,1.04,0.91,0.93,90495
2024-01-30,0.923,0.97,0.855,0.87,76939
2024-01-31,0.9,0.9332,0.8652,0.93,33126
2024-02-01,0.9,0.943,0.86,0.893,80029
2024-02-02,0.8762,1.03,0.8762,0.9012,151024
2024-02-05,0.9001,0.996,0.86,0.86,104088
2024-02-06,0.86,0.924,0.8398,0.9,65959
2024-02-07,0.92,1.12,0.8802,0.996,146425
2024-02-08,1.05,1.15,0.94,1.06,560196
2024-02-09,1.05,2.0,1.04,1.55,3085010
2024-02-12,1.45,1.9799,1.31,1.6,1894879
2024-02-13,1.8,1.9,1.5,1.53,356435
2024-02-14,1.5,1.81,1.4619,1.72,459266
2024-02-15,1.79,1.79,1.64,1.71,250845
2024-02-16,1.66,1.98,1.63,1.95,429074
2024-02-20,1.94,1.96,1.7,1.71,275890
2024-02-21,1.66,1.82,1.64,1.72,96319
2024-02-22,1.81,1.81,1.37,1.42,192784
2024-02-23,1.45,1.47,1.2318,1.27,119861
2024-02-26,1.33,1.66,1.27,1.59,272115
2024-02-27,1.59,1.76,1.54,1.58,73308
2024-02-28,1.5802,1.68,1.56,1.65,49143
2024-02-29,1.63,1.64,1.51,1.63,29929
2024-03-01,1.56,1.64,1.47,1.58,66542
2024-03-04,1.52,1.65,1.49,1.58,69143
2024-03-05,1.52,1.62,1.5,1.59,96190
2024-03-06,1.57,1.65,1.57,1.63,97743
2024-03-07,1.54,1.64,1.52,1.52,98754
2024-03-08,1.59,1.59,1.4,1.4,136737
2024-03-11,1.5,1.52,1.43,1.47,29552
2024-03-12,1.47,1.508,1.3,1.4787,34407
2024-03-13,1.4,1.4322,1.3,1.38,179667
2024-03-14,1.3986,1.3986,1.17,1.28,56525
2024-03-15,1.28,1.28,1.145,1.23,127610
2024-03-18,1.24,1.3,1.2,1.23,178375
2024-03-19,1.171,1.28,1.08,1.18,59963
2024-03-20,1.12,1.63,1.12,1.55,228532
2024-03-21,1.52,1.55,1.33,1.34,128597
2024-03-22,1.46,1.46,1.22,1.32,117992
2024-03-25,1.39,1.45,1.31,1.45,59205
2024-03-26,1.475,1.5,1.33,1.41,48391
2024-03-27,1.41,1.43,1.34,1.39,21330
2024-03-28,1.39,1.42,1.31,1.42,65839
2024-04-01,1.33,1.43,1.2,1.207,66054
2024-04-02,1.28,1.32,1.21,1.23,73294
2024-04-03,1.24,1.35,1.23,1.26,42532
2024-04-04,1.43,1.44,1.22,1.26,195917
2024-04-05,1.28,1.34,1.24,1.32,54610
2024-04-08,1.23,1.35,1.23,1.35,30432
2024-04-09,1.33,1.35,1.31,1.35,19635
2024-04-10,1.4004,1.41,1.27,1.31,5883
2024-04-11,1.32,1.32,1.19,1.26,68813
2024-04-12,1.19,1.28,1.1,1.1,52705
2024-04-15,1.16,1.24,1.145,1.17,46349
2024-04-16,1.21,1.21,1.11,1.12,22596
2024-04-17,1.1602,1.35,1.14,1.2,14152
2024-04-18,1.31,1.31,1.213,1.22,21521
2024-04-19,1.22,1.3,1.17,1.17,30067
2024-04-22,1.18,1.29,1.14,1.29,16692
2024-04-23,1.2,1.25,1.1658,1.25,10763
2024-04-24,1.18,1.24,1.1401,1.1983,13290
2024-04-25,1.16,1.16,1.1,1.16,40814
2024-04-26,1.15,1.15,1.05,1.1,23134
2024-04-29,1.1,1.1,1.04,1.0601,29532
2024-04-30,1.07,1.09,1.06,1.07,13330
2024-05-01,1.05,1.08,1.01,1.04,16595
2024-05-02,1.07,1.07,1.01,1.04,10919
2024-05-03,1.05,1.1099,1.04,1.08,51098
2024-05-06,1.08,1.4,1.08,1.25,140010
2024-05-07,1.2401,1.31,1.16,1.18,39548
2024-05-08,1.11,1.23,1.11,1.2299,77561
2024-05-09,1.2299,1.23,1.2,1.2,15109
2024-05-10,1.19,1.27,1.14,1.19,62098
2024-05-13,1.2049,1.2183,1.0864,1.12,17780
2024-05-14,1.13,1.25,1.09,1.18,60264
2024-05-15,1.22,1.2327,1.14,1.2,7710
2024-05-16,1.3,1.3,1.17,1.18,13396
2024-05-17,1.14,1.27,1.07,1.17,19115
2024-05-20,1.1801,1.2196,1.18,1.18,29005
2024-05-21,1.22,1.22,1.11,1.14,19813
2024-05-22,1.1451,1.1451,1.01,1.07,54980
2024-05-23,1.07,1.11,1.05,1.08,3471
2024-05-24,1.0501,1.0963,1.05,1.09,4573
2024-05-28,1.09,1.12,1.07,1.1,36135
2024-05-29,1.12,1.12,1.05,1.07,22402
2024-05-30,1.12,1.13,1.04,1.09,87688
2024-05-31,1.1,1.2,1.1,1.11,29432
2024-06-03,1.0912,1.2299,1.0912,1.19,18416
2024-06-04,1.1001,1.3,1.1001,1.18,79270
2024-06-05,1.19,1.25,1.1,1.14,45771
2024-06-06,1.1,1.19,1.1,1.14,33621
2024-06-07,1.12,1.16,1.12,1.15,14445
2024-06-10,1.16,1.2496,1.13,1.18,69542
2024-06-11,1.18,1.21,1.18,1.21,19264
2024-06-12,1.21,1.46,1.2,1.38,165528
2024-06-13,1.32,1.44,1.32,1.33,121246
2024-06-14,1.42,1.4202,1.21,1.39,91426
2024-06-17,1.39,1.51,1.31,1.39,93896
2024-06-18,1.45,1.49,1.32,1.4,21184
2024-06-20,1.26,1.36,1.2301,1.25,33426
2024-06-21,1.32,1.45,1.27,1.45,50048
2024-06-24,1.35,1.43,1.3305,1.36,9379
2024-06-25,1.34,1.37,1.32,1.35,7930
2024-06-26,1.3595,1.43,1.2479,1.41,42239
2024-06-27,1.37,1.4784,1.37,1.45,57552
2024-06-28,1.4,1.45,1.32,1.33,65334
2024-07-01,1.38,1.38,1.31,1.32,31266
2024-07-02,1.3,1.36,1.2999,1.32,25438
2024-07-03,1.31,1.34,1.3,1.32,6568
2024-07-05,1.22,1.38,1.1,1.31,39380
2024-07-08,1.29,1.35,1.29,1.3,21249
2024-07-09,1.325,1.35,1.3,1.31,60954
2024-07-10,1.305,1.31,1.25,1.3,28386
2024-07-11,1.29,1.33,1.26,1.33,17950
2024-07-12,1.26,1.32,1.25,1.32,25325
2024-07-15,1.32,1.38,1.25,1.29,13021
2024-07-16,1.26,1.2602,1.15,1.17,60735
2024-07-17,1.19,1.19,1.15,1.16,8003
2024-07-18,1.16,1.17,1.15,1.16,9000
2024-07-19,1.12,1.16,1.12,1.13,6130
2024-07-22,1.13,1.13,1.09,1.1,9397
2024-07-23,1.13,1.14,1.1,1.1315,13439
2024-07-24,1.149,1.1496,1.0717,1.13,4211
2024-07-25,1.11,1.12,1.0908,1.0908,6335
2024-07-26,1.12,1.17,1.1,1.13,22553
2024-07-29,1.1,1.13,1.09,1.09,32855
2024-07-30,1.09,1.11,1.09,1.1,3136
2024-07-31,1.07,1.09,1.07,1.07,15940
2024-08-01,1.06,1.13,1.05,1.05,11156
2024-08-02,1.05,1.055,1.0,1.0,24203
2024-08-05,0.96,0.96,0.8628,0.9,13823
2024-08-06,0.99,1.02,0.912,0.96,13410
2024-08-07,0.955,0.955,0.901,0.901,5345
2024-08-08,0.97,1.0,0.91,0.945,12524
2024-08-09,0.92,0.944,0.9,0.943,11413
2024-08-12,0.935,0.945,0.91,0.9449,34527
2024-08-13,0.903,0.934,0.9016,0.9016,5264
2024-08-14,0.9019,0.9019,0.7,0.7347,57208
2024-08-15,0.76,0.969,0.76,0.969,74397
2024-08-16,0.969,1.26,0.6005,0.65,2091842
2024-08-19,0.676,0.743,0.66,0.71,148887
2024-08-20,0.77,0.795,0.66,0.6796,88053
2024-08-21,0.6796,0.7,0.65,0.69,50019
2024-08-22,0.66,0.6899,0.65,0.6601,24390
2024-08-23,0.67,0.6799,0.66,0.6607,46797
2024-08-26,0.6698,0.6698,0.645,0.649,30738
2024-08-27,0.66,0.66,0.646,0.657,11411
2024-08-28,0.64,0.69,0.64,0.689,47080
2024-08-29,0.68,0.7499,0.6651,0.73,62622
2024-08-30,0.7,1.2,0.7,0.792,3513554
2024-09-03,0.81,1.08,0.77,0.9297,724881
2024-09-04,0.9157,0.9793,0.8875,0.9105,119128
2024-09-05,0.9389,0.9394,0.7822,0.7822,93057
2024-09-06,0.7882,0.88,0.74,0.75,53363
2024-09-09,0.77,0.9,0.77,0.8041,16104
2024-09-10,0.85,0.85,0.732,0.75,12988
2024-09-11,0.81,0.85,0.705,0.7375,26272
2024-09-12,0.7376,0.8431,0.7375,0.7797,12187
