Date,Open,High,Low,Close,Volume
2012-03-15,19.1,21.1,19.0,20.64,4178503
2012-03-16,20.93,21.96,20.52,21.75,277097
2012-03-19,21.91,22.38,20.79,22.0,216053
2012-03-20,21.49,22.43,21.0,21.5,102681
2012-03-21,21.5,21.5,20.51,21.17,212169
2012-03-22,21.2,21.5,20.75,20.875,178501
2012-03-23,21.49,21.49,20.8,20.83,148383
2012-03-26,20.82,21.48,20.51,21.46,76062
2012-03-27,21.5,22.25,21.0,21.0,63582
2012-03-28,21.0,21.6,21.0,21.01,31427
2012-03-29,20.84,21.16,19.82,20.8,76939
2012-03-30,21.01,21.35,20.54,20.74,133366
2012-04-02,20.72,22.25,20.7,21.79,64256
2012-04-03,21.6,22.0,21.25,21.66,113534
2012-04-04,21.51,21.66,20.66,21.3,24166
2012-04-05,21.19,21.74,21.19,21.74,34021
2012-04-09,21.47,21.76,20.05,21.04,27011
2012-04-10,21.15,21.16,20.51,21.16,20590
2012-04-11,21.05,21.15,20.78,21.12,11589
2012-04-12,21.035,21.1,20.78,21.0,25440
2012-04-13,21.01,21.12,20.89,21.06,8638
2012-04-16,21.02,21.055,20.17,20.78,46386
2012-04-17,21.06,21.15,20.86,20.9,35145
2012-04-18,21.09,21.15,19.83,20.41,73175
2012-04-19,20.3,20.54,19.51,19.97,61038
2012-04-20,19.97,20.19,19.23,19.856,138224
2012-04-23,19.75,20.06,19.62,19.83,50732
2012-04-24,19.9,20.35,19.88,20.22,112488
2012-04-25,20.44,20.54,19.31,20.33,57942
2012-04-26,20.46,20.46,19.5,20.01,152858
2012-04-27,20.06,20.65,19.41,19.82,95144
2012-04-30,19.95,20.07,19.35,19.83,27050
2012-05-01,19.9,20.57,19.66,19.91,22986
2012-05-02,19.84,20.61,19.84,20.61,28675
2012-05-03,20.66,20.84,20.12,20.24,29541
2012-05-04,19.74,20.27,19.74,20.0,12582
2012-05-07,20.04,20.55,19.91,20.18,20674
2012-05-08,20.08,20.84,19.0,19.0,60630
2012-05-09,19.6,19.61,14.8,16.967,521310
2012-05-10,16.4,16.61,16.15,16.23,421506
2012-05-11,16.16,16.54,15.46,15.75,147763
2012-05-14,15.59,16.03,15.36,15.66,154475
2012-05-15,15.55,15.94,15.41,15.85,44512
2012-05-16,15.92,16.1,14.91,15.2,57190
2012-05-17,15.32,15.52,13.36,14.26,225588
2012-05-18,13.43,14.48,13.43,13.97,66186
2012-05-21,13.94,15.15,13.94,14.75,83131
2012-05-22,14.75,15.42,14.26,15.15,163900
2012-05-23,14.984,15.58,14.9,15.49,53452
2012-05-24,15.5,15.5,14.6,14.88,160513
2012-05-25,14.96,15.67,14.91,15.56,62590
2012-05-29,15.57,16.35,14.78,15.94,142992
2012-05-30,15.595,16.07,14.87,16.0,77161
2012-05-31,15.98,17.37,15.88,16.56,147892
2012-06-01,16.35,16.35,14.65,16.01,64738
2012-06-04,16.35,16.35,15.86,16.06,37617
2012-06-05,15.91,16.0,15.59,15.745,23730
2012-06-06,15.93,17.0,15.71,16.09,66002
2012-06-07,16.53,16.54,16.11,16.23,48280
2012-06-08,16.17,17.13,16.0,17.07,56651
2012-06-11,17.47,17.47,15.84,16.19,98978
2012-06-12,16.91,16.91,15.91,16.14,25393
2012-06-13,16.2,17.0,15.23,16.25,77232
2012-06-14,16.31,17.075,16.23,16.85,89352
2012-06-15,16.98,17.25,16.69,16.981,40684
2012-06-18,16.92,18.57,16.47,18.37,53378
2012-06-19,18.42,19.14,17.87,18.08,62906
2012-06-20,18.15,18.49,17.41,17.69,30479
2012-06-21,17.67,17.74,15.94,17.5,179479
2012-06-22,17.68,17.77,17.12,17.258,776748
2012-06-25,16.99,17.059,16.38,16.89,42508
2012-06-26,16.91,17.41,16.0,17.37,121037
2012-06-27,17.29,18.9,17.27,18.36,104470
2012-06-28,18.19,18.41,17.42,18.02,23552
2012-06-29,18.39,18.71,18.0,18.5,27903
2012-07-02,18.48,18.57,18.0,18.19,26458
2012-07-03,18.28,18.78,18.2,18.66,7084
2012-07-05,18.69,18.96,18.36,18.77,10328
2012-07-06,18.66,18.66,18.16,18.4,18445
2012-07-09,18.56,18.88,18.41,18.81,37488
2012-07-10,18.99,18.99,18.03,18.2,22386
2012-07-11,18.06,18.06,16.24,16.48,96908
2012-07-12,16.66,17.15,16.48,16.64,44961
2012-07-13,16.69,16.8,16.0,16.26,32420
2012-07-16,16.19,16.235,15.81,15.92,42673
2012-07-17,16.0,17.47,16.0,17.04,12571
2012-07-18,17.05,17.45,17.05,17.45,4663
2012-07-19,17.56,17.63,16.545,17.24,21815
2012-07-20,17.2,17.21,16.15,16.94,14639
2012-07-23,16.58,16.675,16.227,16.227,6730
2012-07-24,16.22,16.22,15.0,15.33,43207
2012-07-25,15.43,17.03,15.17,16.67,14858
2012-07-26,16.96,16.96,16.45,16.71,7782
2012-07-27,16.81,17.43,16.81,17.25,36119
2012-07-30,17.31,18.08,17.31,17.96,8912
2012-07-31,17.89,18.8,17.585,17.69,86023
2012-08-01,17.92,18.73,16.75,16.89,26519
2012-08-02,16.88,17.56,16.52,16.71,23289
2012-08-03,15.53,15.53,12.2,13.23,765062
2012-08-06,13.21,13.75,13.21,13.5,312455
2012-08-07,13.58,13.58,12.49,12.96,186364
2012-08-08,13.22,13.51,12.03,12.03,71825
2012-08-09,12.64,12.88,12.27,12.45,50367
2012-08-10,12.48,13.03,12.27,12.83,47839
2012-08-13,12.76,12.76,11.75,12.4,40834
2012-08-14,12.28,12.45,11.85,11.9,13765
2012-08-15,11.82,11.93,10.6,10.97,164645
2012-08-16,10.98,11.96,10.98,11.72,89950
2012-08-17,11.65,11.69,11.27,11.65,90491
2012-08-20,11.65,11.8,11.37,11.65,83684
2012-08-21,11.69,11.7,10.71,11.01,142533
2012-08-22,11.03,11.25,10.8,11.11,66307
2012-08-23,11.1,11.22,10.86,10.98,97868
2012-08-24,10.92,11.42,10.92,11.2,135616
2012-08-27,11.2,11.54,11.05,11.54,34443
2012-08-28,11.06,11.23,11.06,11.16,24293
2012-08-29,11.27,11.27,11.11,11.152,21051
2012-08-30,11.15,11.3,11.1,11.17,19179
2012-08-31,11.27,11.64,11.2,11.52,25763
2012-09-04,11.55,11.62,10.85,11.0,62116
2012-09-05,11.03,11.12,10.96,11.0,79393
2012-09-06,11.18,11.57,11.142,11.57,135355
2012-09-07,12.11,12.17,11.56,11.95,74430
2012-09-10,11.95,12.08,11.71,11.97,158895
2012-09-11,10.34,11.25,10.34,11.24,432035
2012-09-12,11.0,11.51,10.87,11.425,69997
2012-09-13,10.99,12.37,10.75,12.34,204654
2012-09-14,12.33,12.74,11.51,12.65,211199
2012-09-17,11.774,12.99,11.774,12.655,56925
2012-09-18,12.87,13.37,12.87,13.113,52789
2012-09-19,13.31,14.44,12.56,14.08,104770
