Date,Open,High,Low,Close,Volume
2018-04-02,5.236,5.3005,5.1633,5.2279,835864
2018-04-03,5.2682,5.3369,5.244,5.2602,815190
2018-04-04,5.1956,5.2844,5.0907,5.2682,880358
2018-04-05,5.3086,5.3489,5.3005,5.3328,927893
2018-04-06,5.2037,5.2844,5.1795,5.2037,946346
2018-04-09,5.2844,5.3166,5.2481,5.2602,666215
2018-04-10,5.3247,5.3731,5.2924,5.357,1156625
2018-04-11,5.3166,5.3892,5.3166,5.357,713796
2018-04-12,5.3166,5.3529,5.2844,5.3328,1599414
2018-04-13,5.357,5.4296,5.3086,5.357,1164338
2018-04-16,5.357,5.4054,5.3247,5.365,930400
2018-04-17,5.3408,5.3489,5.2602,5.2763,14394951
2018-04-18,5.3005,5.3166,5.244,5.2521,2841574
2018-04-19,5.2924,5.357,5.2844,5.3408,1583276
2018-04-20,5.365,5.3731,5.3247,5.3408,858146
2018-04-23,5.4215,5.4699,5.4054,5.4296,920597
2018-04-24,5.478,5.5264,5.4618,5.4941,2062097
2018-04-25,5.5264,5.5425,5.478,5.5022,1401191
2018-04-26,5.4941,5.5143,5.4538,5.4699,1108752
2018-04-27,5.4215,5.4296,5.3812,5.4134,652070
2018-04-30,5.3892,5.4417,5.3812,5.3892,825606
2018-05-01,5.244,5.2924,5.1956,5.2602,1122689
2018-05-02,5.2279,5.2602,5.2198,5.2521,921789
2018-05-03,5.2521,5.2521,5.1714,5.2198,701789
2018-05-04,5.3489,5.4296,5.1714,5.2602,606382
2018-05-07,5.2521,5.2682,5.2279,5.236,598661
2018-05-08,5.2602,5.2924,5.2521,5.2682,676493
2018-05-09,5.2602,5.3086,5.2521,5.2924,494837
2018-05-10,5.3005,5.3328,5.2602,5.3247,512926
2018-05-11,5.3247,5.365,5.3247,5.3328,502304
2018-05-14,5.357,5.4215,5.3086,5.3812,1119371
2018-05-15,5.3812,5.3973,5.1633,5.1633,1667335
2018-05-16,5.3166,5.3247,5.2279,5.236,1780027
2018-05-17,5.2844,5.3328,5.2682,5.2844,1620748
2018-05-18,5.2521,5.2682,5.2117,5.2117,1060142
2018-05-21,5.2279,5.3812,5.1956,5.3812,1069253
2018-05-22,5.244,5.244,5.1795,5.1875,1180816
2018-05-23,5.1633,5.1714,5.1149,5.1405,2750365
2018-05-24,5.1311,5.1472,5.0665,5.0827,2095874
2018-05-25,5.0504,5.0746,5.0181,5.0423,1267064
2018-05-29,4.9939,5.0181,4.9052,4.9213,2756262
2018-05-30,4.9294,4.9536,4.889,4.9132,2152926
2018-05-31,5.0423,5.0423,4.8003,4.8487,1666887
2018-06-01,4.8729,4.9939,4.8648,4.9617,1399272
2018-06-04,5.0504,5.0746,5.002,5.0504,2306697
2018-06-05,5.0343,5.0343,4.9778,4.9859,1587922
2018-06-06,4.9617,5.006,4.9374,4.9859,1947320
2018-06-07,4.9455,5.0503,4.9455,4.9939,1666485
2018-06-08,4.9778,5.0101,4.9536,4.9939,1404494
2018-06-11,5.002,5.0181,4.9778,4.9939,1377830
2018-06-12,4.9778,4.9778,4.9132,4.9132,1174661
2018-06-13,4.9374,4.9374,4.889,4.8971,1406988
2018-06-14,4.9052,4.9294,4.8568,4.8729,1516775
2018-06-15,4.8487,4.881,4.7196,4.7519,2165461
2018-06-18,4.7358,4.7358,4.7035,4.7277,1584751
2018-06-19,4.6954,4.7035,4.6551,4.6793,1476739
2018-06-20,4.6631,4.6631,4.6067,4.6067,1160447
2018-06-21,4.6067,4.6067,4.4695,4.4937,2726529
