Date,Open,High,Low,Close,Volume
2023-11-06,950.27,950.27,724.82,724.82,300
2023-11-16,16.69,17.0,3.4,5.95,1692413
2023-11-17,4.95,9.75,4.5,4.94,3176184
2023-11-20,5.23,5.35,4.01,4.1,1325770
2023-11-21,4.19,4.76,3.4,3.6,2132631
2023-11-22,3.52,3.77,3.35,3.63,728113
2023-11-24,3.53,3.8699,3.41,3.45,625766
2023-11-27,3.47,3.9,3.47,3.72,931014
2023-11-28,3.61,4.25,3.52,4.0,1289418
2023-11-29,4.22,4.23,3.44,3.45,847844
2023-11-30,3.58,3.84,3.44,3.6,554402
2023-12-01,3.51,3.87,3.51,3.87,735214
2023-12-04,3.66,3.75,3.51,3.56,626544
2023-12-05,3.74,3.74,3.55,3.66,1253511
2023-12-06,3.76,4.0399,3.68,3.72,1330044
2023-12-07,3.59,3.942,3.52,3.72,866016
2023-12-08,3.86,4.14,3.57,3.77,681420
2023-12-11,3.88,4.1,3.82,3.84,620354
2023-12-12,3.86,3.96,3.69,3.73,554012
2023-12-13,3.65,3.95,3.65,3.83,571450
2023-12-14,4.04,4.04,3.6,3.61,800777
2023-12-15,3.6,3.65,3.42,3.43,1535649
2023-12-18,3.35,3.47,3.13,3.13,735331
2023-12-19,3.23,3.65,3.23,3.33,491642
2023-12-20,3.43,3.619,3.42,3.5,260294
2023-12-21,3.5996,3.72,3.4719,3.67,261715
2023-12-22,3.74,4.55,3.67,4.31,919566
2023-12-26,4.43,5.61,4.43,5.11,1727190
2023-12-27,5.08,5.59,4.25,5.25,690939
2023-12-28,5.54,6.09,5.5,6.01,944066
2023-12-29,6.01,6.2499,5.81,5.92,739270
2024-01-02,5.83,6.0299,5.69,5.99,356611
2024-01-03,5.87,5.98,5.51,5.51,427482
2024-01-04,5.5,5.86,5.5,5.82,293342
2024-01-05,5.61,5.91,5.35,5.74,194510
2024-01-08,5.79,6.0,5.62,5.99,215782
2024-01-09,5.99,5.99,5.4301,5.4953,243751
2024-01-10,5.55,5.88,5.15,5.15,319776
2024-01-11,5.27,5.27,4.82,4.83,362818
2024-01-12,4.95,4.97,4.63,4.63,218491
2024-01-16,4.7,4.88,4.61,4.63,311407
2024-01-17,4.58,4.63,4.33,4.4,212965
2024-01-18,4.4,4.41,3.96,4.03,324946
2024-01-19,4.15,4.2599,3.92,4.18,238416
2024-01-22,4.15,4.42,4.15,4.39,160664
2024-01-23,4.45,4.545,4.29,4.42,172163
2024-01-24,4.7,4.7,4.34,4.69,116186
2024-01-25,4.79,4.79,4.46,4.65,180981
2024-01-26,4.72,4.86,4.62,4.71,328679
2024-01-29,4.74,4.86,4.6001,4.86,276579
2024-01-30,4.63,4.73,4.43,4.44,247487
2024-01-31,4.44,4.69,4.36,4.39,324154
2024-02-01,4.55,4.6,4.4,4.45,161798
2024-02-02,4.45,4.55,4.27,4.5,116585
2024-02-05,4.47,4.56,4.4,4.47,211624
2024-02-06,4.35,4.58,4.35,4.37,102067
2024-02-07,4.43,4.5,4.28,4.32,207206
2024-02-08,4.3,4.345,4.19,4.26,111764
2024-02-09,4.26,4.59,4.26,4.52,245530
2024-02-12,4.5,4.71,4.4601,4.69,175125
2024-02-13,4.68,4.68,4.38,4.48,224310
2024-02-14,4.48,4.73,4.48,4.68,159078
2024-02-15,4.81,5.2,4.6517,4.93,368901
2024-02-16,5.0,5.02,4.73,4.93,135147
2024-02-20,5.01,5.0625,4.805,4.83,106965
2024-02-21,4.82,4.94,4.5,4.69,176559
2024-02-22,4.79,4.85,4.58,4.65,103247
2024-02-23,4.89,4.89,4.62,4.73,192755
2024-02-26,4.51,5.25,4.5,5.24,376596
2024-02-27,5.25,5.365,5.0,5.21,280168
2024-02-28,5.21,5.52,5.14,5.26,209573
2024-02-29,5.48,5.49,5.27,5.29,584587
2024-03-01,5.46,5.5,5.24,5.39,285367
2024-03-04,5.47,5.55,5.2,5.41,158702
2024-03-05,5.4,5.5,5.18,5.35,125342
2024-03-06,5.42,5.48,5.29,5.39,232360
2024-03-07,5.39,5.54,5.29,5.46,167507
2024-03-08,5.08,5.623,4.89,5.4,157267
2024-03-11,5.4,5.46,5.23,5.29,155845
2024-03-12,5.31,5.31,5.07,5.19,152393
2024-03-13,5.21,5.38,5.02,5.18,183447
2024-03-14,5.19,5.23,4.81,4.9,259828
2024-03-15,4.81,4.93,4.69,4.69,327065
2024-03-18,4.73,4.915,4.68,4.75,227131
2024-03-19,4.83,4.83,4.51,4.52,180474
2024-03-20,4.51,4.595,4.37,4.4,199629
2024-03-21,4.45,4.4655,4.27,4.37,165342
2024-03-22,4.37,4.59,4.34,4.51,144389
2024-03-25,4.29,4.62,4.29,4.32,138965
2024-03-26,4.49,4.595,4.3,4.49,216699
2024-03-27,4.5,5.0,4.5,4.95,283637
2024-03-28,5.0,5.1199,4.82,4.89,192520
2024-04-01,5.05,5.05,4.73,4.85,115798
2024-04-02,4.99,5.0,4.6799,4.73,137475
2024-04-03,4.76,4.76,4.51,4.53,185727
2024-04-04,4.77,5.07,4.53,4.69,460358
2024-04-05,4.74,4.74,4.255,4.54,426917
2024-04-08,4.35,4.46,4.085,4.24,299599
2024-04-09,4.27,4.35,4.09,4.18,172330
2024-04-10,4.31,4.35,4.02,4.12,204385
2024-04-11,4.13,4.3,4.06,4.3,161141
2024-04-12,4.26,4.305,4.11,4.29,117328
2024-04-15,4.24,4.25,3.995,4.09,253998
2024-04-16,4.05,4.09,3.88,3.91,176940
2024-04-17,3.87,4.0,3.75,3.76,248050
2024-04-18,3.75,3.9,3.55,3.57,198556
2024-04-19,3.57,3.855,3.54,3.57,204828
2024-04-22,3.57,3.6606,3.4475,3.59,176712
2024-04-23,3.6,3.7187,3.57,3.66,101713
2024-04-24,3.65,3.72,3.52,3.6,76805
2024-04-25,3.56,3.5883,3.44,3.53,115197
2024-04-26,3.54,3.64,3.48,3.58,73133
2024-04-29,3.58,3.74,3.58,3.7,90991
2024-04-30,3.65,3.79,3.62,3.7,81725
2024-05-01,3.71,3.86,3.67,3.78,75881
2024-05-02,3.8,3.91,3.77,3.82,85919
2024-05-03,3.85,3.9,3.73,3.83,73652
2024-05-06,3.7,3.9,3.685,3.78,101226
2024-05-07,3.77,3.84,3.7102,3.83,77541
2024-05-08,3.8,3.92,3.77,3.89,66029
2024-05-09,3.9,3.93,3.705,3.8,69093
2024-05-10,3.83,3.83,3.68,3.78,50269
2024-05-13,3.82,3.87,3.69,3.75,41936
2024-05-14,3.77,3.94,3.64,3.92,74667
2024-05-15,3.93,4.1831,3.77,4.04,95944
2024-05-16,3.87,4.0194,3.75,3.89,72913
2024-05-17,3.9,3.9,3.72,3.76,85666
2024-05-20,3.85,3.8598,3.75,3.75,34449
2024-05-21,3.88,3.88,3.7099,3.77,43868
2024-05-22,3.76,3.88,3.73,3.77,58906
2024-05-23,3.77,3.8,3.53,3.6197,78402
2024-05-24,3.64,3.85,3.51,3.57,90824
2024-05-28,3.59,3.77,3.51,3.58,112906
2024-05-29,3.58,3.58,3.31,3.38,136953
2024-05-30,3.36,3.445,3.31,3.35,135017
2024-05-31,3.39,3.48,3.33,3.38,97926
2024-06-03,3.36,3.45,3.34,3.41,71936
2024-06-04,3.45,3.45,3.16,3.23,211751
2024-06-05,3.26,3.64,3.23,3.64,60460
2024-06-06,3.48,3.48,3.265,3.34,112355
2024-06-07,3.32,3.4388,3.32,3.35,122202
2024-06-10,3.31,3.4,3.1911,3.36,151985
2024-06-11,3.32,3.39,3.24,3.38,202816
2024-06-12,3.4,3.51,3.29,3.39,92597
2024-06-13,3.61,3.61,3.24,3.3,86009
2024-06-14,3.3,3.314,3.15,3.23,170668
2024-06-17,3.12,3.355,3.12,3.3,118492
2024-06-18,3.29,3.32,3.19,3.25,79879
2024-06-20,3.21,3.26,3.15,3.25,109350
2024-06-21,3.23,3.29,3.19,3.24,351135
2024-06-24,3.26,3.26,3.15,3.22,151061
2024-06-25,3.21,3.23,3.17,3.23,117328
2024-06-26,3.2,3.25,3.06,3.07,170732
2024-06-27,3.1,3.25,3.05,3.07,282874
2024-06-28,3.17,3.2099,3.03,3.14,2053808
2024-07-01,3.14,3.29,3.06,3.11,168180
2024-07-02,3.08,3.2,2.95,2.9602,166357
2024-07-03,3.05,3.05,2.98,3.0,54121
2024-07-05,3.0,3.03,2.88,2.91,131384
2024-07-08,2.92,3.11,2.89,3.02,260507
2024-07-09,3.01,3.0699,2.89,3.0,125532
2024-07-10,3.02,3.105,2.93,3.04,130562
2024-07-11,3.06,3.315,3.0,3.27,741668
2024-07-12,3.3,3.305,3.1811,3.27,270664
2024-07-15,3.3,3.338,3.25,3.31,184400
2024-07-16,3.31,3.51,3.275,3.45,268579
2024-07-17,3.44,3.5,3.3724,3.48,73819
2024-07-18,3.41,3.51,3.3675,3.42,49008
2024-07-19,3.44,3.49,3.3525,3.43,147471
2024-07-22,3.44,3.44,3.32,3.39,52293
