Date,Open,High,Low,Close,Volume
2007-01-19,2.5414,2.6536,2.4243,2.6442,10027683
2007-01-22,2.6761,2.7305,2.6005,2.7305,2525312
2007-01-23,2.7423,2.896,2.7305,2.8605,2864556
2007-01-24,2.8428,2.9657,2.7541,2.7778,1719073
2007-01-25,2.7541,2.8652,2.7541,2.8227,1565101
2007-01-26,2.8581,2.8782,2.7919,2.8487,621810
2007-01-29,2.8345,2.8345,2.76,2.8309,522828
2007-01-30,2.8357,2.8605,2.7591,2.8132,687799
2007-01-31,2.8014,2.8132,2.7328,2.812,422155
2007-02-01,2.8132,2.8617,2.7801,2.8463,393392
2007-02-02,2.8369,2.8948,2.8132,2.8723,249570
2007-02-05,2.8924,2.9255,2.8664,2.9196,376471
2007-02-06,2.9432,2.9492,2.8841,2.9196,393390
2007-02-07,2.9078,2.9078,2.7788,2.8782,466992
2007-02-08,2.877,2.877,2.7955,2.8605,243648
2007-02-09,2.8901,2.9307,2.8605,2.9172,417924
2007-02-12,2.9196,2.9551,2.8605,2.9113,554130
2007-02-13,2.9584,2.9646,2.9215,2.9584,292034
2007-02-14,2.9584,3.0077,2.9153,2.9917,540273
2007-02-15,2.9893,2.9991,2.8512,2.935,486737
2007-02-16,2.956,2.9806,2.9461,2.9772,283115
2007-02-20,3.0077,3.0077,2.8968,2.9301,303387
2007-02-21,2.9165,2.9165,2.866,2.8832,548383
2007-02-22,2.8968,2.9338,2.866,2.8906,442112
2007-02-23,2.8845,2.8845,2.829,2.8487,335841
2007-02-26,2.866,2.8906,2.849,2.866,238500
2007-02-27,2.8253,2.8968,2.7859,2.8093,317182
2007-02-28,2.8167,2.8537,2.7193,2.7982,372347
2007-03-01,2.7856,2.9584,2.53,2.9461,1170606
2007-03-02,2.9523,2.9893,2.9313,2.9449,392632
2007-03-05,2.9436,2.9584,2.8352,2.9215,749568
2007-03-06,2.9165,3.0238,2.9042,2.9757,781203
2007-03-07,3.0065,3.0447,2.972,2.9893,715494
2007-03-08,3.0077,3.0571,2.9893,3.0324,334223
2007-03-09,3.041,3.0571,2.9979,3.0324,245798
2007-03-12,3.0299,3.0447,3.0077,3.0176,179274
2007-03-13,3.0336,3.0336,2.9276,2.9535,339086
2007-03-14,2.9584,3.0201,2.898,2.9954,395065
2007-03-15,2.9954,3.0817,2.9954,3.0694,399116
2007-03-16,3.0817,3.0817,3.0077,3.0805,207664
2007-03-19,3.0509,3.0632,2.9634,3.0102,806350
2007-03-20,2.9893,2.9954,2.866,2.9584,1406673
2007-03-21,2.9461,2.9584,2.8512,2.9412,1125174
2007-03-22,2.903,2.9831,2.8968,2.9523,745515
2007-03-23,2.9572,2.9584,2.8722,2.9313,650601
2007-03-26,2.9584,2.9831,2.8783,2.9332,1326368
2007-03-27,2.9313,2.9338,2.8105,2.9067,1844743
2007-03-28,2.9079,2.9436,2.8746,2.8845,1129229
2007-03-29,2.8783,2.9572,2.8783,2.9289,709008
2007-03-30,2.9584,2.9584,2.9017,2.9387,505392
2007-04-02,2.9399,2.9831,2.9104,2.9399,449416
2007-04-03,2.935,2.9683,2.9178,2.9215,456719
2007-04-04,2.9363,2.9683,2.9116,2.9239,318807
2007-04-05,2.9449,2.9621,2.9153,2.9584,431574
2007-04-09,2.9769,3.0102,2.9338,2.9449,528917
2007-04-10,2.8352,2.9449,2.8352,2.9165,1103271
2007-04-11,2.9424,2.9757,2.9202,2.9683,889918
2007-04-12,2.9637,3.0229,2.9637,2.9914,607654
2007-04-13,2.9662,3.0128,2.9662,2.975,374421
2007-04-16,3.0002,3.0128,2.9687,2.9725,531495
2007-04-17,2.9939,2.9939,2.9486,2.9662,457713
2007-04-18,2.9561,2.9839,2.9486,2.9687,318098
2007-04-19,2.9624,3.004,2.9359,2.9423,462478
2007-04-20,2.9435,3.0015,2.9372,2.9675,265747
2007-04-23,3.0002,3.0002,2.975,2.9965,337137
2007-04-24,3.004,3.0103,2.9712,2.9939,401398
2007-04-25,2.9801,3.0255,2.9624,3.0128,629856
2007-04-26,3.0002,3.0128,2.9372,2.9536,699666
2007-04-27,2.9498,2.9864,2.9359,2.9498,214976
2007-04-30,2.9435,2.9498,2.8805,2.907,789296
2007-05-01,2.8994,2.9624,2.8742,2.9296,395824
2007-05-02,2.9246,2.9423,2.7494,2.9359,447404
2007-05-03,2.9359,2.9498,2.8893,2.9057,190388
2007-05-04,2.9007,2.9246,2.8893,2.8956,118989
2007-05-07,2.8893,2.8994,2.8187,2.849,658418
2007-05-08,2.8427,2.8427,2.7595,2.8149,706016
2007-05-09,2.8149,2.8364,2.7796,2.8111,306201
2007-05-10,2.8074,2.8868,2.7859,2.8868,442643
2007-05-11,2.8742,2.9082,2.8679,2.8843,156274
2007-05-14,2.8729,2.8729,2.8048,2.82,240362
2007-05-15,2.8175,2.8364,2.7859,2.8263,383153
2007-05-16,2.8364,2.8994,2.8175,2.8956,304596
2007-05-17,2.8805,2.9486,2.825,2.9372,329206
2007-05-18,2.8994,2.975,2.8994,2.9561,316521
2007-05-21,2.9725,2.975,2.8994,2.9095,291135
2007-05-22,2.8994,2.9057,2.8338,2.8969,278446
2007-05-23,2.8931,2.8994,2.8326,2.8477,786130
2007-05-24,2.8427,2.8742,2.825,2.8263,290335
2007-05-25,2.8364,2.8742,2.8364,2.8717,170553
2007-05-29,2.8477,2.8918,2.8464,2.8654,202284
2007-05-30,2.8527,2.8931,2.8427,2.8427,353006
2007-05-31,2.8427,2.8742,2.8364,2.8616,94400
2007-06-04,2.8906,2.9864,2.888,2.9813,393462
2007-06-05,2.9876,3.0002,2.975,2.9914,230839
2007-06-06,2.9851,3.0242,2.9549,3.0015,173729
2007-06-07,3.0065,3.0065,2.8691,2.9309,611611
2007-06-08,2.9246,2.9296,2.8691,2.9183,326827
2007-06-11,2.9246,3.0015,2.8817,2.9423,264953
2007-06-12,2.9523,2.9939,2.9057,2.9725,495002
2007-06-13,2.9839,2.9839,2.9183,2.9624,274472
2007-06-14,2.9738,2.975,2.9221,2.9334,386322
2007-06-15,2.9309,2.9914,2.9032,2.97,344280
2007-06-18,2.975,3.0242,2.975,3.0002,363321
2007-06-19,3.0166,3.0582,2.9624,3.0242,444234
2007-06-20,3.0154,3.0507,2.9612,2.9612,344277
2007-06-21,2.8616,3.0191,2.8616,2.9599,294304
2007-06-22,2.9687,3.0368,2.9397,2.9561,253848
2007-06-25,2.975,3.0507,2.975,3.0368,383133
2007-06-26,3.0393,3.0393,2.9599,2.9599,223704
2007-06-27,2.9599,3.0166,2.9309,2.9889,237191
2007-06-28,3.004,3.0544,2.9902,3.0544,261782
2007-06-29,3.0633,3.1452,3.0507,3.1389,272088
2007-07-02,3.1263,3.2133,3.1137,3.149,567989
2007-07-03,3.1503,3.1578,3.115,3.1238,95987
2007-07-05,3.1641,3.1641,3.1137,3.1326,191175
2007-07-06,3.1515,3.1729,3.1162,3.1313,172136
2007-07-09,3.1402,3.1893,3.1263,3.149,326825
2007-07-10,3.1503,3.183,3.12,3.1503,487863
2007-07-11,3.1515,3.1515,3.12,3.1313,390290
2007-07-12,3.131,3.2372,3.1271,3.1763,278794
2007-07-13,3.2048,3.3006,3.1906,3.2411,273383
2007-07-16,3.2695,3.298,3.2372,3.2436,389997
2007-07-17,3.2501,3.289,3.232,3.232,278023
2007-07-18,3.2372,3.2657,3.1608,3.2566,345213
2007-07-19,3.2618,3.3783,3.2436,3.3679,413169
2007-07-20,3.3718,3.5402,3.3667,3.4638,632501
2007-07-23,3.4961,3.5091,3.3667,3.4418,497352
2007-07-24,3.4767,3.5648,3.2398,3.2462,765328
2007-07-25,3.2501,3.3602,3.2333,3.3446,416259
2007-07-26,3.399,3.4016,3.2631,3.3744,469544
2007-07-27,3.3654,3.399,3.3019,3.3084,322039
2007-07-30,3.3019,3.3291,3.1983,3.2592,491937
2007-07-31,3.2527,3.333,3.2255,3.2695,240950
2007-08-01,3.2113,3.333,3.1931,3.2113,159089
2007-08-02,3.2177,3.311,3.2177,3.2721,109668
2007-08-03,3.276,3.3019,3.2061,3.2061,139783
2007-08-06,3.2087,3.2087,2.784,3.0611,1451111
2007-08-07,3.0429,3.0818,2.8888,3.0637,627085
2007-08-08,3.0831,3.2048,3.0831,3.1271,309688
