Date,Open,High,Low,Close,Volume
2022-05-24,7.3,7.49,7.0,7.49,567.5
2022-05-25,7.49,7.596,6.8,6.8,516.9
2022-05-26,7.8,7.8,6.8,6.9,570.7
2022-05-27,6.601,6.9,6.219,6.6,738.8
2022-05-31,6.9,6.9,6.6,6.9,148.8
2022-06-01,6.873,6.873,6.706,6.727,88.5
2022-06-02,6.6,7.0,6.6,6.966,845.9
2022-06-03,6.6,6.8,6.0,6.2,2016.7
2022-06-06,6.448,7.254,6.448,7.201,1744.5
2022-06-07,7.2,7.35,6.01,7.14,2878.4
2022-06-08,7.3,7.3,6.0,7.0,4349.0
2022-06-09,6.31,6.392,5.2,6.392,1014.1
2022-06-10,6.427,6.427,5.7,5.9,701.8
2022-06-13,6.4,6.401,5.901,5.901,523.2
2022-06-14,5.9,6.4,5.9,6.301,409.7
2022-06-15,5.611,6.4,5.611,6.4,319.7
2022-06-16,6.399,6.399,6.12,6.399,60.3
2022-06-17,6.15,6.15,5.899,6.1,209.0
2022-06-21,6.0,6.5,6.0,6.4,258.0
2022-06-22,5.801,5.801,5.801,5.801,11.2
2022-06-23,5.8,6.113,5.8,5.901,374.5
2022-06-24,5.9,6.49,5.9,6.49,613.5
2022-06-27,6.1,6.7,6.1,6.3,378.3
2022-06-28,6.15,6.366,5.611,5.9,191.7
2022-06-29,5.901,5.921,5.901,5.921,40.0
2022-06-30,6.218,6.218,5.611,5.91,470.0
2022-07-01,5.611,7.2,5.5,5.5,1343.5
2022-07-05,6.69,6.8,6.595,6.799,1221.0
2022-07-06,6.8,6.9,6.8,6.9,73.6
2022-07-07,6.8,6.8,6.8,6.8,10.0
2022-07-08,7.2,7.5,7.2,7.5,413.5
2022-07-11,7.5,7.5,7.101,7.251,346.0
2022-07-12,7.5,7.5,7.5,7.5,10.0
2022-07-13,7.3,7.3,7.3,7.3,10.0
2022-07-14,7.383,7.383,6.9,6.9,110.0
2022-07-15,7.0,7.3,7.0,7.3,77.8
2022-07-18,7.3,7.6,7.3,7.4,153.0
2022-07-19,7.5,7.6,7.5,7.5,247.6
2022-07-20,7.3,7.3,6.076,6.601,2496.6
2022-07-21,7.044,7.1,6.9,7.1,260.0
2022-07-22,6.9,7.392,6.9,7.392,260.0
2022-07-25,7.0,7.0,6.5,6.701,589.9
2022-07-26,6.35,7.1,6.1,7.1,285.3
2022-07-27,6.15,7.001,6.15,7.001,671.0
2022-07-28,6.751,6.852,6.751,6.852,25.5
2022-07-29,6.3,6.852,6.3,6.852,20.0
2022-08-01,7.0,7.0,6.15,6.2,1080.8
2022-08-02,6.151,6.201,6.151,6.2,182.5
2022-08-03,6.5,6.5,6.15,6.15,297.3
2022-08-04,6.15,6.15,5.81,5.881,231.9
2022-08-05,6.176,6.176,6.175,6.175,82.3
2022-08-08,5.611,6.139,5.611,6.1,988.2
2022-08-09,6.5,6.5,6.0,6.0,148.6
2022-08-10,6.6,6.6,5.8,5.886,801.0
2022-08-11,5.886,5.886,5.726,5.726,250.4
2022-08-12,6.012,6.015,5.7,5.999,333.5
2022-08-15,5.611,5.9,5.5,5.9,436.9
2022-08-16,5.9,5.9,5.5,5.5,116.6
2022-08-17,5.405,5.67,5.4,5.5,1457.7
2022-08-18,5.32,5.4,5.2,5.4,136.6
2022-08-19,5.2,5.349,5.2,5.349,540.0
2022-08-22,5.2,5.2,5.151,5.199,607.6
2022-08-23,6.371,8.699,5.34,6.0,84411.8
2022-08-24,7.0,7.899,5.8,7.88,28342.6
2022-08-25,7.65,7.65,6.4,7.466,12691.3
2022-08-26,7.0,7.885,7.0,7.2,4966.6
2022-08-29,7.875,7.875,7.0,7.497,5730.2
2022-08-30,7.497,7.8,7.3,7.5,1746.9
2022-08-31,7.0,7.8,7.0,7.1,2843.5
2022-09-01,7.027,7.5,7.0,7.4,475.3
2022-09-02,7.77,7.8,7.266,7.5,737.4
2022-09-06,7.049,7.05,5.811,6.405,2712.6
2022-09-07,5.801,6.299,5.801,6.279,106.0
2022-09-08,6.5,6.5,6.02,6.03,617.6
2022-09-09,6.33,6.33,6.1,6.232,775.2
2022-09-12,5.6,6.42,5.401,6.42,1183.1
2022-09-13,5.891,6.399,5.5,6.048,517.9
2022-09-14,6.0,6.0,5.6,5.8,1404.1
2022-09-15,5.919,5.919,5.614,5.807,651.0
2022-09-16,5.9,5.9,5.5,5.6,710.0
2022-09-19,5.6,5.901,5.6,5.8,120.9
2022-09-20,5.9,6.102,5.9,5.9,119.8
2022-09-21,6.15,6.2,5.9,6.2,334.6
2022-09-22,5.9,6.24,5.9,6.24,162.2
2022-09-26,6.24,6.24,5.5,5.8,327.1
2022-09-27,5.8,5.8,5.651,5.651,135.0
2022-09-28,5.16,5.8,5.16,5.7,806.0
2022-09-29,5.5,5.61,5.5,5.61,50.0
2022-09-30,5.6,5.6,5.6,5.6,10.0
2022-10-03,5.505,6.1,5.505,5.8,717.5
2022-10-04,5.785,5.994,5.266,5.8,3081.3
2022-10-05,5.5,5.8,5.5,5.5,165.0
2022-10-06,5.8,6.5,5.799,6.099,2918.3
2022-10-07,6.5,6.5,6.0,6.3,1797.6
2022-10-10,6.499,6.809,6.484,6.809,497.0
2022-10-11,7.0,7.0,6.011,6.1,1992.6
2022-10-12,6.5,6.7,6.19,6.7,4004.0
2022-10-13,6.5,11.0,6.204,8.1,88252.0
2022-10-14,6.755,14.995,6.755,10.13,772254.0
2022-10-17,12.415,12.42,6.195,7.0,133918.0
2022-10-18,7.7,8.5,5.75,6.51,104488.0
2022-10-19,6.5,7.35,6.155,6.525,90228.0
2022-10-20,6.15,7.9,6.145,6.71,116674.0
2022-10-21,6.75,7.55,6.005,7.0,97592.0
2022-10-24,7.5,8.875,6.75,7.18,41632.0
2022-10-25,7.75,8.625,7.257,7.775,27700.0
2022-10-26,8.0,8.47,7.3451,8.4612,36100.0
2022-10-27,8.015,10.45,7.76,9.69,91042.0
2022-10-28,9.75,12.825,9.35,10.25,97770.0
2022-10-31,10.355,11.8,9.75,9.75,55812.0
2022-11-01,9.775,10.0,9.1159,10.0,4864.0
2022-11-02,9.545,10.395,8.6,9.835,16156.0
2022-11-03,9.525,11.1475,9.25,10.6422,26504.0
2022-11-04,10.5659,11.99,9.75,9.75,51798.0
2022-11-07,10.14,10.14,9.105,10.0,17142.0
2022-11-08,10.0,11.07,9.39,10.0,18404.0
2022-11-09,9.7957,10.68,9.49,10.05,17518.0
2022-11-10,9.7246,10.8,9.7246,10.325,23864.0
2022-11-11,9.935,10.5375,9.75,9.75,11860.0
2022-11-14,9.905,10.18,8.6552,8.765,22622.0
2022-11-15,8.895,9.31,8.74,8.74,2990.0
2022-11-16,8.22,8.22,8.22,8.22,1290.0
2022-11-17,8.22,8.6506,8.0,8.34,13250.0
2022-11-18,8.875,8.875,7.92,8.005,3710.0
2022-11-21,7.835,7.835,7.55,7.745,7746.0
2022-11-22,7.525,7.555,7.0,7.345,2068.0
2022-11-23,7.345,7.975,7.0,7.2,12732.0
2022-11-25,6.995,8.46,6.995,7.455,12600.0
2022-11-28,7.5,7.943,7.1425,7.435,12434.0
2022-11-29,7.245,7.36,7.01,7.01,1400.0
2022-11-30,7.25,7.25,7.25,7.25,1574.0
2022-12-01,7.435,7.875,7.175,7.605,16898.0
2022-12-02,7.54,7.6875,7.375,7.375,4498.0
2022-12-05,7.1912,7.85,7.1912,7.5104,8426.0
2022-12-06,7.295,7.295,7.0,7.0,800.0
2022-12-07,7.064,7.064,6.3775,7.0,12170.0
2022-12-08,6.985,7.0713,6.3955,6.8464,8432.0
2022-12-09,6.1851,6.705,6.1851,6.36,5084.0
2022-12-12,6.36,6.415,6.055,6.055,5190.0
2022-12-13,6.015,6.015,6.0,6.0,400.0
2022-12-14,6.0,6.1,5.79,6.025,8586.0
2022-12-15,6.025,6.025,6.025,6.025,200.0
2022-12-16,6.1,6.2,6.1,6.2,2400.0
2022-12-19,6.2,6.205,6.195,6.195,1986.0
2022-12-20,6.225,6.59,5.985,6.59,3926.0
2022-12-21,6.55,6.55,6.55,6.55,200.0
2022-12-22,6.3322,6.3322,6.15,6.15,3118.0
2022-12-23,6.41,6.775,6.2,6.28,6386.0
2022-12-27,6.08,6.235,5.68,6.235,1242.0
2022-12-28,5.75,5.775,5.75,5.775,400.0
2022-12-30,5.8794,5.8794,5.6688,5.6688,2300.0
2023-01-03,5.7073,6.3,5.7073,6.3,1980.0
2023-01-05,6.13,6.505,6.13,6.505,2400.0
2023-01-06,6.585,6.75,6.58,6.725,3056.0
2023-01-09,6.5,6.5,6.5,6.5,400.0
2023-01-10,6.55,6.55,6.55,6.55,200.0
2023-01-11,6.515,6.55,6.5005,6.55,1694.0
2023-01-13,6.61,7.015,6.61,7.015,1060.0
2023-01-17,7.47,7.47,7.47,7.47,400.0
2023-01-18,7.4531,7.4531,7.4531,7.4531,200.0
2023-01-19,7.44,7.95,7.44,7.95,700.0
2023-01-20,7.795,8.45,7.795,7.92,5892.0
2023-01-23,8.12,8.12,7.93,7.93,1998.0
2023-01-24,7.975,8.015,7.975,8.015,400.0
2023-01-25,7.505,8.695,7.495,8.695,2804.0
2023-01-26,8.4997,10.065,8.495,9.25,13678.0
2023-01-27,9.59,9.99,9.2,9.3662,5252.0
2023-01-30,9.335,9.335,8.21,8.21,6264.0
2023-01-31,7.9574,7.9574,7.9574,7.9574,200.0
2023-02-01,8.1,9.3,8.1,8.415,7010.0
2023-02-02,8.4,8.725,8.33,8.695,3344.0
2023-02-03,8.6936,8.6936,8.013,8.013,646.0
2023-02-06,7.7202,7.7202,7.7202,7.7202,200.0
2023-02-09,7.45,8.6196,7.45,8.0591,5714.0
2023-02-10,7.3125,7.47,7.005,7.2,1654.0
2023-02-13,7.108,7.108,7.108,7.108,400.0
2023-02-14,7.16,7.405,7.0,7.205,1966.0
2023-02-15,7.005,7.005,6.71,6.8275,1360.0
2023-02-16,6.83,6.83,6.83,6.83,254.0
2023-02-17,6.75,7.15,6.6,6.725,3590.0
2023-02-21,6.29,6.29,6.29,6.29,400.0
2023-02-27,6.47,6.625,6.4,6.4,2000.0
2023-03-01,6.225,6.27,5.975,6.0,3692.0
2023-03-02,6.05,6.2975,6.05,6.2975,708.0
2023-03-03,6.7564,6.7564,6.4252,6.4252,1100.0
2023-03-07,6.05,6.05,6.05,6.05,530.0
2023-03-15,6.65,6.87,6.6296,6.87,940.0
2023-03-17,7.13,7.145,7.13,7.145,1738.0
2023-03-20,7.16,7.16,7.16,7.16,200.0
2023-03-28,6.615,6.615,6.615,6.615,200.0
2023-03-30,6.075,6.855,6.075,6.855,5956.0
2023-04-06,7.45,7.45,7.45,7.45,200.0
2023-04-11,6.9,6.91,6.9,6.9,1358.0
2023-04-18,6.875,7.6511,6.875,7.3752,3054.0
2023-04-19,7.75,9.5,7.75,9.5,3586.0
2023-04-20,9.55,10.2,9.0,9.05,4848.0
2023-04-21,8.9114,8.9114,8.795,8.8875,600.0
2023-04-26,8.625,8.625,8.575,8.575,400.0
2023-04-27,8.6,8.8575,8.6,8.6,1400.0
2023-04-28,8.72,8.72,8.2,8.2,600.0
2023-05-01,7.65,7.65,7.57,7.57,600.0
2023-05-02,7.625,8.35,7.5,7.5,1306.0
2023-05-03,7.5,7.5,7.5,7.5,200.0
2023-05-04,7.1326,7.1326,6.845,6.845,5654.0
2023-05-05,7.3,7.3,7.3,7.3,200.0
2023-05-09,8.0022,8.0022,8.0022,8.0022,200.0
2023-05-12,7.51,7.51,7.51,7.51,200.0
2023-05-16,7.525,7.525,7.25,7.405,15618.0
2023-05-22,6.6762,7.68,6.6762,7.68,1216.0
2023-05-26,6.95,6.95,6.95,6.95,800.0
2023-06-02,6.595,6.595,6.505,6.505,800.0
2023-06-05,6.495,7.2,6.495,7.0,1740.0
2023-06-07,7.07,7.07,7.005,7.005,800.0
2023-06-08,7.055,7.055,7.0,7.0,1186.0
2023-06-09,7.0,7.0,6.505,6.505,1194.0
2023-06-12,6.855,6.995,6.755,6.995,800.0
2023-06-13,6.745,6.765,6.745,6.765,1000.0
2023-06-14,6.9,6.9,6.9,6.9,570.0
2023-06-15,6.875,6.875,6.875,6.875,200.0
2023-06-20,7.03,7.1,6.765,7.0,2200.0
2023-06-21,7.285,7.49,7.285,7.49,1110.0
2023-06-26,7.6,7.6,7.59,7.6,5800.0
2023-06-27,6.9985,7.5,6.9985,7.25,6560.0
2023-06-29,7.5,7.5,7.5,7.5,550.0
2023-07-10,6.915,6.925,6.915,6.925,400.0
2023-07-11,6.37,6.37,6.37,6.37,200.0
2023-07-12,6.55,6.55,6.55,6.55,412.0
2023-07-13,6.525,6.525,6.495,6.5,3124.0
2023-07-14,6.5926,6.5926,6.5926,6.5926,200.0
2023-07-17,6.82,6.82,6.8126,6.8126,2604.0
2023-07-18,6.525,6.6136,6.525,6.6136,718.0
2023-07-19,6.55,6.55,6.545,6.545,540.0
2023-07-25,7.0908,7.0908,6.64,6.64,876.0
2023-07-26,7.005,7.005,7.005,7.005,200.0
2023-07-27,7.005,7.005,6.525,6.525,1382.0
2023-07-28,7.0,7.0,6.55,6.55,2342.0
2023-07-31,6.64,6.945,6.64,6.7675,1900.0
2023-08-03,7.12,7.12,7.12,7.12,200.0
2023-08-04,7.267,7.267,6.655,6.7,600.0
2023-08-08,6.65,6.65,6.65,6.65,200.0
2023-08-10,6.65,6.65,6.65,6.65,550.0
2023-08-11,6.65,6.65,6.65,6.65,890.0
2023-08-15,6.665,6.665,6.665,6.665,200.0
2023-08-17,6.65,6.65,6.65,6.65,400.0
2023-08-18,6.54,6.54,6.54,6.54,200.0
2023-08-29,6.88,6.9,6.34,6.34,1086.0
2023-08-30,6.1862,6.1862,6.1862,6.1862,200.0
2023-08-31,6.22,6.22,6.19,6.22,1200.0
2023-09-01,6.69,6.69,6.19,6.19,1000.0
2023-09-05,6.685,6.75,6.25,6.25,1958.0
2023-09-06,6.75,6.8068,6.3,6.3,1948.0
2023-09-08,6.5475,6.5475,6.3474,6.3474,800.0
2023-09-11,6.5,6.585,6.5,6.585,600.0
2023-09-14,6.842,6.85,6.575,6.8,3520.0
2023-09-15,6.985,7.0,6.75,7.0,1638.0
2023-09-18,7.55,7.55,7.2,7.3,3136.0
2023-09-21,7.375,8.4292,7.375,8.25,97128.0
2023-09-22,8.65,8.7,8.525,8.65,39050.0
2023-09-25,8.65,9.3,8.65,8.71,600.0
2023-09-26,8.74,9.2023,8.715,8.75,6810.0
2023-09-27,9.985,12.05,9.8,10.0625,23436.0
2023-09-28,9.735,10.54,9.735,10.475,18080.0
2023-09-29,10.125,10.475,9.9475,9.9475,3680.0
2023-10-02,9.205,9.205,8.5788,9.125,2870.0
2023-10-03,9.15,9.365,9.125,9.125,8796.0
2023-10-04,9.05,9.45,8.775,9.35,13188.0
2023-10-05,9.5,9.5,9.15,9.15,3148.0
2023-10-06,9.2,9.525,9.2,9.27,5660.0
2023-10-09,9.49,9.75,9.49,9.57,13710.0
2023-10-10,9.5382,9.57,9.53,9.57,3034.0
2023-10-11,9.57,9.57,9.5614,9.5614,820.0
2023-10-12,9.315,9.56,9.255,9.56,1220.0
2023-10-13,9.655,9.655,9.325,9.45,3008.0
2023-10-16,9.595,10.175,8.85,8.85,7744.0
2023-10-17,9.425,9.8918,9.425,9.89,4348.0
2023-10-18,9.995,11.0,9.5975,11.0,8310.0
2023-10-19,10.0,10.5,10.0,10.335,13062.0
2023-10-20,9.92,9.92,9.92,9.92,400.0
2023-10-23,10.0,10.005,10.0,10.005,400.0
2023-10-24,10.17,10.2708,10.0,10.1925,2682.0
2023-10-25,10.17,10.19,10.0,10.05,4338.0
2023-10-26,10.0,10.0,9.5,9.5,6282.0
2023-10-27,9.575,9.575,9.2,9.2,1346.0
2023-10-30,9.33,9.33,8.885,8.885,3806.0
2023-10-31,9.515,9.515,8.876,8.885,7808.0
2023-11-01,9.63,11.0,9.14,10.69,18838.0
2023-11-02,10.56,10.8,9.405,10.8,7938.0
2023-11-03,11.79,11.8,10.72,10.72,904.0
2023-11-06,10.72,10.8,10.05,10.56,5456.0
2023-11-07,10.45,10.78,10.2502,10.78,5130.0
2023-11-08,10.59,10.78,10.29,10.29,1799.0
2023-11-09,11.21,11.6,10.25,10.25,3103.0
2023-11-10,10.1898,10.38,9.91,10.11,8457.0
2023-11-13,10.24,10.24,9.55,9.84,9467.0
2023-11-14,10.1786,10.8,10.1786,10.8,10790.0
2023-11-15,10.81,11.6,10.81,10.95,1513.0
2023-11-16,10.95,10.95,10.23,10.59,923.0
2023-11-20,10.7,10.96,10.7,10.96,571.0
2023-11-21,10.78,10.8,10.46,10.8,3684.0
2023-11-22,10.85,10.85,10.85,10.85,249.0
2023-11-24,10.8014,10.8014,10.8014,10.8014,200.0
2023-11-27,10.824,10.824,10.824,10.824,300.0
2023-11-29,9.75,10.49,9.75,10.49,2065.0
2023-11-30,10.22,10.49,10.22,10.49,692.0
2023-12-05,10.49,10.49,10.0,10.343,985.0
2023-12-06,10.44,10.44,9.7301,10.3499,500.0
2023-12-07,10.0,10.65,9.8,10.4999,18698.0
2023-12-08,10.3,11.8899,10.25,11.4,20824.0
2023-12-11,11.88,13.59,11.3,12.51,15318.0
2023-12-12,14.95,14.95,12.51,13.2331,29921.0
2023-12-13,9.0,9.64,5.3492,6.0,31966.0
2023-12-14,6.1,6.1,2.46,4.2,156849.0
2023-12-15,3.52,4.76,3.52,4.28,32846.0
2023-12-18,4.5,4.57,4.0498,4.32,10471.0
2023-12-19,3.93,4.5,3.93,4.5,8907.0
2023-12-20,4.2699,4.4854,4.16,4.18,8459.0
2023-12-21,4.15,4.34,4.01,4.1,17754.0
2023-12-22,4.4,4.681,4.15,4.52,24621.0
2023-12-26,4.59,4.91,4.511,4.71,6351.0
2023-12-27,4.41,6.9452,4.41,5.7,345540.0
2023-12-28,6.0,6.55,5.3259,5.87,59969.0
