Date,Open,High,Low,Close,Volume
2000-01-03,6.1411,6.1411,6.0444,6.0928,34253
2000-01-04,6.0444,6.1895,6.0444,6.0928,70443
2000-01-05,6.1895,6.1895,6.0928,6.1895,87635
2000-01-06,6.1411,6.1895,6.1411,6.1895,12797
2000-01-07,6.1411,6.2378,6.1411,6.1895,12797
2000-01-10,6.1411,6.2378,6.1411,6.1895,24558
2000-01-11,6.1895,6.1895,6.1411,6.1411,58165
2000-01-12,6.1411,6.1411,6.0444,6.0928,28182
2000-01-13,6.0928,6.1411,6.0444,6.0444,29990
2000-01-14,6.1411,6.1411,6.0444,6.0444,47437
2000-01-18,6.0444,6.0928,5.9477,6.0444,54675
2000-01-19,5.9961,5.9961,5.8993,5.9477,58165
2000-01-20,5.9477,5.9961,5.851,5.9477,52220
2000-01-21,5.8993,5.9961,5.8993,5.9961,82207
2000-01-24,5.9477,6.0444,5.9477,5.9961,107799
2000-01-25,5.9961,6.0928,5.9961,5.9961,53641
2000-01-26,6.0928,6.1895,6.0444,6.1411,59457
2000-01-27,5.9961,6.0928,5.9961,6.0928,96813
2000-01-28,5.9961,6.0444,5.9961,5.9961,47567
2000-01-31,5.9961,6.0928,5.9477,6.0928,62947
2000-02-01,6.0444,6.0928,5.9961,6.0928,78199
2000-02-02,6.1895,6.3345,6.1411,6.3345,75615
2000-02-03,6.2862,6.3829,6.2862,6.3829,67086
2000-02-04,6.3345,6.4796,6.3345,6.3829,47049
2000-02-07,6.3829,6.528,6.3829,6.4313,20681
2000-02-08,6.4796,6.528,6.4313,6.4796,60623
2000-02-09,6.4796,6.528,6.4796,6.4796,28697
2000-02-10,6.528,6.528,6.4313,6.528,31796
2000-02-11,6.4313,6.528,6.3829,6.4796,35805
2000-02-14,6.528,6.528,6.3345,6.528,69799
2000-02-15,6.4313,6.4313,6.3345,6.4313,19647
2000-02-16,6.4313,6.4796,6.3829,6.4796,63983
2000-02-17,6.4313,6.4796,6.3829,6.3829,10470
2000-02-18,6.3829,6.528,6.3829,6.3829,93838
2000-02-22,6.3829,6.528,6.3829,6.4313,17708
2000-02-23,6.4313,6.528,6.4313,6.4313,46146
2000-02-24,6.3829,6.4313,6.3829,6.3829,33347
2000-02-25,6.4313,6.4313,6.2378,6.2378,29728
2000-02-28,6.2378,6.2862,6.1895,6.2378,57392
2000-02-29,6.2862,6.3345,6.2378,6.2862,70574
2000-03-01,6.3829,6.3829,6.2862,6.3829,66565
2000-03-02,6.528,6.5763,6.3829,6.4313,36709
2000-03-03,6.4313,6.4796,6.4313,6.4796,39941
2000-03-06,6.4313,6.528,6.3829,6.4313,78844
2000-03-07,6.4796,6.5763,6.4313,6.4796,45239
2000-03-08,6.4796,6.6247,6.4313,6.6247,58037
2000-03-09,6.528,6.6247,6.4313,6.4796,12927
2000-03-10,6.4796,6.528,6.3829,6.4313,34642
2000-03-13,6.3829,6.528,6.3829,6.528,89574
2000-03-14,6.5763,6.6247,6.5763,6.6247,33218
2000-03-15,6.6247,6.673,6.5763,6.5763,31022
2000-03-16,6.6247,6.673,6.528,6.528,30761
2000-03-17,6.528,6.6247,6.528,6.6247,9565
2000-03-20,6.6247,6.673,6.6247,6.673,28436
2000-03-21,6.6247,6.673,6.6247,6.6247,35804
2000-03-22,6.673,6.7697,6.5763,6.7214,67989
2000-03-23,6.673,6.7697,6.6247,6.673,36967
2000-03-24,6.673,6.673,6.5763,6.6247,22362
2000-03-27,6.6247,6.673,6.5763,6.5763,29212
2000-03-28,6.5763,6.7697,6.528,6.7697,81172
2000-03-29,6.7697,6.8665,6.5763,6.7214,44721
2000-03-30,6.7214,6.9632,6.673,6.9632,44852
2000-03-31,6.9632,6.9632,6.7697,6.8665,44852
2000-04-03,6.9632,6.9632,6.7214,6.7214,32571
2000-04-04,6.8181,6.8665,6.7697,6.8665,20554
2000-04-05,6.7697,6.8181,6.7697,6.7697,6076
2000-04-06,6.8665,6.8665,6.7214,6.7214,24429
2000-04-07,6.7697,6.8665,6.673,6.673,21071
2000-04-10,6.673,6.8181,6.673,6.8181,50408
2000-04-11,6.7697,6.8181,6.7214,6.7214,27532
2000-04-12,6.673,6.7214,6.5763,6.673,36580
2000-04-13,6.6247,6.8181,6.6247,6.8181,32313
2000-04-14,6.8181,6.8181,6.673,6.7697,18613
2000-04-17,6.7214,6.7214,6.5763,6.6247,30249
2000-04-18,6.5763,6.673,6.5763,6.6247,22361
2000-04-19,6.673,6.7214,6.673,6.7214,7239
2000-04-20,6.673,6.673,6.4796,6.5763,52608
2000-04-24,6.5763,6.6247,6.528,6.6247,16157
2000-04-25,6.528,6.673,6.528,6.673,46663
2000-04-26,6.673,6.673,6.5763,6.5763,17837
2000-04-27,6.6247,6.673,6.5763,6.5763,18872
2000-04-28,6.6247,6.673,6.5763,6.6247,39034
2000-05-01,6.7214,6.7697,6.6247,6.7214,22103
2000-05-02,6.7697,6.8665,6.7697,6.8181,20164
2000-05-03,6.8181,6.8181,6.673,6.7214,19130
2000-05-04,6.673,6.673,6.528,6.528,24688
2000-05-05,6.5763,6.5763,6.4796,6.4796,27274
2000-05-08,6.528,6.5763,6.4796,6.5763,27403
2000-05-09,6.5763,6.5763,6.528,6.528,8790
2000-05-10,6.5763,6.6247,6.528,6.6247,19391
2000-05-11,6.5763,6.673,6.528,6.528,17838
2000-05-12,6.528,6.528,6.3829,6.3829,30894
2000-05-15,6.4313,6.4313,6.3829,6.3829,42653
2000-05-16,6.3829,6.4796,6.3829,6.4796,43818
2000-05-17,6.3829,6.4796,6.3829,6.4313,55836
2000-05-18,6.4313,6.5763,6.4313,6.528,11504
2000-05-19,6.528,6.528,6.4796,6.4796,19260
2000-05-22,6.528,6.5763,6.528,6.5763,16803
2000-05-23,6.6247,6.6247,6.528,6.528,13701
2000-05-24,6.528,6.5763,6.4796,6.4796,38648
2000-05-25,6.5763,6.5763,6.4796,6.4796,47437
2000-05-26,6.528,6.5763,6.4796,6.528,12538
2000-05-30,6.528,6.5763,6.4796,6.528,14994
2000-05-31,6.528,6.5763,6.4796,6.5763,32831
2000-06-01,6.5763,6.7214,6.5763,6.673,60493
2000-06-02,6.7214,6.7697,6.673,6.7697,18225
2000-06-05,6.8665,6.8665,6.7697,6.8181,36063
2000-06-06,6.7697,6.8181,6.7214,6.7697,35028
2000-06-07,6.7697,6.9632,6.7697,6.9632,48340
2000-06-08,6.9148,6.9148,6.9148,6.9148,259
2000-06-09,6.8665,7.0599,6.8665,7.0599,57518
2000-06-12,7.0115,7.0115,6.9148,6.9632,28178
2000-06-13,6.8665,6.9148,6.8181,6.8181,29859
2000-06-14,6.8665,6.8665,6.673,6.673,89571
2000-06-15,6.673,6.7214,6.6247,6.673,28049
2000-06-16,6.673,6.7697,6.5763,6.7214,42655
2000-06-19,6.7214,6.7697,6.7214,6.7697,13056
2000-06-20,6.7214,6.8181,6.7214,6.7697,22232
2000-06-21,6.7697,6.9148,6.7697,6.9148,27921
2000-06-22,6.8665,6.9148,6.8665,6.9148,15383
2000-06-23,6.8665,6.9632,6.8665,6.8665,60361
2000-06-26,6.9148,6.9148,6.8181,6.8181,5817
2000-06-27,6.8181,6.8665,6.8181,6.8181,8144
2000-06-28,6.8665,6.9632,6.8181,6.9632,17579
2000-06-29,6.9148,6.9632,6.8665,6.9148,27661
2000-06-30,6.9632,7.0115,6.9148,6.9148,32055
2000-07-03,7.0599,7.0599,7.0599,7.0599,517
2000-07-05,7.0115,7.0599,6.9632,7.0115,25078
2000-07-06,7.0599,7.1082,7.0115,7.1082,17581
2000-07-07,7.0115,7.0599,6.9632,7.0599,51444
2000-07-10,7.0599,7.1082,6.9632,6.9632,40846
2000-07-11,6.9632,7.1082,6.9632,7.1082,25205
2000-07-12,7.0115,7.0599,6.9148,6.9632,23911
2000-07-13,6.9632,7.0599,6.9148,7.0115,24170
2000-07-14,6.9632,6.9632,6.9148,6.9632,18872
2000-07-17,7.0115,7.0115,6.8181,6.8665,69927
2000-07-18,6.8181,6.9632,6.8181,6.8665,32831
2000-07-19,6.8665,6.8665,6.8181,6.8665,46402
2000-07-20,6.8665,6.8665,6.8181,6.8181,24946
2000-07-21,6.8665,6.8665,6.7697,6.8665,29728
2000-07-24,6.8665,6.8665,6.8181,6.8181,28694
2000-07-25,6.8665,6.8665,6.8181,6.8665,27402
2000-07-26,6.8665,6.9148,6.8181,6.9148,15124
2000-07-27,6.9148,6.9632,6.8665,6.8665,29211
2000-07-28,6.8665,6.9632,6.8665,6.9632,23653
2000-07-31,6.9632,7.0115,6.9148,7.0115,41233
2000-08-01,6.9632,7.1082,6.9632,7.0599,41231
2000-08-02,7.1082,7.1566,7.0599,7.1082,50671
2000-08-03,7.1566,7.2049,7.1082,7.1566,20681
2000-08-04,7.1566,7.1566,7.1082,7.1566,9048
2000-08-07,7.2049,7.2533,7.1566,7.2533,28436
2000-08-08,7.2049,7.3017,7.2049,7.2533,53638
2000-08-09,7.3017,7.35,7.2533,7.35,19646
2000-08-10,7.35,7.6401,7.35,7.5434,32444
2000-08-11,7.3984,7.4467,7.2533,7.2533,67210
2000-08-14,7.2049,7.3017,7.1566,7.1566,10084
2000-08-15,7.1082,7.2049,7.1082,7.2049,34640
2000-08-16,7.1566,7.1566,7.1082,7.1082,9695
2000-08-17,7.1566,7.1566,7.0599,7.1082,39809
2000-08-18,7.1566,7.2049,7.1566,7.1566,28178
2000-08-21,7.1566,7.2533,7.1082,7.1566,35418
2000-08-22,7.1082,7.2533,7.1082,7.2533,28437
2000-08-23,7.2049,7.3017,7.1082,7.3017,30763
2000-08-24,7.2533,7.3017,7.1566,7.1566,43947
2000-08-25,7.1566,7.2049,7.1566,7.2049,10987
2000-08-28,7.2049,7.2049,7.1082,7.1082,31798
2000-08-29,7.0599,7.1082,7.0115,7.1082,33605
2000-08-30,7.0599,7.1566,7.0115,7.1082,39550
2000-08-31,7.1566,7.2049,7.1082,7.2049,31927
2000-09-01,7.2533,7.2533,7.2049,7.2049,19906
2000-09-05,7.2533,7.2533,7.1082,7.1082,38649
2000-09-06,7.1082,7.2049,7.1082,7.1082,16028
2000-09-07,7.1082,7.2049,7.1082,7.2049,17838
2000-09-08,7.2533,7.35,7.2049,7.2533,70701
2000-09-11,7.3017,7.35,7.2533,7.35,31021
2000-09-12,7.3017,7.3984,7.2533,7.2533,37485
2000-09-13,7.2533,7.3984,7.2049,7.3984,33478
2000-09-14,7.35,7.4467,7.35,7.4467,43042
2000-09-15,7.35,7.3984,7.2533,7.2533,23654
2000-09-18,7.2533,7.2533,7.1566,7.1566,26109
2000-09-19,7.1566,7.2533,7.1566,7.2049,8531
2000-09-20,7.2533,7.2533,7.2049,7.2049,775
2000-09-21,7.2533,7.2533,7.1566,7.1566,9824
2000-09-22,7.3017,7.35,7.3017,7.35,35286
2000-09-25,7.35,7.35,7.2049,7.2533,16415
2000-09-26,7.2533,7.35,7.2533,7.3017,37614
2000-09-27,7.2533,7.3017,7.2049,7.2049,17063
2000-09-28,7.2049,7.2049,7.1082,7.1082,64239
2000-09-29,7.1566,7.2533,7.1566,7.2049,17450
2000-10-02,7.2533,7.2533,7.1566,7.2533,32314
2000-10-03,7.2049,7.3017,7.2049,7.3017,22232
2000-10-04,7.3017,7.35,7.3017,7.35,16546
2000-10-05,7.35,7.35,7.2533,7.2533,16028
2000-10-06,7.2049,7.2049,7.1082,7.1566,25851
2000-10-09,7.1082,7.1566,7.0599,7.0599,16028
2000-10-10,7.0599,7.1082,7.0599,7.1082,19907
