Date,Open,High,Low,Close,Volume
2000-01-03,3.5098,3.5098,3.4007,3.4164,6124929.0
2000-01-04,3.3908,3.4842,3.3908,3.4784,8292724.0
2000-01-05,3.4429,3.6595,3.4429,3.5876,8268297.0
2000-01-06,3.5959,3.6265,3.5586,3.5909,4444789.0
2000-01-07,3.6182,3.7166,3.5868,3.7017,10816619.0
2000-01-10,3.6389,3.6852,3.6232,3.6595,6276918.0
2000-01-11,3.6215,3.6413,3.595,3.6107,6180668.0
2000-01-12,3.6182,3.7174,3.6182,3.7009,9334663.0
2000-01-13,3.7059,3.7059,3.6389,3.6595,5553715.0
2000-01-14,3.6496,3.6703,3.5669,3.5926,6103891.0
2000-01-18,3.5719,3.5719,3.4735,3.5049,8131664.0
2000-01-19,3.5098,3.6389,3.5098,3.5876,5183722.0
2000-01-20,3.5438,3.5644,3.4867,3.5438,8407235.0
2000-01-21,3.5719,3.6595,3.5355,3.6438,6064597.0
2000-01-24,3.6645,3.7373,3.6033,3.6132,10416751.0
2000-01-25,3.6339,3.6546,3.4635,3.4991,10306596.0
2000-01-26,3.5181,3.5231,3.4453,3.5074,6198930.0
2000-01-27,3.4735,3.5148,3.4114,3.4321,5672223.0
2000-01-28,3.4371,3.4735,3.4007,3.4214,7074842.0
2000-01-31,3.4371,3.4999,3.4164,3.4999,3980830.0
2000-02-01,3.452,3.4677,3.4114,3.4114,3763060.0
2000-02-02,3.4396,3.466,3.4189,3.4396,7698654.0
2000-02-03,3.4371,3.5719,3.4222,3.552,11402345.0
2000-02-04,3.5462,3.5462,3.3957,3.4429,6627457.0
2000-02-07,3.4404,3.4759,3.4404,3.4453,6051883.0
2000-02-08,3.4735,3.4991,3.4429,3.4577,4611770.0
2000-02-09,3.4371,3.4685,3.3908,3.4114,8491989.0
2000-02-10,3.4065,3.4371,3.3188,3.3337,4743572.0
2000-02-11,3.3544,3.3866,3.3287,3.3866,4304036.0
2000-02-14,3.3602,3.4222,3.3494,3.3701,3126906.0
2000-02-15,3.3544,3.3957,3.3494,3.3866,5444279.0
2000-02-16,3.3784,3.4197,3.3626,3.3833,11108883.0
2000-02-17,3.3957,3.4015,3.3544,3.3908,8855959.0
2000-02-18,3.3808,3.3957,3.318,3.3279,15500703.0
2000-02-22,3.3577,3.404,3.3469,3.3784,5883817.0
2000-02-23,3.313,3.3494,3.246,3.3238,17279029.0
2000-02-24,3.2824,3.2874,3.0914,3.1476,9184487.0
2000-02-25,3.1427,3.1534,3.0087,3.0385,8288126.0
2000-02-28,3.0442,3.1534,3.0442,3.1534,8238070.0
2000-02-29,3.1534,3.2096,3.117,3.1948,14701074.0
2000-03-01,3.1948,3.2411,3.1476,3.189,18160508.0
2000-03-02,3.1683,3.2254,3.1683,3.2096,7119587.0
2000-03-03,3.2361,3.2667,3.2096,3.2204,13639677.0
2000-03-06,3.246,3.246,3.117,3.1427,8045813.0
2000-03-07,3.1377,3.256,3.1327,3.2452,15055727.0
2000-03-08,3.246,3.4371,3.2096,3.4164,11601983.0
2000-03-09,3.4247,3.5429,3.4189,3.5429,12541984.0
2000-03-10,3.5404,3.6703,3.5355,3.6132,13688524.0
2000-03-13,3.5975,3.6025,3.4429,3.4842,11968351.0
2000-03-14,3.4941,3.5404,3.4528,3.4635,8747125.0
2000-03-15,3.4685,3.7166,3.4635,3.6703,10649148.0
2000-03-16,3.6959,3.7886,3.6025,3.7216,11608017.0
2000-03-17,3.7116,3.7166,3.6182,3.6289,12789388.0
2000-03-20,3.6083,3.6753,3.5256,3.5611,10187242.0
2000-03-21,3.5098,3.5512,3.4065,3.4222,12413331.0
2000-03-22,3.4271,3.4271,3.2717,3.3701,8817264.0
2000-03-23,3.4528,3.5512,3.4371,3.5098,10901974.0
2000-03-24,3.5975,3.6025,3.5148,3.5818,14433857.0
2000-03-27,3.9697,3.9903,3.8456,3.8564,16231881.0
2000-03-28,3.8357,3.8613,3.6959,3.758,9793063.0
2000-03-29,3.7373,3.8357,3.6438,3.6968,9414473.0
2000-03-30,3.7083,3.8067,3.7034,3.8067,6571354.0
2000-03-31,3.7968,3.8423,3.7042,3.8018,11587709.0
2000-04-03,3.7993,3.8043,3.7059,3.7414,8997557.0
2000-04-04,3.729,3.8274,3.729,3.8225,11836080.0
2000-04-05,3.8018,3.9151,3.8018,3.8067,11302587.0
2000-04-06,3.8407,3.8564,3.753,3.7886,8933700.0
2000-04-07,3.8192,3.8977,3.7679,3.8357,8852433.0
2000-04-10,3.8531,3.9052,3.7861,3.9052,9533449.0
2000-04-11,3.8977,3.8977,3.82,3.8663,5735086.0
2000-04-12,3.8564,3.9746,3.8564,3.9234,11629416.0
2000-04-13,3.9234,3.9333,3.877,3.8919,5084557.0
2000-04-14,3.9209,3.9465,3.758,3.8208,10534151.0
2000-04-17,3.6513,3.6612,3.466,3.6,10246373.0
2000-04-18,3.5793,3.6,3.4652,3.5892,10229088.0
2000-04-19,3.5669,3.7216,3.5404,3.7116,13465299.0
2000-04-20,3.6496,3.7373,3.6438,3.7373,7853555.0
2000-04-24,3.7059,3.758,3.7009,3.758,7547635.0
2000-04-25,3.7786,3.9341,3.7472,3.9035,8879530.0
2000-04-26,3.877,3.9234,3.8506,3.8861,7258164.0
2000-04-27,3.8663,3.8919,3.7265,3.7629,9854722.0
2000-04-28,3.7472,3.7629,3.7059,3.7472,9694272.0
2000-05-01,3.8043,3.8043,3.7166,3.753,8380744.0
2000-05-02,3.7422,3.7786,3.7009,3.7373,9367429.0
2000-05-03,3.7323,3.7836,3.7323,3.7629,7979304.0
2000-05-04,3.7422,3.8613,3.7059,3.7778,7246551.0
2000-05-05,3.7737,3.7786,3.7216,3.7472,6814874.0
2000-05-08,3.753,3.9597,3.753,3.8969,11131013.0
2000-05-09,3.8663,3.9126,3.815,3.8613,7465421.0
2000-05-10,3.882,3.9647,3.882,3.9076,3760522.0
2000-05-11,3.949,4.0474,3.9184,4.0267,9377107.0
2000-05-12,4.016,4.0267,3.9126,3.9333,7219944.0
2000-05-15,3.9333,4.0631,3.9333,4.0276,9625950.0
2000-05-16,4.0011,4.0011,3.877,3.9076,7408955.0
2000-05-17,3.8919,3.9234,3.7993,3.8613,9478313.0
2000-05-18,3.887,4.011,3.887,3.9341,6040643.0
2000-05-19,3.9184,3.9697,3.8977,3.9589,4642971.0
2000-05-22,3.949,3.9903,3.9283,3.9391,6505329.0
2000-05-23,3.949,4.0061,3.9184,3.9804,9820875.0
2000-05-24,3.954,4.1094,3.954,4.0218,20801327.0
2000-05-25,3.9928,4.0507,3.9564,4.0458,7581603.0
2000-05-26,4.0218,4.1351,4.011,4.1144,10279156.0
2000-05-30,4.1144,4.1144,4.0367,4.0582,7388623.0
2000-05-31,4.0755,4.1433,4.0499,4.102,5151062.0
2000-06-01,4.0937,4.1351,4.0573,4.0987,6725394.0
2000-06-02,4.0656,4.0962,4.0499,4.0863,10710703.0
2000-06-05,4.073,4.078,3.9234,3.9283,11421809.0
2000-06-06,3.9333,4.0838,3.9333,4.0276,10560639.0
2000-06-07,4.0317,4.0367,3.949,3.9804,8323802.0
2000-06-08,3.9854,4.0061,3.8977,3.9953,8148598.0
2000-06-09,4.0061,4.0838,3.9903,4.0317,9213867.0
2000-06-12,4.0391,4.0598,4.0193,4.0342,4434382.0
2000-06-13,4.0557,4.0871,3.9928,4.0036,5053735.0
2000-06-14,3.9928,3.9928,3.9366,3.9416,5253599.0
2000-06-15,3.9391,4.073,3.9333,4.0367,9692693.0
2000-06-16,4.0193,4.0499,4.0036,4.0085,7208584.0
2000-06-19,4.011,4.0317,3.9076,3.9134,5780190.0
2000-06-20,3.9234,3.954,3.8919,3.949,4674649.0
2000-06-21,3.9647,4.0888,3.954,4.0317,10880099.0
2000-06-22,4.0499,4.1169,4.0342,4.0648,13902662.0
2000-06-23,4.0499,4.1169,4.0243,4.1169,9217370.0
2000-06-26,4.0937,4.1971,4.0937,4.1136,9836956.0
2000-06-27,4.0937,4.14,4.073,4.0888,11796890.0
2000-06-28,4.0937,4.1971,4.0524,4.1516,11204164.0
2000-06-29,4.14,4.1665,4.0524,4.0631,4828215.0
2000-06-30,4.0962,4.2045,4.0549,4.0962,19053242.0
2000-07-03,4.073,4.1607,4.0681,4.1243,3396315.0
2000-07-05,4.1665,4.1971,4.0888,4.1921,4870531.0
2000-07-06,4.1351,4.1657,4.1243,4.1607,7959839.0
2000-07-07,4.1458,4.2492,4.1351,4.2128,11070186.0
2000-07-10,4.2591,4.4245,4.2591,4.3931,17006476.0
2000-07-11,4.3468,4.4245,4.3261,4.389,10991096.0
2000-07-12,4.3832,4.4196,4.3418,4.4196,5814893.0
2000-07-13,4.3989,4.4973,4.3526,4.4766,12166664.0
2000-07-14,4.4717,4.5279,4.3989,4.4717,6070518.0
2000-07-17,4.4576,4.4675,4.4254,4.4535,3980463.0
2000-07-18,4.456,4.4816,4.3319,4.3724,8384865.0
2000-07-19,4.3881,4.5023,4.3782,4.4196,8737092.0
2000-07-20,4.456,4.456,4.3675,4.4039,4589643.0
2000-07-21,4.4295,4.4402,4.3369,4.3675,5238729.0
2000-07-24,4.3418,4.4088,4.3212,4.3733,5226034.0
2000-07-25,4.3939,4.4353,4.3675,4.4245,5580563.0
2000-07-26,4.3989,4.4039,4.3112,4.3741,5202934.0
2000-07-27,4.3832,4.4452,4.3468,4.3733,9250147.0
2000-07-28,4.3699,4.3699,4.3393,4.365,5920821.0
2000-07-31,3.8977,4.0937,3.8977,3.9903,46230149.0
2000-08-01,4.0317,4.2021,4.011,4.1706,36483887.0
2000-08-02,4.2227,4.3261,4.1863,4.3162,31372007.0
2000-08-03,4.3733,4.5387,4.3625,4.4204,45153628.0
2000-08-04,4.4039,4.4353,4.2492,4.3881,13033630.0
2000-08-07,4.3832,4.4617,4.3526,4.4105,10243484.0
2000-08-08,4.518,4.518,4.3832,4.4659,9013991.0
2000-08-09,4.4766,4.4766,4.3369,4.3476,9994150.0
