Date,Open,High,Low,Close,Volume
2023-07-14,10.1,10.14,10.1,10.11,33379610
2023-07-17,10.11,10.14,10.11,10.12,408275
2023-07-18,10.13,10.14,10.12,10.12,293929
2023-07-19,10.13,10.14,10.13,10.14,169652
2023-07-20,10.14,10.14,10.13,10.14,8400
2023-07-21,10.1302,10.14,10.13,10.14,152757
2023-07-24,10.148,10.15,10.14,10.15,34296
2023-07-25,10.15,10.15,10.1409,10.1484,43703
2023-07-26,10.15,10.15,10.13,10.13,37038
2023-07-27,10.13,10.15,10.1,10.15,530604
2023-07-28,10.15,10.15,10.15,10.15,405
2023-07-31,10.11,10.15,10.11,10.13,4423
2023-08-01,10.15,10.155,10.14,10.15,10538
2023-08-02,10.15,10.2,10.15,10.16,40821
2023-08-03,10.16,10.16,10.15,10.16,7105
2023-08-04,10.1,10.16,10.1,10.15,90376
2023-08-07,10.1005,10.16,10.1005,10.15,5896
2023-08-08,10.1502,10.17,10.15,10.17,119346
2023-08-09,10.16,10.16,10.155,10.16,27310
2023-08-10,10.16,10.17,10.16,10.16,4100
2023-08-11,10.16,10.17,10.16,10.17,25400
2023-08-16,10.1799,10.1799,10.17,10.17,31289
2023-08-17,10.17,10.17,10.17,10.17,250
2023-08-21,10.17,10.17,10.17,10.17,250000
2023-08-22,10.18,10.19,10.18,10.19,83698
2023-08-23,10.19,10.2,10.19,10.19,136200
2023-08-24,10.1901,10.2399,10.1901,10.2399,210
2023-08-25,10.215,10.215,10.215,10.215,438
2023-08-28,10.24,10.24,10.24,10.24,382
2023-08-29,10.24,10.24,10.24,10.24,15000
2023-08-30,10.2298,10.2298,10.2298,10.2298,500
2023-08-31,10.25,10.25,10.23,10.25,421754
2023-09-05,10.25,10.475,10.25,10.28,2922
2023-09-06,10.28,10.28,10.28,10.28,5184
2023-09-07,10.27,10.27,10.25,10.27,3676
2023-09-08,10.25,10.27,10.25,10.27,600
2023-09-13,10.26,10.26,10.26,10.26,150
2023-09-18,10.2622,10.2622,10.2622,10.2622,500
2023-09-19,10.26,10.2603,10.24,10.24,18890
2023-09-21,10.28,10.28,10.28,10.28,256
2023-09-22,10.26,10.2601,10.26,10.2601,1700
2023-09-25,10.2798,10.28,10.1742,10.2,8600
2023-09-26,10.26,10.26,10.26,10.26,3600
2023-09-28,10.26,10.26,10.26,10.26,577
2023-10-03,10.261,10.261,10.261,10.261,8500
2023-10-04,10.28,10.28,10.26,10.27,20455
2023-10-05,10.2701,10.2701,10.27,10.27,1802
2023-10-06,10.27,10.27,10.27,10.27,299
2023-10-11,10.28,10.28,10.27,10.27,11315
2023-10-12,10.29,10.29,10.27,10.29,15994
2023-10-13,10.29,10.29,10.29,10.29,7200
2023-10-16,10.26,10.29,10.26,10.29,6080
2023-10-17,10.29,10.29,10.27,10.27,4887
2023-10-18,10.3,10.3,10.28,10.28,86532
2023-10-20,10.26,10.26,10.26,10.26,200
2023-10-24,10.26,10.262,10.255,10.262,17240
2023-10-25,10.28,10.28,10.2734,10.2734,900
2023-10-30,10.27,10.27,10.27,10.27,40035
2023-10-31,10.27,10.27,10.27,10.27,100
2023-11-02,10.276,10.276,10.27,10.27,400
2023-11-06,10.2679,10.28,10.26,10.28,3016
2023-11-09,10.28,10.2801,10.28,10.28,11264
2023-11-10,10.3,10.3,10.28,10.28,472
2023-11-13,10.3,10.3,10.3,10.3,5000
2023-11-15,10.31,10.31,10.31,10.31,1400
2023-11-17,10.3,10.3022,10.3,10.3,8200
2023-11-20,10.3004,10.3004,10.3,10.3,11627
2023-11-21,10.32,10.34,10.32,10.335,62180
2023-11-22,10.34,10.34,10.32,10.33,8274
2023-11-24,10.33,10.33,10.33,10.33,33749
2023-11-27,10.34,10.34,10.34,10.34,29500
2023-11-28,10.35,10.35,10.34,10.34,36610
2023-11-29,10.35,10.35,10.35,10.35,1022
2023-11-30,10.36,10.36,10.36,10.36,14250
2023-12-05,10.36,10.36,10.35,10.36,62370
2023-12-06,10.37,10.37,10.36,10.36,11382
2023-12-07,10.37,10.37,10.37,10.37,7427
2023-12-11,10.3601,10.3601,10.3601,10.3601,100
2023-12-12,10.38,10.39,10.38,10.39,20992
2023-12-13,10.4,10.4004,10.4,10.4004,400
2023-12-14,10.41,10.42,10.3901,10.42,5691
2023-12-18,10.41,10.41,10.39,10.39,11100
2023-12-22,10.426,10.426,10.426,10.426,1150
2023-12-26,10.42,10.42,10.42,10.42,103
2023-12-27,10.43,10.43,10.43,10.43,2663
2023-12-28,10.48,10.48,10.48,10.48,1800
2024-01-03,10.45,10.45,10.45,10.45,2523
2024-01-05,10.45,10.45,10.45,10.45,154
