Date,Open,High,Low,Close,Volume
2017-10-27,13.2284,14.7196,12.6351,13.9499,7546636
2017-10-30,13.7335,14.5833,13.6453,14.4149,1644311
2017-10-31,14.4229,14.7837,13.9419,14.5673,957395
2017-11-01,14.5352,14.9521,14.4149,14.5191,333906
2017-11-02,14.5111,14.7677,14.3107,14.5191,178998
2017-11-03,14.463,14.6554,14.1744,14.5111,385429
2017-11-06,14.5031,14.5512,14.3596,14.447,132878
2017-11-07,14.4149,14.5031,13.958,14.1904,576014
2017-11-08,14.2305,14.3067,13.9339,14.0862,264377
2017-11-09,14.2706,14.2706,13.5811,13.7655,305945
2017-11-10,13.7655,13.8698,13.6292,13.6934,110795
2017-11-13,13.8778,14.0301,13.2524,13.2845,217093
2017-11-14,13.2765,13.3647,12.6271,12.8275,181195
2017-11-15,12.8436,12.9317,12.2423,12.6672,305889
2017-11-16,12.571,12.8516,12.3385,12.5389,202123
2017-11-17,12.587,12.8275,12.4267,12.6992,125018
2017-11-20,12.6511,12.9798,12.627,12.8355,177778
2017-11-21,12.8275,13.982,12.579,12.9879,850904
2017-11-22,13.1723,13.4328,12.9053,13.052,321756
2017-11-24,13.1402,13.7655,13.0279,13.3326,183415
2017-11-27,13.2604,13.4208,12.9798,13.044,1268236
2017-11-28,13.2685,14.0141,13.1963,13.533,1299447
2017-11-29,13.4689,13.6934,12.6752,13.3246,412964
2017-11-30,13.2925,14.3909,13.2925,13.9499,472854
2017-12-01,13.9579,14.1023,13.4929,13.8297,180572
2017-12-04,13.7976,14.1985,13.6373,13.7735,123277
2017-12-05,13.8537,13.966,13.2284,13.6292,190548
2017-12-06,13.5651,13.7655,13.0199,13.2845,292512
2017-12-07,13.0921,13.3711,12.8516,13.2925,130899
2017-12-08,13.2845,13.6653,13.0279,13.1803,68501
2017-12-11,13.1803,13.4689,12.854,13.4689,150340
2017-12-12,13.501,13.719,13.4368,13.533,123666
2017-12-13,13.5972,13.7595,13.1642,13.3647,239012
2017-12-14,13.3326,13.4208,13.1963,13.3967,84255
2017-12-15,13.4609,13.7896,13.0921,13.5491,338816
2017-12-18,13.6453,13.9179,13.6373,13.8938,39585
2017-12-19,13.8698,13.9259,13.7495,13.8858,175218
2017-12-20,13.9499,14.3588,13.8698,14.3107,285541
2017-12-21,14.3428,14.9761,14.3428,14.8799,239938
2017-12-22,14.9761,15.6616,14.8799,15.2407,367071
2017-12-26,15.3915,15.6255,15.1613,15.5614,79310
2017-12-27,15.4652,15.5373,15.3209,15.3209,99286
2017-12-28,15.5574,15.9462,15.4131,15.6576,44832
2017-12-29,15.6656,16.0344,15.6055,15.7217,153663
2018-01-02,15.9141,16.299,15.842,16.0584,214163
2018-01-03,16.1707,16.9965,16.0905,16.1146,463658
2018-01-04,16.1947,16.2829,15.6255,16.0344,312432
2018-01-05,16.1466,16.2428,15.9061,15.9542,69457
2018-01-08,15.9382,16.2829,15.3289,16.0344,152227
2018-01-09,16.1627,16.2789,15.866,15.9943,256079
2018-01-10,16.0184,16.6036,15.9061,16.2348,88681
2018-01-11,16.2188,16.5996,15.6095,16.0344,1567522
2018-01-12,16.0985,16.5154,16.0985,16.2348,316726
2018-01-16,16.3471,16.772,16.1947,16.3631,255210
2018-01-17,16.4513,16.4513,16.1226,16.2669,64538
2018-01-18,16.307,16.4111,15.9703,16.2348,150842
2018-01-19,16.2749,16.2909,16.0344,16.1226,91722
2018-01-22,16.0745,16.315,15.9943,16.2028,134988
2018-01-23,16.2108,16.7159,15.6616,16.1146,218932
2018-01-24,16.2749,17.0205,16.2408,16.5956,289949
2018-01-25,16.5876,16.7239,16.3551,16.4032,111174
2018-01-26,16.4753,17.3252,16.3391,16.6277,156523
2018-01-29,16.6277,17.0967,16.5956,16.8842,211304
2018-01-30,16.78,16.8922,16.428,16.5555,164361
2018-01-31,16.5315,16.6998,16.4273,16.5956,216018
2018-02-01,16.6758,16.9363,16.3872,16.7159,244948
2018-02-02,16.7078,16.8361,15.7057,15.7538,291010
2018-02-05,15.6255,15.8741,15.3289,15.5694,149067
2018-02-06,15.4091,15.8821,15.4091,15.7698,167217
2018-02-07,15.7137,15.7618,15.1846,15.2567,217409
2018-02-08,15.4331,15.5279,14.6154,14.896,224631
2018-02-09,15.0964,15.1124,14.1423,14.6474,175578
2018-02-12,14.6234,15.3048,14.6234,14.7436,364986
2018-02-13,14.8078,14.896,14.415,14.8719,265338
2018-02-14,14.8078,15.3762,14.7196,15.2166,259803
2018-02-15,15.361,15.9222,15.0322,15.9222,409074
2018-02-16,15.4411,16.1386,15.4411,15.9542,495388
2018-02-20,15.9302,16.9804,15.9302,16.4753,604749
2018-02-21,16.6277,16.6517,15.931,16.0264,212993
2018-02-22,16.0344,16.2348,15.7458,15.9943,179331
2018-02-23,15.8099,15.8099,15.3289,15.5774,384319
2018-02-26,15.5453,15.9943,15.3409,15.8741,307935
2018-02-27,15.85,16.2829,15.6496,16.0344,1043229
2018-02-28,16.2188,16.6678,16.2108,16.4353,465706
2018-03-01,16.4673,16.9163,16.3872,16.5715,328377
2018-03-02,16.4834,16.6277,16.2348,16.4112,272729
2018-03-05,16.5154,16.5194,15.826,16.0023,748947
2018-03-06,16.0344,16.6277,16.0023,16.2268,850760
2018-03-07,16.0344,16.2749,15.9943,16.1146,242675
2018-03-08,16.0504,16.1226,15.842,15.9703,348297
2018-03-09,16.0825,16.315,15.9542,15.9783,370492
2018-03-12,15.9542,16.1386,15.0804,15.9222,733209
2018-03-13,15.8179,15.9863,15.1445,15.2327,182160
2018-03-14,15.2166,15.7297,15.0723,15.5293,490889
2018-03-15,15.5053,15.7378,15.361,15.6175,258655
2018-03-16,15.7698,15.9141,15.3048,15.9141,383181
2018-03-19,15.7538,15.85,15.2006,15.377,180671
2018-03-20,15.2968,15.3169,14.9922,15.0723,244840
2018-03-21,15.0002,15.3449,14.7196,15.2166,586093
2018-03-22,15.0884,15.2688,14.463,14.6554,297590
2018-03-23,14.7597,14.8158,14.0461,14.1103,367062
2018-03-26,14.1584,14.4069,14.1023,14.3748,216595
2018-03-27,14.3748,14.6875,14.1504,14.2546,142195
2018-03-28,14.3428,14.5673,13.6693,13.7174,258018
2018-03-29,13.8056,14.4069,13.5892,14.0381,334606
2018-04-02,14.1103,14.4753,13.8056,13.9419,174718
2018-04-03,14.0862,14.1824,13.7335,13.9259,123488
2018-04-04,13.7014,14.0141,13.6613,13.9098,132503
2018-04-05,13.9419,13.974,13.6212,13.6854,239460
2018-04-06,13.7415,13.9098,13.6613,13.8297,122487
2018-04-09,13.8698,13.8698,13.2364,13.7896,116866
2018-04-10,13.8778,14.0942,13.7806,13.9499,92401
2018-04-11,13.9499,14.2065,13.6292,13.6373,251371
2018-04-12,13.6533,13.6533,13.1642,13.3647,284250
2018-04-13,13.4448,14.0622,13.4448,13.8698,165755
2018-04-16,13.9018,14.006,13.7335,13.8297,168869
2018-04-17,13.9499,14.2065,13.8698,13.9499,146395
2018-04-18,13.998,14.6715,13.998,14.1985,309694
2018-04-19,14.1664,14.5272,14.1664,14.4149,175378
2018-04-20,14.3107,14.3829,14.1263,14.3348,141038
2018-04-23,14.431,14.5753,13.8938,13.9179,174946
2018-04-24,13.8537,14.1462,13.5571,13.8217,232573
2018-04-25,13.8377,13.9018,13.4689,13.7655,55705
2018-04-26,13.9098,14.4871,13.6854,14.1904,879044
2018-04-27,14.2706,14.4951,13.974,14.2947,120899
2018-04-30,14.2305,14.3829,13.8537,14.0141,423833
