Date,Open,High,Low,Close,Volume
2012-07-25,13.1048,13.6654,12.5224,13.5781,8629514
2012-07-26,13.8256,14.0149,13.4616,14.0149,969692
2012-07-27,14.3716,14.9104,13.9814,14.9104,504631
2012-07-30,14.6701,14.7429,14.2697,14.5609,274107
2012-07-31,14.7502,14.823,14.5573,14.7648,245286
2012-08-01,14.7648,14.9104,13.8329,14.3716,125567
2012-08-02,14.2333,14.4437,13.993,14.1022,96688
2012-08-03,14.226,14.5318,14.226,14.3862,80732
2012-08-06,14.4153,14.6548,14.4153,14.459,150842
2012-08-07,14.4735,14.4881,14.0731,14.2697,160513
2012-08-08,14.0513,14.1678,13.6807,13.8474,275510
2012-08-09,13.862,13.862,13.396,13.498,325269
2012-08-10,13.3378,13.9858,13.1339,13.8693,276753
2012-08-13,13.9566,14.1605,13.5562,13.6654,101511
2012-08-14,13.8183,13.8693,13.4907,13.6145,59176
2012-08-15,13.4688,13.5999,13.3742,13.4332,143087
2012-08-16,13.4834,13.7382,13.3524,13.7382,165411
2012-08-17,13.6581,13.7455,13.5198,13.5198,125198
2012-08-20,13.5562,13.9057,13.498,13.7382,483315
2012-08-21,13.6873,13.8838,13.4179,13.4543,121413
2012-08-22,13.455,13.455,13.1412,13.4106,239138
2012-08-23,13.3815,13.6509,13.3451,13.6436,445129
2012-08-24,13.629,14.4328,13.4652,14.2551,113061
2012-08-27,14.2333,15.6821,14.1503,15.289,685604
2012-08-28,15.7185,15.7549,15.005,15.0778,390835
2012-08-29,15.1579,15.8787,14.8157,14.8885,355262
2012-08-30,15.2089,16.017,14.9977,15.6821,139318
2012-08-31,15.7185,15.8787,15.471,15.4782,175962
2012-09-04,15.6457,15.819,15.5947,15.6457,335216
2012-09-05,15.8204,15.8204,15.471,15.5729,115932
2012-09-06,15.6093,15.6967,15.289,15.3982,192719
2012-09-07,15.4127,15.5438,15.005,15.2453,258974
2012-09-10,15.2744,15.4171,14.9468,15.005,124182
2012-09-11,15.0341,15.2162,14.9249,14.9977,60992
2012-09-12,15.0123,15.2453,14.3789,14.3862,405334
2012-09-13,14.3061,15.278,13.5344,15.2162,408026
2012-09-14,15.1579,15.5438,14.9759,15.369,153482
2012-09-17,15.4054,16.432,15.4054,16.0825,363735
2012-09-18,16.1262,16.4247,16.017,16.3373,168145
2012-09-19,16.381,16.745,16.381,16.4902,176109
2012-09-20,16.5776,16.6941,16.0825,16.1553,156954
2012-09-21,16.2718,16.9343,16.017,16.6286,117231
2012-09-24,16.5776,16.7014,16.2718,16.5558,115407
2012-09-25,16.6431,16.9635,15.653,16.0607,140139
2012-09-26,16.0971,16.4393,15.6894,16.3301,188296
2012-09-27,16.3883,16.3883,16.0534,16.1553,54211
2012-09-28,16.1553,16.745,15.8714,16.0534,796857
2012-10-01,16.2573,17.16,16.017,17.0581,263713
2012-10-02,17.1746,17.9798,16.9489,17.0508,217118
2012-10-03,17.1528,18.1138,17.0144,18.0191,154762
2012-10-04,18.0919,18.2011,17.8517,17.9463,140826
2012-10-05,17.9754,18.0919,17.444,17.4949,134942
