Date,Open,High,Low,Close,Volume
2000-01-03,3.1875,3.1875,2.875,3.0,8200
2000-01-04,3.15625,3.21875,3.0,3.15625,10600
2000-01-05,3.1875,3.21875,3.03125,3.125,1600
2000-01-06,3.125,3.125,3.0,3.125,2500
2000-01-07,3.0,3.1875,2.5,3.1875,5700
2000-01-10,3.0,3.0,2.5,2.78125,8400
2000-01-11,2.875,2.96875,2.875,2.90625,600
2000-01-12,2.9375,2.96875,2.9375,2.96875,900
2000-01-13,3.125,3.125,3.0625,3.09375,2300
2000-01-14,3.0,3.25,3.0,3.25,5800
2000-01-18,2.5625,3.25,2.5625,3.25,4800
2000-01-19,2.8125,3.125,2.8125,2.875,4800
2000-01-20,2.96875,2.96875,2.875,2.875,2800
2000-01-21,2.875,2.9375,2.875,2.9375,2100
2000-01-24,2.875,2.875,2.375,2.625,9300
2000-01-25,2.625,2.625,2.625,2.625,300
2000-01-26,2.875,2.875,2.625,2.625,400
2000-01-27,2.3125,2.9375,2.3125,2.3125,2500
2000-01-28,2.875,2.875,2.625,2.625,1200
2000-01-31,3.0,3.0,2.625,2.625,700
2000-02-01,2.9375,2.9375,2.625,2.75,1900
2000-02-02,3.0,3.0,2.875,3.0,600
2000-02-03,2.5625,2.96875,2.5625,2.5625,2000
2000-02-04,2.75,2.9375,2.6875,2.6875,2900
2000-02-07,2.8125,3.0,2.75,2.75,7300
2000-02-08,2.625,3.0,2.625,3.0,300
2000-02-09,2.8125,3.0,2.8125,3.0,6000
2000-02-10,2.875,2.875,2.625,2.625,1700
2000-02-11,2.9375,3.25,2.6875,2.6875,6200
2000-02-14,2.75,3.125,2.75,3.125,12200
2000-02-15,3.0,3.0625,2.9375,3.0625,7700
2000-02-16,3.0625,3.46875,3.0625,3.3125,15400
2000-02-17,3.5,3.5,3.4375,3.5,9100
2000-02-18,3.5,3.65625,3.5,3.5,4500
2000-02-23,3.0625,3.0625,3.0625,3.0625,1300
2000-02-24,3.0625,3.0625,3.0625,3.0625,100
2000-02-25,3.5,3.5,3.0,3.5,700
2000-02-28,3.25,3.25,3.0625,3.25,4900
2000-02-29,3.0,3.4375,3.0,3.375,2800
2000-03-01,3.25,3.25,3.25,3.25,900
2000-03-02,3.25,3.5,3.25,3.46875,6200
2000-03-03,3.5,4.0,3.5,4.0,5500
2000-03-06,3.5,3.5,3.5,3.5,1200
2000-03-07,3.5,3.5,3.25,3.25,2700
2000-03-08,3.78125,3.78125,3.25,3.3125,8800
2000-03-09,3.75,4.0,3.5,3.5,9500
2000-03-10,3.84375,4.625,3.625,4.0,25200
2000-03-13,4.8125,5.3125,3.75,5.3125,60900
2000-03-14,5.375,5.375,4.6875,4.75,29400
2000-03-15,4.8125,4.875,4.0,4.75,21000
2000-03-16,5.0,5.0,4.0625,4.0625,4700
2000-03-17,4.75,4.75,4.0,4.5,7800
2000-03-20,4.65625,4.875,4.125,4.25,7600
2000-03-21,4.15625,4.1875,4.0,4.125,10000
2000-03-22,4.0,4.0,3.625,3.6875,2500
2000-03-23,3.6875,4.0,3.6875,4.0,2800
2000-03-24,4.0,4.875,4.0,4.875,5800
