Date,Open,High,Low,Close,Volume
2007-05-16,1.3769,1.4131,1.3407,1.3624,10626
2007-05-17,1.3624,1.4131,1.3624,1.4131,5796
2007-05-18,1.3407,1.3769,1.3407,1.3769,6801
2007-05-21,1.3769,1.4131,1.3407,1.3624,60166
2007-05-22,1.3407,1.3769,1.3044,1.3769,24011
2007-05-23,1.3769,1.3769,1.3769,1.3769,1380
2007-05-24,1.3407,1.3407,1.3262,1.3262,6210
2007-05-25,1.3407,1.3407,1.3262,1.3407,15870
2007-05-29,1.3262,1.4131,1.3262,1.3334,22413
2007-05-30,1.3262,1.3407,1.3189,1.3334,21528
2007-05-31,1.3334,1.3769,1.3044,1.3044,81266
2007-06-04,1.2682,1.2682,1.2465,1.2682,2190
2007-06-05,1.3044,1.3044,1.3044,1.3044,138
2007-06-06,1.3044,1.3407,1.2537,1.2537,55890
2007-06-07,1.2465,1.2465,1.232,1.232,32429
2007-06-08,1.2175,1.232,1.1957,1.232,15455
2007-06-11,1.2175,1.232,1.1233,1.1595,70034
2007-06-12,1.1588,1.2247,1.1414,1.1595,60621
2007-06-13,1.1595,1.2247,1.1233,1.1812,34568
2007-06-14,1.1667,1.1667,1.1667,1.1667,20699
2007-06-15,1.174,1.2682,1.145,1.2682,59614
2007-06-18,1.232,1.2682,1.232,1.232,44297
2007-06-19,1.2392,1.2392,1.1957,1.2102,101075
2007-06-20,1.2175,1.2175,1.1595,1.1957,108399
2007-06-21,1.232,1.232,1.1885,1.2175,17243
2007-06-22,1.1885,1.1885,1.1595,1.1885,36708
2007-06-25,1.145,1.145,1.145,1.145,5382
2007-06-26,1.145,1.145,1.1088,1.1233,30360
2007-06-27,1.1233,1.174,1.1233,1.174,27696
2007-06-28,1.1595,1.174,1.1595,1.174,4968
2007-06-29,1.1595,1.174,1.1595,1.174,1242
2007-07-02,1.1595,1.1595,1.1595,1.1595,414
2007-07-03,1.1595,1.1595,1.1595,1.1595,1380
2007-07-05,1.1595,1.1595,1.1595,1.1595,690
2007-07-09,1.1523,1.1523,1.1378,1.1378,6734
2007-07-10,1.145,1.1812,1.145,1.1595,57958
2007-07-11,1.1595,1.1595,1.1088,1.1088,57957
2007-07-12,1.1088,1.1595,1.1088,1.145,66651
2007-07-13,1.1595,1.1595,1.1233,1.1233,6486
2007-07-16,1.1233,1.1595,1.1088,1.1523,34223
2007-07-17,1.145,1.1812,1.116,1.145,14904
2007-07-18,1.1233,1.1305,1.087,1.116,77900
2007-07-20,1.1088,1.1088,1.1088,1.1088,966
2007-07-23,1.0943,1.1015,1.0508,1.1015,69962
2007-07-25,1.087,1.087,1.087,1.087,621
2007-07-26,1.087,1.1088,1.087,1.1088,5382
2007-07-27,1.0943,1.116,1.0943,1.116,22286
2007-07-30,1.1015,1.116,1.1015,1.116,6210
2007-07-31,1.0943,1.1015,1.0508,1.1015,8970
2007-08-01,1.0943,1.0943,1.0146,1.087,13731
2007-08-02,1.0653,1.0653,1.0515,1.0515,2029
2007-08-03,1.0515,1.1088,1.0515,1.1088,7038
2007-08-06,1.087,1.087,1.0653,1.087,46228
2007-08-07,1.0653,1.087,1.0653,1.087,12833
2007-08-08,1.087,1.1233,1.087,1.1015,14766
2007-08-09,1.1015,1.1015,1.087,1.087,10074
2007-08-10,1.0725,1.087,1.0218,1.087,9867
2007-08-13,1.058,1.1595,1.058,1.1523,53541
2007-08-14,1.1233,1.1233,1.087,1.1233,24699
2007-08-15,1.087,1.087,1.087,1.087,18630
2007-08-16,1.1233,1.1233,1.0508,1.0653,10419
2007-08-17,1.0653,1.1595,1.0146,1.1595,31662
2007-08-20,1.1595,1.1667,1.1595,1.1595,22632
2007-08-21,1.145,1.1957,1.145,1.1595,57683
2007-08-22,1.145,1.145,1.116,1.145,1656
2007-08-23,1.116,1.116,1.116,1.116,690
2007-08-24,1.087,1.087,1.087,1.087,4830
2007-08-27,1.0725,1.145,1.0725,1.1233,8280
2007-08-28,1.087,1.087,1.087,1.087,36568
2007-08-29,1.0725,1.087,1.0725,1.087,2249
2007-08-30,1.0725,1.087,1.0508,1.087,4968
2007-08-31,1.0725,1.087,1.0725,1.087,16560
2007-09-04,1.0508,1.087,1.0218,1.087,39306
2007-09-05,1.0725,1.0725,1.0725,1.0725,345
2007-09-06,1.0725,1.1378,1.0435,1.1378,27047
2007-09-07,1.087,1.087,1.0508,1.087,4968
2007-09-10,1.087,1.087,1.087,1.087,138
2007-09-11,1.0653,1.1378,1.0653,1.1378,25944
2007-09-12,1.1305,1.1305,1.087,1.087,2898
2007-09-13,1.1015,1.1233,1.1015,1.1233,7452
2007-09-14,1.1225,1.1233,1.0943,1.0943,14490
2007-09-17,1.1378,1.1378,1.087,1.1088,1656
2007-09-18,1.087,1.087,1.0798,1.087,33258
2007-09-19,1.1015,1.1015,1.087,1.087,12558
2007-09-20,1.0798,1.0798,1.0725,1.0725,8970
2007-09-21,1.0725,1.0725,1.0725,1.0725,14903
2007-09-24,1.0725,1.087,1.0725,1.087,5658
2007-09-25,1.087,1.087,1.087,1.087,13800
2007-09-26,1.087,1.087,1.058,1.0725,41400
2007-09-27,1.087,1.116,1.0653,1.116,51058
2007-09-28,1.0943,1.1233,1.0943,1.1233,8142
2007-10-01,1.1233,1.1233,1.0725,1.1233,20493
2007-10-02,1.1233,1.145,1.1233,1.145,43606
2007-10-03,1.1305,1.2972,1.1305,1.232,77174
2007-10-04,1.232,1.2899,1.232,1.2827,31711
2007-10-05,1.2827,1.2827,1.2827,1.2827,14352
2007-10-08,1.2827,1.3044,1.2827,1.3044,52928
2007-10-09,1.2972,1.3044,1.2682,1.3044,51264
2007-10-10,1.3044,1.3624,1.232,1.2754,58233
2007-10-11,1.232,1.3407,1.232,1.3334,47643
2007-10-12,1.3334,1.3334,1.3117,1.3117,9660
2007-10-15,1.2972,1.3334,1.2972,1.3189,23045
2007-10-16,1.3189,1.3189,1.3189,1.3189,6900
2007-10-17,1.2972,1.3407,1.2972,1.3407,16904
2007-10-18,1.2972,1.2972,1.232,1.2972,41191
2007-10-19,1.2899,1.3262,1.2899,1.3189,12758
2007-10-22,1.3044,1.3189,1.3044,1.3189,3588
2007-10-23,1.3044,1.3189,1.2899,1.3189,16007
2007-10-24,1.3117,1.4059,1.3117,1.3552,319985
2007-10-25,1.3479,1.4421,1.2682,1.4349,4714857
2007-10-26,1.4421,1.5073,1.4421,1.4856,262057
2007-10-29,1.4711,1.4856,1.3914,1.4639,125175
2007-10-30,1.4784,1.4856,1.4494,1.4494,48554
2007-10-31,1.4494,1.4639,1.3769,1.4349,73157
2007-11-01,1.4494,1.4494,1.4349,1.4494,14171
2007-11-02,1.4349,1.4494,1.4131,1.4131,20099
2007-11-05,1.4494,1.4639,1.4131,1.4131,240312
2007-11-06,1.4494,1.4639,1.3986,1.4131,60028
2007-11-07,1.4349,1.4494,1.3769,1.4131,45656
2007-11-08,1.3842,1.4131,1.3479,1.4131,25116
2007-11-09,1.3842,1.4131,1.3552,1.3986,17201
2007-11-12,1.3479,1.3769,1.3189,1.3769,34376
2007-11-13,1.3479,1.3769,1.3407,1.3769,22838
2007-11-14,1.3624,1.3769,1.3262,1.3407,54372
2007-11-15,1.3334,1.3697,1.2682,1.3044,49541
2007-11-16,1.2682,1.2972,1.232,1.2465,27271
2007-11-19,1.232,1.232,1.1595,1.1595,70501
2007-11-20,1.2175,1.2175,1.1595,1.1667,10764
2007-11-21,1.1595,1.1957,1.124,1.1957,3312
2007-11-23,1.1233,1.1595,1.1233,1.1233,22217
2007-11-26,1.1233,1.1523,1.0146,1.087,112674
2007-11-27,1.0146,1.0146,0.9059,0.9783,60337
2007-11-28,0.9638,1.087,0.9493,1.087,21114
2007-11-29,1.0146,1.0653,0.9783,1.0508,51109
2007-11-30,1.0435,1.0508,0.9928,1.0508,154532
2007-12-04,1.0435,1.0435,1.0146,1.0146,8694
2007-12-05,1.0508,1.0508,0.9204,1.0146,69894
2007-12-06,1.0508,1.1233,1.0146,1.1233,27324
2007-12-07,1.0508,1.087,1.0146,1.087,10763
2007-12-10,1.0146,1.087,1.0146,1.087,1518
2007-12-11,1.0508,1.087,1.0508,1.087,16974
2007-12-12,1.1233,1.1233,1.1233,1.1233,170
2007-12-13,1.087,1.087,1.087,1.087,2070
2007-12-14,1.0725,1.0725,1.0725,1.0725,690
2007-12-17,1.0725,1.087,1.0363,1.087,3588
2007-12-18,1.0653,1.0653,1.0001,1.0653,392214
2007-12-19,1.0291,1.0653,0.9421,1.0653,25114
2007-12-20,1.0363,1.0363,1.0146,1.0363,5520
2007-12-21,1.0146,1.0146,0.9421,1.0146,2484
2007-12-26,1.0146,1.0146,1.0146,1.0146,46091
2007-12-27,0.9783,1.0146,0.9783,1.0146,16007
2007-12-28,0.9928,1.0508,0.9783,1.0508,21665
2007-12-31,1.0001,1.0435,0.9783,1.0146,66652
2008-01-02,1.0146,1.0508,1.0001,1.0508,16560
2008-01-03,1.0291,1.0291,1.0291,1.0291,138
2008-01-04,0.9783,1.0146,0.9276,1.0146,5934
2008-01-07,0.9783,1.0146,0.9566,1.0146,5658
2008-01-08,0.9783,0.9783,0.9638,0.9783,7728
2008-01-09,0.9348,0.9783,0.8914,0.9421,83626
2008-01-10,0.9059,1.0073,0.9059,1.0073,77257
2008-01-11,0.9638,1.0073,0.9421,1.0073,4415
2008-01-14,0.9638,1.0798,0.9638,1.0725,72034
2008-01-15,1.058,1.0725,1.0435,1.0725,1932
2008-01-16,1.087,1.087,1.0291,1.0725,9108
2008-01-17,1.0291,1.0725,1.0291,1.0725,1794
2008-01-18,0.9856,1.0798,0.9856,1.0508,10074
2008-01-22,1.0146,1.0146,0.9783,1.0146,9279
2008-01-23,0.9856,1.0508,0.9566,1.0508,73414
2008-01-24,1.0508,1.0508,0.9928,1.0435,19595
2008-01-25,0.9928,1.0218,0.9928,1.0146,16974
2008-01-28,1.0001,1.0399,0.9928,1.0399,165927
2008-01-29,1.0001,1.0291,0.9421,1.0001,88936
2008-01-30,0.9711,1.0001,0.9348,0.9566,53958
2008-01-31,0.9421,0.9783,0.9348,0.9783,36570
2008-02-01,0.9421,0.9783,0.9131,0.9783,177121
2008-02-04,0.9783,1.0001,0.9783,1.0001,2070
2008-02-05,0.9856,0.9856,0.9348,0.9783,41018
2008-02-06,0.9783,0.9783,0.9348,0.9783,22492
2008-02-07,0.9783,1.0508,0.9783,1.0407,66204
2008-02-08,1.0508,1.145,0.9765,1.0798,416708
2008-02-11,1.116,1.1523,1.0725,1.145,352580
2008-02-12,1.087,1.0943,1.0146,1.0798,226090
2008-02-13,1.0798,1.087,1.0146,1.0435,21114
2008-02-14,1.0146,1.0798,0.9711,1.0435,29838
2008-02-15,1.0001,1.0001,0.9204,0.9276,137996
2008-02-19,0.9131,0.9638,0.9059,0.9638,17871
2008-02-20,0.9638,0.9783,0.9421,0.9711,3381
2008-02-21,0.9711,0.9711,0.8406,0.8696,194361
2008-02-22,0.9051,0.9566,0.9051,0.9566,20561
2008-02-25,0.9566,0.9566,0.8979,0.9276,29739
2008-02-26,0.9269,0.9638,0.9269,0.9638,11454
2008-02-27,0.9348,0.9638,0.9204,0.9638,13248
2008-02-28,0.9348,0.9638,0.9348,0.9566,4789
2008-02-29,0.9566,0.9638,0.9493,0.9493,176492
2008-03-03,0.9421,0.9566,0.9131,0.9131,38500
2008-03-04,0.9276,0.9566,0.9276,0.9566,3036
2008-03-05,0.9566,0.9638,0.9421,0.9566,86522
2008-03-06,0.9348,0.9566,0.9204,0.9204,99492
2008-03-07,0.9204,0.9204,0.9204,0.9204,138
2008-03-10,0.9131,0.9131,0.8479,0.8986,46090
2008-03-11,0.8769,0.8986,0.8769,0.8986,828
2008-03-12,0.8986,0.8986,0.8696,0.8986,11867
2008-03-13,0.8696,0.8986,0.8696,0.8986,29392
2008-03-14,0.8696,0.8986,0.8406,0.8986,3726
2008-03-17,0.8986,0.8986,0.8986,0.8986,276
2008-03-18,0.8551,0.8986,0.8551,0.8986,4753
2008-03-19,0.8986,0.8986,0.8986,0.8986,52436
2008-03-20,0.8551,0.9131,0.7682,0.9059,73965
