Date,Open,High,Low,Close,Volume
2016-09-30,26.5,39.4,26.1,37.78,29006687
2016-10-03,38.51,46.78,37.5,43.47,27811263
2016-10-04,44.5,44.5,38.0,38.0,9511722
2016-10-05,38.11,40.86,36.01,36.2,8003933
2016-10-06,36.25,37.7,35.18,36.43,4923657
2016-10-07,36.75,39.16,36.21,38.32,5139185
2016-10-10,38.7,39.9,33.66,34.79,3567521
2016-10-11,34.79,35.43,31.25,31.9,3885206
2016-10-12,31.5,33.786,31.0,32.5,2201590
2016-10-13,32.6,35.9,31.3,34.85,3687905
2016-10-14,35.0,35.95,32.5,32.55,2458928
2016-10-17,32.44,33.13,30.3,30.75,2526935
2016-10-18,31.18,31.84,29.6,30.96,3563039
2016-10-19,30.77,31.2,29.85,30.15,1352512
2016-10-20,30.01,30.728,28.39,28.83,1715990
2016-10-21,28.9,30.68,28.18,29.35,2670269
2016-10-24,29.27,31.46,29.27,29.68,2359574
2016-10-25,29.99,30.88,28.57,29.12,2412741
2016-10-26,29.02,29.54,28.41,28.51,1225847
2016-10-27,29.25,29.4,26.44,27.39,2603772
2016-10-28,27.3,27.8,24.5,25.3,2290380
2016-10-31,25.0,25.9,24.43,24.75,2043028
2016-11-01,24.75,25.165,23.538,23.9,1269401
2016-11-02,24.16,24.75,23.7,24.16,1444413
2016-11-03,24.6,25.0,23.27,23.96,1161301
2016-11-04,23.84,25.09,23.84,23.86,1458927
2016-11-07,25.09,25.5,23.24,23.75,1384797
2016-11-08,23.41,27.431,23.11,27.25,2191741
2016-11-09,25.21,30.54,24.65,29.5,2641236
2016-11-10,30.25,31.01,26.9,28.0,1646030
2016-11-11,27.22,29.19,27.087,29.0,952586
2016-11-14,29.0,29.19,27.97,28.1,852965
2016-11-15,28.0,33.0,28.0,32.9,2765953
2016-11-16,34.59,34.59,30.99,32.78,2012481
2016-11-17,32.78,33.18,31.01,32.4,1160408
2016-11-18,31.5,34.9,31.2,34.8,1770012
2016-11-21,35.0,35.69,33.11,33.62,1261883
2016-11-22,33.7,33.9,32.111,33.0,1030437
2016-11-23,33.0,34.65,32.6,34.5,1073557
2016-11-25,34.2,34.73,33.61,34.0,504349
2016-11-28,34.0,34.66,33.0,33.55,1276530
2016-11-29,34.84,35.49,31.5,32.8,2576769
2016-11-30,33.6,34.65,31.6,31.62,3310198
2016-12-01,32.48,32.48,27.47,27.78,2689966
2016-12-02,27.8,28.6,27.06,27.77,1714158
2016-12-05,28.0,29.35,27.5,27.95,1416718
2016-12-06,27.98,28.451,27.1,27.67,1037144
2016-12-07,27.4,28.25,27.0,27.3,1767224
2016-12-08,27.8,27.8,27.0,27.53,815612
2016-12-09,27.38,27.95,27.2,27.5,688386
2016-12-12,27.85,27.85,25.95,26.37,721391
2016-12-13,26.07,26.62,24.8,24.94,1193117
2016-12-14,25.1,25.72,24.8,25.25,722769
2016-12-15,25.02,28.75,25.0,28.64,1773645
2016-12-16,28.5,30.2,28.4,28.73,2720541
2016-12-19,28.68,29.1,28.1,28.36,547928
2016-12-20,28.5,30.17,28.5,29.4,692250
2016-12-21,29.5,29.71,28.2,28.5,573216
2016-12-22,28.33,30.99,28.33,28.71,2025910
2016-12-23,28.9,29.64,28.19,28.55,624571
2016-12-27,28.38,29.02,28.07,28.6,259766
2016-12-28,28.51,28.65,27.01,27.99,559668
2016-12-29,27.2,27.6,25.95,26.21,596623
2016-12-30,26.0,27.0,25.83,27.0,447393
2017-01-03,27.0,27.392,25.75,26.3,1005232
2017-01-04,26.2,28.386,25.88,28.15,849173
2017-01-05,27.99,28.35,26.4,26.74,1154319
2017-01-06,27.68,28.48,26.62,28.19,852413
2017-01-09,27.93,29.6,27.8,29.35,1126711
2017-01-10,29.36,30.25,28.75,29.05,710792
2017-01-11,28.6,30.5,28.6,29.86,891019
2017-01-12,30.0,30.899,29.25,30.17,585996
2017-01-13,30.89,30.89,29.612,30.46,486016
2017-01-17,30.5,31.5,29.82,30.15,704917
2017-01-18,29.82,29.82,28.01,28.2,1296469
2017-01-19,30.5,30.51,28.22,28.5,463926
2017-01-20,28.28,29.0,28.05,28.35,464538
2017-01-23,28.35,30.293,28.055,29.5,748185
2017-01-24,30.05,30.3,29.22,30.18,732639
2017-01-25,30.19,32.645,30.19,31.99,1262529
2017-01-26,32.29,32.89,29.95,30.01,973505
2017-01-27,30.35,30.63,29.85,30.31,409994
2017-01-30,30.12,30.742,28.95,29.22,579793
2017-01-31,29.07,30.55,28.36,30.01,460234
2017-02-01,30.5,31.0,28.933,29.1,546299
2017-02-02,29.02,30.22,28.71,29.32,455916
2017-02-03,29.31,31.85,29.14,31.27,1184610
2017-02-06,31.35,31.462,30.466,31.1,475059
2017-02-07,31.29,31.75,30.3,30.41,500525
2017-02-08,31.0,31.69,30.46,31.69,689881
2017-02-09,31.6,32.58,31.446,31.91,704476
2017-02-10,31.96,32.58,31.5,32.13,555231
2017-02-13,32.16,33.0,31.81,32.02,558615
2017-02-14,32.0,32.38,32.0,32.09,429104
2017-02-15,32.05,33.74,31.53,33.1,1097845
2017-02-16,32.1,33.95,31.6,31.6,1168787
2017-02-17,31.52,31.9,31.0,31.15,515325
2017-02-21,31.45,31.89,30.48,31.6,696565
2017-02-22,31.71,32.0,30.71,30.88,406104
2017-02-23,30.89,31.189,30.04,30.5,563421
2017-02-24,30.03,30.3,29.3,29.82,534642
2017-02-27,30.3,30.375,29.3,30.3,506916
2017-02-28,30.8,30.8,29.62,29.75,509768
2017-03-01,30.0,30.863,30.0,30.73,709819
2017-03-02,30.9,31.54,25.5,26.84,1835335
2017-03-03,27.98,27.98,22.52,23.31,9007101
2017-03-06,23.32,23.87,21.07,21.38,4828647
2017-03-07,21.8,22.27,21.21,21.46,2234135
2017-03-08,21.46,22.54,21.11,21.35,1401120
2017-03-09,21.31,21.97,21.0,21.47,749275
2017-03-10,21.6,21.63,21.0,21.44,762129
2017-03-13,21.21,21.385,20.61,20.8,620438
2017-03-14,20.53,20.701,20.0,20.2,924536
2017-03-15,20.35,20.5,20.1,20.35,720985
2017-03-16,20.4,20.66,20.0,20.61,464832
2017-03-17,20.56,21.1,20.37,20.45,685883
2017-03-20,20.41,21.15,20.09,20.32,734685
2017-03-21,20.52,20.54,19.3,19.5,938081
2017-03-22,19.44,20.0,19.44,19.67,705087
2017-03-23,19.75,19.75,19.32,19.55,667774
2017-03-24,19.37,19.9,19.14,19.5,323030
2017-03-27,19.31,19.925,19.0,19.81,739761
2017-03-28,19.75,20.06,19.37,19.93,1073237
