Date,Open,High,Low,Close,Volume
2020-08-26,10.1,10.1,9.66,9.7,1900
2020-08-27,9.55,9.75,9.55,9.75,600
2020-08-28,9.89,9.95,9.89,9.95,282
2020-08-31,10.0,10.0,10.0,10.0,100
2020-09-01,10.65,10.65,10.65,10.65,100
2020-09-02,10.2,10.3,10.2,10.3,590
2020-09-03,10.5,10.5,10.26,10.26,7112
2020-09-04,10.31,10.77,10.1,10.1,2031
2020-09-08,10.39,10.5965,10.09,10.4735,1454
2020-09-09,10.4,10.4,10.27,10.27,79951
2020-09-10,10.4021,12.0,10.4021,11.49,12255
2020-09-11,10.92,11.25,10.92,11.25,2200
2020-09-14,11.3,11.5,11.23,11.285,3150
2020-09-15,11.28,11.6199,11.28,11.61,3900
2020-09-16,11.58,11.77,11.31,11.5,5481
2020-09-17,11.5,11.5,11.0,11.05,2400
2020-09-18,11.0,11.05,10.56,11.0,2900
2020-09-21,11.35,11.35,11.01,11.2,1133
2020-09-22,11.0,11.28,11.0,11.1441,2423
2020-09-23,11.21,11.21,11.13,11.15,1500
2020-09-24,11.1,11.43,11.08,11.43,3000
2020-09-25,11.4,11.4,11.0771,11.4,10801
2020-09-28,11.3,11.4,11.0,11.105,9480
2020-09-30,11.2,11.2,11.198,11.198,6050
2020-10-01,11.2,11.2,11.0,11.125,6125
2020-10-02,11.05,11.05,11.0,11.0,3300
2020-10-05,10.96,11.21,10.71,10.95,4300
2020-10-06,10.53,11.43,10.5,11.04,11501
2020-10-07,11.0,11.02,11.0,11.02,3900
2020-10-08,11.0,11.1,10.72,10.95,3600
2020-10-09,11.0,11.0,11.0,11.0,450
2020-10-12,11.16,11.18,10.71,10.79,3407
2020-10-13,10.73,10.8944,10.73,10.8944,1200
2020-10-15,11.0,11.0,10.906,10.906,1600
2020-10-19,10.96,10.96,10.96,10.96,100
2020-10-20,11.0,11.1,11.0,11.1,24525
2020-10-21,11.6,13.36,10.3,10.675,676426
2020-10-22,10.87,11.05,10.2,10.3,161580
2020-10-23,10.47,10.61,10.15,10.32,213777
2020-10-26,10.44,10.525,10.26,10.26,27119
2020-10-27,10.38,10.5,10.2,10.28,380336
2020-10-28,10.23,10.25,10.1783,10.25,1600
2020-10-29,10.21,10.21,9.97,10.17,339235
2020-10-30,10.2,10.4,10.02,10.09,150400
2020-11-02,10.13,10.15,10.0,10.05,87643
2020-11-03,10.05,10.055,10.05,10.055,115530
2020-11-04,10.05,10.16,9.98,10.16,51210
2020-11-05,10.11,10.35,9.908,10.23,438579
2020-11-06,10.1824,10.31,10.12,10.25,2805
2020-11-09,10.21,10.4,10.13,10.27,9557
2020-11-10,10.38,10.4,10.15,10.27,26590
2020-11-11,10.1301,10.27,9.78,10.19,36664
2020-11-12,10.18,10.38,9.97,10.07,21000
2020-11-13,10.07,10.25,10.07,10.15,2100
2020-11-16,10.38,10.38,10.01,10.065,32355
2020-11-17,10.18,10.28,9.97,10.02,88749
2020-11-18,9.95,10.22,9.95,10.05,26859
2020-11-19,10.19,10.2481,10.02,10.13,38391
2020-11-20,10.2,10.34,9.95,10.1,37816
2020-11-23,10.23,10.2373,9.97,10.21,146721
2020-11-24,10.16,10.28,9.97,10.08,188856
2020-11-25,9.97,10.09,9.78,10.06,519280
2020-11-27,10.06,10.25,10.06,10.1,4650
2020-11-30,10.2,10.34,10.0,10.04,59955
2020-12-01,10.11,10.205,10.03,10.05,14960
2020-12-02,10.01,10.253,9.92,10.0,18881
2020-12-03,10.02,10.19,9.99,10.05,168217
2020-12-04,10.0,10.09,9.94,10.03,210947
2020-12-07,10.64,10.64,10.05,10.22,135378
2020-12-08,10.2,10.4263,10.1,10.245,273854
2020-12-09,10.35,10.4,10.1,10.26,68474
2020-12-10,10.18,10.28,10.05,10.2,57176
2020-12-11,10.2,10.2737,9.99,10.04,283173
2020-12-14,10.5,10.5,10.04,10.19,163910
2020-12-15,10.15,10.23,10.11,10.17,60284
2020-12-16,10.1559,10.58,10.15,10.5,145647
2020-12-17,10.44,10.58,10.36,10.41,103764
2020-12-18,10.45,10.57,10.3,10.3,48848
2020-12-21,10.3,10.47,10.15,10.25,68781
2020-12-22,10.3,10.5,10.15,10.44,93609
2020-12-23,10.39,10.7,10.3501,10.39,112299
2020-12-24,10.44,10.77,10.435,10.59,47320
2020-12-28,10.6,10.96,10.31,10.56,75169
2020-12-29,10.68,10.68,10.52,10.53,81197
2020-12-30,10.64,11.33,10.55,11.3,821111
2020-12-31,11.15,11.94,10.89,11.7,2037987
2021-01-04,11.7,11.98,11.0,11.2,399026
2021-01-05,11.19,12.0,11.09,11.6,722746
2021-01-06,11.4952,11.89,10.97,11.25,312281
2021-01-07,11.3,11.6968,11.0,11.18,537177
2021-01-08,11.15,11.4,10.81,10.91,235091
2021-01-11,11.02,11.53,10.85,11.08,224288
2021-01-12,10.92,11.35,10.88,11.0,341837
2021-01-13,11.29,11.29,10.85,10.92,229141
2021-01-14,10.93,11.1499,10.8501,11.06,327828
2021-01-15,10.9,11.0671,10.78,10.9,148445
2021-01-19,10.92,11.0,10.8,10.85,153699
2021-01-20,10.8175,12.3,10.5719,11.95,565267
2021-01-21,11.61,11.75,11.1,11.2,280966
2021-01-22,11.1,11.47,10.96,11.1,271838
2021-01-25,11.1,11.25,10.88,10.95,249030
2021-01-26,10.99,11.055,10.82,10.86,435903
2021-01-27,10.95,10.95,10.09,10.36,369380
2021-01-28,10.212,10.68,10.212,10.48,265341
2021-01-29,10.27,10.46,10.08,10.15,277143
2021-02-01,10.36,10.84,10.16,10.5899,857609
2021-02-02,10.4,10.61,10.26,10.46,544059
2021-02-03,10.38,10.62,10.38,10.41,246722
2021-02-04,10.49,10.74,10.4,10.64,153954
2021-02-05,10.5,10.5567,10.39,10.4,184789
2021-02-08,10.51,10.64,10.31,10.45,335953
2021-02-09,10.39,10.69,10.39,10.69,470312
2021-02-10,10.35,10.67,10.3,10.41,325878
2021-02-11,10.5,10.5,8.56,9.55,305219
2021-02-12,9.85,10.09,8.7,9.0,522868
2021-02-16,9.74,9.86,9.2501,9.52,542578
2021-02-17,9.79,10.22,9.5001,10.13,354881
2021-02-18,9.85,10.13,9.72,9.72,227726
2021-02-19,9.3013,10.33,9.3013,10.17,284451
2021-02-22,9.81,10.43,9.47,10.1,429613
2021-02-23,9.61,10.49,9.47,10.1,307290
2021-02-24,10.07,10.62,9.9918,10.48,397838
2021-02-25,9.6059,10.5,9.6059,9.61,308283
2021-02-26,10.25,10.4,9.9,10.03,566340
2021-03-01,10.0,10.82,9.89,10.57,527059
2021-03-02,10.63,11.38,10.17,10.86,593851
2021-03-03,10.66,11.38,10.5,11.0,947588
2021-03-04,10.62,11.3,10.01,10.5,752170
2021-03-05,10.34,10.97,9.685,10.34,696693
2021-03-08,10.99,11.85,10.78,11.54,1599839
2021-03-09,11.41,12.94,11.41,12.66,1107617
2021-03-10,12.72,13.49,12.51,12.51,919707
2021-03-11,13.49,14.19,12.86,13.86,1149948
2021-03-12,14.25,14.25,13.4301,13.78,890290
2021-03-15,13.93,14.15,13.79,14.05,1611021
2021-03-16,14.08,14.12,13.91,14.09,921546
2021-03-17,14.0,14.09,13.56,13.8,2424062
2021-03-18,13.7,14.31,13.656,14.01,2671699
2021-03-19,13.96,15.0,13.905,14.57,6114211
2021-03-22,14.32,15.075,14.25,14.46,1958942
2021-03-23,14.46,14.97,13.1,13.35,2065887
2021-03-24,13.27,13.47,11.885,11.93,545941
2021-03-25,11.83,11.83,10.345,10.5,1336947
2021-03-26,10.51,10.61,9.91,10.28,1003753
2021-03-29,10.2,10.24,9.77,9.83,438474
2021-03-30,9.79,10.24,9.53,10.23,463880
2021-03-31,10.19,10.73,10.19,10.45,360239
2021-04-01,10.54,10.63,10.14,10.2,440606
2021-04-05,10.69,11.09,10.35,10.85,1098847
