Date,Open,High,Low,Close,Volume
2022-01-24,0.3,0.3,0.24,0.245,148000
2022-01-25,0.25,0.25,0.21,0.21,504500
2022-01-26,0.25,0.25,0.22,0.22,50000
2022-01-27,0.21,0.22,0.21,0.22,402450
2022-01-28,0.195,0.195,0.19,0.19,33399
2022-01-31,0.1801,0.1801,0.18,0.18,22606
2022-02-01,0.1801,0.1806,0.1784,0.18,27400
2022-02-02,0.1801,0.1801,0.18,0.18,25998
2022-02-03,0.1602,0.165,0.16,0.16,36300
2022-02-04,0.17,0.17,0.1599,0.1599,30135
2022-02-07,0.15,0.18,0.15,0.18,86218
2022-02-08,0.18,0.1895,0.1798,0.18,154244
2022-02-09,0.18,0.18,0.1795,0.18,124720
2022-02-10,0.2,0.2,0.18,0.2,91279
2022-02-11,0.2,0.2,0.2,0.2,500
2022-02-15,0.19,0.195,0.19,0.195,30500
2022-02-16,0.19,0.19,0.19,0.19,26600
2022-02-17,0.1801,0.1801,0.1801,0.1801,100
2022-02-18,0.19,0.19,0.19,0.19,100
2022-02-23,0.188,0.188,0.1601,0.1601,23100
2022-02-24,0.1575,0.16,0.15,0.16,49600
2022-02-25,0.17,0.17,0.1501,0.1501,86900
2022-02-28,0.16,0.17,0.15,0.15,20198
2022-03-01,0.15,0.16,0.15,0.1588,10200
2022-03-02,0.1566,0.16,0.1566,0.1588,10400
2022-03-03,0.1555,0.16,0.1555,0.1595,3400
2022-03-04,0.1595,0.1638,0.1595,0.16,247769
2022-03-07,0.1584,0.16,0.1584,0.1588,10171
2022-03-08,0.1587,0.18,0.1587,0.18,13000
2022-03-09,0.1799,0.18,0.175,0.1774,5989
2022-03-10,0.18,0.18,0.1607,0.171,8461
2022-03-11,0.1799,0.18,0.1799,0.18,400
2022-03-14,0.18,0.18,0.16,0.1698,26200
2022-03-15,0.168,0.168,0.165,0.168,36466
2022-03-17,0.1696,0.17,0.1689,0.1689,2351
2022-03-18,0.1608,0.169,0.1599,0.1601,181900
2022-03-21,0.1601,0.1695,0.1601,0.1695,47649
2022-03-22,0.1694,0.1694,0.1694,0.1694,4000
2022-03-23,0.1693,0.17,0.165,0.17,4500
2022-03-24,0.17,0.17,0.1689,0.17,84539
2022-03-25,0.17,0.17,0.17,0.17,31000
2022-03-28,0.17,0.17,0.17,0.17,2858
2022-03-29,0.1651,0.1699,0.165,0.1699,15600
2022-03-30,0.1699,0.17,0.1661,0.1697,43458
2022-03-31,0.18,0.1899,0.18,0.1899,1600
2022-04-01,0.1899,0.1899,0.1899,0.1899,1600
2022-04-04,0.1899,0.1899,0.1899,0.1899,600
2022-04-05,0.1899,0.1899,0.1899,0.1899,2100
2022-04-06,0.1757,0.1899,0.1757,0.1899,5000
2022-04-07,0.1899,0.1899,0.1899,0.1899,2500
2022-04-11,0.1899,0.1971,0.1899,0.1971,2600
2022-04-13,0.19,0.1999,0.18,0.18,4812
2022-04-18,0.19,0.1993,0.1702,0.1702,211600
2022-04-19,0.21,0.21,0.2021,0.2021,1600
2022-04-20,0.21,0.215,0.1941,0.1941,4900
2022-04-21,0.2019,0.2019,0.1952,0.1953,7557
2022-04-22,0.2499,0.2499,0.2499,0.2499,600
2022-04-25,0.21,0.21,0.1806,0.1806,10300
2022-04-26,0.2599,0.2599,0.165,0.165,101000
2022-04-27,0.18,0.2,0.18,0.2,18000
2022-04-28,0.2,0.2001,0.1826,0.1826,17808
2022-04-29,0.2004,0.2004,0.188,0.188,2200
2022-05-02,0.1502,0.19,0.1502,0.19,808
2022-05-03,0.1505,0.19,0.1505,0.19,29100
2022-05-04,0.19,0.194,0.19,0.194,20500
2022-05-05,0.175,0.1814,0.175,0.175,4800
2022-05-09,0.1512,0.19,0.15,0.15,8746
2022-05-10,0.15,0.15,0.14,0.14,50500
2022-05-11,0.1201,0.1201,0.1044,0.1044,5005
2022-05-12,0.105,0.15,0.09,0.0905,28090
2022-05-16,0.099,0.099,0.099,0.099,100
2022-05-18,0.1122,0.1368,0.101,0.1186,29896
2022-05-19,0.1609,0.1609,0.1288,0.1388,2300
2022-05-20,0.0988,0.12,0.0984,0.11,15590
2022-05-24,0.1199,0.1199,0.1189,0.1189,1500
2022-05-26,0.119,0.1319,0.119,0.1312,1500
2022-05-31,0.1363,0.1375,0.12,0.1359,2300
2022-06-06,0.1329,0.1329,0.1175,0.1315,600
2022-06-07,0.1001,0.1244,0.1001,0.11,1600
2022-06-09,0.12,0.12,0.12,0.12,100
2022-06-10,0.1001,0.1199,0.1001,0.1199,13681
2022-06-13,0.1175,0.1175,0.1174,0.1174,700
2022-06-14,0.11,0.1175,0.11,0.1175,600
2022-06-21,0.095,0.1081,0.095,0.1064,15100
2022-06-23,0.1175,0.1175,0.11,0.11,800
2022-06-24,0.11,0.11,0.1,0.1062,8000
2022-06-27,0.1175,0.1175,0.11,0.11,1000
2022-06-28,0.11,0.11,0.11,0.11,500
2022-06-29,0.115,0.115,0.11,0.1125,2334
2022-06-30,0.11,0.115,0.11,0.115,1900
2022-07-11,0.11,0.11,0.104,0.1076,600
2022-07-13,0.11,0.11,0.11,0.11,100
2022-07-14,0.1112,0.1112,0.11,0.11,700
2022-07-15,0.099,0.099,0.085,0.0861,51300
2022-07-18,0.09,0.09,0.09,0.09,1800
2022-07-19,0.09,0.09,0.09,0.09,600
2022-07-20,0.09,0.09,0.09,0.09,746
2022-07-21,0.09,0.097,0.09,0.097,1100
2022-07-25,0.09,0.09,0.0825,0.09,1502
2022-07-26,0.09,0.09,0.09,0.09,1600
2022-07-27,0.09,0.097,0.09,0.097,1700
2022-07-28,0.09,0.09,0.0825,0.0825,1725
2022-07-29,0.09,0.097,0.09,0.097,1100
2022-08-03,0.0999,0.0999,0.0999,0.0999,500
2022-08-04,0.0989,0.099,0.0989,0.099,600
2022-08-08,0.0825,0.0825,0.0775,0.0775,46548
2022-08-16,0.09,0.09,0.09,0.09,200
2022-08-17,0.095,0.095,0.095,0.095,500
2022-08-18,0.09,0.09,0.09,0.09,52200
2022-08-22,0.095,0.095,0.0949,0.0949,10500
2022-08-25,0.09,0.09,0.09,0.09,600
2022-08-26,0.095,0.095,0.095,0.095,24600
2022-08-30,0.0925,0.0925,0.09,0.09,3400
2022-09-01,0.075,0.075,0.075,0.075,300
2022-09-02,0.08,0.08,0.08,0.08,800
2022-09-16,0.0799,0.0799,0.0799,0.0799,5000
2022-09-22,0.06,0.06,0.06,0.06,25089
2022-09-26,0.0733,0.0733,0.07,0.07,688
2022-09-27,0.055,0.06,0.055,0.0599,15800
2022-09-28,0.06,0.06,0.06,0.06,600
2022-09-29,0.055,0.0575,0.055,0.055,10000
2022-09-30,0.055,0.055,0.055,0.055,17500
2022-10-04,0.05,0.05,0.05,0.05,800
2022-10-05,0.05,0.05,0.05,0.05,600
2022-10-06,0.05,0.05,0.045,0.05,4100
2022-10-07,0.05,0.05,0.05,0.05,220
2022-10-10,0.0401,0.0401,0.04,0.04,29700
2022-10-11,0.04,0.04,0.0339,0.0339,1000
2022-10-12,0.04,0.04,0.04,0.04,300
2022-10-13,0.04,0.04,0.04,0.04,750
2022-10-14,0.03,0.03,0.0227,0.0227,800
2022-10-17,0.02,0.02,0.02,0.02,200
2022-10-18,0.03,0.03,0.0078,0.0078,27468
2022-10-19,0.02,0.02,0.02,0.02,300
2022-10-21,0.02,0.0213,0.0167,0.0213,6800
2022-10-24,0.0197,0.0197,0.0195,0.0197,5800
2022-10-26,0.01,0.01,0.01,0.01,33600
2022-10-28,0.025,0.025,0.025,0.025,600
2022-10-31,0.025,0.025,0.025,0.025,500
2022-11-03,0.02,0.02,0.0193,0.0193,26300
2022-11-04,0.0294,0.0294,0.0294,0.0294,100
2022-11-07,0.02,0.02,0.015,0.0151,13898
2022-11-08,0.0525,0.0777,0.03,0.0359,337922
2022-11-09,0.0386,0.04,0.0366,0.04,10500
2022-11-10,0.0401,0.0413,0.0399,0.0399,34400
2022-11-14,0.0358,0.0379,0.035,0.035,13700
2022-11-18,0.0375,0.0376,0.0375,0.0376,5000
2022-11-23,0.0375,0.0375,0.0315,0.0315,23200
2022-11-28,0.0315,0.0315,0.0315,0.0315,24356
2022-11-30,0.0379,0.0512,0.0315,0.0475,57778
2023-01-06,0.045,0.045,0.045,0.045,5110
2023-01-09,0.035,0.035,0.035,0.035,172
2023-01-26,0.036,0.036,0.036,0.036,2602
2023-01-31,0.031,0.031,0.031,0.031,200000
2023-02-02,0.036,0.036,0.0359,0.0359,13758
2023-02-06,0.0397,0.0407,0.0388,0.0407,86300
2023-02-09,0.0375,0.0375,0.0375,0.0375,10000
2023-02-13,0.0375,0.0375,0.0375,0.0375,20000
2023-02-15,0.0375,0.0382,0.0375,0.0382,22300
2023-02-21,0.0385,0.0385,0.0385,0.0385,10000
2023-03-06,0.04,0.04,0.04,0.04,19915
2023-03-08,0.04,0.0625,0.0394,0.0625,213429
2023-03-09,0.0626,0.105,0.0626,0.105,96450
2023-03-14,0.1,0.1,0.0825,0.0826,48394
2023-03-16,0.0826,0.0826,0.0364,0.0623,69100
2023-03-28,0.075,0.075,0.075,0.075,5942
2023-03-31,0.075,0.08,0.075,0.08,9178
2023-04-04,0.075,0.075,0.0725,0.0725,5926
2023-04-10,0.085,0.085,0.0849,0.0849,2000
2023-04-12,0.08,0.08,0.07,0.07,2118
2023-04-17,0.0774,0.0825,0.07,0.0766,40900
2023-04-18,0.08,0.08,0.0787,0.08,83000
2023-04-19,0.08,0.08,0.0788,0.0794,86000
2023-04-20,0.08,0.0825,0.0788,0.0825,467447
2023-04-21,0.0775,0.08,0.0725,0.08,124735
2023-04-26,0.08,0.08,0.08,0.08,25000
2023-04-28,0.08,0.08,0.08,0.08,16980
2023-05-02,0.0825,0.0825,0.075,0.0775,53500
2023-05-04,0.07,0.08,0.07,0.0751,16190
