Date,Open,High,Low,Close,Volume
2002-09-12,10.049,10.109,9.9891,10.0357,116672.0
2002-09-13,10.1223,10.2555,10.0557,10.2555,24928.0
2002-09-16,10.2222,10.2888,10.1955,10.2222,33185.0
2002-09-17,10.2288,10.3887,10.1756,10.2089,86339.0
2002-09-18,10.2022,10.2688,10.1556,10.1955,50153.0
2002-09-19,10.2089,10.382,10.2089,10.2288,97306.0
2002-09-20,10.2222,10.3221,10.1955,10.2954,66522.0
2002-09-23,10.3221,10.3221,10.1622,10.2488,67422.0
2002-09-24,10.2755,10.3221,10.1756,10.3221,82737.0
2002-09-25,10.3221,10.3687,10.2089,10.2222,78386.0
2002-09-26,10.2755,10.3887,10.2288,10.3421,68923.0
2002-09-27,10.3421,10.3887,10.2888,10.3554,47149.0
2002-09-30,10.402,10.402,10.2954,10.3953,44748.0
2002-10-01,10.4086,10.4153,10.2555,10.2555,113523.0
2002-10-02,10.2888,10.3221,10.1556,10.2488,136347.0
2002-10-03,10.2555,10.3021,10.2555,10.2954,30482.0
2002-10-04,10.2488,10.3021,10.2488,10.2821,54808.0
2002-10-07,10.2555,10.402,10.2555,10.402,66972.0
2002-10-08,10.2821,10.655,10.2821,10.3887,100012.0
2002-10-09,10.3354,10.402,10.1289,10.2355,117727.0
2002-10-10,10.2488,10.2488,10.049,10.109,59468.0
2002-10-11,10.1156,10.2222,10.089,10.2222,65470.0
2002-10-14,10.3221,10.3221,10.2355,10.2355,33335.0
2002-10-15,10.2688,10.2688,9.9958,10.0557,48654.0
2002-10-16,9.9958,10.0823,9.9225,9.9758,92345.0
2002-10-17,9.9225,9.9558,9.7893,9.8093,63968.0
2002-10-18,9.7893,9.8759,9.7161,9.8759,94451.0
2002-10-21,9.8759,9.8759,9.7627,9.776,41299.0
2002-10-22,9.7893,9.816,9.7094,9.7494,59463.0
2002-10-23,9.6961,9.6961,9.3764,9.463,129142.0
2002-10-24,9.4564,9.6561,9.4564,9.6561,62769.0
2002-10-25,9.5962,9.6761,9.5962,9.6561,18919.0
2002-10-28,9.6495,9.8559,9.6295,9.7893,51955.0
2002-10-29,9.8093,9.8226,9.7294,9.816,53004.0
2002-10-30,9.7893,9.8892,9.7893,9.8892,12463.0
2002-10-31,9.9158,9.9758,9.9025,9.9625,10509.0
2002-11-01,9.9824,10.0557,9.9691,9.9824,33485.0
2002-11-04,9.9891,9.9891,9.8759,9.9158,21773.0
2002-11-05,9.9491,9.9824,9.9292,9.9691,26429.0
2002-11-06,9.9558,9.9891,9.9225,9.9558,44747.0
2002-11-07,9.9824,9.9891,9.8959,9.9425,68626.0
2002-11-08,9.9025,9.9625,9.8892,9.9625,55108.0
2002-11-11,9.9625,9.9625,9.8559,9.8959,19220.0
2002-11-12,9.9025,9.9092,9.8826,9.8959,38442.0
2002-11-13,9.8626,9.8692,9.7827,9.816,35588.0
