Date,Open,High,Low,Close,Volume
2018-04-17,23.2054,23.2054,21.6842,21.9162,3434.0
2018-04-18,21.2458,21.2458,21.2458,21.2458,116.0
2018-04-19,21.2458,21.667,21.1857,21.263,13379.0
2018-04-20,21.2716,21.2716,21.2716,21.2716,232.0
2018-04-23,21.2716,21.2716,19.7108,20.2489,18288.0
2018-04-24,19.7762,20.1457,19.3464,19.5527,86636.0
2018-04-25,19.8535,20.627,19.5613,19.7676,28390.0
2018-04-26,19.5527,19.9824,19.5527,19.9824,2675.0
2018-04-27,19.7074,20.1629,19.5613,19.6386,386851.0
2018-04-30,19.991,20.1371,18.358,18.994,513335.0
2018-05-01,18.6073,20.0856,18.0486,19.5269,30399951.0
2018-05-02,19.3378,20.0942,18.9511,19.5613,12041701.0
2018-05-03,19.4668,20.8677,19.3808,20.3262,5558390.0
2018-05-04,20.1543,22.3459,19.6043,21.4435,6462951.0
2018-05-07,21.4607,22.6382,20.9536,21.8045,5211753.0
2018-05-08,21.4865,21.6756,20.3348,21.1685,6820153.0
2018-05-09,20.9536,21.3919,20.8075,21.0396,3364965.0
2018-05-10,21.2372,22.1311,21.0568,21.4693,4844605.0
2018-05-11,21.5724,22.2815,21.5037,21.9936,2640405.0
2018-05-14,22.3459,22.3459,21.5819,22.0451,1204134.0
2018-05-15,22.3116,22.3116,21.4177,21.6928,1587371.0
2018-05-16,21.6154,21.7013,21.3318,21.4521,2423652.0
2018-05-17,21.263,21.624,21.1857,21.4779,1226711.0
2018-05-18,21.4435,21.8045,21.4435,21.7271,2132747.0
2018-05-21,21.7271,22.0279,21.6068,21.8818,1608615.0
2018-05-22,22.0623,22.6553,21.7529,22.3373,1739083.0
2018-05-23,22.2686,22.6038,21.9334,22.6038,949713.0
2018-05-24,22.3545,23.0077,21.7357,22.8358,1696927.0
2018-05-25,22.7757,22.939,22.4147,22.6553,1054916.0
2018-05-29,22.6296,23.2827,22.4491,22.8616,1586985.0
2018-05-30,22.9476,23.9445,22.4577,22.9733,2257260.0
2018-05-31,22.9476,23.3687,22.8015,23.2742,2365390.0
2018-06-01,23.3429,23.5836,23.0163,23.0335,1490356.0
2018-06-04,23.1109,24.2453,23.0335,23.7469,1250679.0
2018-06-05,23.7469,24.8384,23.6093,24.4774,1796945.0
2018-06-06,24.4774,24.9243,24.0906,24.9243,730564.0
2018-06-07,24.1852,24.2883,23.1538,23.6007,1150299.0
2018-06-08,23.489,23.9273,23.257,23.6179,1404086.0
2018-06-11,23.6007,23.9102,23.0937,23.6007,1418957.0
2018-06-12,23.6007,23.7297,23.0937,23.2054,1417160.0
2018-06-13,23.3171,23.5234,23.1538,23.2999,1505030.0
2018-06-14,23.3343,23.3343,22.3116,22.9819,1735237.0
2018-06-15,22.7671,23.2054,22.6897,23.0335,3498622.0
2018-06-18,22.853,23.3902,22.6038,23.1195,1248792.0
2018-06-19,22.8788,23.5062,22.7241,23.446,1548489.0
2018-06-20,23.4632,23.575,23.1109,23.2656,2160485.0
2018-06-21,23.1882,23.5406,23.0335,23.3429,1348085.0
2018-06-22,23.5578,23.5578,22.6811,23.0249,2132750.0
2018-06-25,23.0249,23.0679,22.0022,22.0537,1294508.0
2018-06-26,22.0022,22.1655,21.6842,21.7615,1002775.0
2018-06-27,21.7357,22.217,21.3318,21.4607,877862.0
2018-06-28,21.4521,21.4521,20.9364,21.3318,1027311.0
2018-06-29,21.3318,21.6928,21.3017,21.5724,845601.0
2018-07-02,21.5209,21.6154,19.6644,19.8105,959357.0
2018-07-03,21.3919,21.6584,21.2029,21.2888,447440.0
2018-07-05,21.3833,21.4349,19.7676,19.7676,682931.0
2018-07-06,21.2372,21.3919,20.9897,21.2115,414928.0
2018-07-09,21.2716,21.9936,21.1384,21.9936,943288.0
2018-07-10,22.0279,22.0623,21.4865,21.581,1105349.0
2018-07-11,21.4435,21.538,20.7473,20.8591,784146.0
2018-07-12,19.6386,21.2716,19.6386,20.9278,923826.0
2018-07-13,21.0482,22.0795,20.8763,21.4779,1386275.0
2018-07-16,21.4779,21.624,21.2029,21.3662,812653.0
2018-07-17,21.3146,21.5123,20.7645,21.0825,1082735.0
2018-07-18,21.0396,21.6498,20.902,21.4263,1009807.0
2018-07-19,21.2802,22.0795,21.22,21.7701,907343.0
2018-07-20,21.7271,21.8303,21.0653,21.1341,784201.0
2018-07-23,21.2372,21.9807,21.1427,21.6842,805692.0
2018-07-24,21.8303,22.2256,21.7099,21.8732,1089620.0
2018-07-25,21.8131,23.3945,21.8131,23.0593,3287714.0
2018-07-26,23.3257,24.2797,22.8444,23.3773,3504829.0
2018-07-27,23.5234,23.7125,22.7499,23.1366,2153784.0
2018-07-30,23.1882,23.5836,22.9304,23.1366,2317396.0
2018-07-31,23.3515,23.85,23.1796,23.5492,8339064.0
2018-08-01,23.6781,23.7211,23.171,23.4031,884660.0
2018-08-02,23.4031,23.6626,23.2257,23.5631,580982.0
2018-08-03,23.5285,24.3762,23.3468,24.2724,976703.0
2018-08-06,24.3243,24.9731,24.2119,24.6876,1441805.0
2018-08-07,24.7049,25.8122,24.7049,25.0769,1609119.0
2018-08-08,24.9904,24.9904,24.4281,24.6703,1061090.0
