Date,Open,High,Low,Close,Volume
2015-04-01,9.6385,9.6385,9.3996,9.5352,104941
2015-04-02,9.2942,9.7004,9.1083,9.5765,246320
2015-04-06,9.3837,10.024,9.3837,10.024,342263
2015-04-07,9.9483,10.086,9.8615,10.0171,118621
2015-04-08,9.9138,10.024,9.9001,9.9414,105029
2015-04-09,9.8312,9.9827,9.783,9.8037,182579
2015-04-10,9.7624,9.8657,9.6453,9.6591,381421
2015-04-13,9.6453,9.7417,9.5008,9.5696,408265
2015-04-14,9.5696,9.604,9.5008,9.549,146009
2015-04-15,9.5352,9.666,9.5318,9.5972,215464
2015-04-16,9.5972,9.6591,9.5077,9.604,249041
2015-04-17,9.549,9.6729,9.5421,9.6109,305426
2015-04-20,9.604,9.7004,9.604,9.6453,170020
2015-04-21,9.6109,9.728,9.549,9.5972,583772
2015-04-22,9.6385,9.6522,9.549,9.604,541072
2015-04-23,9.604,9.6385,9.5352,9.549,836032
2015-04-24,9.6385,9.7211,9.5916,9.6178,776258
2015-04-27,9.6109,9.6453,9.6109,9.6109,313357
2015-04-28,9.604,9.6385,9.5696,9.6109,184682
2015-04-29,9.6385,9.6385,9.5421,9.5903,216967
2015-04-30,9.5352,9.7762,9.5352,9.7348,181942
2015-05-01,9.7073,9.8725,9.5834,9.845,489000
2015-05-04,9.6729,9.8312,9.6729,9.8243,122423
2015-05-05,9.7348,9.8381,9.728,9.7968,109249
2015-05-06,9.7417,9.8037,9.6935,9.728,111253
2015-05-07,9.7004,9.7156,9.6385,9.6798,237561
2015-05-08,9.6935,9.8588,9.6522,9.8381,210364
2015-05-11,9.7417,9.9483,9.7417,9.9414,154032
2015-05-12,9.7762,9.9483,9.7762,9.9276,148469
2015-05-13,9.7693,10.0171,9.7693,10.0102,212142
2015-05-14,9.7624,10.1342,9.7624,9.9524,535130
2015-05-15,9.8932,10.0928,9.8932,10.0309,95216
2015-05-18,9.9827,10.0688,9.9827,10.0584,221150
2015-05-19,10.0171,10.1479,10.0171,10.1342,226449
2015-05-20,10.0997,10.1548,10.0997,10.1204,164794
2015-05-21,10.1617,10.2925,10.1066,10.203,332124
2015-05-22,10.1548,10.2925,10.1548,10.2581,138007
2015-05-26,10.2718,10.2787,10.2237,10.265,94279
2015-05-27,10.3132,10.4371,10.2443,10.3545,221199
2015-05-28,10.3063,10.4715,10.3063,10.4577,153207
2015-05-29,10.4715,10.4922,10.4164,10.4233,124608
2015-06-01,10.4233,10.5472,10.3751,10.5335,130239
2015-06-02,10.4715,10.499,10.3545,10.4233,125660
2015-06-03,10.3613,10.4646,10.2443,10.3545,127683
2015-06-04,10.6712,10.6712,10.1204,10.2374,186051
2015-06-05,10.1342,10.2305,10.024,10.1961,383551
2015-06-08,10.1892,10.3063,10.1892,10.2856,176155
2015-06-09,10.3269,10.4508,10.2994,10.3682,224607
2015-06-10,10.4302,10.4302,10.3063,10.3269,180642
2015-06-11,10.373,10.4358,10.1147,10.3521,200430
2015-06-12,10.3032,10.3521,10.1287,10.2334,162747
2015-06-15,10.1775,10.3172,10.1217,10.1636,175740
2015-06-16,10.1217,10.2613,10.1217,10.2264,169148
2015-06-17,10.2124,10.3172,10.2055,10.2683,182688
2015-06-18,10.2334,10.2962,10.1217,10.1629,506000
2015-06-19,10.1426,10.3939,10.1426,10.2962,1103085
2015-06-22,10.2753,10.3521,10.1147,10.1287,181495
2015-06-23,10.1775,10.2404,10.1217,10.1496,202223
2015-06-24,10.1287,10.1915,9.9695,10.1008,195715
2015-06-25,10.0519,10.1217,9.668,9.7657,408269
2015-06-26,9.6819,9.9472,9.5353,9.7866,2026203
2015-06-29,9.7866,9.8076,9.2701,9.3399,338582
2015-06-30,9.4586,9.4586,9.2073,9.3748,193339
2015-07-01,9.4306,9.6051,9.1933,9.5842,206826
2015-07-02,9.5563,9.647,9.2596,9.305,155601
2015-07-06,9.305,9.3748,9.1793,9.3329,150698
2015-07-07,9.3538,9.3818,9.2142,9.3608,146059
2015-07-08,9.284,9.3259,9.0956,9.291,113983
2015-07-09,9.305,9.3329,9.0607,9.298,177203
2015-07-10,9.3329,9.4446,9.1444,9.3538,191907
2015-07-13,9.305,9.3678,9.1724,9.2212,187088
2015-07-14,9.1793,9.2422,9.0572,9.1863,99086
2015-07-15,9.1235,9.3748,9.0327,9.3399,162102
2015-07-16,9.291,9.6017,9.291,9.4237,160172
2015-07-17,9.4167,9.5214,9.3887,9.4865,87380
2015-07-20,9.4376,10.38,9.4027,9.4586,101540
2015-07-21,9.3887,9.5633,9.3887,9.4167,81741
2015-07-22,9.3957,9.5284,9.3887,9.4446,98688
2015-07-23,9.4865,9.5214,9.3957,9.4516,133424
2015-07-24,9.4237,9.4516,9.4097,9.4237,164140
2015-07-27,9.3818,9.3818,9.1375,9.2017,137497
2015-07-28,9.1375,9.1444,8.9211,8.965,342241
2015-07-29,8.935,8.956,8.7396,8.8869,436171
2015-07-30,8.8024,9.1724,8.7814,9.0265,353080
2015-07-31,8.8233,9.2142,8.8233,9.0523,192393
2015-08-03,9.0327,9.1444,8.942,9.1375,151932
2015-08-04,9.0886,9.0886,8.8443,8.8792,121675
2015-08-05,8.8652,8.8973,8.7745,8.8373,99214
2015-08-06,8.8373,8.8722,8.586,8.6,123639
2015-08-07,8.5441,8.6907,8.4743,8.579,90565
2015-08-10,8.5162,8.6209,8.3207,8.3975,256844
2015-08-11,8.4464,8.9769,7.9298,8.956,348513
2015-08-12,8.9699,8.9699,8.6558,8.8303,193899
2015-08-13,8.7396,8.949,8.586,8.8233,191258
2015-08-14,8.7884,9.0467,8.6349,9.0048,296800
2015-08-17,8.9211,9.3329,8.9211,9.3259,235643
2015-08-18,9.284,9.3189,9.1514,9.2142,98977
2015-08-19,9.1724,9.1724,8.935,8.956,161799
2015-08-20,8.8652,8.9699,8.8652,8.935,144111
2015-08-21,8.8443,8.935,8.7256,8.7256,168158
2015-08-24,8.4534,8.7326,8.2377,8.4045,174408
2015-08-25,8.586,8.9001,8.4464,8.6069,244727
2015-08-26,8.7116,8.7605,8.3905,8.5511,187112
2015-08-27,8.5511,8.7186,8.3138,8.6209,262089
2015-08-28,8.6209,8.7047,8.4952,8.6907,165576
2015-08-31,8.6558,8.7047,8.5232,8.6209,120691
2015-09-01,8.5092,8.6202,8.3556,8.5162,243896
2015-09-02,8.572,8.6209,8.5092,8.593,168682
2015-09-03,8.6209,8.9769,8.6209,8.6977,134224
2015-09-04,8.6558,8.6907,8.5301,8.6628,127416
2015-09-08,8.7116,9.3259,8.7082,9.291,304927
2015-09-09,9.298,9.4446,9.1444,9.3538,238639
2015-09-10,9.3259,9.4446,9.1863,9.3608,194598
2015-09-11,9.3084,9.8188,9.28,9.7904,224734
2015-09-14,9.755,9.8188,9.6699,9.7763,110933
2015-09-15,9.7054,9.9819,9.7054,9.8897,201993
2015-09-16,9.8259,9.9889,9.7904,9.9606,140759
2015-09-17,9.8826,10.2371,9.8684,10.1733,253970
2015-09-18,10.0598,10.4427,9.9889,10.3009,1530583
2015-09-21,10.2583,10.4498,10.1804,10.2796,140398
2015-09-22,10.1591,10.23,9.9251,10.0882,107259
2015-09-23,10.1024,10.1024,9.8897,9.9181,90650
2015-09-24,9.8188,10.0173,9.7125,9.9181,125150
2015-09-25,9.8684,9.9677,9.6203,9.6203,122156
2015-09-28,9.5565,9.5565,9.3424,9.4076,98488
2015-09-29,9.358,9.4927,9.3367,9.3367,123543
2015-09-30,9.4076,9.5352,9.3225,9.4714,151553
2015-10-01,9.4289,9.5565,9.2162,9.4431,105135
2015-10-02,9.3296,9.5849,9.2517,9.5423,91520
2015-10-05,9.599,9.6983,9.4714,9.5352,124580
2015-10-06,9.514,9.6132,9.3722,9.4714,70631
2015-10-07,9.5281,9.677,9.4076,9.677,76431
2015-10-08,9.677,9.7337,9.5919,9.6345,71947
2015-10-09,9.599,9.7054,9.4856,9.5849,75070
2015-10-12,9.5636,9.6345,9.4572,9.4927,56812
2015-10-13,9.4218,9.5324,9.2658,9.28,99915
2015-10-14,9.2304,9.3651,9.0886,9.124,96724
2015-10-15,9.0815,9.3722,9.0461,9.3722,106455
2015-10-16,9.4076,9.7266,9.4076,9.6061,170586
2015-10-19,9.5565,9.8273,9.5565,9.7692,88699
2015-10-20,9.6699,9.9535,9.6699,9.8897,104902
2015-10-21,9.8401,9.8472,9.7054,9.755,67976
2015-10-22,9.755,9.9819,9.7196,9.8755,77178
2015-10-23,9.8117,9.833,9.6203,9.7196,72820
2015-10-26,9.8401,9.8401,9.4927,9.5778,86063
2015-10-27,9.521,9.5281,9.1843,9.3863,101713
2015-10-28,9.3651,9.5849,9.2871,9.5707,100996
2015-10-29,9.4643,9.5565,9.2658,9.3013,142045
2015-10-30,9.2658,9.358,9.0106,9.3438,266061
2015-11-02,9.3084,9.6628,9.1949,9.6274,117191
2015-11-03,9.514,9.6274,9.2517,9.5919,111349
2015-11-04,9.5423,9.5423,9.2871,9.3438,68100
2015-11-05,9.2942,9.3509,9.1311,9.2517,64026
2015-11-06,9.1737,9.2587,9.039,9.2304,107609
2015-11-09,9.202,9.202,8.9539,9.0673,132492
2015-11-10,8.9893,9.3381,8.9539,9.2375,132096
2015-11-11,9.2871,9.3509,9.0744,9.3296,70576
2015-11-12,9.2658,9.2658,9.1878,9.2375,77872
2015-11-13,9.1808,9.1949,8.9326,9.0673,180324
2015-11-16,9.0106,9.1453,8.9326,8.9823,121774
2015-11-17,8.9752,9.1311,8.8263,8.8476,163257
2015-11-18,8.8192,9.0957,8.7483,9.0886,119040
2015-11-19,9.0461,9.1099,9.0248,9.1028,27994
2015-11-20,9.1028,9.3509,9.0531,9.2162,83891
2015-11-23,9.2233,9.4289,9.2091,9.2517,102755
2015-11-24,9.2375,9.3651,9.1808,9.3225,58734
2015-11-25,9.2587,9.3027,9.0602,9.2587,94479
2015-11-27,9.202,9.4289,9.202,9.3722,55201
2015-11-30,9.3509,9.5707,9.3509,9.3934,193142
2015-12-01,9.4005,9.5494,9.3367,9.3651,72182
2015-12-02,9.3651,9.3793,9.1737,9.1878,50235
2015-12-03,9.202,9.202,8.9184,9.0177,155241
2015-12-04,8.9752,9.1666,8.9326,9.0106,89486
2015-12-07,8.9184,8.9184,8.7199,8.7908,182238
2015-12-08,8.6845,8.8121,8.6561,8.7341,69097
2015-12-09,8.6703,9.0531,8.642,9.0035,224592
2015-12-10,8.961,9.1311,8.8617,8.9823,100081
2015-12-11,8.9001,8.9001,8.5109,8.828,333351
2015-12-14,8.7992,8.9145,8.6407,8.8641,150818
2015-12-15,8.8208,9.1149,8.8208,9.037,176550
2015-12-16,9.0154,9.282,9.0154,9.1884,100986
2015-12-17,9.1956,9.2676,9.0867,9.1812,72684
2015-12-18,9.1235,9.4046,8.9794,9.3253,526652
2015-12-21,9.3037,9.5055,9.1884,9.3181,118346
2015-12-22,9.3901,9.3901,9.1812,9.3181,83618
2015-12-23,9.5199,9.6352,9.3656,9.5271,97877
2015-12-24,9.5415,9.664,9.3757,9.4838,44176
2015-12-28,9.5271,9.5919,9.3685,9.5127,76053
2015-12-29,9.491,9.5847,9.3253,9.5775,36946
2015-12-30,9.5559,9.6135,9.4982,9.5487,44515
