Date,Open,High,Low,Close,Volume
2017-10-13,12.7002,12.7765,12.69,12.7765,475131
2017-10-16,12.8631,12.8631,12.7307,12.7613,312402
2017-10-17,12.7358,12.8071,12.7251,12.8071,331745
2017-10-18,12.7765,12.7765,12.746,12.7511,69299
2017-10-19,12.7409,12.7664,12.7205,12.7511,133379
2017-10-20,12.7562,12.7613,12.6798,12.7002,136313
2017-10-23,12.7714,12.7715,12.7104,12.7562,522693
2017-10-24,12.7104,12.7389,12.6646,12.69,233387
2017-10-25,12.6544,12.6646,12.5118,12.6646,178485
2017-10-26,12.6951,12.6951,12.5882,12.6442,122410
2017-10-27,12.6493,12.6747,12.6167,12.6595,108849
2017-10-30,12.7002,12.7002,12.1301,12.5424,97072
2017-10-31,12.5475,12.6696,12.5474,12.6696,104046
2017-11-01,12.6646,12.7104,12.6137,12.6747,38303
2017-11-02,12.6595,12.6747,12.6274,12.6747,33973
2017-11-03,12.6849,12.6849,12.5984,12.6187,168497
2017-11-06,12.5424,12.6238,12.5424,12.6238,108324
2017-11-07,12.5729,12.6137,12.522,12.5933,164102
2017-11-08,12.5577,12.5729,12.4864,12.5577,83834
2017-11-09,12.5221,12.5475,12.4508,12.4727,55409
2017-11-10,12.522,12.5271,12.4355,12.5169,50412
2017-11-13,12.522,12.522,12.4406,12.4864,27571
2017-11-14,12.4966,12.7155,12.3235,12.7155,61861
2017-11-15,12.4202,12.4966,12.3487,12.4966,57585
2017-11-16,12.4915,12.6493,12.4202,12.4948,62295
2017-11-17,12.3693,12.5373,12.3541,12.5322,81021
2017-11-20,12.5577,12.5577,12.4355,12.4711,71868
2017-11-21,12.5144,12.5144,12.4004,12.4711,59248
2017-11-22,12.4304,12.5169,12.3846,12.4914,72953
2017-11-24,12.5169,12.522,12.4508,12.4813,19105
2017-11-27,12.5017,12.5596,12.4813,12.4864,31361
2017-11-28,12.4711,12.5068,12.3948,12.4966,76548
2017-11-29,12.5017,12.5017,12.3744,12.4304,69135
2017-11-30,12.3851,12.4406,12.1459,12.2828,160196
2017-12-01,12.41,12.41,12.0334,12.3999,178582
2017-12-04,12.2879,12.4483,12.2879,12.4304,103658
2017-12-05,12.4442,12.4558,12.3184,12.3642,104073
2017-12-06,12.4151,12.4151,12.2675,12.2879,206538
2017-12-07,12.3439,12.4151,12.3439,12.4151,71875
2017-12-08,12.4457,12.4915,12.4202,12.466,85688
2017-12-11,12.4864,12.5068,12.4431,12.5068,83354
2017-12-12,12.5068,12.6238,12.4966,12.5831,136388
2017-12-13,12.6137,12.6137,12.5475,12.6035,136300
2017-12-14,12.6013,12.6238,12.5577,12.6238,46532
2017-12-15,12.6083,12.6829,12.6075,12.6798,35886
2017-12-18,12.6623,12.6798,12.6086,12.6646,58951
2017-12-19,12.7205,12.7205,12.6137,12.6646,65921
2017-12-20,12.6696,12.6696,12.6238,12.6238,28670
2017-12-21,12.645,12.6747,12.6289,12.6595,66080
2017-12-22,12.634,12.7104,12.634,12.7002,79447
2017-12-26,12.7002,12.7256,12.6238,12.6595,249179
2017-12-27,12.6646,12.7155,12.6442,12.7155,143152
2017-12-28,12.716,12.8927,12.716,12.7836,245091
2017-12-29,12.794,12.8615,12.7732,12.8304,83603
2018-01-02,12.8823,12.9291,12.7316,12.8615,161911
2018-01-03,12.8356,12.8719,12.7576,12.8356,104474
2018-01-04,12.8356,12.8979,12.8355,12.8979,93380
2018-01-05,12.8979,12.9135,12.8854,12.9135,75888
2018-01-08,12.9187,12.9187,12.7732,12.8304,184006
2018-01-09,12.7888,12.8771,12.6537,12.7888,179608
2018-01-10,12.6901,12.8304,12.6901,12.8252,78895
2018-01-11,12.8558,12.8771,12.7732,12.8096,53013
2018-01-12,12.794,12.8771,12.794,12.8511,96907
2018-01-16,12.8719,12.9031,12.82,12.8563,126244
2018-01-17,12.8304,12.8356,12.7784,12.8304,86328
2018-01-18,12.8304,12.8356,12.6329,12.7992,199626
2018-01-19,12.7764,12.8563,12.6537,12.6641,1254358
2018-01-22,12.7106,12.768,12.6537,12.742,87655
2018-01-23,12.7316,12.768,12.6911,12.7212,107004
2018-01-24,12.7316,12.8511,12.7108,12.8356,62756
2018-01-25,12.7555,12.9136,12.7555,12.8304,70566
2018-01-26,12.8719,12.9447,12.8044,12.8563,72871
2018-01-29,12.9135,12.9135,12.6537,12.8927,150604
2018-01-30,12.8927,12.8927,12.7056,12.8252,58706
2018-01-31,12.8096,12.8615,12.7264,12.7966,39391
2018-02-01,12.6901,12.8044,12.6797,12.6901,30351
2018-02-02,12.6849,12.6952,12.4978,12.5705,49241
2018-02-05,13.0954,13.0954,12.477,12.4978,55934
2018-02-06,12.5022,12.5022,12.1704,12.3835,90403
2018-02-07,12.794,12.794,12.4198,12.5238,25473
2018-02-08,12.5497,12.5497,12.1964,12.212,50405
2018-02-09,12.6849,12.7212,12.0769,12.3835,33899
2018-02-12,12.2743,12.2997,12.1964,12.2483,36319
2018-02-13,12.2535,12.2887,12.1071,12.1704,34500
2018-02-14,12.1828,12.3679,12.1756,12.187,39511
2018-02-15,12.186,12.226,12.134,12.1548,33872
2018-02-16,12.16,12.2483,12.16,12.2483,9311
2018-02-20,12.2159,12.2639,12.2125,12.2639,40805
2018-02-21,12.2691,12.328,12.0872,12.1964,80800
2018-02-22,12.2218,12.2218,12.0821,12.1288,33340
2018-02-23,12.2743,12.2743,11.9625,12.0665,45462
2018-02-26,12.1074,12.2743,12.0976,12.2431,60569
2018-02-27,12.1812,12.3055,12.1782,12.3055,52041
2018-02-28,12.3046,12.3471,12.28,12.3471,16186
2018-03-01,12.3315,12.4094,12.2741,12.3091,11173
2018-03-02,12.3071,12.3419,12.3043,12.3043,6369
2018-03-05,12.212,12.3263,12.212,12.3159,35496
2018-03-06,12.2587,12.3523,12.212,12.3523,13324
2018-03-07,12.3523,12.4718,12.3523,12.4718,12681
2018-03-08,12.415,12.4718,12.2639,12.3523,82069
2018-03-09,12.2795,12.425,12.2795,12.425,7241
2018-03-12,12.425,12.425,12.3679,12.4212,11904
2018-03-13,12.3679,12.3975,12.2795,12.3975,23890
2018-03-14,12.3887,12.4406,12.3887,12.4302,17996
2018-03-15,12.4081,12.4081,12.3263,12.3673,47879
2018-03-16,12.3938,12.4302,12.3679,12.4302,10103
2018-03-19,12.3855,12.4406,12.3536,12.3679,34370
2018-03-20,12.4042,12.4042,12.2743,12.3263,42128
2018-03-21,12.3237,12.419,12.2899,12.4146,23695
2018-03-22,12.332,12.451,12.3159,12.3211,6921
2018-03-23,12.3575,12.3887,12.2535,12.2639,22663
2018-03-26,12.3736,12.4094,12.3159,12.3419,34319
2018-03-27,12.4042,12.4042,12.3341,12.3679,59793
2018-03-28,12.5696,12.5696,12.3413,12.4422,40859
2018-03-29,12.4422,12.5065,12.4103,12.4528,9739
