Date,Open,High,Low,Close,Volume
2021-07-23,20.0,20.99,19.9,19.94,3633333
2021-07-26,19.95,20.75,19.9,20.06,339596
2021-07-27,19.13,20.2,19.13,19.9,297592
2021-07-28,20.0,20.2,19.7,20.0,129932
2021-07-29,20.0,20.11,19.5,19.5,129243
2021-07-30,19.95,19.97,19.37,19.62,140055
2021-08-02,19.46,19.8335,19.37,19.43,44318
2021-08-03,19.5,19.51,19.0,19.0,64695
2021-08-04,19.01,19.65,19.01,19.39,65324
2021-08-05,19.39,19.85,19.36,19.85,40413
2021-08-06,19.3092,19.6525,19.19,19.42,40073
2021-08-09,19.45,20.49,19.1601,20.49,177510
2021-08-10,20.3,20.3,19.73,19.76,133518
2021-08-11,19.85,20.0073,19.51,19.79,52734
2021-08-12,19.8,20.0,19.75,19.94,53745
2021-08-13,19.82,19.99,19.5,19.6,73355
2021-08-16,19.6,19.64,19.0,19.09,85829
2021-08-17,19.5,19.75,16.02,16.8,420153
2021-08-18,16.74,17.78,15.41,16.5,214169
2021-08-19,16.57,17.19,16.0,16.28,210697
2021-08-20,17.24,17.24,16.58,16.58,129805
2021-08-23,16.93,17.99,15.75,16.65,196061
2021-08-24,16.38,16.5776,16.15,16.4,139102
2021-08-25,16.74,16.74,16.02,16.29,68889
2021-08-26,16.46,16.65,16.05,16.42,132611
2021-08-27,16.5,17.2625,15.94,17.1,182815
2021-08-30,16.95,17.23,16.1,17.0,217099
2021-08-31,17.0,17.86,16.9,17.4,159978
2021-09-01,17.63,18.85,17.27,18.69,106507
2021-09-02,18.8,18.88,18.26,18.44,114393
2021-09-03,18.33,18.51,17.2,17.2,134658
2021-09-07,17.86,18.14,16.9001,17.48,155972
2021-09-08,17.48,17.48,16.53,16.55,70282
2021-09-09,16.71,16.98,16.31,16.65,111921
2021-09-10,16.7,16.95,16.42,16.95,54180
2021-09-13,16.75,16.94,15.7221,16.53,134035
2021-09-14,16.65,16.87,16.2381,16.8,49492
2021-09-15,16.95,17.16,16.5,16.8,113130
2021-09-16,16.8,16.84,16.31,16.4,99657
2021-09-17,16.53,16.66,15.41,15.67,1120667
2021-09-20,15.45,15.67,14.6201,14.9,210130
2021-09-21,14.94,15.105,14.42,14.93,143291
2021-09-22,15.08,15.23,14.6,15.09,154850
2021-09-23,15.11,15.72,14.91,15.72,128104
2021-09-24,15.63,16.56,15.5,16.28,156273
2021-09-27,16.31,17.005,16.01,16.9,152828
2021-09-28,17.2,17.2,15.79,15.88,89627
2021-09-29,15.88,16.03,15.54,15.62,111365
2021-09-30,15.62,15.91,14.75,15.01,97565
2021-10-01,14.97,15.9,14.63,15.76,69101
2021-10-04,15.66,15.89,15.0,15.07,63882
2021-10-05,15.21,16.15,15.1,15.96,104194
2021-10-06,15.74,16.0,15.29,15.65,30613
2021-10-07,15.7,16.3746,15.26,16.11,70888
2021-10-08,16.2,16.43,15.81,15.93,54843
2021-10-11,15.91,16.02,15.59,15.8,26646
2021-10-12,15.88,16.09,15.32,15.57,40875
2021-10-13,15.67,16.06,15.51,15.84,33375
2021-10-14,16.11,16.5301,15.6101,16.11,34369
2021-10-15,16.29,16.33,15.8369,15.97,51024
2021-10-18,15.81,16.69,15.515,16.4,43831
2021-10-19,16.39,16.54,16.1338,16.31,20440
2021-10-20,16.32,16.65,16.1774,16.65,43450
2021-10-21,16.36,17.2689,16.29,16.93,56371
2021-10-22,16.93,16.93,16.35,16.51,44551
2021-10-25,16.48,17.08,16.2316,16.5,40432
2021-10-26,17.05,17.22,16.33,16.51,86829
2021-10-27,16.44,16.75,15.69,16.09,114502
2021-10-28,16.15,16.63,16.05,16.58,21089
2021-10-29,16.47,16.94,16.47,16.94,28987
2021-11-01,16.94,17.08,16.59,16.76,46262
2021-11-02,16.78,16.78,16.37,16.39,22993
2021-11-03,16.38,17.08,16.34,16.87,41312
2021-11-04,16.86,17.06,16.35,16.61,18714
2021-11-05,16.79,16.88,16.0,16.0,26546
2021-11-08,16.44,16.75,16.315,16.59,44106
2021-11-09,16.63,16.79,16.13,16.58,31271
2021-11-10,17.0,17.1,16.61,16.77,106977
2021-11-11,16.65,17.7353,15.83,16.01,110977
2021-11-12,16.31,16.49,16.01,16.32,34474
2021-11-15,17.6,17.6,16.07,16.8,124642
2021-11-16,16.82,16.9232,15.7401,16.58,56807
2021-11-17,16.64,16.73,16.27,16.62,76826
2021-11-18,16.62,16.62,16.1,16.47,133249
2021-11-19,16.38,16.5,15.03,15.42,108945
2021-11-22,15.4,15.78,14.4266,14.57,89874
2021-11-23,14.58,14.67,13.7152,14.18,85266
2021-11-24,14.09,15.225,14.04,15.16,29746
2021-11-26,14.77,15.29,14.52,15.01,29130
2021-11-29,13.5,15.41,13.5,14.85,85606
2021-11-30,14.717,15.28,14.33,15.09,49801
2021-12-01,15.05,15.3,13.92,14.37,99071
2021-12-02,14.3,14.91,13.69,14.4,77519
2021-12-03,14.5,14.59,13.34,14.48,88959
2021-12-06,14.47,15.08,14.02,14.82,83949
2021-12-07,15.11,15.73,14.835,15.32,50772
2021-12-08,15.32,15.5367,14.7,15.22,85662
2021-12-09,15.12,15.63,14.31,14.49,79713
2021-12-10,14.6,15.0,14.09,14.19,35923
2021-12-13,14.21,14.21,13.48,13.64,92212
2021-12-14,13.43,13.84,13.01,13.5,126238
2021-12-15,13.5,14.14,13.0,14.0,59770
2021-12-16,13.95,14.375,13.28,13.45,78359
2021-12-17,13.37,14.25,13.0,13.96,147565
2021-12-20,13.6,13.8052,13.16,13.45,73606
2021-12-21,13.6,14.17,13.56,13.88,36511
2021-12-22,13.96,14.2,13.69,13.93,49057
2021-12-23,14.02,14.54,13.56,14.23,44064
2021-12-27,14.24,14.24,13.4,13.82,98250
2021-12-28,13.78,13.93,13.41,13.47,18047
2021-12-29,13.58,13.67,13.28,13.58,65188
2021-12-30,13.53,14.39,13.52,14.01,46305
2021-12-31,14.0,14.09,13.63,14.0,108763
2022-01-03,14.0,14.68,13.51,13.77,50166
2022-01-04,13.89,14.24,13.7,14.14,60033
2022-01-05,14.17,14.6,13.5,13.6,65734
2022-01-06,13.8,14.59,13.66,14.17,122004
2022-01-07,14.69,15.31,14.49,14.52,101417
2022-01-10,14.37,14.46,14.0,14.3,49828
2022-01-11,14.41,15.35,14.3257,14.98,150995
2022-01-12,15.07,15.315,14.81,14.98,132319
2022-01-13,15.13,15.45,14.14,14.48,47010
2022-01-14,14.35,14.61,13.89,14.6,57765
2022-01-18,14.6,14.6,13.82,14.21,92551
2022-01-19,14.07,15.32,13.31,15.32,1268899
2022-01-20,14.57,15.7,14.32,14.38,463299
2022-01-21,14.31,14.31,12.91,12.985,497635
2022-01-24,12.56,12.74,11.56,12.58,706053
2022-01-25,12.33,12.95,12.25,12.66,152885
2022-01-26,12.8,13.24,12.63,13.03,407881
2022-01-27,13.19,13.33,12.39,12.47,367186
2022-01-28,12.3,12.45,11.71,12.0,386152
2022-01-31,12.0,12.8,11.7501,12.62,550931
2022-02-01,12.68,13.9814,12.57,13.9814,828367
