Date,Open,High,Low,Close,Volume
2021-03-17,32.0,35.0,29.36,33.0,14111445
2021-03-18,33.0,33.75,29.6,30.05,2634096
2021-03-19,30.49,31.91,29.6,29.9,1288529
2021-03-22,29.99,31.75,29.36,31.41,954288
2021-03-23,31.1,32.5,30.01,31.0,2412207
2021-03-24,30.81,31.99,27.86,29.95,1128525
2021-03-25,30.0,30.0,28.03,28.82,944976
2021-03-26,29.5,30.24,28.9,29.3,417981
2021-03-29,28.9,29.8965,28.9,29.41,806807
2021-03-30,29.03,29.98,28.905,29.64,826849
2021-03-31,28.95,29.24,25.5,25.68,3139811
2021-04-01,26.5,26.85,23.925,25.9,1630741
2021-04-05,25.8143,29.49,25.8143,28.25,938197
2021-04-06,28.63,29.98,28.05,28.43,389930
2021-04-07,28.4,29.88,28.4,29.0,300761
2021-04-08,28.87,29.685,28.64,29.07,276304
2021-04-09,29.42,29.42,28.09,28.2,225530
2021-04-12,28.15,29.45,27.41,27.92,438615
2021-04-13,28.4,29.5,27.07,29.5,115941
2021-04-14,28.55,28.88,27.57,28.24,222594
2021-04-15,28.66,28.774,27.14,27.25,103926
2021-04-16,27.01,28.88,27.0,28.52,148608
2021-04-19,28.19,29.98,28.07,29.95,589201
2021-04-20,29.71,30.405,27.2,27.22,352992
2021-04-21,27.36,28.48,26.6,28.41,603164
2021-04-22,28.41,31.01,26.54,29.39,768164
2021-04-23,29.89,33.2,29.01,29.43,827753
2021-04-26,30.0,30.4309,29.4422,30.02,300445
2021-04-27,30.47,30.56,28.55,28.61,170824
2021-04-28,28.64,30.25,28.64,30.12,185196
2021-04-29,30.5,30.8,28.71,29.55,179253
2021-04-30,29.07,29.7907,28.26,28.86,167659
2021-05-03,29.99,29.99,28.26,29.12,186411
2021-05-04,29.49,29.49,27.8,28.47,178538
2021-05-05,28.78,28.78,26.7541,27.36,227295
2021-05-06,27.08,27.62,26.28,26.74,364002
2021-05-07,26.51,28.87,26.51,28.83,234056
2021-05-10,30.0,30.58,27.46,29.76,299132
2021-05-11,29.4,29.4,27.902,28.49,287365
2021-05-12,29.98,29.98,26.01,26.81,490471
2021-05-13,26.8,27.73,23.29,23.5,1272058
2021-05-14,23.9,24.595,22.88,23.31,1102120
2021-05-17,23.2,24.99,23.0,23.5,137742
2021-05-18,24.5,25.13,23.86,24.88,162659
2021-05-19,23.8,25.7,23.8,25.53,258926
2021-05-20,25.76,28.3,25.76,28.05,390514
2021-05-21,28.33,29.68,28.0213,28.7,416483
2021-05-24,29.14,30.08,28.59,29.88,268218
2021-05-25,29.88,31.63,29.01,31.1,360312
2021-05-26,31.5,34.4417,31.25,34.0,624356
2021-05-27,33.8,34.75,31.72,34.58,291808
2021-05-28,34.06,35.48,33.2,33.85,211153
2021-06-01,35.05,35.29,33.36,34.93,220656
2021-06-02,35.1,36.9899,34.21,35.95,356426
2021-06-03,35.55,36.71,34.51,35.0,198610
2021-06-04,36.42,40.13,36.42,40.02,389680
2021-06-07,40.45,42.1,40.02,41.94,479673
2021-06-08,42.2,44.62,41.961,42.87,509704
2021-06-09,43.52,44.8893,39.0723,40.11,606814
2021-06-10,41.0,43.5,40.34,41.23,435460
2021-06-11,41.11,41.6,39.32,41.24,514664
2021-06-14,41.58,42.12,38.5,38.98,358260
2021-06-15,39.98,39.98,36.0101,36.0101,296207
2021-06-16,37.58,37.73,36.54,37.16,661537
2021-06-17,37.17,40.56,37.0,38.3,647182
2021-06-18,39.0,41.98,37.05,37.05,1584975
2021-06-21,37.76,39.0,35.0,37.44,750690
2021-06-22,37.49,38.0,35.2,35.62,774321
2021-06-23,37.67,37.67,35.425,36.05,541595
2021-06-24,36.29,37.6699,36.29,37.02,228988
2021-06-25,37.16,37.549,35.27,36.13,269933
2021-06-28,35.3,36.2348,32.77,34.77,1079417
2021-06-29,34.18,34.3999,32.76,33.47,355459
2021-06-30,33.72,37.659,33.18,37.37,475274
2021-07-01,37.4,38.38,34.11,34.28,305126
2021-07-02,35.6,35.6,33.32,35.5,161270
2021-07-06,34.65,35.58,34.06,34.79,178283
2021-07-07,35.13,36.955,33.96,34.39,439883
2021-07-08,33.09,34.5,32.75,34.18,252385
2021-07-09,34.18,35.0,33.58,34.71,146899
2021-07-12,35.08,36.81,33.92,36.7,324017
2021-07-13,36.5,37.92,36.03,37.0,464746
2021-07-14,37.1,37.907,32.0,32.99,1030145
2021-07-15,32.99,33.83,30.6401,33.61,443899
2021-07-16,34.0,35.3,33.6818,34.54,231862
2021-07-19,33.6,34.7599,33.03,34.48,224398
2021-07-20,34.72,37.51,34.45,37.02,371218
2021-07-21,37.18,37.19,35.77,37.15,223423
2021-07-22,37.29,39.7,37.29,39.36,273171
2021-07-23,40.01,40.98,38.85,39.8,238884
2021-07-26,39.8,39.99,36.91,37.15,380413
2021-07-27,37.21,37.7,34.52,35.33,315555
2021-07-28,36.02,37.1599,35.21,35.73,352145
2021-07-29,35.69,36.3281,34.18,34.23,176712
2021-07-30,33.9,35.4399,33.5,35.07,134637
2021-08-02,35.71,36.49,34.7018,36.02,99412
2021-08-03,36.41,36.41,34.2077,35.52,161375
2021-08-04,36.06,36.8,34.4212,36.46,128192
2021-08-05,36.49,36.9,35.01,36.0,134057
2021-08-06,35.71,36.0,34.33,35.71,147595
2021-08-09,35.68,38.45,35.35,38.01,356712
2021-08-10,38.11,39.62,35.8,36.0,620738
2021-08-11,38.0,38.0,33.66,35.89,765709
2021-08-12,35.5,38.11,35.5,37.13,292686
2021-08-13,36.46,37.7738,36.4,36.74,136636
2021-08-16,36.67,36.67,34.5471,35.3,252187
2021-08-17,34.0,35.0416,33.4,33.8,230330
