Date,Open,High,Low,Close,Volume
2000-01-03,3.9927,3.9927,3.824,3.8802,119809.0
2000-01-04,3.8521,3.8521,3.6553,3.824,128255.0
2000-01-05,3.824,3.9083,3.6834,3.8521,210719.0
2000-01-06,3.8802,4.1051,3.8802,4.1051,119366.0
2000-01-07,4.1614,4.4426,4.1333,4.4426,270964.0
2000-01-10,4.3863,4.6675,4.3863,4.4988,533698.0
2000-01-11,4.4988,4.6675,4.3863,4.6675,216280.0
2000-01-12,4.6675,4.6675,4.5269,4.555,123364.0
2000-01-13,4.6113,4.6675,4.4988,4.555,326311.0
2000-01-14,4.555,4.6394,4.5269,4.6394,52904.0
2000-01-18,4.5831,4.5831,4.4144,4.4426,51571.0
2000-01-19,4.3863,4.3863,4.1895,4.2176,295190.0
2000-01-20,4.2176,4.2739,4.1051,4.1333,88246.0
2000-01-21,4.077,4.2176,3.9364,3.9927,119814.0
2000-01-24,3.9364,4.3582,3.8802,4.3301,188491.0
2000-01-25,4.3301,4.4426,4.2176,4.4426,285185.0
2000-01-26,4.2739,4.2739,4.1051,4.1614,332310.0
2000-01-27,4.1614,4.1614,3.9364,3.9364,92689.0
2000-01-28,3.9364,4.1333,3.824,4.0489,154929.0
2000-01-31,4.2176,4.2176,4.0489,4.077,37788.0
2000-02-01,4.077,4.2176,4.077,4.1614,86247.0
2000-02-02,4.2176,4.2176,3.6553,3.7396,754204.0
2000-02-03,4.2176,4.3863,4.1614,4.3863,847561.0
2000-02-04,4.3863,4.4426,4.2457,4.302,139595.0
2000-02-07,4.2739,4.2739,4.077,4.077,151822.0
2000-02-08,4.1333,4.3301,4.077,4.1614,89577.0
2000-02-09,4.1614,4.2176,4.0489,4.1614,109365.0
2000-02-10,4.1051,4.1333,3.9927,4.0489,240288.0
2000-02-11,4.0489,4.1333,3.9927,4.1051,172044.0
2000-02-14,4.2176,4.3582,4.1333,4.302,207835.0
2000-02-15,4.2457,4.4707,4.2457,4.4707,162266.0
2000-02-16,4.4707,4.7237,4.4707,4.5269,231840.0
2000-02-17,4.5269,4.7237,4.4988,4.6675,377212.0
2000-02-18,4.7237,4.9206,4.5269,4.6113,358540.0
2000-02-22,4.6675,5.3985,4.6394,4.78,610163.0
2000-02-23,4.78,4.8362,4.7237,4.8081,54237.0
2000-02-24,4.8081,4.8081,4.555,4.555,66683.0
2000-02-25,4.4988,4.78,4.4988,4.7237,68467.0
2000-02-28,4.555,4.78,4.4988,4.78,117365.0
2000-02-29,4.7237,5.0049,4.6675,4.9487,249625.0
2000-03-01,4.9487,4.9487,4.8081,4.8362,316308.0
2000-03-02,4.8924,4.8924,4.7518,4.7518,476130.0
2000-03-03,4.7518,4.9206,4.7518,4.9206,79574.0
2000-03-06,4.8643,4.9206,4.78,4.9206,66460.0
2000-03-07,4.8362,4.8924,4.6956,4.7518,121143.0
2000-03-08,4.7237,4.8924,4.7237,4.8924,97803.0
2000-03-09,4.78,4.9206,4.6956,4.8362,134259.0
2000-03-10,4.78,5.0049,4.7237,4.9487,244732.0
2000-03-13,4.9487,4.9487,4.7237,4.7237,673959.0
2000-03-14,4.7237,4.8081,4.6675,4.7518,273848.0
2000-03-15,4.7518,4.8081,4.6956,4.78,49126.0
2000-03-16,4.78,4.9487,4.78,4.9487,59348.0
2000-03-17,4.8924,4.9487,4.8362,4.8924,77795.0
2000-03-20,4.8362,4.8362,4.78,4.8081,46677.0
2000-03-21,4.7518,5.1455,4.7518,5.1174,91354.0
2000-03-22,5.1174,5.1455,5.033,5.033,102246.0
2000-03-23,5.033,5.1455,4.9487,5.1174,139817.0
2000-03-24,5.1174,5.1736,5.1174,5.1736,72022.0
2000-03-27,5.1455,5.1455,5.0049,5.033,71578.0
2000-03-28,4.9768,5.0611,4.9768,5.0611,367210.0
2000-03-29,5.0611,5.0611,4.9206,5.0049,268295.0
2000-03-30,4.9487,4.9487,4.78,4.8362,42902.0
2000-03-31,4.9206,4.9487,4.78,4.78,90470.0
2000-04-03,4.78,4.8362,4.7237,4.7237,89801.0
2000-04-04,4.7237,4.9487,4.7237,4.8924,159156.0
2000-04-05,4.9487,5.0049,4.8924,4.9487,54904.0
2000-04-06,4.9768,5.033,4.9487,5.033,198941.0
2000-04-07,5.0611,5.1736,5.0049,5.1736,370317.0
2000-04-10,5.2017,5.2017,5.0611,5.1174,67350.0
2000-04-11,5.1174,5.1455,5.1174,5.1455,55126.0
2000-04-12,5.2017,5.2298,5.1736,5.1736,112474.0
2000-04-13,5.1736,5.3142,5.1736,5.2861,143595.0
