Date,Open,High,Low,Close,Volume
2022-02-18,2000.0,2392.0,1520.0,2296.0,2289.74
2022-02-22,2199.6,3636.0,2004.0,2280.0,1698.29
2022-02-23,2048.8,2072.0,1302.0,1992.0,815.94
2022-02-24,1435.6,1780.0,1360.0,1712.204,789.11
2022-02-25,1531.6,1779.6,1460.0,1774.0,547.86
2022-02-28,1600.0,2131.2,1600.0,1984.0,603.67
2022-03-01,1880.0,2264.8,1880.0,2264.8,367.90000000000003
2022-03-02,2268.8,2612.0,2143.2,2455.2,363.63
2022-03-03,2484.8,2604.0,2361.184,2520.0,422.15999999999997
2022-03-04,2540.0,2540.0,2400.0,2460.0,116.72
2022-03-07,2287.6,2480.0,1904.4,2460.0,106.93
2022-03-08,2386.0,2435.6,2386.0,2435.6,6.25
2022-03-09,2440.0,2580.0,2296.0,2444.0,33.42
2022-03-10,2300.4,2600.0,2300.4,2600.0,120.58
2022-03-11,2325.6,2548.0,2325.6,2380.0,152.8
2022-03-14,2328.4,2520.0,2313.6,2360.0,109.7
2022-03-15,2383.6,2716.0,2240.0,2716.0,155.72
2022-03-16,2568.0,2779.2,919.6,1622.4,8760.11
2022-03-17,1400.4,1693.2,1400.0,1693.2,1278.94
2022-03-18,1617.2,1755.2,1402.0,1590.0,1285.45
2022-03-21,1564.4,1679.6,1520.4,1679.6,266.41
2022-03-22,1619.6,1858.8,1520.0,1858.8,361.46
2022-03-23,1818.0,2080.0,1790.4,2056.4,139.12
2022-03-24,2160.0,2192.0,1768.0,2065.2,697.27
2022-03-25,2040.0,2133.6,1704.4,1964.4,1118.23
2022-03-28,1836.8,2030.0,1808.8,1920.4,423.65000000000003
2022-03-29,1902.0,2079.6,1880.4,2076.0,197.89
2022-03-30,2004.0,2174.032,2004.0,2136.0,133.44
2022-03-31,2000.4,2262.0,1960.0,2260.0,102.65
2022-04-01,2080.0,2476.8,2080.0,2476.8,149.02
2022-04-04,2464.0,2540.0,2342.8,2488.0,417.6
2022-04-05,2515.2,2515.2,2500.8,2515.2,14.8
2022-04-06,2440.0,2512.8,2277.4,2360.0,252.95
2022-04-07,2315.2,2480.0,355.6,464.0,115777.9
2022-04-08,464.0,590.0,406.8,410.0,224495.6
2022-04-11,416.0,420.0,304.0,308.8,41263.06
2022-04-12,308.8,329.036,262.0,272.0,30560.68
2022-04-13,268.0,292.8,236.0,251.6,32132.11
2022-04-14,252.0,299.2,230.0,246.0,45403.36
2022-04-18,246.4,256.0,219.2,243.6,19111.920000000002
2022-04-19,259.6,259.6,231.2,242.0,19573.32
