Date,Open,High,Low,Close,Volume
2020-11-20,9.4452,9.4452,9.4452,9.4452,0
2020-11-23,9.4836,9.4836,9.4836,9.4836,0
2020-11-24,9.5795,9.5795,9.5795,9.5795,0
2020-11-25,9.5411,9.5411,9.5411,9.5411,0
2020-11-30,9.474,9.474,9.474,9.474,0
2020-12-01,9.5027,9.5027,9.5027,9.5027,0
2020-12-02,9.4932,9.4932,9.4932,9.4932,0
2020-12-03,9.5411,9.5411,9.5411,9.5411,0
2020-12-04,9.5411,9.5411,9.5411,9.5411,0
2020-12-07,9.5411,9.5411,9.5411,9.5411,0
2020-12-08,9.5603,9.5603,9.5603,9.5603,0
2020-12-09,9.7041,9.7041,9.7041,9.7041,0
2020-12-10,9.6562,9.6562,9.6562,9.6562,0
2020-12-11,9.6753,9.6753,9.6753,9.6753,0
2020-12-14,9.6658,9.6658,9.6658,9.6658,0
2020-12-15,9.7041,9.7041,9.7041,9.7041,0
2020-12-16,9.7233,9.7233,9.7233,9.7233,0
2020-12-18,9.7137,9.7137,9.7137,9.7137,0
2020-12-21,9.7041,9.7041,9.7041,9.7041,0
2020-12-22,9.7041,9.7041,9.7041,9.7041,0
2020-12-23,9.7233,9.7233,9.7233,9.7233,0
2020-12-28,9.7616,9.7616,9.7616,9.7616,0
2020-12-29,9.7904,9.7904,9.7904,9.7904,0
2020-12-30,9.7712,9.7712,9.7712,9.7712,0
2020-12-31,9.7616,9.7616,9.7616,9.7616,0
2021-01-04,9.7904,9.7904,9.7904,9.7904,0
2021-01-05,9.7521,9.8671,9.7329,9.7329,4172
2021-01-06,9.8575,9.8575,9.7329,9.7808,146052
2021-01-07,9.7808,10.0205,9.7521,9.9918,742993
2021-01-08,10.0493,10.3082,9.9247,9.9486,561185
2021-01-11,9.7329,10.0685,9.7329,9.963,55024
2021-01-12,9.9726,10.1356,9.9678,10.0205,121312
2021-01-13,10.2123,10.2603,9.9342,10.0205,160215
2021-01-14,10.0685,10.5479,9.9534,10.2795,443283
2021-01-15,10.3562,10.5479,10.0015,10.4521,199497
2021-01-19,10.5,10.5479,10.2385,10.4712,795957
2021-01-20,10.5479,10.5479,10.2411,10.4233,650208
2021-01-21,10.5,11.0178,10.3562,10.4712,507216
2021-01-22,11.2671,11.2671,10.4712,10.6438,242715
2021-01-25,10.6438,11.0274,10.4041,10.5479,485581
2021-01-26,10.4905,10.663,10.2603,10.3753,212131
2021-01-27,10.3753,10.3753,9.8767,9.8767,410416
2021-01-28,10.0205,10.289,9.9726,10.1836,257476
2021-01-29,10.1337,10.5,10.1164,10.3082,471657
2021-02-01,10.4233,10.7396,10.1548,10.4425,369331
2021-02-02,10.5,10.6438,10.1836,10.4904,285391
2021-02-03,10.5479,10.6726,10.3849,10.6726,187584
2021-02-04,10.5479,10.7685,10.4041,10.6342,167255
2021-02-05,10.4616,10.5479,10.4521,10.4904,112313
2021-02-08,10.4616,10.7685,10.3849,10.4041,335032
2021-02-09,10.4521,10.4521,10.2219,10.2603,351897
2021-02-10,10.4904,11.4877,10.2603,10.826,14000041
2021-02-11,10.9699,11.1233,10.5288,10.7877,4379019
2021-02-12,10.6438,10.9219,10.4041,10.5767,1536467
2021-02-16,10.5959,10.8356,10.4329,10.4904,1186532
2021-02-17,10.3562,10.4904,10.0781,10.1356,908598
2021-02-18,10.1548,10.1548,9.8863,10.0301,1389872
2021-02-19,10.0589,10.1548,9.9534,10.0588,664813
2021-02-22,10.0781,10.0781,9.8959,9.8959,484938
2021-02-23,9.6466,9.9822,9.589,9.963,948702
2021-02-24,9.8767,10.1356,9.7041,9.7521,582987
2021-02-25,9.7329,9.8767,9.7233,9.8096,656367
2021-02-26,9.7041,9.8384,9.5603,9.7329,618177
2021-03-01,9.8479,9.9726,9.7329,9.8192,293800
2021-03-02,9.8192,9.9726,9.6466,9.9247,422133
2021-03-03,9.7808,9.8767,9.6562,9.7137,1313535
2021-03-04,9.7233,9.7808,9.3877,9.5986,1285076
2021-03-05,9.5891,9.8288,9.5891,9.7808,639115
2021-03-08,9.7712,9.8767,9.589,9.8192,594368
2021-03-09,9.8767,9.8767,9.7329,9.8096,766793
2021-03-10,9.8096,9.8384,9.7137,9.7616,220140
2021-03-11,9.8767,9.8767,9.7616,9.7808,589306
2021-03-12,9.8192,10.0685,9.7425,9.7808,138523
2021-03-15,10.0589,10.0589,9.7425,9.7616,176201
2021-03-16,9.7616,9.7808,9.6849,9.7425,93459
2021-03-17,9.7425,9.9726,9.6849,9.8767,237006
2021-03-18,9.7329,9.9726,9.637,9.7616,619864
2021-03-19,9.6849,9.8096,9.6849,9.7904,388811
2021-03-22,9.8288,9.8767,9.6753,9.6849,284496
2021-03-23,9.6945,9.7329,9.4932,9.637,644010
2021-03-24,9.6178,9.6562,9.589,9.6082,1015421
2021-03-25,9.5315,9.6753,9.5027,9.589,387770
2021-03-26,9.589,9.8288,9.589,9.7808,215724
2021-03-29,9.8288,9.8288,9.637,9.7329,508244
2021-03-30,9.6945,9.7233,9.6753,9.7137,725083
2021-03-31,9.7613,9.8,9.6849,9.7712,185923
2021-04-01,9.7808,9.7904,9.7329,9.7521,138944
2021-04-05,9.9055,9.9247,9.7329,9.7808,243543
2021-04-06,9.7904,9.8288,9.7521,9.7808,613729
2021-04-07,9.7616,9.8767,9.6849,9.7329,510519
2021-04-08,9.7329,9.9342,9.7242,9.8575,620914
2021-04-09,9.8,9.8767,9.7616,9.8288,274268
2021-04-12,9.9247,9.9822,9.8384,9.9055,170969
2021-04-13,10.0014,10.0014,9.8,9.8288,81298
2021-04-14,9.7904,9.8384,9.7041,9.8288,176790
2021-04-15,9.9534,9.9534,9.7712,9.8192,92300
2021-04-16,9.7425,9.8288,9.637,9.6753,310311
2021-04-19,9.6753,9.8192,9.6752,9.8192,207802
2021-04-20,9.7808,9.7808,9.7041,9.7712,220434
2021-04-21,9.7616,9.8192,9.7041,9.7904,252858
2021-04-22,9.8192,9.8192,9.637,9.6562,403591
2021-04-23,9.6945,9.7664,9.6849,9.7233,229837
2021-04-26,9.7425,9.8192,9.7233,9.7808,163566
2021-04-27,9.7808,9.7808,9.7233,9.7329,156119
2021-04-28,9.7425,9.8192,9.6945,9.7137,162918
2021-04-29,9.7425,9.8288,9.7137,9.7329,163814
2021-04-30,9.7137,9.7712,9.637,9.7521,565460
2021-05-03,9.6849,9.8671,9.6753,9.6945,390137
2021-05-04,9.6849,9.7425,9.6753,9.7233,347209
2021-05-05,9.7329,9.7808,9.7233,9.7712,108016
2021-05-06,9.7904,9.7904,9.6849,9.7425,142362
2021-05-07,9.6945,9.7521,9.6945,9.7137,70588
2021-05-10,9.6849,9.7329,9.6466,9.6849,123016
2021-05-11,9.637,9.7041,9.5315,9.6849,520028
2021-05-12,9.6562,9.7137,9.6178,9.6274,255307
2021-05-13,9.6178,9.7079,9.6178,9.6466,84769
2021-05-14,9.6466,9.6753,9.637,9.6562,144559
2021-05-17,9.6658,9.6849,9.6466,9.6658,93863
2021-05-18,9.6466,9.7808,9.6466,9.6849,130843
