Date,Open,High,Low,Close,Volume
2000-10-02,13.25,13.5,12.125,12.25,123300
2000-10-03,12.4375,12.75,11.5,11.875,127500
2000-10-04,11.8125,11.875,10.625,11.25,199900
2000-10-05,11.25,11.625,11.0,11.5625,133000
2000-10-06,11.75,12.25,11.5625,11.5625,108600
2000-10-09,11.5625,11.96875,11.375,11.625,17300
2000-10-10,11.3125,11.875,11.3125,11.4375,56900
2000-10-11,11.4375,11.5,9.5,10.5,233100
2000-10-12,10.5625,10.75,10.0,10.5,255400
2000-10-13,10.375,11.0,10.375,10.8125,65300
2000-10-16,10.96875,10.96875,10.4375,10.4375,37300
2000-10-17,10.4375,11.0,10.375,10.6875,150800
2000-10-18,10.5,10.625,10.0,10.375,108000
2000-10-19,10.0625,10.5,9.9375,10.5,44100
2000-10-20,10.625,10.875,10.3125,10.5,99600
2000-10-23,10.3125,11.0,10.125,10.875,48500
2000-10-24,10.875,11.0,10.4375,10.4375,49400
2000-10-25,10.5,10.5,9.125,9.5,119400
2000-10-26,9.625,10.375,9.5,9.8125,24600
2000-10-27,9.75,10.0,9.625,9.8125,67600
2000-10-30,9.5625,9.5625,8.125,9.0,215200
2000-10-31,9.125,9.4375,8.875,9.4375,82700
2000-11-01,8.96875,9.5,8.9375,9.25,67200
2000-11-02,9.1875,9.5,9.1875,9.4375,20700
2000-11-03,9.5,9.625,9.3125,9.5,198500
2000-11-06,9.75,9.9375,9.4375,9.5,102900
2000-11-07,9.5,10.125,9.375,9.75,146100
2000-11-08,9.875,9.9375,9.0,9.0,245100
2000-11-09,8.875,9.1875,8.875,9.0,181000
2000-11-10,9.0,9.0625,8.875,9.0,55700
2000-11-13,8.875,9.0,7.625,7.75,132200
2000-11-14,8.0625,8.0625,7.75,7.9375,110400
2000-11-15,8.0625,8.0625,7.875,8.0,58300
2000-11-16,7.875,7.9375,6.0625,6.625,241600
2000-11-17,6.625,7.625,6.5,7.1875,174900
2000-11-20,7.25,7.4375,7.1875,7.25,125300
2000-11-21,7.0625,7.96875,7.0625,7.625,104600
2000-11-22,7.75,7.875,6.9375,7.1875,437100
2000-11-24,7.0,8.125,7.0,8.125,37400
2000-11-27,7.875,8.375,7.6875,7.75,54400
2000-11-28,7.75,8.0,7.25,7.5,118800
2000-11-29,7.5,7.5,7.0,7.25,53300
2000-11-30,7.0,7.0,5.5625,6.375,202500
2000-12-01,6.5625,6.6875,6.375,6.375,98100
2000-12-04,6.625,6.625,5.625,5.875,108700
2000-12-05,5.625,6.5625,5.625,6.125,168400
2000-12-06,6.0,6.5,5.9375,6.5,92300
2000-12-07,6.09375,6.75,6.0625,6.4375,322800
2000-12-08,6.4375,8.0,6.375,7.625,195400
2000-12-11,8.0,8.0,7.0625,7.4375,45400
2000-12-12,7.25,7.4375,7.0625,7.125,14800
2000-12-13,7.25,7.25,6.9375,7.0,40400
2000-12-14,7.0,7.0625,6.9375,7.0,50600
2000-12-15,7.03125,7.0625,6.9375,7.0,44100
2000-12-18,6.96875,7.25,6.96875,7.125,69200
2000-12-19,7.0,8.25,6.96875,7.5625,166200
2000-12-20,7.625,7.875,6.0,6.5,111200
2000-12-21,6.375,6.625,5.9375,6.625,252600
2000-12-22,6.75,7.625,6.625,7.5,111500
2000-12-26,7.5,7.5,6.75,7.3125,40500
2000-12-27,7.3125,7.9375,6.75,7.71875,61400
2000-12-28,7.1875,7.96875,7.0,7.625,90700
2000-12-29,7.125,8.25,6.875,7.75,183400
2001-01-02,8.3125,8.3125,7.53125,7.53125,30600
2001-01-03,7.71875,7.75,7.0,7.75,35300
2001-01-04,7.71875,7.71875,7.25,7.3125,61600
2001-01-05,7.25,8.125,7.0,7.125,56200
2001-01-08,7.125,7.75,7.0,7.1875,25800
2001-01-09,7.90625,7.90625,7.0,7.625,42600
2001-01-10,7.75,8.0,7.6875,7.9375,44100
2001-01-11,7.9375,8.375,7.875,8.125,126600
2001-01-12,8.0625,8.0625,7.875,7.96875,32700
2001-01-16,7.625,9.0625,7.4375,8.9375,211700
2001-01-17,9.0,9.75,8.5,9.25,173500
