Date,Open,High,Low,Close,Volume
2014-05-09,2.0,2.0,0.95,1.04,17562.0
2014-05-12,0.59,2.61,0.59,1.5,33564.0
2014-05-13,1.9,1.9,1.1001,1.43,24010.0
2014-05-14,1.2,1.2,1.2,1.2,1500.0
2014-05-15,1.3,1.5,1.3,1.44,8108.0
2014-05-16,1.484,1.484,1.3,1.4,11338.0
2014-05-19,1.3,1.3,1.11,1.3,23140.0
2014-05-20,1.3,1.3,1.3,1.3,200.0
2014-05-21,1.2,1.375,1.2,1.375,10000.0
2014-05-22,1.29,1.29,0.91,0.99,59326.0
2014-05-27,1.23,1.23,1.0,1.21,67743.0
2014-05-28,1.01,1.03,1.01,1.02,9904.0
2014-05-29,1.0,1.1698,0.95,1.15,26292.0
2014-05-30,1.0,1.3899,1.0,1.3899,7300.0
2014-06-02,1.2,1.22,1.05,1.19,4100.0
2014-06-03,1.15,1.24,1.15,1.2,4316.0
2014-06-04,1.24,1.24,1.24,1.24,500.0
2014-06-05,1.2399,1.24,1.15,1.23,10988.0
2014-06-06,1.1,1.1,1.1,1.1,158.0
2014-06-09,1.24,1.25,1.1,1.19,10900.0
2014-06-10,1.2,1.24,1.15,1.15,4800.0
2014-06-11,1.15,1.15,1.1,1.1,5053.0
2014-06-12,1.0001,1.0995,1.0001,1.05,21900.0
2014-06-13,1.05,1.05,1.05,1.05,150.0
2014-06-16,1.05,1.2,1.05,1.2,2750.0
2014-06-18,1.15,1.1804,1.0201,1.1804,3180.0
2014-06-19,1.1001,1.22,1.1,1.19,32250.0
2014-06-23,1.24,1.25,1.17,1.19,36289.0
2014-06-24,1.389,1.39,1.19,1.19,14950.0
2014-06-25,1.19,1.19,1.19,1.19,2111.0
2014-06-26,1.2,1.2,1.2,1.2,1450.0
2014-06-27,1.1,1.14,1.09,1.14,800.0
2014-06-30,1.2,1.25,1.0501,1.0501,17450.0
2014-07-02,1.25,1.25,1.24,1.24,2050.0
2014-07-03,1.25,1.25,1.2,1.2,4300.0
2014-07-07,1.25,1.25,1.06,1.24,4600.0
2014-07-08,1.07,1.24,1.06,1.24,3250.0
2014-07-09,1.22,1.24,1.14,1.15,3375.0
2014-07-10,1.14,1.14,1.06,1.096,18900.0
2014-07-11,1.1,1.1,1.02,1.02,3815.0
2014-07-14,1.08,1.1,1.08,1.1,6600.0
2014-07-15,1.1,1.1,1.1,1.1,3000.0
2014-07-16,1.03,1.1,1.01,1.1,28000.0
2014-07-17,1.05,1.07,1.03,1.05,3300.0
2014-07-18,1.1,1.2,1.02,1.2,17600.0
2014-07-21,1.08,1.17,1.08,1.15,2600.0
2014-07-22,1.17,1.17,1.17,1.17,500.0
2014-07-23,1.17,1.32,1.05,1.3,39871.0
2014-07-24,1.35,1.35,1.26,1.3,16770.0
2014-07-25,1.35,1.35,1.09,1.29,23066.0
2014-07-28,1.35,1.58,1.35,1.55,70904.0
2014-07-29,1.509,1.509,1.509,1.509,1100.0
2014-07-30,1.5,1.68,1.46,1.68,88300.0
2014-07-31,1.6799,1.7,1.4531,1.65,48452.0
2014-08-01,1.7,1.7,1.45,1.65,6440.0
2014-08-04,1.7,1.7,1.58,1.599,13450.0
2014-08-05,1.58,1.75,1.58,1.7,71426.0
2014-08-06,1.75,1.8201,1.75,1.82,17898.0
2014-08-07,1.85,1.9,1.65,1.65,7650.0
2014-08-08,1.65,1.8,1.484,1.65,8300.0
2014-08-11,1.699,1.699,1.45,1.65,13144.0
