Date,Open,High,Low,Close,Volume
2000-01-03,5.9463,6.0157,5.7556,5.773,1983596.0
2000-01-04,5.6689,5.825,5.6343,5.6516,2718682.0
2000-01-05,5.6516,5.7383,5.5996,5.6863,2021087.0
2000-01-06,5.6343,5.9463,5.6169,5.8423,5726104.0
2000-01-07,5.981,6.241,5.9116,6.0157,5652200.0
2000-01-10,6.0157,6.0157,5.773,5.825,3883150.0
2000-01-11,5.825,6.085,5.8076,6.0503,3785083.0
2000-01-12,6.085,6.1023,5.9983,6.0157,3617805.0
2000-01-13,6.0157,6.241,5.9983,6.2064,5172727.0
2000-01-14,6.2064,6.2237,5.981,6.1023,3297681.0
2000-01-18,5.9637,6.137,5.8943,6.1023,4552625.0
2000-01-19,6.1023,6.241,6.0503,6.189,5229321.0
2000-01-20,6.2757,6.2757,6.0677,6.137,2844496.0
2000-01-21,6.137,6.1717,5.9637,6.0157,5554872.0
2000-01-24,6.1023,6.1023,5.7209,5.7903,4694669.0
2000-01-25,6.033,6.033,5.4782,5.4956,7277412.0
2000-01-26,5.5476,5.7036,5.5129,5.6343,4639156.0
2000-01-27,5.7036,5.7036,5.5303,5.5823,3916668.0
2000-01-28,5.4782,5.6516,5.4782,5.5476,3816094.0
2000-01-31,5.5996,5.5996,5.3396,5.5129,3881704.0
2000-02-01,5.4956,5.5476,5.3742,5.4956,2764468.0
2000-02-02,5.4956,5.5823,5.4089,5.4436,4343536.0
2000-02-03,5.4089,5.4782,5.3569,5.4089,2974644.0
2000-02-04,5.4609,5.4956,5.3916,5.4089,3267023.0
2000-02-07,5.3569,5.4262,5.3396,5.3916,2950859.0
2000-02-08,5.3569,5.4262,5.3049,5.3569,2552123.0
2000-02-09,5.4089,5.4089,5.2355,5.2702,7529781.0
2000-02-10,5.2702,5.4089,5.2529,5.2529,3988059.0
2000-02-11,5.2702,5.3222,5.0968,5.1315,7886338.0
2000-02-14,5.1315,5.1489,4.6461,4.7848,16762255.0
2000-02-15,4.7675,4.9928,4.6981,4.9755,20875387.0
2000-02-16,4.9755,5.0622,4.8888,5.0275,6266168.0
2000-02-17,5.0102,5.0622,4.8541,4.8888,2737063.0
2000-02-18,4.8888,4.9061,4.7328,4.7848,4285123.0
2000-02-22,4.7848,4.8541,4.7501,4.7848,2865414.0
2000-02-23,4.7848,4.7848,4.6114,4.6634,4051870.0
2000-02-24,4.6808,4.6808,4.5421,4.5594,3740383.0
2000-02-25,4.5594,4.5594,4.3687,4.3687,5572895.0
2000-02-28,4.4381,4.4727,4.3687,4.4034,8375920.0
2000-02-29,4.4034,4.5248,4.3861,4.4554,6553140.0
2000-03-01,4.4727,4.5594,4.4207,4.4554,9524518.0
2000-03-02,4.4554,4.7328,4.4207,4.6808,11573697.0
2000-03-03,4.6808,4.8021,4.6114,4.7675,4624007.0
2000-03-06,4.7848,4.8195,4.7154,4.7848,3663232.0
2000-03-07,4.8368,5.0275,4.7848,4.9408,4760286.0
2000-03-08,5.0622,5.0622,4.8195,4.8368,8415206.0
2000-03-09,4.8195,4.8541,4.7154,4.7675,4009333.0
2000-03-10,4.7328,4.8715,4.7328,4.8368,6156581.0
2000-03-13,4.7154,4.8541,4.7154,4.8195,4445558.0
2000-03-14,4.8195,4.8368,4.7154,4.7675,5763604.0
2000-03-15,4.7848,4.8541,4.7328,4.8195,4250157.0
2000-03-16,4.8195,5.0795,4.8195,5.0622,6007316.0
2000-03-17,5.0622,5.0968,4.9582,5.0622,6456528.0
2000-03-20,5.0622,5.1142,5.0102,5.0102,3165721.0
2000-03-21,5.0275,5.1835,5.0275,5.1315,4727473.0
2000-03-22,5.1315,5.2182,5.1142,5.1835,4911712.0
2000-03-23,5.1835,5.2355,5.1662,5.2182,5628414.0
2000-03-24,5.2529,5.3222,5.2182,5.2702,3096501.0
2000-03-27,5.2875,5.3396,5.2009,5.2702,3856476.0
2000-03-28,5.2702,5.3569,5.2702,5.3049,3460987.0
2000-03-29,5.3049,5.4782,5.2875,5.4089,6115115.0
2000-03-30,5.4609,5.6863,5.4262,5.6169,5802183.0
2000-03-31,5.6516,5.8076,5.6343,5.7556,8105526.0
2000-04-03,5.7036,5.7903,5.6863,5.773,3422410.0
2000-04-04,5.7556,5.825,5.6343,5.7209,6201992.0
2000-04-05,5.7556,5.877,5.7209,5.8076,7224059.0
2000-04-06,5.825,6.033,5.825,6.0157,5340365.0
2000-04-07,6.0157,6.0677,5.8943,5.9463,5559565.0
2000-04-10,5.9463,5.981,5.8423,5.929,4145249.0
2000-04-11,5.981,6.0503,5.9463,5.981,7720858.0
2000-04-12,5.9983,6.0677,5.981,6.0157,8750487.0
2000-04-13,5.9983,6.137,5.9637,5.9983,3448724.0
2000-04-14,6.033,6.1197,5.7556,5.9463,5806152.0
2000-04-17,5.825,5.8943,5.6516,5.7903,3594018.0
2000-04-18,5.8423,5.8423,5.4782,5.5823,3875572.0
2000-04-19,5.7036,5.7209,5.5996,5.6689,3295500.0
2000-04-20,5.6689,5.7209,5.4782,5.7036,4518371.0
2000-04-24,5.7556,5.8596,5.6863,5.8076,3447287.0
