Date,Open,High,Low,Close,Volume
2023-11-01,3.5,3.69,2.05,2.31,1666754
2023-11-02,2.32,2.59,1.66,1.86,679372
2023-11-03,1.75,1.97,1.71,1.84,176928
2023-11-06,1.7,1.86,1.7,1.82,89435
2023-11-07,1.72,1.8,1.53,1.58,123369
2023-11-08,1.51,1.6,1.32,1.4,147459
2023-11-09,1.43,3.15,1.28,2.24,7260949
2023-11-10,2.15,2.16,1.7,1.94,321600
2023-11-13,1.85,2.0999,1.74,1.9,251141
2023-11-14,1.9,2.28,1.8,2.26,320361
2023-11-15,2.09,4.25,2.09,2.7,1653221
2023-11-16,2.68,3.0888,2.31,2.6,477851
2023-11-17,2.63,3.13,2.43,2.5619,212318
2023-11-20,2.49,2.98,2.48,2.73,245690
2023-11-21,2.73,3.0,2.6,2.81,154718
2023-11-22,2.8,2.91,2.61,2.61,61909
2023-11-24,2.6458,2.82,2.5,2.6,32951
2023-11-27,2.66,2.73,1.83,1.98,160039
2023-11-28,2.02,2.15,1.51,1.64,243043
2023-11-29,1.5,1.75,1.5,1.54,85972
2023-11-30,1.58,1.62,1.46,1.46,76477
2023-12-01,1.47,3.34,1.36,1.9,4511334
2023-12-04,1.95,2.54,1.8,2.4,399486
2023-12-05,2.3,2.5553,2.12,2.2,147304
2023-12-06,2.2,3.97,2.2,3.33,1291317
2023-12-07,3.53,3.9,3.05,3.6,441522
2023-12-08,3.4,3.6,2.95,3.48,194152
2023-12-11,3.48,3.48,1.9,2.07,225261
2023-12-12,2.02,2.6,2.02,2.13,235378
2023-12-13,2.22,2.38,1.755,1.91,347823
2023-12-14,1.8,2.1,1.46,1.58,625265
2023-12-15,1.6,1.9,1.58,1.66,262760
2023-12-18,1.84,1.8781,1.71,1.7592,87310
2023-12-19,1.7217,1.8,1.62,1.73,72701
2023-12-20,1.73,1.73,1.61,1.73,49294
2023-12-21,1.72,2.2798,1.68,1.86,380973
2023-12-22,1.76,1.98,1.76,1.8601,90606
2023-12-26,1.86,1.9199,1.78,1.87,23277
2023-12-27,1.86,1.9182,1.76,1.76,46667
2023-12-28,1.77,1.84,1.7,1.84,40505
2023-12-29,1.82,1.84,1.71,1.78,41817
2024-01-02,1.77,1.8,1.62,1.7,25266
2024-01-03,1.7,1.75,1.65,1.65,16252
2024-01-04,1.68,1.7499,1.6245,1.67,29828
2024-01-05,1.68,1.7399,1.62,1.65,20634
2024-01-08,1.65,1.74,1.6031,1.69,14411
2024-01-09,1.67,1.74,1.6,1.6,41406
2024-01-10,1.6,1.6699,1.6,1.62,16740
2024-01-11,1.56,1.65,1.56,1.59,35797
2024-01-12,1.56,1.69,1.5108,1.69,15423
2024-01-16,1.62,1.73,1.57,1.62,28749
2024-01-17,1.69,1.74,1.6,1.66,13113
2024-01-18,1.5952,1.7,1.5952,1.69,9999
2024-01-19,1.66,1.72,1.6,1.72,10200
2024-01-22,1.6615,1.7,1.6,1.6574,3595
2024-01-23,1.63,1.69,1.57,1.69,4178
2024-01-24,1.6645,1.6788,1.59,1.66,4639
2024-01-25,1.65,1.7225,1.64,1.69,17377
2024-01-26,1.71,1.71,1.59,1.64,8859
2024-01-29,1.61,1.68,1.5,1.53,26985
2024-01-30,1.54,1.6,1.53,1.5987,9084
2024-01-31,1.52,1.56,1.5,1.5,10547
2024-02-01,1.5169,1.56,1.45,1.56,16750
2024-02-02,1.5,1.5,1.4115,1.4115,8957
2024-02-05,1.48,1.48,1.4,1.48,18183
2024-02-06,1.45,1.5499,1.4,1.45,10079
2024-02-07,1.47,1.522,1.4,1.4013,8611
2024-02-08,1.4101,1.461,1.35,1.395,18156
2024-02-09,1.41,1.4471,1.3601,1.44,7723
2024-02-12,1.3949,1.45,1.31,1.34,18570
2024-02-13,1.31,1.35,1.2,1.26,42963
2024-02-14,1.23,1.32,1.21,1.28,27285
2024-02-15,1.32,1.3699,1.31,1.355,4652
2024-02-16,1.36,1.3699,1.25,1.29,11369
2024-02-20,1.2914,1.39,1.28,1.39,15834
2024-02-21,1.23,1.7,1.23,1.31,146555
