Date,Open,High,Low,Close,Volume
2007-05-16,20.9,20.9,20.9,20.9,100
2007-05-22,20.9,20.9,20.9,20.9,200
2007-05-25,21.15,21.9,21.15,21.15,1400
2007-05-31,20.9,21.5,20.71,21.5,1300
2007-06-08,21.25,21.25,21.15,21.15,200
2007-06-11,21.1,21.1,20.7,20.7,1000
2007-06-13,20.45,20.75,19.45,20.75,3000
2007-06-14,20.49,20.75,20.49,20.75,400
2007-06-19,20.6,20.6,20.6,20.6,300
2007-06-20,20.84,20.85,20.84,20.85,600
2007-06-22,20.85,20.85,20.6,20.85,400
2007-06-26,20.85,20.85,20.85,20.85,200
2007-06-27,20.85,20.85,20.6,20.6,1100
2007-06-29,20.85,20.85,20.85,20.85,1900
2007-07-05,20.99,20.99,20.99,20.99,100
2007-07-11,20.61,20.61,20.61,20.61,500
2007-07-16,21.0,21.0,21.0,21.0,4700
2007-07-20,21.0,21.0,21.0,21.0,5000
2007-07-25,20.75,20.75,20.5,20.5,600
2007-07-30,20.0,20.0,20.0,20.0,100
2007-08-03,20.25,20.5,20.25,20.5,200
2007-08-07,20.25,20.25,20.25,20.25,100
2007-08-08,20.5,20.5,20.0,20.0,1200
2007-08-10,20.25,20.5,20.25,20.5,800
2007-08-21,20.0,20.05,20.0,20.05,200
2007-08-30,20.25,20.25,20.25,20.25,100
2007-08-31,20.25,20.55,20.25,20.55,1000
2007-09-05,20.8,21.25,20.8,21.25,500
2007-09-06,20.28,21.5,20.23,21.0,47000
2007-09-07,21.0,21.0,21.0,21.0,3700
2007-09-10,21.0,21.0,21.0,21.0,3500
2007-09-11,21.2,21.2,21.2,21.2,100
2007-09-12,21.45,21.7,21.45,21.7,200
2007-09-14,21.45,21.45,21.0,21.0,500
2007-09-24,20.75,20.75,20.75,20.75,100
2007-09-25,20.75,20.75,20.75,20.75,500
2007-10-09,20.51,20.51,20.5,20.5,400
2007-11-07,20.0,20.0,20.0,20.0,100
2007-11-08,20.25,20.75,20.25,20.75,500
2007-11-09,20.5,20.5,20.5,20.5,100
2007-11-12,20.25,20.25,19.87,20.25,1600
2007-11-21,20.5,20.5,20.5,20.5,1300
2007-11-26,20.5,21.25,20.5,21.25,500
2007-11-29,21.0,21.0,20.75,20.75,700
2007-11-30,494.12,494.12,20.5,20.5,1200
2007-12-04,20.75,20.75,20.75,20.75,100
2007-12-11,20.5,20.5,20.5,20.5,200
2007-12-12,20.25,20.25,20.25,20.25,100
2007-12-13,20.0,20.0,19.75,19.75,200
2007-12-17,20.0,20.0,20.0,20.0,100
2007-12-19,20.25,20.25,20.25,20.25,100
2008-01-04,19.5,19.75,19.5,19.75,1900
2008-01-08,19.51,19.51,19.51,19.51,100
