Date,Open,High,Low,Close,Volume
2013-11-21,2058.0,2058.0,2058.0,2058.0,15.3
2013-11-22,2940.0,7849.8,2940.0,4655.0,65.735
2013-11-25,4547.2,4547.2,3920.0,3969.0,46.047000000000004
2013-11-26,3920.0,3920.0,3920.0,3920.0,0.51
2013-11-27,3920.0,3920.0,3910.2,3910.2,2.0
2013-12-02,3430.0,3920.0,3430.0,3430.0,16.57
2013-12-03,3439.8,3528.0,3439.8,3528.0,2.244
2013-12-04,3665.2,3675.0,3665.2,3675.0,1.315
2013-12-05,3449.6,3449.6,3430.0,3430.0,12.534
2013-12-06,3528.0,3528.0,3430.0,3430.0,1.289
2013-12-10,2891.0,3420.2,2891.0,3420.2,1.8849999999999998
2013-12-11,3430.0,3430.0,2920.4,3283.0,1.857
2013-12-18,2920.4,2920.4,2920.4,2920.4,0.306
2013-12-20,3175.2,3175.2,2499.0,2499.0,5.618
2013-12-23,2499.0,2557.8,2499.0,2557.8,2.55
2013-12-24,2499.0,2499.0,2499.0,2499.0,2.55
2013-12-26,2940.0,2940.0,2940.0,2940.0,2.0
2013-12-27,2744.0,3057.6,2744.0,2940.0,6.426
2013-12-30,2940.0,3283.0,2940.0,3283.0,2.114
2013-12-31,3283.0,3283.0,3283.0,3283.0,5.57
2014-01-02,2940.0,2940.0,2940.0,2940.0,1.0
2014-01-06,2940.0,2940.0,2940.0,2940.0,3.042
2014-01-10,2940.0,2940.0,2940.0,2940.0,0.102
2014-01-13,2695.0,2695.0,2450.0,2548.0,12.48
2014-01-14,2548.0,2548.0,2450.0,2479.4,13.82
2014-01-16,2528.4,2940.0,2528.4,2940.0,1.102
2014-01-24,2499.0,2940.0,2401.0,2940.0,2.856
2014-01-27,2695.0,2695.0,2695.0,2695.0,0.408
2014-01-28,2695.0,2695.0,2695.0,2695.0,0.173
2014-01-31,2479.4,2499.0,2479.4,2499.0,2.244
2014-02-04,2695.0,2695.0,2499.0,2499.0,1.204
2014-02-05,2499.0,2695.0,2489.2,2695.0,1.4080000000000001
2014-02-10,2646.0,2646.0,2646.0,2646.0,0.51
2014-02-18,2646.0,2646.0,2646.0,2646.0,3.78
2014-02-19,2499.0,2499.0,2450.0,2450.0,1.408
2014-02-20,2499.0,2548.0,2499.0,2548.0,3.632
2014-02-21,2548.0,2548.0,2548.0,2548.0,2.04
2014-03-03,2499.0,2499.0,2499.0,2499.0,0.102
2014-03-05,2499.0,2499.0,2499.0,2499.0,1.0
2014-03-07,2499.0,2499.0,1960.0,2450.0,5.346
2014-03-10,2342.2,2342.2,2322.6,2322.6,1.102
2014-03-11,2283.4,2283.4,2283.4,2283.4,0.102
2014-03-12,2450.0,2450.0,2450.0,2450.0,2.04
2014-03-13,2303.0,2303.0,2165.8,2165.8,1.2040000000000002
2014-03-14,2450.0,2450.0,2450.0,2450.0,1.0
2014-03-18,2440.2,2450.0,2440.2,2450.0,1.0
2014-03-21,2450.0,2450.0,2450.0,2450.0,1.0
2014-03-27,2303.0,2303.0,1969.8,2205.0,2.1020000000000003
2014-03-28,2420.6,2430.4,2420.6,2430.4,1.0
2014-03-31,2450.0,2450.0,2450.0,2450.0,1.0
2014-04-02,2401.0,2401.0,2401.0,2401.0,2.04
2014-04-04,2401.0,2401.0,2401.0,2401.0,2.19
2014-04-08,2401.0,2401.0,2401.0,2401.0,5.1
2014-04-14,2401.0,2401.0,2382.38,2401.0,2.306
2014-04-15,2401.0,2401.0,2401.0,2401.0,1.0
2014-04-21,2303.0,2303.0,2214.8,2214.8,0.448
2014-04-24,2205.0,2205.0,2205.0,2205.0,0.102
2014-04-25,2156.0,2156.0,2156.0,2156.0,1.0
2014-04-28,2156.0,2156.0,2156.0,2156.0,1.306
2014-04-29,2156.0,2156.0,2156.0,2156.0,0.102
2014-04-30,2205.0,2205.0,2205.0,2205.0,1.0
2014-05-01,2205.0,2450.0,2205.0,2450.0,2.55
2014-05-02,2548.0,2695.0,2450.0,2450.0,1.408
2014-05-06,2450.0,2450.0,2450.0,2450.0,0.204
2014-05-12,2401.0,2401.0,2401.0,2401.0,0.255
2014-05-13,2205.0,2205.0,2205.0,2205.0,1.0
2014-05-14,2205.0,2205.0,2205.0,2205.0,1.0
2014-05-20,2450.0,2450.0,2450.0,2450.0,1.0
2014-05-21,2552.9,2552.9,2552.9,2552.9,0.132
2014-05-23,2440.2,2440.2,2440.2,2440.2,0.255
2014-06-03,2440.2,2440.2,2440.2,2440.2,0.105
2014-06-06,2440.2,2440.2,2440.2,2440.2,1.0
2014-06-16,1969.8,1969.8,1960.0,1960.0,4.7940000000000005
2014-06-17,1979.6,1979.6,1979.6,1979.6,1.204
2014-06-18,2205.0,2205.0,2205.0,2205.0,0.102
2014-06-20,1979.6,1979.6,1960.0,1960.0,10.74
2014-06-25,1979.6,1979.6,1960.0,1960.0,28.93
2014-06-26,2352.0,2352.0,2352.0,2352.0,0.102
2014-06-30,2352.0,2352.0,2352.0,2352.0,0.204
2014-07-02,2342.2,2342.2,2342.2,2342.2,0.47
2014-07-03,2156.0,2156.0,2156.0,2156.0,0.128
2014-07-11,2156.0,2156.0,2156.0,2156.0,0.156
2014-07-14,2156.0,2156.0,1950.2,1960.0,4.144
2014-07-16,1950.2,2009.0,1950.2,2009.0,3.0
2014-07-18,2009.0,2009.0,2009.0,2009.0,1.0
2014-07-21,1724.8,1950.2,1715.0,1950.2,11.322000000000001
2014-07-22,1940.4,1940.4,1940.4,1940.4,1.89
2014-07-23,1940.4,1940.4,1940.4,1940.4,1.0
2014-07-24,1862.0,1862.0,1862.0,1862.0,0.102
2014-07-25,1813.0,1862.0,1724.8,1862.0,6.752000000000001
2014-07-28,1862.0,1862.0,1862.0,1862.0,2.04
2014-07-29,1734.6,1734.6,1715.0,1715.0,4.8
2014-07-30,1852.2,1852.2,1852.2,1852.2,0.204
2014-07-31,1862.0,1862.0,1724.8,1724.8,1.49
