Date,Open,High,Low,Close,Volume
2007-05-16,23.4,23.94,22.56,23.4,9284.7
2007-05-17,23.4,24.09,22.95,24.0,107602.6
2007-05-18,24.3,24.3,23.64,24.0,39345.4
2007-05-21,24.3,24.3,23.73,24.03,29814.8
2007-05-22,23.7,24.42,23.7,24.0,8275.699999999999
2007-05-23,23.88,24.36,23.85,24.2973,10979.2
2007-05-24,24.51,24.51,23.91,24.126,13384.9
2007-05-25,24.3069,24.6,24.3069,24.48,8335.9
2007-05-29,24.84,25.32,24.84,25.08,12092.6
2007-05-30,25.08,25.35,24.03,25.35,10500.6
2007-05-31,25.47,25.5,25.05,25.08,17712.2
2007-06-04,24.03,25.56,24.03,25.35,36794.5
2007-06-05,25.35,25.65,24.96,25.5,12669.4
2007-06-06,25.05,25.26,24.21,25.26,27324.3
2007-06-07,24.93,25.35,24.45,24.9,7140.9
2007-06-08,24.72,25.2,24.24,25.2,6054.0
2007-06-11,25.08,25.08,24.69,24.9,4783.0
2007-06-12,24.6,24.6,24.33,24.6,15423.7
2007-06-13,24.42,24.48,24.21,24.264,5682.4
2007-06-14,24.21,24.42,24.0,24.06,12794.0
2007-06-15,23.91,24.3,23.7,23.76,12331.5
2007-06-18,23.4,23.52,22.65,23.1,15377.6
2007-06-19,23.25,23.25,21.93,22.65,17853.7
2007-06-20,22.8,22.92,22.41,22.83,5933.6
2007-06-21,22.95,23.13,22.0203,22.56,9443.2
2007-06-22,22.38,23.1,22.23,23.04,5010.7
2007-06-25,22.95,22.98,22.05,22.26,5023.9
2007-06-26,22.23,24.03,21.75,23.1,22194.7
2007-06-27,22.86,23.46,22.86,23.4,6661.6
2007-06-28,22.44,23.1,22.44,23.1,11795.7
2007-06-29,22.77,23.4,22.77,23.37,7419.6
2007-07-02,23.34,23.34,22.5585,22.8,2579.3
2007-07-03,22.38,22.8,22.2,22.5,8634.1
2007-07-05,22.41,22.8,22.41,22.59,4300.3
2007-07-06,22.7397,22.92,22.65,22.74,3418.3
2007-07-09,23.01,23.1,22.5,22.701,5902.2
2007-07-10,22.62,22.6554,22.41,22.41,3101.2
2007-07-11,22.59,23.13,22.5,22.8,4458.1
2007-07-12,23.1,23.4,22.89,23.133,11650.7
2007-07-13,23.04,23.76,23.04,23.67,7719.8
2007-07-16,23.91,25.26,23.88,25.2,58617.9
2007-07-17,25.2,28.2,25.2,28.17,100881.7
2007-07-18,28.35,28.8,26.82,27.81,44573.1
2007-07-19,28.05,29.7,27.9,28.5,31718.1
2007-07-20,28.77,29.22,27.75,27.9,9654.4
2007-07-23,29.22,29.22,27.93,28.2,17247.9
2007-07-24,28.89,32.0844,28.0803,29.97,87974.3
2007-07-25,30.51,31.2,28.05,29.55,29358.6
2007-07-26,29.91,30.42,28.29,29.61,21831.1
2007-07-27,30.78,30.87,28.8,29.25,13754.0
2007-07-30,29.7,29.7,27.93,28.83,34835.8
