Date,Open,High,Low,Close,Volume
2021-08-11,0.55,1.06,0.55,0.97,201066
2021-08-12,1.0,1.03,0.8,1.01,33002
2021-08-13,1.0,1.09,0.9997,0.9999,21102
2021-08-16,1.115,1.115,1.03,1.03,3100
2021-08-17,0.99,1.03,0.95,0.96,1200
2021-08-18,0.96,0.96,0.96,0.96,500
2021-08-19,1.08,1.08,0.8381,0.8499,8371
2021-08-27,0.85,0.9433,0.85,0.9433,1200
2021-08-30,0.8302,0.8302,0.818,0.82,3260
2021-09-01,0.98,1.2,0.9487,1.09,60878
2021-09-02,1.1,1.135,0.8,0.879,253000
2021-09-03,0.98,1.09,0.81,0.81,79100
2021-09-07,0.82,0.8206,0.7489,0.8,8551
2021-09-08,0.8,1.09,0.75,1.09,7900
2021-09-09,0.82,0.8505,0.75,0.75,6249
2021-09-10,0.9,0.925,0.85,0.851,18803
2021-09-14,0.88,0.979,0.82,0.82,6700
2021-09-15,0.81,0.81,0.8,0.81,600
2021-09-16,0.9496,0.9496,0.78,0.7801,6700
2021-09-17,0.7801,0.7801,0.75,0.75,11400
2021-09-20,0.7501,0.7501,0.7,0.7101,4400
2021-09-21,0.7201,0.7201,0.6701,0.7,5100
2021-09-22,0.6852,0.6852,0.6684,0.67,18400
2021-09-23,0.9498,0.9498,0.7998,0.7999,2300
2021-09-24,0.87,0.8717,0.7103,0.85,4115
2021-09-27,0.84,0.88,0.83,0.88,1800
2021-09-28,0.84,0.84,0.77,0.77,460
2021-09-29,0.875,0.875,0.875,0.875,100
2021-09-30,0.77,0.77,0.7675,0.7675,3740
2021-10-01,0.765,0.8499,0.765,0.8499,600
2021-10-07,0.8083,0.8498,0.6114,0.65,48806
2021-10-08,0.6998,0.6998,0.63,0.63,6139
2021-10-11,0.65,0.7634,0.6,0.689,32748
2021-10-12,0.6801,0.7095,0.5901,0.7095,36980
2021-10-13,0.6316,0.669,0.6022,0.6022,1133
2021-10-14,0.7098,0.7098,0.7098,0.7098,200
2021-10-15,0.7099,0.8499,0.6,0.8499,21895
2021-10-18,0.6156,0.6896,0.5601,0.6698,6997
2021-10-19,0.6796,0.7279,0.5601,0.5601,5290
2021-10-20,0.64,0.6898,0.64,0.6898,2083
2021-10-21,0.7199,0.7199,0.7199,0.7199,100
2021-10-25,0.74,0.7705,0.74,0.741,2100
2021-10-26,0.65,0.7599,0.64,0.7598,4620
2021-10-27,0.7593,0.7799,0.58,0.6899,50303
2021-10-28,0.6795,0.68,0.5911,0.6359,9702
2021-10-29,0.5861,0.6498,0.5861,0.6498,1001
2021-11-01,0.6,0.6199,0.5799,0.58,18800
2021-11-02,0.59,0.6995,0.544,0.544,8522
2021-11-03,0.554,0.554,0.52,0.5394,6759
2021-11-04,0.5694,0.73,0.5201,0.7199,32120
2021-11-05,0.71,0.8498,0.625,0.8399,91679
2021-11-08,0.8233,0.9724,0.785,0.8406,288470
2021-11-09,0.7502,1.05,0.7501,1.05,176017
2021-11-10,0.9211,0.95,0.83,0.89,43225
