Date,Open,High,Low,Close,Volume
2022-11-02,12.93,12.93,5.65,6.5,199916
2022-11-03,6.02,6.02,3.8,4.75,94950
2022-11-04,3.9,10.3,3.9,8.32,17183114
2022-11-07,8.58,9.3,6.05,7.3,939348
2022-11-08,6.92,7.3999,5.7,5.85,252437
2022-11-09,5.55,5.6,4.06,4.11,179813
2022-11-10,3.99,5.468,3.99,4.6491,179589
2022-11-11,4.58,5.2294,4.0001,4.5,143059
2022-11-14,5.2,5.2,4.36,4.51,127339
2022-11-15,4.51,5.2376,3.95,4.85,162157
2022-11-16,4.74,5.33,4.46,4.8,48987
2022-11-17,4.91,5.96,4.57,5.14,81946
2022-11-18,5.0531,5.4999,4.51,4.95,31983
2022-11-21,5.19,5.41,4.67,4.85,20720
2022-11-22,4.99,5.0,4.25,4.65,23895
2022-11-23,4.55,5.086,4.55,4.68,10969
2022-11-25,4.87,7.59,4.84,6.49,474300
2022-11-28,5.76,6.4,4.74,4.97,81824
2022-11-29,4.63,6.0,4.63,5.0,64648
2022-11-30,4.99,5.57,4.8,4.98,51194
2022-12-01,5.19,5.59,5.0,5.44,100998
2022-12-02,5.01,5.3,5.01,5.14,18469
2022-12-05,5.1,7.0,4.98,5.6001,165663
2022-12-06,6.38,6.38,4.85,5.25,30029
2022-12-07,5.4,5.85,5.11,5.85,13517
2022-12-08,5.2216,5.95,5.12,5.5,14781
2022-12-09,5.44,5.74,5.01,5.42,24451
2022-12-12,5.29,7.16,5.2176,6.2,52532
2022-12-13,5.53,6.41,5.5,5.55,27811
2022-12-14,5.745,6.25,5.6,5.94,23692
2022-12-15,6.89,7.05,5.69,6.16,27265
2022-12-16,6.29,7.0,6.01,6.34,144506
2022-12-19,6.47,6.47,6.07,6.07,5449
2022-12-20,6.01,7.0,5.72,5.82,46849
2022-12-21,5.82,5.9,5.11,5.11,15893
2022-12-22,5.15,5.46,5.06,5.08,13285
2022-12-23,5.1,5.35,4.6,5.06,19845
2022-12-27,4.78,5.09,4.34,4.6,34108
2022-12-28,4.47,4.735,4.0,4.28,23656
2022-12-29,4.35,4.495,4.05,4.21,9011
2022-12-30,4.06,5.0,3.61,4.19,22612
2023-01-03,4.06,4.1,3.7118,4.05,10567
2023-01-04,4.26,4.26,3.735,3.78,3124
2023-01-05,3.76,3.9293,3.47,3.71,3318
2023-01-06,3.7,3.82,3.52,3.52,4737
2023-01-09,3.33,3.335,2.45,2.6,102348
2023-01-10,5.0,5.0,1.96,2.15,49972
2023-01-11,2.03,2.7,1.01,1.71,252889
2023-01-12,1.71,1.71,1.44,1.4825,28979
2023-01-13,1.46,1.46,1.05,1.32,41745
2023-01-17,1.36,1.4,1.25,1.4,7731
2023-01-18,1.45,1.75,1.45,1.68,17928
2023-01-19,1.68,1.69,1.6,1.6875,3454
2023-01-20,1.56,1.72,1.56,1.7,2465
2023-01-23,1.7,1.71,1.56,1.68,1292
2023-01-24,1.68,1.68,1.6533,1.6533,200
2023-01-25,1.615,1.63,1.51,1.63,672
2023-01-26,1.65,1.65,1.65,1.65,150
2023-01-27,1.53,1.5741,1.43,1.43,3039
2023-01-30,1.44,1.44,1.15,1.38,7017
2023-01-31,1.4,1.4,1.4,1.4,359
2023-02-01,1.4,1.4,1.4,1.4,500
2023-02-02,1.38,1.38,1.32,1.32,450
2023-02-03,1.32,1.32,1.32,1.32,100
2023-02-06,1.33,1.45,1.33,1.45,583
2023-02-07,1.45,1.49,1.36,1.36,6356
2023-02-08,1.4,1.4751,1.31,1.31,2612
2023-02-09,1.31,1.48,1.21,1.23,3066
2023-02-10,1.16,1.38,1.16,1.3,1935
2023-02-13,1.3,1.34,1.19,1.34,6651
2023-02-14,1.25,1.25,1.24,1.24,1250
2023-02-15,1.25,1.251,1.25,1.251,200
2023-02-16,1.24,1.31,1.24,1.24,1123
2023-02-21,1.24,1.44,1.24,1.44,2505
2023-02-22,1.19,1.21,1.18,1.18,866
2023-02-23,1.23,1.23,0.734,0.751,4590
2023-02-24,0.5103,0.5103,0.5103,0.5103,120
2023-02-27,0.54,0.71,0.54,0.71,3231
2023-02-28,0.948,1.1,0.948,1.0,1961
2023-03-01,0.8151,1.19,0.8151,1.15,4810
2023-03-02,1.02,1.02,1.0,1.0,200
2023-03-03,1.05,1.05,1.05,1.05,100
2023-03-06,1.05,1.05,0.575,0.575,1100
2023-03-07,1.05,1.05,0.7501,0.7501,200
2023-03-08,1.04,1.04,0.7529,0.7529,1016
