Date,Open,High,Low,Close,Volume
2000-01-03,7.8429,7.8429,7.7691,7.7938,92044.0
2000-01-04,8.0122,8.0122,7.6336,7.8347,369693.0
2000-01-05,7.4624,7.5853,7.3877,7.5853,454021.0
2000-01-06,7.6077,7.7805,7.6077,7.7059,1143589.0
2000-01-07,7.7691,7.8669,7.7691,7.8669,739037.0
2000-01-10,7.8669,7.9415,7.8418,7.914,402287.0
2000-01-11,7.9022,7.9769,7.8551,7.9297,371733.0
2000-01-12,7.9533,7.9533,7.8551,7.8551,292807.0
2000-01-13,7.8551,7.9297,7.8315,7.8315,217437.0
2000-01-14,7.7813,7.7813,7.6839,7.6839,206849.0
2000-01-18,7.8041,8.1261,7.7569,7.8787,1369784.0
2000-01-19,7.9022,7.9769,7.8787,7.9297,196305.0
2000-01-20,7.9533,7.9769,7.9022,7.9769,690076.0
2000-01-21,7.9886,8.0397,7.9651,8.0122,242087.0
2000-01-24,8.0397,8.0397,7.9886,7.9886,88098.0
2000-01-25,8.0122,8.0868,8.0122,8.0397,255327.0
2000-01-26,8.0397,8.0633,8.0161,8.0397,385258.0
2000-01-27,8.0515,8.0986,8.0515,8.0751,150474.0
2000-01-28,8.0986,8.0986,8.0279,8.0515,302223.0
2000-01-31,8.0515,8.0515,8.0279,8.0279,241375.0
2000-02-01,8.0633,8.1143,8.0397,8.0868,932137.0
2000-02-02,8.0868,8.0868,8.0397,8.0397,607453.0
2000-02-03,8.0751,8.0986,8.0515,8.0751,968669.0
2000-02-04,8.0751,8.0751,8.0279,8.0515,257922.0
2000-02-07,8.0004,8.0986,8.0004,8.0751,586443.0
2000-02-08,8.0515,8.0751,8.0004,8.0279,224060.0
2000-02-09,8.0004,8.1261,7.9533,8.0279,365366.0
2000-02-10,8.0279,8.0751,8.0004,8.0279,237556.0
2000-02-11,8.0515,8.1261,7.8787,7.8787,92678.0
2000-02-14,7.8787,8.0004,7.8551,7.9769,390064.0
2000-02-15,8.0751,8.0986,8.0004,8.0986,368705.0
2000-02-16,8.0986,8.1261,8.0515,8.0986,300212.0
2000-02-17,8.0515,8.0751,8.0279,8.0751,259959.0
2000-02-18,8.0751,8.0751,7.9769,8.0515,201909.0
2000-02-22,7.9769,8.0515,7.9533,8.0515,488598.0
2000-02-23,8.0986,8.0986,8.0279,8.0515,262760.0
2000-02-24,8.1536,8.1536,8.0279,8.1261,593296.0
2000-02-25,7.9533,7.9533,7.9022,7.9533,110503.0
2000-02-28,7.9022,7.9533,7.8535,7.9022,344744.0
2000-02-29,7.9415,7.9651,7.8669,7.9415,437270.0
2000-03-01,7.9415,7.9415,7.8669,7.9179,432182.0
2000-03-02,7.9533,7.9533,7.8787,7.9022,186629.0
2000-03-03,7.9297,7.9297,7.8787,7.8787,263270.0
2000-03-06,7.8669,7.9415,7.8433,7.9415,271033.0
2000-03-07,7.8787,7.9297,7.8787,7.9297,434622.0
2000-03-08,7.9022,7.9769,7.9022,7.9533,669427.0
2000-03-09,8.0004,8.0004,7.8787,7.9297,468514.0
2000-03-10,7.9651,7.9651,7.8669,7.9415,510928.0
2000-03-13,7.8905,7.9415,7.8669,7.9179,1738919.0
