Date,Open,High,Low,Close,Volume
2024-02-13,10.6006,10.6006,10.6006,10.6006,100
2024-03-01,11.0832,11.0832,10.63,10.63,600
2024-03-06,10.6,10.6,10.6,10.6,100
2024-03-07,10.6,10.6,10.6,10.6,500
2024-03-08,10.56,10.56,10.56,10.56,500
2024-03-22,10.61,10.61,10.56,10.56,25200
2024-03-25,10.61,10.61,10.61,10.61,100
2024-04-01,10.57,10.57,10.57,10.57,435
2024-04-09,10.59,10.59,10.59,10.59,100
2024-04-10,10.67,10.67,10.57,10.57,252
2024-04-11,10.58,10.58,10.58,10.58,100
2024-04-12,10.58,10.58,10.58,10.58,100
2024-04-15,10.67,10.67,10.67,10.67,135
2024-04-16,10.57,10.57,10.57,10.57,100
2024-04-17,10.57,10.57,10.57,10.57,100
2024-04-18,10.57,10.6658,10.57,10.57,500
2024-04-26,10.6,10.6,10.6,10.6,100
2024-04-29,10.6,10.6,10.6,10.6,100
2024-04-30,10.6,10.6,10.6,10.6,100
2024-05-01,10.6,10.6,10.6,10.6,100
2024-05-02,10.61,10.61,10.61,10.61,100
2024-05-03,10.61,10.61,10.61,10.61,100
2024-05-06,10.61,10.61,10.61,10.61,100
2024-05-07,10.61,10.61,10.61,10.61,100
2024-05-08,10.61,10.61,10.61,10.61,100
2024-05-09,10.61,10.61,10.61,10.61,100
2024-05-10,10.59,10.59,10.59,10.59,100
2024-05-13,10.61,10.61,10.61,10.61,100
2024-05-14,10.61,10.61,10.61,10.61,100
2024-05-15,10.5601,10.61,10.5601,10.61,600
2024-05-20,10.78,11.0002,10.69,10.77,3056
2024-05-21,10.9,10.9,10.78,10.78,501
2024-06-04,10.79,10.79,10.79,10.79,100
2024-06-05,10.79,10.79,10.79,10.79,100
2024-06-06,10.78,10.78,10.78,10.78,100
2024-06-07,10.79,10.79,10.79,10.79,100
2024-06-10,11.0,11.0,10.79,10.79,400
2024-06-18,10.76,10.76,10.76,10.76,200
2024-06-20,10.64,10.71,10.64,10.71,200
2024-06-21,10.71,10.71,10.71,10.71,100
2024-06-24,10.76,10.76,10.76,10.76,100
2024-06-25,10.76,10.76,10.76,10.76,100
2024-06-26,10.74,10.74,10.74,10.74,100
2024-07-01,10.78,10.78,10.78,10.78,100
2024-07-02,10.79,10.79,10.79,10.79,100
2024-07-03,10.79,10.79,10.79,10.79,100
2024-07-05,10.79,10.79,10.79,10.79,100
2024-07-08,10.79,10.79,10.79,10.79,100
2024-07-09,10.8,10.8,10.8,10.8,100
2024-07-10,10.79,10.79,10.79,10.79,100
2024-07-11,10.8,10.8,10.8,10.8,100
2024-07-12,10.8,10.8,10.8,10.8,100
2024-07-15,10.81,10.81,10.81,10.81,100
2024-07-16,10.81,10.81,10.81,10.81,100
2024-07-17,10.8,10.8,10.8,10.8,100
2024-07-18,10.8,10.8,10.8,10.8,100
2024-07-19,10.79,10.79,10.79,10.79,100
2024-07-22,10.8,10.8,10.8,10.8,100
2024-07-23,10.81,10.81,10.81,10.81,100
2024-07-24,10.83,10.83,10.83,10.83,100
2024-07-25,10.83,10.83,10.83,10.83,100
2024-07-26,10.8,10.8,10.8,10.8,100
2024-08-13,10.85,10.85,10.85,10.85,117
2024-08-14,12.09,13.63,10.76,10.76,3200
2024-08-15,12.03,12.4,10.71,10.71,8869
2024-08-16,10.85,11.4,10.85,11.4,600
2024-08-23,10.9,10.91,10.9,10.91,200
2024-08-28,10.73,11.75,10.73,11.75,673
2024-09-03,10.85,10.85,10.85,10.85,100
2024-09-10,10.76,10.76,10.71,10.71,1000
2024-10-08,11.71,11.71,10.86,10.86,827
2024-10-16,10.93,10.93,10.91,10.91,500
2024-10-22,10.96,10.96,10.93,10.93,400
2024-10-23,11.1101,11.1101,11.11,11.11,500
2024-11-05,11.0,11.0,11.0,11.0,600
2025-01-03,11.09,11.09,11.09,11.09,100
2025-01-15,11.46,13.42,11.4,12.42,4484
2025-01-17,11.79,13.19,11.79,12.65,6555
2025-01-21,12.94,14.13,12.03,12.49,7000
2025-01-22,12.71,13.99,12.39,13.0,8500
2025-01-23,11.59,13.56,10.7,11.5,27852
2025-01-24,11.53,11.64,11.11,11.11,7145
2025-01-27,11.21,11.99,11.11,11.4,12850
