Date,Open,High,Low,Close,Volume
2010-05-05,6.1803,6.5649,6.0045,6.1529,5022835.0
2010-05-06,6.2243,6.4825,6.1803,6.3122,733346.0
2010-05-07,6.2957,6.3177,6.1858,6.3177,217929.0
2010-05-10,6.4385,6.4385,6.2078,6.3451,111322.0
2010-05-11,6.3341,6.3726,6.2358,6.3177,93089.0
2010-05-12,6.3177,6.4935,6.1803,6.2627,501895.0
2010-05-13,6.2353,6.3067,6.1748,6.2188,159659.0
2010-05-14,6.1968,6.3561,6.0924,6.3561,224644.0
2010-05-17,6.4001,6.4056,6.2572,6.2737,162361.0
2010-05-18,6.2847,6.4001,6.2847,6.3462,43542.0
2010-05-19,6.3506,6.5209,6.2298,6.5209,74357.0
2010-05-20,6.5209,6.5209,6.2792,6.3726,88871.0
2010-05-21,6.3726,6.7242,6.2517,6.4275,203168.0
2010-05-24,6.5264,6.6198,6.4056,6.4165,78630.0
2010-05-25,6.4111,6.444,6.2078,6.4385,154168.0
2010-05-26,6.5923,6.6473,6.4056,6.4385,127961.0
2010-05-27,6.5099,6.6198,6.4715,6.6198,68619.0
2010-05-28,6.6198,6.7132,6.4275,6.5099,98654.0
2010-06-01,6.5154,6.5759,6.4275,6.488,69654.0
2010-06-02,6.4385,6.466,6.1858,6.3286,54114.0
2010-06-03,6.3067,6.4825,6.3067,6.422,142790.0
2010-06-04,6.3451,6.4989,6.3177,6.4165,229953.0
2010-06-07,6.3891,6.4275,6.3177,6.422,57405.0
2010-06-08,6.4248,6.5264,6.2353,6.4001,263296.0
2010-06-09,6.4001,6.6088,6.3396,6.5099,31124.0
2010-06-10,6.5539,6.5978,6.444,6.5099,40887.0
2010-06-11,6.5044,6.5484,6.4605,6.5484,34034.0
2010-06-14,6.6473,6.6967,6.5484,6.5923,164630.0
2010-06-15,6.5759,6.6308,6.3836,6.4935,76929.0
2010-06-16,6.3946,6.466,6.2682,6.466,142547.0
2010-06-17,6.4935,6.6418,6.4825,6.5319,85001.0
2010-06-18,6.5594,6.5649,6.433,6.494,43897.0
2010-06-21,6.5209,6.5456,6.3177,6.4001,19929.0
2010-06-22,6.4715,6.4715,6.3177,6.3396,49178.0
2010-06-23,6.3012,6.455,6.2847,6.455,109939.0
2010-06-24,6.488,6.845,6.2627,6.6363,250268.0
2010-06-25,6.6693,6.9,6.5484,6.7951,2210422.0
2010-06-28,6.7736,6.8396,6.4275,6.4495,76300.0
2010-06-29,6.422,6.4275,6.2627,6.3177,112223.0
2010-06-30,6.3012,6.4001,6.2572,6.3177,69853.0
2010-07-01,6.3561,7.0318,6.2572,7.0263,28236.0
2010-07-02,6.3946,6.5704,6.3001,6.5539,62387.0
2010-07-06,6.5868,6.5868,6.3067,6.3286,43117.0
2010-07-07,6.3726,6.455,6.3122,6.455,58687.0
2010-07-08,6.4825,6.6912,6.4825,6.5923,58979.0
2010-07-09,6.5594,6.5978,6.5319,6.5868,33943.0
2010-07-12,6.5319,6.5868,6.3946,6.4111,27590.0
2010-07-13,6.466,6.5923,6.466,6.5484,67166.0
2010-07-14,6.5154,6.6088,6.4385,6.5868,65060.0
2010-07-15,6.5759,6.5759,6.2792,6.3396,39048.0
2010-07-16,6.3232,6.3451,6.1638,6.1858,73164.0
2010-07-19,6.2188,6.2462,5.9111,5.9825,64343.0
2010-07-20,5.9331,6.2627,5.6035,6.2517,112990.0
2010-07-21,6.2792,6.3177,6.0485,6.0759,41924.0
2010-07-22,6.1199,6.3946,6.0979,6.2737,68363.0
2010-07-23,6.2243,6.6033,6.2023,6.5649,224278.0
2010-07-26,6.6088,6.7352,6.5759,6.5825,93882.0
2010-07-27,6.6253,6.7077,6.2627,6.5319,107433.0
2010-07-28,6.4989,6.5814,6.3286,6.3946,56879.0
2010-07-29,6.488,6.488,5.9056,6.1089,126590.0
2010-07-30,6.0595,6.5319,6.0595,6.5165,200011.0
2010-08-02,6.5649,6.5649,6.3726,6.4165,67472.0
2010-08-03,6.4165,6.444,6.2188,6.3726,21022.0
2010-08-04,6.4056,6.4056,6.021,6.3177,193023.0
2010-08-05,6.2847,6.2847,6.1144,6.1419,29243.0
2010-08-06,6.0869,6.3946,6.043,6.1309,28000.0
2010-08-09,6.1583,6.2407,5.9293,6.2078,154973.0
2010-08-10,6.5868,6.5868,6.2627,6.2792,360122.0
2010-08-11,6.2023,6.3506,6.1309,6.3012,156033.0
2010-08-12,6.2078,6.3177,5.9331,6.0979,100668.0
2010-08-13,6.0595,6.2078,5.9661,6.1529,50411.0
2010-08-16,6.1034,6.2957,6.0924,6.2682,78883.0
2010-08-17,6.3232,6.3396,6.1309,6.1968,75384.0
2010-08-18,6.2078,6.2627,6.1144,6.1968,56173.0
2010-08-19,6.1913,6.2023,6.0759,6.0869,62350.0
2010-08-20,6.0485,6.3506,6.0485,6.3341,239808.0
2010-08-23,6.3946,6.3946,6.2462,6.2737,150627.0
2010-08-24,6.2078,6.2353,6.01,6.0979,173925.0
2010-08-25,6.065,6.3012,6.054,6.2957,50027.0
2010-08-26,6.2902,6.2902,6.1309,6.1858,49297.0
2010-08-27,6.2407,6.3012,6.1968,6.2737,91001.0
2010-08-30,6.2243,6.2243,6.0375,6.1858,86959.0
2010-08-31,6.1858,6.2737,6.0979,6.2407,140985.0
2010-09-01,6.2627,6.5649,6.1748,6.5319,113919.0
2010-09-02,6.5044,6.6473,6.444,6.6033,119307.0
2010-09-03,6.7462,6.9494,6.6967,6.7736,97594.0
2010-09-07,6.7736,6.9714,6.5923,6.7462,81443.0
2010-09-08,6.7846,6.9165,6.6747,6.7407,67803.0
2010-09-09,6.8231,6.9165,6.5594,6.6583,50043.0
2010-09-10,6.6638,6.7956,6.5594,6.7791,52146.0
2010-09-13,6.8286,7.1362,6.6198,7.0483,66058.0
2010-09-14,7.0538,7.1417,6.9494,7.0153,86922.0
2010-09-15,7.0044,7.0813,6.6473,6.9439,81242.0
2010-09-16,6.9439,7.0703,6.5319,6.5374,96200.0
2010-09-17,6.6253,6.6253,6.2353,6.4286,200064.0
2010-09-20,6.477,6.477,6.2188,6.422,448250.0
2010-09-21,6.4513,6.5071,6.2839,6.4179,133834.0
2010-09-22,6.4123,6.5127,6.2783,6.3174,365595.0
2010-09-23,6.2951,6.4346,6.2783,6.3397,271220.0
2010-09-24,6.4067,6.5016,6.362,6.5016,149390.0
2010-09-27,6.5071,6.7136,6.4346,6.7025,69565.0
2010-09-28,6.736,6.8755,6.7248,6.7918,52333.0
2010-09-29,6.7918,6.8476,6.7527,6.7918,45318.0
2010-09-30,6.8364,6.9145,6.669,6.8922,84489.0
2010-10-01,6.9034,7.0596,6.6801,6.9648,42933.0
2010-10-04,6.9201,7.0317,6.9034,6.9424,112070.0
2010-10-05,7.0317,7.361,7.0317,7.2773,134276.0
2010-10-06,7.2382,7.6066,7.2382,7.5284,209475.0
2010-10-07,7.5898,7.5898,7.4391,7.5228,204233.0
2010-10-08,7.5284,7.813,7.5284,7.7907,40004.0
2010-10-11,7.8075,7.813,7.7014,7.7237,34235.0
2010-10-12,7.6903,7.6903,7.4838,7.5842,17603.0
2010-10-13,7.6345,7.6456,7.534,7.6066,43524.0
2010-10-14,7.6289,7.6679,7.4391,7.5731,76758.0
2010-10-15,7.6066,7.6624,7.255,7.3722,139704.0
2010-10-18,7.4001,7.7684,7.3666,7.6903,127459.0
2010-10-19,7.6066,7.64,7.4531,7.5842,70882.0
