Date,Open,High,Low,Close,Volume
2025-02-05,4.17,4.5,4.0,4.25,1574938
2025-02-06,4.29,4.29,4.0,4.05,1668563
2025-02-07,4.0,4.15,3.9,4.1,219106
2025-02-10,4.07,4.15,4.0,4.02,117383
2025-02-11,4.0,4.1,4.0,4.0209,255788
2025-02-12,4.0107,4.0999,4.0103,4.03,122284
2025-02-13,4.0402,4.11,4.0,4.02,326799
2025-02-14,4.0999,4.12,4.0576,4.12,17566
2025-02-18,4.1,4.1,4.01,4.06,45533
2025-02-19,4.06,4.06,4.0,4.0,56912
2025-02-20,4.01,4.0471,4.0,4.01,21043
2025-02-21,4.0,4.04,4.0,4.03,71593
2025-02-24,4.0,4.02,4.0,4.0,131437
2025-02-25,4.05,4.4,4.0,4.22,122055
2025-02-26,4.14,4.2,4.08,4.2,61441
2025-02-27,4.0939,4.12,4.01,4.01,20185
2025-02-28,4.0,4.055,4.0,4.02,7084
