Date,Open,High,Low,Close,Volume
2007-05-16,19.71,20.55,19.71,20.42,13385
2007-05-17,20.39,20.54,20.3,20.5,16517
2007-05-18,20.5,21.49,20.5,21.486,51383
2007-05-21,21.75,21.75,21.29,21.5,37944
2007-05-22,21.63,21.63,21.39,21.5,9520
2007-05-23,21.36,21.75,21.36,21.719,19636
2007-05-24,21.39,21.75,21.39,21.51,15630
2007-05-25,21.68,23.21,21.6,23.05,41712
2007-05-29,23.34,23.34,22.13,22.8,24274
2007-05-30,22.55,23.73,22.25,23.56,53925
2007-05-31,23.64,23.96,22.8,23.85,21843
2007-06-04,23.85,23.85,23.16,23.45,23054
2007-06-05,23.41,24.29,22.93,24.11,26198
2007-06-06,24.29,24.29,23.4501,24.05,17741
2007-06-07,23.84,23.84,22.628,22.7799,36136
2007-06-08,22.51,23.13,22.29,22.82,29780
2007-06-11,23.04,23.49,22.99,23.4,23312
2007-06-12,23.88,27.44,23.31,26.98,319511
2007-06-13,27.02,27.94,26.49,27.7,143703
2007-06-14,27.48,27.94,27.029,27.87,121197
2007-06-15,28.0,29.49,27.96,29.38,122805
2007-06-18,30.25,30.84,29.4101,29.75,124067
2007-06-19,29.75,29.75,28.2301,28.98,67717
2007-06-20,29.0,29.0,27.52,27.94,72465
2007-06-21,28.21,28.38,27.54,27.9,79645
2007-06-22,28.0,28.07,27.48,27.6,53264
2007-06-25,27.5,28.42,25.25,25.42,174652
2007-06-26,25.42,26.79,25.0,26.41,124049
2007-06-27,26.44,27.28,26.17,26.44,68214
2007-06-28,26.49,26.99,26.43,26.84,44368
2007-06-29,26.64,28.19,26.5,27.99,101201
2007-07-02,27.86,27.95,26.71,27.18,84368
2007-07-03,27.21,28.47,27.205,27.205,45896
2007-07-05,27.2,27.681,26.61,27.41,57872
2007-07-06,27.16,27.84,27.0,27.42,53522
2007-07-09,27.91,29.45,27.33,29.35,195250
2007-07-10,28.83,31.59,28.5,29.35,110841
2007-07-11,29.37,31.37,28.5,31.205,169341
2007-07-12,31.0,31.28,30.0,30.2399,162912
2007-07-13,30.2,30.3,29.72,30.0718,51692
2007-07-16,29.9,30.15,29.7552,29.82,51908
2007-07-17,30.01,30.6399,29.3,29.75,93487
2007-07-18,29.8,29.94,28.45,28.73,88679
2007-07-19,28.85,28.96,28.11,28.74,63674
2007-07-20,28.51,28.75,28.32,28.51,41077
2007-07-23,28.18,31.27,28.18,30.5501,147728
2007-07-24,29.88,30.7299,29.0701,30.1,110763
2007-07-25,29.91,31.51,27.68,28.4799,179755
2007-07-26,28.07,29.8499,26.82,28.86,173911
2007-07-27,28.75,29.76,28.0187,28.2799,49598
2007-07-30,29.14,30.17,27.12,27.7,103540
2007-07-31,28.79,28.79,27.56,27.705,66882
2007-08-01,27.8,27.8,26.8,27.47,65407
2007-08-02,28.25,28.25,27.3,27.81,42521
2007-08-03,28.17,28.17,26.08,26.16,46020
2007-08-06,26.62,26.62,23.76,25.01,109520
2007-08-07,25.44,26.7,25.39,25.53,61575
2007-08-08,25.78,26.12,24.48,24.99,122182
2007-08-09,24.77,25.22,23.76,24.12,73814
2007-08-10,23.58,24.45,22.81,24.45,65687
2007-08-13,24.89,25.5,23.57,25.15,41586
2007-08-14,25.1,25.97,24.79,24.89,42956
2007-08-15,24.69,24.9,22.86,22.9899,37811
2007-08-16,22.59,22.88,21.22,22.27,88403
2007-08-17,23.0,23.66,22.24,22.42,39143
2007-08-20,22.45,23.82,22.45,23.78,30480
2007-08-21,23.99,25.49,23.9201,24.7,30842
2007-08-22,25.29,25.83,24.9,25.0,64341
2007-08-23,25.45,25.45,24.26,24.45,36992
2007-08-24,24.26,24.88,24.26,24.7,27802
2007-08-27,24.42,25.26,23.52,23.52,28829
2007-08-28,23.81,23.81,21.96,22.35,39711
2007-08-29,22.67,24.25,21.64,22.47,93708
2007-08-30,22.45,23.07,22.0,22.6,53501
2007-08-31,22.9,23.7335,22.38,23.5,28539
2007-09-04,23.78,25.5,23.78,24.93,67116
2007-09-05,25.08,25.26,23.64,24.49,106905
2007-09-06,24.48,26.07,24.31,25.13,61263
2007-09-07,25.23,25.4,23.76,23.86,53937
