Date,Open,High,Low,Close,Volume
2011-07-01,25.14,25.15,25.08,25.15,3876
2011-07-05,25.07,25.15,25.07,25.15,4419
2011-07-06,25.09,25.16,25.09,25.1216,5113
2011-07-07,25.16,25.21,25.08,25.08,5970
2011-07-08,25.17,25.42,25.17,25.21,9878
2011-07-11,25.19,25.27,25.09,25.13,4000
2011-07-12,25.02,25.24,25.02,25.14,6471
2011-07-13,25.14,25.21,25.1,25.18,3228
2011-07-14,25.19,25.22,25.09,25.1201,5304
2011-07-15,25.09,25.1899,25.08,25.1,6604
2011-07-18,25.12,25.17,25.06,25.08,5853
2011-07-19,25.06,25.11,25.02,25.049,24379
2011-07-20,25.0831,25.18,25.05,25.132,13446
2011-07-21,25.17,25.25,25.1,25.15,9074
2011-07-22,25.12,25.21,25.11,25.19,2593
2011-07-25,25.09,25.15,25.07,25.07,5487
2011-07-26,25.05,25.16,25.05,25.16,8702
2011-07-27,25.1,25.1,25.08,25.08,8721
2011-07-28,25.03,25.09,25.03,25.0601,13953
2011-07-29,25.06,25.1,24.99,25.08,3666
2012-02-01,25.34,25.35,25.25,25.28,8441
2012-02-02,25.27,25.35,25.25,25.35,14376
2012-02-03,25.35,25.36,25.28,25.2999,10305
2012-02-06,25.34,25.38,25.28,25.3001,22679
2012-02-07,25.36,25.41,25.348,25.348,8959
2012-02-08,25.4,25.4,25.21,25.29,22249
2012-02-09,25.33,25.33,25.24,25.28,7435
2012-02-10,25.29,25.33,25.22,25.22,12416
2012-02-13,25.23,25.33,25.23,25.24,6151
2012-02-14,25.3,25.3,25.23,25.262,12128
2012-02-15,25.3,25.35,25.26,25.281,16573
2012-02-16,25.35,25.38,25.2701,25.32,11331
2012-02-17,25.35,25.45,25.24,25.4,37457
2012-02-21,25.44,25.52,25.3501,25.5,12642
2012-02-22,25.55,25.55,25.5,25.51,6253
2012-02-23,25.41,25.56,25.41,25.55,16115
2012-02-24,25.55,25.83,25.518,25.83,7153
2012-02-27,25.64,25.64,25.49,25.58,5343
2012-02-28,25.61,25.64,25.5,25.5496,10138
2012-02-29,25.55,25.55,25.46,25.48,10872
2012-10-01,25.05,25.05,25.03,25.0372,11964
2012-10-02,25.04,25.0475,25.0322,25.04,6155
2012-10-03,25.04,25.05,25.04,25.04,9868
2012-10-04,25.04,25.05,25.04,25.04,6436
2012-10-05,25.04,25.05,25.04,25.04,6222
2012-10-08,25.04,25.04,25.04,25.04,400
2012-10-09,25.04,25.04,25.0301,25.04,10842
2012-10-10,25.03,25.0516,25.03,25.04,6165
2012-10-11,25.05,25.05,25.05,25.05,2650
2012-10-12,25.03,25.08,25.03,25.08,1572
2017-06-05,24.85,24.96,24.85,24.93,379647
2017-06-06,24.95,24.97,24.9,24.95,245264
2017-06-07,25.0,25.01,24.93,24.99,275777
2017-06-08,25.0,25.0,24.91,24.93,105054
2017-06-09,24.96,24.98,24.92,24.96,137155
2017-06-12,25.0,25.0,24.85,24.89,175075
2017-06-13,24.84,24.99,24.84,24.86,276618
2017-06-14,24.86,24.96,24.86,24.91,252960
2017-06-15,24.91,24.939,24.9,24.92,117615
2017-06-16,24.93,24.99,24.9,24.99,125292
2017-06-19,24.99,25.01,24.9501,24.98,154877
2017-06-20,24.98,25.05,24.93,25.0,248178
2017-06-21,25.0,25.03,24.96,24.98,110401
2017-06-22,25.01,25.1,24.99,25.1,403495
2017-06-23,25.1,25.17,25.07,25.15,221152
2017-06-26,25.16,25.19,25.08,25.18,273768
2017-06-27,25.07,25.11,24.99,25.08,424397
2017-06-28,25.04,25.06,25.0,25.02,185742
2017-06-29,24.98,24.99,24.85,24.93,286050
2017-06-30,24.93,25.09,24.888,25.04,248590
2017-07-03,25.05,25.07,25.01,25.0399,112301
2017-07-05,25.02,25.0357,24.95,24.98,93793
2017-07-06,24.94,25.04,24.9,24.99,122831
2017-07-07,25.0,25.05,24.96,25.05,132396
2017-07-10,25.03,25.13,25.005,25.02,274610
2017-07-11,25.01,25.08,24.94,25.05,546060
2017-07-12,25.08,25.17,25.04,25.085,188285
2017-07-13,25.09,25.19,25.03,25.13,121184
2017-07-14,25.18,25.23,25.12,25.12,126525
2017-07-17,25.16,25.18,25.06,25.09,146030
2017-07-18,25.1,25.13,25.07,25.07,96397
2017-07-19,25.11,25.15,25.08,25.15,76891
2017-07-20,25.14,25.2,25.14,25.15,103005
2017-07-21,25.18,25.29,25.15,25.23,1208327
