Date,Open,High,Low,Close,Volume
2017-03-17,15.0,15.19,14.5,14.57,11253701
2017-03-20,14.5,14.74,14.36,14.36,1712364
2017-03-21,14.47,14.47,13.89,14.05,1450413
2017-03-22,13.97,14.29,13.89,14.0,934282
2017-03-23,14.01,14.09,13.96,14.05,372785
2017-03-24,14.07,14.13,13.13,13.5,1615586
2017-03-27,13.26,13.39,12.26,12.3,3790350
2017-03-28,12.55,13.1,12.275,12.86,1422158
2017-03-29,12.72,12.9,12.36,12.79,657619
2017-03-30,12.7,13.38,12.7,13.08,700841
2017-03-31,13.09,13.29,12.75,12.89,823946
2017-04-03,13.01,13.545,12.57,13.44,1318176
2017-04-04,13.51,14.3,13.1,13.94,1140917
2017-04-05,13.99,14.62,13.92,14.01,1247195
2017-04-06,14.07,14.34,13.64,14.02,715057
2017-04-07,14.09,14.09,13.73,13.8,575035
2017-04-10,13.84,14.74,13.84,14.12,1041958
2017-04-11,14.45,14.9,13.93,14.9,2472078
2017-04-12,15.07,15.299,14.37,14.57,2001809
2017-04-13,14.61,14.799,14.37,14.5,709333
2017-04-17,14.6,14.6,13.78,14.5,1066668
2017-04-18,14.44,14.55,14.1,14.12,615821
2017-04-19,14.07,14.39,13.46,13.67,1004574
2017-04-20,13.6,13.95,13.11,13.66,1021271
2017-04-21,13.58,13.93,13.11,13.6,1276997
2017-04-24,13.83,13.94,13.31,13.53,498553
2017-04-25,13.65,13.72,13.385,13.53,517584
2017-04-26,13.41,14.12,13.41,13.7,793734
2017-04-27,13.65,13.86,13.125,13.72,758219
2017-04-28,13.68,14.16,13.4,13.55,518170
2017-05-01,13.56,13.91,13.34,13.39,502383
2017-05-02,13.4,13.74,13.261,13.5,334163
2017-05-03,13.4,13.72,13.05,13.11,651718
2017-05-04,13.0,13.05,11.68,12.1,1085595
2017-05-05,12.11,12.73,12.08,12.46,1033540
2017-05-08,12.46,12.75,12.22,12.45,367660
2017-05-09,12.49,12.62,11.91,11.93,477892
2017-05-10,12.01,12.915,11.85,12.49,998962
2017-05-11,13.09,13.52,11.91,12.37,1056292
2017-05-12,12.35,12.67,12.12,12.57,518955
2017-05-15,12.76,13.41,12.76,12.99,1055355
2017-05-16,13.08,13.18,12.56,12.64,924303
2017-05-17,12.57,12.879,12.41,12.49,546753
2017-05-18,12.44,13.0,12.31,12.94,458012
2017-05-19,13.11,14.035,13.11,13.73,932719
2017-05-22,13.77,13.89,13.46,13.59,622456
2017-05-23,13.64,13.88,13.62,13.7,1000409
2017-05-24,13.76,13.97,13.66,13.72,487782
2017-05-25,13.74,13.932,13.3,13.33,612134
2017-05-26,13.25,13.85,13.24,13.71,685712
2017-05-30,13.65,13.88,13.36,13.37,525831
2017-05-31,13.32,13.84,13.02,13.25,563066
2017-06-01,13.36,13.79,13.05,13.45,1013167
2017-06-02,13.4,13.75,12.92,13.23,666308
2017-06-05,13.23,13.625,13.05,13.25,428154
2017-06-06,13.22,13.81,13.15,13.73,612106
2017-06-07,13.69,14.15,13.19,13.27,1061778
2017-06-08,13.19,13.58,13.06,13.15,633986
2017-06-09,13.24,14.28,12.97,14.08,989069
2017-06-12,14.24,14.85,14.07,14.19,1001124
2017-06-13,14.19,15.24,14.14,14.7,906004
2017-06-14,14.59,14.87,13.68,14.02,818123
2017-06-15,13.82,14.14,13.14,13.48,433971
2017-06-16,13.49,13.68,13.07,13.48,2807372
2017-06-19,13.48,13.57,12.87,13.2,723785
2017-06-20,13.05,13.05,12.26,12.58,1061914
2017-06-21,12.7,12.745,12.25,12.55,1128824
2017-06-22,12.55,13.03,12.43,12.72,765810
