Date,Open,High,Low,Close,Volume
2023-12-01,25.5303,25.9086,25.5303,25.9085,1567
2023-12-06,24.973,24.9929,24.973,24.973,879
2023-12-18,26.9437,26.9437,26.9437,26.9437,185
2023-12-20,27.4314,27.4314,27.4314,27.4314,111
2024-01-02,27.2821,27.2821,27.2821,27.2821,293
2024-01-04,26.7546,26.7546,26.7546,26.7546,100
2024-01-11,25.7085,25.7085,25.6895,25.6895,1005
2024-01-17,24.5251,24.5251,24.5251,24.5251,100
2024-02-22,24.5848,24.5848,24.5848,24.5848,502
2024-03-06,25.5386,25.5386,25.5386,25.5386,100
2024-03-08,25.8887,25.8887,25.819,25.8444,393
2024-03-21,26.7347,26.7348,26.7347,26.7348,1005
2024-04-11,28.6059,28.6059,28.5761,28.5761,382
2024-04-15,28.1182,28.1182,27.7499,27.7499,900
2024-04-16,27.312,27.5409,27.2821,27.5011,1200
2024-04-17,27.8992,27.8992,27.531,27.7898,1201
2024-04-29,28.9642,28.9642,28.7552,28.7552,437
2024-05-02,27.8097,27.8097,27.8097,27.8097,100
2024-05-14,28.9941,28.9941,28.9941,28.9941,100
2024-05-16,29.4022,29.4022,29.4022,29.4022,100
2024-05-20,29.9098,30.0791,29.8401,30.0791,3009
2024-05-21,30.1288,30.1288,30.1287,30.1287,201
2024-05-23,30.0193,30.0193,29.5017,29.5017,942
2024-05-30,30.0989,30.0989,30.0989,30.0989,167
2024-06-04,29.0041,29.0041,29.0041,29.0041,201
2024-06-05,28.9742,28.9743,28.9742,28.9743,201
2024-06-14,28.1794,28.1794,28.1794,28.1794,354
2024-06-20,27.9888,28.2277,27.9888,28.2277,400
2024-07-11,28.5263,28.7154,28.4268,28.7154,26122
2024-07-17,28.6059,28.6059,28.5711,28.5711,482
2024-07-26,28.1205,28.1205,28.1205,28.1205,532
2024-07-29,27.9291,27.9291,27.9291,27.9291,319
2024-08-02,26.3566,26.3566,26.3566,26.3566,100
2024-08-13,27.1328,27.1328,27.1328,27.1328,100
2024-08-22,27.7977,27.7977,27.7977,27.7977,100
2024-08-26,28.6833,28.6833,28.6833,28.6833,201
2024-09-04,26.9586,27.1229,26.9586,27.1229,200
2024-09-24,28.367,28.367,28.367,28.367,201
2024-09-26,28.7254,28.7254,28.6999,28.6999,348
2024-09-30,29.0041,29.0041,29.0041,29.0041,301
2024-10-17,28.5661,28.5661,28.5661,28.5661,125
2024-10-24,28.168,28.168,28.168,28.168,100
2024-11-01,28.3659,28.3659,28.1779,28.178,301
2024-11-11,28.6453,28.6453,28.6159,28.6159,301
2024-11-13,28.1381,28.2277,28.1381,28.2277,200
2024-12-12,28.0884,28.0884,28.0883,28.0883,1005
2024-12-13,27.6205,27.6206,27.6205,27.6206,1005
2024-12-18,26.3266,26.3266,26.3266,26.3266,100
2024-12-19,25.7195,25.7195,25.7194,25.7194,201
2024-12-23,25.8,25.8171,25.8,25.8171,332
2025-01-06,27.91,28.02,27.68,27.68,2433
2025-01-23,28.11,28.1101,28.11,28.11,2500
2025-01-24,28.13,28.1301,28.13,28.1301,998
2025-01-29,27.0,27.0,27.0,27.0,209
2025-02-04,27.4916,27.4916,27.4916,27.4916,500
2025-02-21,26.75,26.75,26.69,26.69,200
2025-02-24,26.99,26.99,26.99,26.99,262
