Date,Open,High,Low,Close,Volume
2007-05-16,2.32,2.35,2.32,2.35,4300
2007-05-17,2.35,2.35,2.35,2.35,500
2007-05-18,2.4,2.4,2.4,2.4,900
2007-05-21,2.4,2.4,2.4,2.4,3000
2007-05-22,2.46,2.46,2.42,2.44,1370
2007-05-23,2.4,2.44,2.4,2.44,3765
2007-05-24,2.5,2.89,2.5,2.67,83818
2007-05-25,2.74,2.74,2.58,2.62,20882
2007-05-29,2.6628,2.67,2.6628,2.67,4200
2007-05-30,2.67,2.67,2.61,2.61,11500
2007-05-31,2.61,2.67,2.59,2.6,22466
2007-06-04,2.57,2.7,2.55,2.7,46338
2007-06-05,2.66,2.67,2.62,2.6599,900
2007-06-06,2.72,2.72,2.65,2.65,12588
2007-06-07,2.65,2.69,2.65,2.69,8315
2007-06-08,2.67,2.67,2.66,2.669,1644
2007-06-11,2.7,2.74,2.69,2.7,29300
2007-06-12,2.7,2.906,2.7,2.89,6300
2007-06-13,2.88,2.91,2.8499,2.904,12630
2007-06-14,2.9,3.14,2.9,3.08,25622
2007-06-15,3.1001,3.13,2.9,2.98,26686
2007-06-18,3.18,3.37,3.15,3.1999,68583
2007-06-19,3.33,3.34,3.21,3.22,23286
2007-06-20,3.33,3.33,3.2,3.2,20778
2007-06-21,3.2399,3.2399,3.17,3.18,4404
2007-06-22,3.17,3.18,3.11,3.18,4091
2007-06-25,3.18,3.18,3.15,3.172,13199
2007-06-26,3.1,3.17,2.99,3.0895,16365
2007-06-27,3.1,3.12,3.1,3.11,6700
2007-06-28,3.1,3.1,3.1,3.1,100
2007-06-29,3.06,3.06,3.0338,3.05,2414
2007-07-02,3.0,3.05,3.0,3.05,5170
2007-07-03,3.0443,3.05,2.99,2.9901,11601
2007-07-05,2.97,3.06,2.97,3.05,5570
2007-07-06,3.01,3.03,2.98,2.9801,3120
2007-07-09,3.01,3.01,2.98,3.0,4247
2007-07-10,3.02,3.1099,3.02,3.09,27360
2007-07-11,3.13,3.13,3.0778,3.1,3978
2007-07-12,3.15,3.15,3.05,3.09,8952
2007-07-13,3.09,3.15,3.0,3.06,34246
2007-07-16,3.066,3.07,3.05,3.06,18700
2007-07-17,3.09,3.09,3.0,3.0,10885
2007-07-18,3.0,3.08,3.0,3.08,3005
2007-07-19,2.98,3.15,2.98,3.02,9415
2007-07-20,3.07,3.14,3.07,3.13,2719
2007-07-23,3.11,3.15,3.0,3.02,13700
2007-07-24,3.024,3.05,3.024,3.05,1100
2007-07-25,3.05,3.06,3.0396,3.05,10100
2007-07-26,3.0501,3.07,2.99,3.07,4698
2007-07-27,3.0,3.07,3.0,3.03,1100
2007-07-30,3.0,3.0162,3.0,3.0,6195
2007-07-31,3.0,3.0001,3.0,3.0,4440
2007-08-01,3.0,3.03,3.0,3.03,1200
2007-08-02,3.0,3.015,2.96,2.96,11271
2007-08-03,3.05,3.05,2.96,2.96,3230
2007-08-06,2.991,2.991,2.95,2.95,450
2007-08-07,2.95,2.96,2.9,2.95,11490
2007-08-08,2.92,2.94,2.85,2.85,5703
2007-08-09,2.85,2.88,2.85,2.8699,1400
2007-08-10,2.8699,2.8699,2.8699,2.8699,300
2007-08-13,2.8599,2.87,2.8599,2.87,2750
2007-08-14,2.8,2.8,2.75,2.795,3550
2007-08-15,2.79,2.8,2.75,2.75,3200
2007-08-16,2.75,2.75,2.28,2.5,26347
2007-08-17,2.55,2.57,2.5001,2.57,3879
2007-08-20,2.83,2.83,2.5,2.55,6455
2007-08-21,2.5,2.5,2.5,2.5,1500
2007-08-22,2.49,2.49,2.28,2.298,8050
2007-08-23,2.4,2.4,2.08,2.08,16112
2007-08-24,2.1,2.1599,2.1,2.1599,2130
2007-08-27,2.189,2.25,2.1699,2.25,7643
2007-08-28,2.25,2.25,2.12,2.25,12035
2007-08-29,2.16,2.23,2.13,2.23,3553
2007-08-30,2.13,2.19,2.13,2.19,24600
2007-08-31,2.17,2.2,2.04,2.2,22743
2007-09-04,2.17,2.2,2.1,2.1,7500
2007-09-05,2.102,2.102,2.102,2.102,100
2007-09-06,2.16,2.19,2.1,2.19,15989
2007-09-07,2.25,2.25,2.1681,2.1681,4358
2007-09-10,2.1595,2.16,2.07,2.1399,11587
2007-09-12,2.1405,2.19,2.13,2.15,5910
2007-09-13,2.2,2.6,2.19,2.57,8172
2007-09-14,2.57,2.57,2.3101,2.388,3356
2007-09-17,2.3,2.36,2.3,2.3,6569
2007-09-18,2.3,2.316,2.07,2.09,11920
