Date,Open,High,Low,Close,Volume
2021-02-09,1581.0,2312.85,1326.0,1507.05,7341.552
2021-02-10,1402.5,1833.45,1397.4,1683.0,3997.617
2021-02-11,1657.5,1785.0,1499.4,1547.85,961.072
2021-02-12,1530.0,1530.0,1226.55,1338.75,1750.6200000000001
2021-02-16,1351.5,1479.0,1277.55,1290.3,938.749
2021-02-17,1499.4,1499.4,1086.3,1185.75,1054.734
2021-02-18,1114.35,1201.05,1032.75,1109.25,825.231
2021-02-19,1241.85,1241.85,1076.1,1116.9,619.058
2021-02-22,1150.05,1150.05,1060.8,1068.45,370.657
2021-02-23,1027.65,1073.55,961.35,1032.75,499.461
2021-02-24,1068.45,1338.75,994.5,1211.25,3699.986
2021-02-25,1170.45,1555.5,1170.45,1234.2,1653.368
2021-02-26,1236.75,1244.4,1065.9,1076.1,738.051
2021-03-01,1083.75,1198.5,1068.45,1195.95,597.386
2021-03-02,1180.65,1802.85,1180.65,1581.0,9874.272
2021-03-03,1491.75,1657.5,1249.5,1326.0,10050.899
2021-03-04,1190.85,1320.9,1020.0,1020.0,1371.498
2021-03-05,1007.25,1147.5,1007.25,1081.2,716.826
2021-03-08,1076.1,1264.8,956.25,1236.75,975.029
2021-03-09,1137.3,1224.0,1076.1,1119.45,930.27
2021-03-10,1099.05,1134.75,1083.75,1088.85,272.594
2021-03-11,1224.0,1224.0,1099.05,1165.35,278.987
2021-03-12,1124.55,1147.5,1040.4,1119.45,264.385
2021-03-15,1147.5,1397.3745,1147.5,1300.5,1838.677
2021-03-16,1303.05,1448.553,1189.6005,1300.5,972.059
2021-03-17,1315.8255,1402.5,1259.7,1374.45,301.676
2021-03-18,1377.0,1430.8815,1277.55,1277.55,530.415
2021-03-19,1384.65,1402.5,1254.6,1300.5,640.796
2021-03-22,1272.45,1389.75,1236.75,1348.95,313.827
2021-03-23,1282.65,1317.075,1195.95,1226.805,341.571
2021-03-24,1275.0,1371.9,1082.475,1083.75,507.422
2021-03-25,1152.6,1155.15,1086.3,1127.1,156.727
2021-03-26,1155.15,1195.95,1114.35,1142.4,189.387
2021-03-29,1147.5,1160.25,1109.25,1147.5,175.882
2021-03-30,1116.9,1144.95,1083.75,1086.3,245.393
2021-03-31,1086.3,1165.35,1086.3,1111.8,216.325
2021-04-01,1122.0,1146.072,1106.7,1116.9,144.384
2021-04-05,1109.25,1116.9,1060.8,1101.6,319.693
2021-04-06,1099.05,1099.05,1045.5,1045.5,136.793
2021-04-07,1048.05,1058.25,984.3,1004.7,711.559
2021-04-08,1017.4755,1124.55,963.9,1045.5,1025.884
2021-04-09,1088.85,1114.35,1025.1,1040.4,307.278
2021-04-12,1060.8,1068.45,981.75,997.05,302.096
2021-04-13,986.85,997.05,895.05,928.2,312.303
2021-04-14,963.9,976.65,846.6,872.1,369.076
2021-04-15,892.5,892.5,744.6,777.75,480.236
2021-04-16,775.2,802.536,719.1,790.5,375.411
2021-04-19,790.5,943.5,790.5,884.85,1228.572
2021-04-20,816.0,1040.2725,798.15,803.25,1389.364
2021-04-21,816.0,877.2,795.6,872.1,225.994
2021-04-22,869.55,923.1,838.44,869.55,273.021
2021-04-23,844.05,869.55,816.0,856.8,99.858
2021-04-26,867.0,910.35,840.225,884.85,311.408
2021-04-27,925.65,930.75,861.9,928.2,200.125
2021-04-28,910.35,933.3,895.05,918.0,96.67099999999999
2021-04-29,912.9,912.9,823.65,859.35,117.492
