Date,Open,High,Low,Close,Volume
2020-02-13,23.9313,24.1924,23.9313,24.173,277347
2020-02-14,24.173,24.3374,24.173,24.3374,197209
2020-02-18,24.3664,24.4534,24.2697,24.4534,219239
2020-02-19,24.3664,24.4147,24.3664,24.3761,94112
2020-02-20,24.3914,24.4437,24.3471,24.4051,109370
2020-02-21,24.4219,24.4219,24.3374,24.3761,112690
2020-02-24,24.2214,24.2697,24.0667,24.1537,144334
2020-02-25,24.173,24.173,23.9313,24.0183,128162
2020-02-26,24.0183,24.1537,23.9796,24.028,48470
2020-02-27,23.9796,23.9796,23.738,23.7862,93249
2020-02-28,23.97,23.97,23.3028,23.5348,418311
2020-03-02,23.4962,23.6315,22.7226,23.5213,81334
2020-03-03,23.5252,23.7379,23.4091,23.5445,63162
2020-03-04,23.6089,24.1537,23.4962,24.0667,67779
2020-03-05,23.6896,24.2987,23.6896,24.0473,92393
2020-03-06,23.9313,23.9795,23.5639,23.7379,21763
2020-03-09,23.5929,23.5929,21.9975,22.3165,22571
2020-03-10,22.887,23.3257,21.5927,22.2875,22526
2020-03-11,21.8837,22.4131,20.402,20.46,41866
2020-03-12,18.913,19.2601,16.1862,16.8244,47338
2020-03-13,18.3715,18.5552,16.6407,17.7913,210742
2020-03-16,14.5038,16.8728,14.5038,16.2733,35726
2020-03-17,15.7898,17.0661,15.374,15.6641,20729
2020-03-18,14.3104,15.6844,7.0682,9.8916,72718
2020-03-19,9.8142,14.0107,9.8142,13.2468,51223
2020-03-20,13.2468,15.6641,13.2468,14.5038,46510
2020-03-23,14.2621,14.2717,11.603,12.0865,104797
2020-03-24,13.2301,14.0203,12.8214,13.2468,49139
2020-03-25,13.5369,14.3878,12.773,12.773,138785
2020-03-26,13.3691,17.9364,13.3691,17.9364,140878
2020-03-27,17.1628,17.6366,16.4376,17.3563,24272
2020-03-30,16.9985,17.2112,16.1572,17.2112,5248
2020-03-31,17.2112,17.8784,17.0661,17.7237,26862
2020-04-01,17.7237,17.7237,14.7842,16.3313,26993
2020-04-02,16.1669,16.2056,15.3064,15.8575,12367
2020-04-03,15.4901,15.9348,15.171,15.171,11274
2020-04-06,15.4707,16.3893,15.4707,15.7028,28727
2020-04-07,16.2346,16.7277,16.2346,16.6794,26516
2020-04-08,16.9018,18.3812,16.6794,17.9847,14511
2020-04-09,19.3964,19.5318,18.4875,18.9033,27679
2020-04-13,18.965,19.071,18.6906,18.7099,19669
2020-04-14,18.6906,19.2514,18.5986,18.7389,12295
2020-04-15,18.6798,19.0773,18.2265,18.8549,14471
2020-04-16,18.7002,18.8549,18.5165,18.5649,13828
2020-04-17,18.4682,18.8549,18.4682,18.5939,5899
2020-04-20,18.6616,19.087,18.2461,19.058,13997
2020-04-21,19.0,19.0,18.5455,18.7583,6551
2020-04-22,18.5745,19.145,18.5745,18.8356,4809
2020-04-23,18.9226,19.2901,18.9226,19.1934,4151
2020-04-24,18.7873,19.0693,18.7873,18.9613,4002
2020-04-27,19.087,19.5415,19.087,19.3384,12883
2020-04-28,19.7174,20.4539,19.7174,20.3075,16846
2020-04-29,19.8799,20.4987,19.8799,20.3924,18293
2020-04-30,19.7081,20.3924,19.7081,20.3247,17605
2020-05-01,20.6824,20.6921,20.1313,20.1313,2481
2020-05-04,20.2546,20.3537,20.2546,20.3355,1241
2020-05-05,19.6781,20.3633,19.5801,20.0056,5742
2020-05-06,20.1361,20.1361,19.7929,19.8426,2819
2020-05-07,19.8219,20.3053,19.8219,19.9947,3568
2020-05-08,20.0733,20.402,20.0636,20.3053,9679
2020-05-11,19.8992,20.2667,19.6816,20.2667,17616
2020-05-12,20.228,20.3534,19.8219,20.1468,5934
2020-05-13,19.8702,20.113,19.2266,19.2266,21278
2020-05-14,19.1677,19.6575,19.1644,19.6285,5015
2020-05-15,19.0967,19.0967,18.4005,18.5359,39781
2020-05-18,18.7196,19.1257,18.7002,19.1257,11457
2020-05-19,19.1345,19.3191,18.9213,19.0858,7636
2020-05-20,19.2417,19.7155,19.2079,19.3772,13680
2020-05-21,19.3384,19.5317,19.2997,19.5221,4323
2020-05-22,19.7155,19.7155,19.3577,19.6198,6520
2020-05-26,19.6865,19.7542,19.2949,19.4544,49569
2020-05-27,19.4931,19.7542,19.4351,19.5801,6690
2020-05-28,19.7203,20.0636,19.7203,20.0539,10750
2020-05-29,20.1054,20.1231,19.5656,19.8799,41967
2020-06-01,19.8799,20.3827,19.8799,20.373,28285
2020-06-02,20.2521,20.7791,20.2521,20.7791,11760
2020-06-03,20.8275,21.1756,20.7985,21.1175,18617
2020-06-04,21.2529,21.6493,21.1308,21.5913,20844
2020-06-05,21.688,21.8427,21.5672,21.7557,24055
2020-06-08,21.7557,21.7557,21.2819,21.5527,40207
2020-06-09,21.3013,21.6078,21.3013,21.4656,4780
2020-06-10,21.2819,21.572,21.2819,21.543,13073
2020-06-11,20.6824,21.2723,20.3537,20.6051,17019
2020-06-12,20.779,21.1079,20.46,20.4987,11590
2020-06-15,20.3053,21.0305,20.3053,20.431,9713
2020-06-16,20.4494,20.4504,20.3053,20.4504,1500
2020-06-17,20.6196,21.0789,20.4504,20.9048,14348
2020-06-18,20.8613,20.8952,20.6921,20.7888,11736
2020-06-19,20.5954,20.7279,20.4504,20.5954,15302
2020-06-22,20.5277,21.0499,20.4021,21.0499,10863
2020-06-23,21.0402,21.0402,20.7405,20.9048,2697
2020-06-24,20.7648,20.7888,20.4987,20.5857,6700
2020-06-25,20.373,20.5084,20.17,20.373,3723
2020-06-26,20.2361,20.2361,19.9959,20.0443,17196
2020-06-29,20.2158,20.228,20.0249,20.0659,8144
2020-06-30,20.3633,20.3633,20.0958,20.2667,9990
2020-07-01,20.373,20.6728,20.2957,20.6728,1898
2020-07-02,20.5567,20.5857,20.3053,20.5084,5054
2020-07-06,20.5084,20.7158,20.5084,20.6826,3694
2020-07-07,20.8178,20.8371,20.4891,20.6583,12726
2020-07-08,20.6921,20.6921,20.5567,20.6244,6992
2020-07-09,20.6824,21.4946,20.6244,21.4463,109036
2020-07-10,21.514,21.514,21.2321,21.3206,25451
