Date,Open,High,Low,Close,Volume
2021-11-10,106.75,119.46,95.2,106.5,84162584
2021-11-11,106.6,125.0,105.16,122.8,62590332
2021-11-12,123.0,135.2,122.79,132.2,37489549
2021-11-15,134.9,154.49,125.57,153.1,48527634
2021-11-16,153.13,179.4699,151.64,172.9,69665030
2021-11-17,173.0,178.75,140.15,140.41,51807790
2021-11-18,140.3,144.0,120.15,122.6,49721383
2021-11-19,121.6,139.9,121.44,127.11,39935102
2021-11-22,127.11,127.11,106.91,115.5001,32193968
2021-11-23,115.5,124.0,112.0,119.0899,20340696
2021-11-24,118.02,120.0,113.4501,115.0,8905449
2021-11-26,114.08,115.0,106.14,111.45,7593803
2021-11-29,115.0,122.25,112.72,120.1,10869519
2021-11-30,119.0,121.49,114.1001,118.5,16814896
2021-12-01,119.71,126.75,113.1,115.5,10389266
2021-12-02,115.7,118.45,107.75,110.3,8359075
2021-12-03,111.05,112.69,100.0,104.0,10463757
2021-12-06,106.01,117.48,100.0,117.37,15715296
2021-12-07,118.5,122.06,112.4,115.6,9822957
2021-12-08,115.71,123.4,112.82,119.8,10430616
2021-12-09,119.62,121.32,114.4,115.0,6772086
2021-12-10,114.06,118.01,110.801,114.16,6744588
2021-12-13,114.17,121.6,113.95,118.3,11929657
2021-12-14,118.03,118.03,112.71,116.4,6399970
2021-12-15,116.02,116.86,109.21,115.7,8506765
2021-12-16,116.5,118.99,95.75,99.3,10465440
2021-12-17,99.3,101.6999,92.62,97.7,35273781
2021-12-20,96.75,96.75,88.4,90.82,12421154
2021-12-21,91.2,98.42,91.0,96.5,10302001
2021-12-22,96.49,99.72,93.3918,95.65,6706151
2021-12-23,96.93,97.8219,93.8144,96.68,4469830
2021-12-27,96.75,107.49,96.0,106.65,13096326
2021-12-28,106.55,108.2,101.0,102.65,7316315
2021-12-29,104.5,104.5,96.62,98.6,7215953
2021-12-30,98.72,105.29,98.6,102.85,8745427
2021-12-31,103.45,106.12,102.28,103.39,4219841
2022-01-03,105.39,106.55,100.25,103.36,6629138
2022-01-04,103.51,106.8,99.0137,101.29,9541460
2022-01-05,100.01,101.28,89.28,91.4201,14495612
2022-01-06,91.4,92.19,75.13,88.2,32980982
2022-01-07,88.25,89.2699,81.6214,86.3,14462715
2022-01-10,86.33,86.33,76.66,78.75,14204181
2022-01-11,77.88,86.5799,77.56,83.68,16799279
2022-01-12,83.9,88.07,82.63,86.25,11478260
2022-01-13,86.5,86.9404,79.89,80.6,10902272
2022-01-14,81.92,81.98,77.01,79.95,13021498
2022-01-18,79.0,79.0,72.8554,73.25,13604129
2022-01-19,73.2,76.32,68.9,69.35,12244198
2022-01-20,70.29,72.0799,61.0,63.89,15349598
2022-01-21,64.2,67.16,60.51,64.2,16343451
2022-01-24,64.67,64.93,55.1,62.61,20335441
2022-01-25,62.0,62.6,58.0,59.8,13627115
2022-01-26,61.11,68.07,58.3,61.75,19832189
2022-01-27,61.6,62.3,53.331,54.55,19497474
2022-01-28,55.0,57.3,50.0,57.18,19748421
2022-01-31,57.88,65.93,56.7502,65.7,14568357
2022-02-01,65.74,71.46,62.35,69.2,20555681
2022-02-02,69.6,71.1289,61.1,61.9,13266103
2022-02-03,60.6,63.9193,59.0,62.8,16450964
2022-02-04,63.0,63.11,59.11,61.13,12384988
2022-02-07,61.1,63.83,57.52,58.69,12317710
2022-02-08,58.7,61.54,56.44,60.6,10113918
2022-02-09,62.02,65.12,60.75,64.3001,10844649
2022-02-10,63.01,68.98,60.66,64.39,14958145
2022-02-11,63.77,66.3999,57.7,59.24,12293930
2022-02-14,60.0,66.3999,56.6,62.92,23180184
2022-02-15,64.2,67.18,63.88,66.3,13775930
2022-02-16,66.64,67.0,63.34,65.96,10859292
2022-02-17,65.63,71.5,64.01,64.85,19095561
2022-02-18,65.23,66.8999,63.0101,66.15,12648841
2022-02-22,65.0,69.1,59.76,63.35,19035902
2022-02-23,63.34,64.49,56.5,56.8,19247794
2022-02-24,55.0,64.43,52.3,62.5,20949829
2022-02-25,62.79,64.799,60.49,63.27,11614212
2022-02-28,62.49,68.15,62.04,66.1999,16425684
2022-03-01,66.39,66.54,60.8,61.44,14078699
2022-03-02,61.0,61.86,53.26,53.54,29080185
2022-03-03,53.23,56.0,50.02,50.12,22500743
2022-03-04,50.8,51.57,46.66,47.01,19339737
2022-03-07,47.03,49.44,42.12,42.26,18562923
2022-03-08,42.52,45.06,39.86,42.58,20360734
2022-03-09,43.5,46.25,42.69,45.35,12385387
2022-03-10,45.14,46.0,34.5,35.93,25561468
2022-03-11,35.95,41.0,35.91,38.3,34623148
2022-03-14,38.0,38.01,34.9,36.23,16422702
2022-03-15,36.24,37.32,33.46,36.95,16586802
2022-03-16,37.45,42.0998,36.99,40.9,20141595
2022-03-17,41.56,42.75,38.52,41.65,14149834
2022-03-18,42.11,45.7,41.04,45.1,16874231
2022-03-21,45.08,46.55,42.31,43.35,10257013
2022-03-22,44.05,48.3,43.13,47.2,10857869
2022-03-23,47.28,48.0,44.63,46.1,10006050
