Date,Open,High,Low,Close,Volume
2011-05-11,9.9378,10.197,9.6497,10.053,10160583.0
2011-05-12,10.053,10.3583,10.0472,10.3526,1997642.0
2011-05-13,10.3526,10.3699,10.1855,10.3583,1470243.0
2011-05-16,10.3699,10.3987,10.0069,10.3353,995334.0
2011-05-17,10.3411,10.4275,10.2258,10.2604,1609685.0
2011-05-18,10.3641,10.4275,10.2662,10.3929,891063.0
2011-05-19,10.3871,10.4275,10.3007,10.4159,729911.0
2011-05-20,10.3699,10.4275,10.3238,10.3987,1071978.0
2011-05-23,10.2316,10.4044,10.2316,10.3756,583641.0
2011-05-24,10.3699,10.4678,10.3122,10.3699,390131.0
2011-05-25,10.3699,10.4275,10.318,10.3814,695836.0
2011-05-26,10.4793,10.4793,10.3699,10.4563,353913.0
2011-05-27,10.3871,10.4563,10.3699,10.4505,416128.0
2011-05-31,10.4563,10.5139,10.3641,10.5139,633161.0
2011-06-01,10.4563,10.4851,10.1164,10.3065,465377.0
2011-06-02,10.2143,10.439,10.1855,10.3929,347616.0
2011-06-03,10.2431,10.5888,10.2201,10.5542,383912.0
2011-06-06,10.5254,10.56,10.3526,10.4851,391703.0
2011-06-07,10.5542,10.5542,10.3987,10.4448,181458.0
2011-06-08,10.3699,10.5196,10.1106,10.5139,473327.0
2011-06-09,10.4505,10.5773,10.2777,10.5427,359889.0
2011-06-10,10.439,10.5888,10.3814,10.4217,366418.0
2011-06-13,10.3756,10.4736,10.3122,10.4217,519755.0
2011-06-14,10.439,10.4678,10.1164,10.3065,637068.0
2011-06-15,10.2085,10.3295,9.5921,9.8744,683735.0
2011-06-16,9.8629,10.318,9.7995,10.0184,706149.0
2011-06-17,10.1164,10.2143,9.8168,10.0991,418761.0
2011-06-20,9.9954,10.4102,9.909,10.2834,759537.0
2011-06-21,10.3295,10.5427,10.1106,10.2258,726775.0
2011-06-22,10.3122,10.3699,9.7938,10.2489,591880.0
2011-06-23,10.1049,10.1394,9.6958,10.0127,634861.0
2011-06-24,9.9666,10.1337,9.7246,9.8283,4621075.0
2011-06-27,9.8802,10.0818,9.6785,9.8514,542760.0
2011-06-28,9.9439,10.0655,9.7761,10.0423,601469.0
2011-06-29,10.0423,10.1002,9.9034,9.9613,360080.0
