Date,Open,High,Low,Close,Volume
2021-07-15,22.5,23.5,19.37,21.0999,3404815
2021-07-16,20.56,24.76,20.0,23.8,449521
2021-07-19,22.05,23.6,20.13,20.2,274958
2021-07-20,21.48,21.48,19.6601,20.0,392424
2021-07-21,20.63,21.77,18.42,21.13,370829
2021-07-22,20.84,21.48,19.92,21.01,152325
2021-07-23,20.61,21.765,20.34,21.13,149900
2021-07-26,21.13,21.13,20.18,20.21,202468
2021-07-27,20.32,21.46,20.32,20.65,136379
2021-07-28,20.77,22.9099,20.685,22.27,55558
2021-07-29,22.45,24.755,20.94,22.14,168704
2021-07-30,22.05,22.75,21.8,22.19,144296
2021-08-02,22.46,24.4899,22.07,23.55,271485
2021-08-03,23.29,27.04,23.29,24.4,165331
2021-08-04,24.6,25.93,23.41,24.62,89166
2021-08-05,25.19,25.505,23.59,24.8,80206
2021-08-06,24.93,25.4,23.13,23.35,67743
2021-08-09,23.35,24.4249,21.5,22.31,100677
2021-08-10,22.31,22.57,20.29,21.61,197279
2021-08-11,21.43,22.0,20.89,21.63,185155
2021-08-12,21.48,21.65,17.81,18.45,188398
2021-08-13,18.67,22.47,18.41,20.08,144612
2021-08-16,19.16,19.94,18.17,19.68,75697
2021-08-17,20.0,20.53,17.53,17.88,153829
2021-08-18,17.91,21.448,17.91,20.6,186612
2021-08-19,20.61,20.9999,19.2556,19.63,77169
2021-08-20,19.47,22.49,19.15,20.05,94198
2021-08-23,22.38,22.86,20.0,21.66,102437
2021-08-24,21.64,22.98,20.36,22.18,106879
2021-08-25,21.71,22.26,21.1806,21.77,66316
2021-08-26,21.95,23.0,21.2,22.4,137114
2021-08-27,22.24,23.0,20.0,20.3,125507
2021-08-30,20.22,21.1484,19.47,20.59,176387
2021-08-31,20.76,20.8,18.54,18.9,79958
2021-09-01,19.06,19.65,18.53,19.15,27982
2021-09-02,19.15,20.06,18.555,19.14,99814
2021-09-03,19.1,19.785,18.63,19.12,62409
2021-09-07,19.16,21.05,19.16,20.22,164430
2021-09-08,20.16,20.793,19.91,20.31,118795
2021-09-09,20.5,22.15,20.5,20.83,77739
2021-09-10,21.03,21.74,20.445,20.92,81424
2021-09-13,21.14,21.14,19.73,20.02,52053
2021-09-14,20.02,20.99,19.25,20.02,86215
2021-09-15,20.19,21.36,19.84,20.42,289042
2021-09-16,20.74,21.47,20.325,21.14,250279
2021-09-17,20.92,21.49,19.57,20.13,1224655
2021-09-20,20.0,20.46,19.0,19.29,470695
2021-09-21,19.3,19.8475,18.17,18.31,332023
2021-09-22,18.35,19.82,17.12,18.0,186592
2021-09-23,18.0,18.94,17.855,18.85,34784
2021-09-24,18.65,18.906,17.865,18.22,34373
2021-09-27,17.92,19.04,17.895,18.79,59377
2021-09-28,18.79,19.21,17.84,18.27,46041
2021-09-29,18.15,18.7,17.62,17.96,24960
2021-09-30,18.06,18.78,18.05,18.47,30583
2021-10-01,18.59,18.68,18.0,18.43,78630
2021-10-04,18.36,18.36,17.671,17.84,78851
2021-10-05,17.83,18.11,17.76,17.86,81113
2021-10-06,17.83,17.96,16.9,17.14,56616
2021-10-07,17.74,18.27,17.405,18.18,109446
2021-10-08,18.01,18.74,17.66,18.45,96936
2021-10-11,18.67,18.67,17.01,17.38,39863
2021-10-12,17.19,17.41,16.49,16.81,38407
2021-10-13,16.88,17.94,16.37,17.76,50093
2021-10-14,17.67,18.54,17.56,17.96,51560
2021-10-15,18.11,18.32,16.34,16.82,71587
2021-10-18,17.25,18.87,16.81,17.97,82347
2021-10-19,17.94,19.41,17.81,18.4,58120
2021-10-20,18.58,19.04,18.22,18.7,38341
2021-10-21,18.73,19.98,18.65,19.94,56627
2021-10-22,19.72,20.52,19.17,19.91,156906
2021-10-25,19.75,19.75,18.62,19.04,31365
2021-10-26,18.655,20.3,18.42,19.97,89545
2021-10-27,19.53,19.94,19.125,19.48,57405
2021-10-28,19.65,20.0,19.0,19.9,31166
2021-10-29,19.37,20.48,19.03,20.39,19438
2021-11-01,20.03,21.42,19.84,21.33,20152
2021-11-02,21.38,22.52,20.1496,21.38,33120
2021-11-03,21.64,22.09,21.0101,21.68,15400
2021-11-04,22.0,22.71,21.805,22.13,16078
2021-11-05,22.48,22.6,21.12,21.8,26398
2021-11-08,21.69,22.5,21.06,22.19,37963
2021-11-09,22.49,22.49,20.98,21.4,24281
2021-11-10,21.33,21.75,20.55,20.84,32944
2021-11-11,21.13,21.865,20.55,21.42,36601
2021-11-12,21.06,21.06,16.39,17.23,129256
2021-11-15,17.24,17.7982,15.5,16.46,65466
2021-11-16,16.39,16.79,15.74,16.65,43510
2021-11-17,16.66,16.96,15.96,16.46,47501
2021-11-18,16.5,16.8469,15.98,16.25,133630
2021-11-19,16.01,16.79,15.7101,15.99,87243
2021-11-22,16.1,16.56,15.23,16.08,97463
2021-11-23,15.85,16.03,14.63,14.73,60430
2021-11-24,14.68,15.025,13.78,14.02,32885
2021-11-26,13.75,13.91,12.57,13.15,56199
